Municipio,Distrito,Sección,PAN,PRI,PRD,PT,PVEM,PEBC,PRS,PPBC,Nulos
Mexicali,I,109,173,168,19,2,0,0,3,19,3
Mexicali,I,110,237,210,21,8,0,0,14,15,17
Mexicali,I,111,173,202,23,3,0,0,4,14,25
Mexicali,I,112,240,135,17,2,0,0,7,31,6
Mexicali,I,113,266,163,37,4,0,0,8,18,10
Mexicali,I,114,211,157,20,3,0,0,4,22,8
Mexicali,I,115,130,158,17,3,0,0,18,7,16
Mexicali,I,116,193,131,11,3,0,0,3,15,16
Mexicali,I,117,240,230,27,3,0,0,6,21,10
Mexicali,I,438,153,137,72,4,0,0,1,7,21
Mexicali,I,439,131,161,38,1,0,0,12,8,11
Mexicali,I,440,69,83,14,0,0,0,2,4,10
Mexicali,I,441,81,109,12,2,0,0,2,9,4
Mexicali,I,442,111,159,14,8,0,0,11,11,13
Mexicali,I,443,163,156,34,11,0,0,19,10,12
Mexicali,I,444,86,88,15,6,0,0,2,3,7
Mexicali,II,118,71,73,13,0,0,0,6,0,6
Mexicali,II,119,114,127,19,2,0,0,0,11,9
Mexicali,II,120,156,113,13,2,0,0,1,16,7
Mexicali,II,121,115,94,18,1,0,0,1,13,4
Mexicali,II,122,204,201,23,2,0,0,5,23,10
Mexicali,II,123,213,144,23,2,0,0,2,26,8
Mexicali,II,124,201,165,18,2,0,0,0,27,7
Mexicali,II,125,130,129,20,4,0,0,2,35,7
Mexicali,II,126,211,215,18,2,0,0,1,43,6
Mexicali,II,127,224,155,20,4,0,0,3,21,5
Mexicali,II,128,153,167,13,3,0,0,5,7,18
Mexicali,II,129,206,215,16,6,0,0,0,20,8
Mexicali,II,130,237,198,26,2,0,0,0,23,9
Mexicali,II,131,209,162,12,2,0,0,1,48,6
Mexicali,II,132,224,141,12,1,0,0,1,27,4
Mexicali,II,133,252,193,24,6,0,0,0,33,10
Mexicali,II,134,172,176,18,7,0,0,1,16,12
Mexicali,II,135,213,260,14,3,0,0,4,27,13
Mexicali,II,136,188,249,28,1,0,0,1,12,17
Mexicali,II,137,164,138,12,3,0,0,3,13,18
Mexicali,II,138,158,132,22,3,0,0,2,6,13
Mexicali,II,139,146,110,26,2,0,0,2,6,3
Mexicali,II,140,118,138,16,1,0,0,0,7,5
Mexicali,II,141,186,153,21,3,0,0,1,17,6
Mexicali,II,142,133,149,24,0,0,0,3,16,9
Mexicali,II,143,248,232,30,3,0,0,3,11,20
Mexicali,II,144,181,178,14,1,0,0,2,14,10
Mexicali,II,145,228,174,31,1,0,0,5,11,11
Mexicali,II,146,310,323,59,7,0,0,4,28,9
Mexicali,II,147,202,154,27,2,0,0,10,8,19
Mexicali,II,148,202,135,16,2,0,0,3,4,11
Mexicali,II,149,207,153,16,2,0,0,5,11,26
Mexicali,II,150,177,176,16,2,0,0,3,10,8
Mexicali,II,151,182,167,22,1,0,0,3,11,7
Mexicali,II,152,412,485,44,4,0,0,0,47,10
Mexicali,II,153,278,244,32,4,0,0,6,37,19
Mexicali,II,154,350,304,22,0,0,0,3,45,4
Mexicali,II,155,221,238,22,6,0,0,5,18,15
Mexicali,II,156,212,216,32,4,0,0,6,23,16
Mexicali,II,157,144,134,14,5,0,0,4,19,10
Mexicali,II,158,193,172,18,3,0,0,4,15,9
Mexicali,II,159,269,175,25,3,0,0,2,16,12
Mexicali,II,160,166,133,19,0,0,0,2,9,9
Mexicali,II,161,303,178,21,2,0,0,2,24,6
Mexicali,II,162,219,188,27,1,0,0,3,38,6
Mexicali,II,163,224,219,23,3,0,0,6,14,15
Mexicali,II,164,248,193,34,3,0,0,13,6,18
Mexicali,II,165,233,215,11,3,0,0,1,30,3
Mexicali,II,166,185,126,23,3,0,0,14,15,17
Mexicali,II,167,105,153,12,4,0,0,8,6,11
Mexicali,II,168,315,185,28,5,0,0,8,27,25
Mexicali,II,169,174,150,39,4,0,0,2,21,7
Mexicali,II,170,201,154,19,4,0,0,8,10,9
Mexicali,II,171,267,169,28,2,0,0,3,14,4
Mexicali,II,172,279,154,28,1,0,0,1,15,19
Mexicali,II,173,303,207,32,1,0,0,10,18,2
Mexicali,II,174,217,129,16,5,0,0,3,21,2
Mexicali,II,175,275,156,26,7,0,0,10,20,14
Mexicali,II,176,323,223,27,3,0,0,8,11,17
Mexicali,II,177,155,133,35,24,0,0,9,17,12
Mexicali,II,178,169,142,27,5,0,0,21,15,13
Mexicali,II,179,186,210,17,4,0,0,15,17,9
Mexicali,II,180,281,181,26,7,0,0,6,22,20
Mexicali,II,181,301,157,27,2,0,0,2,29,11
Mexicali,II,182,263,151,24,7,0,0,4,21,12
Mexicali,II,183,275,196,22,2,0,0,9,19,14
Mexicali,II,184,307,181,29,4,0,0,14,24,13
Mexicali,II,185,368,185,16,2,0,0,7,20,10
Mexicali,II,186,267,150,24,1,0,0,2,25,9
Mexicali,II,187,311,243,25,4,0,0,43,21,14
Mexicali,II,188,262,144,27,3,0,0,52,58,14
Mexicali,II,189,236,193,45,3,0,0,22,14,3
Mexicali,II,190,126,97,18,4,0,0,18,7,13
Mexicali,II,191,199,135,26,5,0,0,22,13,15
Mexicali,II,192,207,249,41,3,0,0,20,17,11
Mexicali,II,193,281,192,24,3,0,0,2,33,6
Mexicali,II,194,196,142,30,1,0,0,14,10,14
Mexicali,II,195,249,127,25,4,0,0,69,16,9
Mexicali,II,196,210,156,25,6,0,0,90,4,14
Mexicali,II,197,293,137,22,4,0,0,23,12,13
Mexicali,II,198,166,120,92,3,0,0,9,7,23
Mexicali,II,199,216,176,25,2,0,0,19,21,6
Mexicali,III,200,220,143,23,3,0,0,1,24,16
Mexicali,III,201,199,178,14,5,0,0,4,17,15
Mexicali,III,202,237,172,33,3,0,0,3,24,13
Mexicali,III,203,200,159,13,3,0,0,2,19,5
Mexicali,III,211,313,253,27,8,0,0,3,16,15
Mexicali,III,212,192,169,16,4,0,0,10,20,15
Mexicali,III,213,199,155,18,4,0,0,2,19,10
Mexicali,III,214,205,198,25,1,0,0,4,19,7
Mexicali,III,215,313,222,27,6,0,0,3,28,13
Mexicali,III,216,270,205,15,4,0,0,5,22,15
Mexicali,III,217,260,212,21,4,0,0,6,19,15
Mexicali,III,221,354,210,27,2,0,0,4,63,3
Mexicali,III,222,277,249,23,4,0,0,5,31,19
Mexicali,III,223,281,206,36,5,0,0,9,22,18
Mexicali,III,224,293,233,19,4,0,0,6,27,7
Mexicali,III,225,358,156,14,0,0,0,3,64,4
Mexicali,III,226,219,244,11,2,0,0,6,20,4
Mexicali,III,227,211,173,14,2,0,0,3,16,15
Mexicali,III,228,278,243,40,6,0,0,9,22,21
Mexicali,III,229,225,101,21,2,0,0,4,24,0
Mexicali,III,230,338,170,30,8,0,0,48,18,29
Mexicali,III,231,321,217,46,4,0,0,7,25,20
Mexicali,III,232,220,177,19,2,0,0,1,29,7
Mexicali,III,233,375,205,25,0,0,0,3,49,3
Mexicali,III,234,208,186,23,0,0,0,11,16,13
Mexicali,III,235,196,260,37,7,0,0,3,28,9
Mexicali,III,236,258,183,27,7,0,0,12,17,20
Mexicali,III,237,208,152,17,5,0,0,13,16,16
Mexicali,III,238,189,163,19,4,0,0,23,18,15
Mexicali,III,239,271,175,29,11,0,0,27,11,21
Mexicali,III,240,190,135,27,7,0,0,13,16,10
Mexicali,III,241,175,101,24,5,0,0,12,13,8
Mexicali,III,242,209,119,12,4,0,0,13,9,15
Mexicali,III,243,216,176,15,2,0,0,4,29,9
Mexicali,III,244,280,244,25,2,0,0,2,57,6
Mexicali,III,245,309,212,29,3,0,0,14,30,5
Mexicali,III,246,272,199,28,3,0,0,31,17,16
Mexicali,III,247,194,163,23,5,0,0,55,11,16
Mexicali,III,248,226,146,24,7,0,0,18,15,16
Mexicali,III,249,211,144,23,6,0,0,25,18,16
Mexicali,III,250,190,159,36,3,0,0,48,16,12
Mexicali,III,251,272,171,16,0,0,0,5,22,7
Mexicali,III,252,239,250,38,3,0,0,13,42,14
Mexicali,III,253,193,185,31,11,0,0,38,15,16
Mexicali,III,254,255,218,31,3,0,0,17,26,32
Mexicali,III,255,289,213,40,8,0,0,13,16,20
Mexicali,III,256,321,229,43,10,0,0,15,25,30
Mexicali,III,257,258,288,45,4,0,0,5,19,11
Mexicali,III,258,355,334,41,2,0,0,5,66,12
Mexicali,III,259,238,193,32,2,0,0,8,19,6
Mexicali,III,260,340,213,35,10,0,0,34,22,17
Mexicali,III,261,318,229,33,10,0,0,26,21,22
Mexicali,III,262,308,210,48,8,0,0,8,16,26
Mexicali,III,263,275,207,33,5,0,0,17,15,20
Mexicali,III,264,328,223,45,10,0,0,15,28,21
Mexicali,III,265,399,239,38,13,0,0,19,29,25
Mexicali,III,266,501,227,29,4,0,0,4,20,26
Mexicali,III,267,458,275,33,2,0,0,1,39,4
Mexicali,III,268,415,322,28,0,0,0,8,34,12
Mexicali,III,269,197,161,29,2,0,0,1,25,5
Mexicali,III,270,190,156,21,2,0,0,3,9,12
Mexicali,III,271,203,141,19,1,0,0,8,11,6
Mexicali,III,272,372,213,37,6,0,0,20,20,12
Mexicali,III,273,307,212,31,13,0,0,72,19,25
Mexicali,III,274,395,184,39,1,0,0,25,9,20
Mexicali,III,275,278,199,42,1,0,0,8,22,12
Mexicali,III,276,180,124,12,5,0,0,18,13,13
Mexicali,III,277,211,160,24,9,0,0,21,8,18
Mexicali,III,278,313,191,30,5,0,0,44,9,11
Mexicali,III,279,257,202,31,11,0,0,18,12,16
Mexicali,IV,204,379,259,42,6,0,0,4,39,19
Mexicali,IV,205,261,182,25,8,0,0,2,26,13
Mexicali,IV,206,276,198,36,5,0,0,4,20,11
Mexicali,IV,207,288,170,48,5,0,0,8,14,15
Mexicali,IV,208,324,224,32,15,0,0,4,28,20
Mexicali,IV,209,253,159,29,2,0,0,2,19,5
Mexicali,IV,210,198,148,21,6,0,16,4,7,24
Mexicali,IV,218,255,224,34,5,0,0,2,18,14
Mexicali,IV,219,287,256,21,6,0,0,4,15,24
Mexicali,IV,220,200,170,21,3,0,0,7,14,9
Mexicali,IV,280,319,226,31,3,0,0,3,12,20
Mexicali,IV,281,182,149,15,2,0,0,17,7,15
Mexicali,IV,282,192,140,31,6,0,0,7,16,13
Mexicali,IV,283,105,85,12,3,0,0,1,6,9
Mexicali,IV,284,145,138,15,2,0,0,4,19,14
Mexicali,IV,285,213,186,43,6,0,0,5,16,15
Mexicali,IV,286,245,286,68,3,1,0,8,20,28
Mexicali,IV,287,310,207,34,2,0,0,5,39,15
Mexicali,IV,288,253,175,22,1,0,0,3,21,5
Mexicali,IV,289,175,115,17,0,0,0,0,18,3
Mexicali,IV,290,217,136,22,1,0,0,9,9,3
Mexicali,IV,291,802,390,75,10,0,0,7,65,16
Mexicali,IV,292,214,215,39,7,0,0,2,35,12
Mexicali,IV,293,284,152,24,3,0,0,3,27,11
Mexicali,IV,294,51,57,11,2,0,0,2,0,9
Mexicali,IV,296,174,128,24,2,0,0,2,16,18
Mexicali,IV,299,130,120,30,4,0,0,2,9,24
Mexicali,IV,302,141,129,43,5,0,0,1,11,7
Mexicali,IV,303,161,117,32,9,0,0,1,15,9
Mexicali,IV,304,162,162,54,1,0,0,1,22,9
Mexicali,IV,305,156,147,58,8,0,0,3,17,12
Mexicali,IV,383,225,150,20,7,0,0,10,14,10
Mexicali,IV,384,108,92,12,6,0,0,6,6,5
Mexicali,IV,385,125,160,20,6,0,0,44,10,16
Mexicali,IV,386,230,169,31,3,0,0,28,14,9
Mexicali,IV,387,297,177,28,5,0,0,1,21,11
Mexicali,IV,388,368,263,39,9,1,0,8,34,16
Mexicali,IV,389,400,220,37,8,0,0,2,43,8
Mexicali,IV,390,231,124,30,3,0,0,8,20,7
Mexicali,IV,391,190,179,30,2,0,0,16,18,12
Mexicali,IV,392,97,118,28,3,0,0,5,10,9
Mexicali,IV,393,132,165,30,4,0,0,17,10,13
Mexicali,IV,394,101,92,20,3,0,0,11,5,6
Mexicali,IV,395,310,182,40,5,0,0,6,34,15
Mexicali,IV,396,355,179,35,16,0,0,4,30,7
Mexicali,IV,397,302,188,26,4,0,0,1,26,16
Mexicali,IV,398,193,106,18,7,0,0,1,11,5
Mexicali,IV,399,132,102,23,5,0,0,1,7,7
Mexicali,IV,400,227,149,40,8,0,0,1,16,5
Mexicali,IV,401,297,194,43,6,0,0,0,17,10
Mexicali,IV,402,337,190,26,7,0,0,6,16,18
Mexicali,IV,403,258,104,26,6,0,0,0,9,10
Mexicali,IV,404,319,195,31,8,0,0,0,9,27
Mexicali,IV,405,282,135,31,8,0,0,2,14,16
Mexicali,IV,406,195,103,17,0,0,0,1,12,7
Mexicali,IV,407,540,293,43,9,0,0,7,62,20
Mexicali,IV,408,198,113,19,1,0,0,3,8,6
Mexicali,IV,424,137,92,18,2,0,0,4,10,4
Mexicali,IV,425,249,146,24,4,0,3,4,7,13
Mexicali,IV,426,289,168,32,6,0,0,1,6,12
Mexicali,IV,427,309,164,56,6,0,0,4,10,19
Mexicali,IV,428,240,178,40,3,0,0,2,15,9
Mexicali,IV,429,148,120,18,3,0,0,3,8,11
Mexicali,IV,430,235,123,23,4,0,0,6,32,17
Mexicali,IV,431,185,99,19,3,0,0,2,0,7
Mexicali,IV,432,519,256,42,7,0,0,10,38,14
Mexicali,IV,433,209,103,22,4,0,0,5,14,6
Mexicali,IV,434,126,138,13,0,0,0,0,9,4
Mexicali,IV,435,212,120,15,5,0,0,3,14,5
Mexicali,IV,436,172,139,18,9,0,0,5,10,12
Mexicali,IV,437,176,108,18,2,0,0,0,11,9
Mexicali,V,295,78,141,33,2,0,0,0,4,9
Mexicali,V,297,143,221,52,7,0,0,0,18,16
Mexicali,V,298,159,157,34,4,0,0,0,10,28
Mexicali,V,300,178,378,26,5,0,0,1,10,29
Mexicali,V,301,109,126,10,0,0,0,0,1,9
Mexicali,V,306,118,337,37,3,0,1,2,19,22
Mexicali,V,307,77,124,64,9,0,0,12,0,11
Mexicali,V,308,187,206,53,13,0,0,0,7,14
Mexicali,V,309,280,581,143,10,0,0,1,14,27
Mexicali,V,310,56,255,50,4,0,0,3,5,14
Mexicali,V,311,179,246,41,7,0,0,2,23,17
Mexicali,V,312,126,361,59,2,0,0,0,26,14
Mexicali,V,313,100,253,53,3,0,0,0,16,17
Mexicali,V,314,65,281,58,2,0,1,2,4,18
Mexicali,V,315,109,213,61,2,0,0,0,3,14
Mexicali,V,316,74,165,50,1,0,0,0,7,21
Mexicali,V,317,98,198,37,5,0,0,1,3,9
Mexicali,V,318,90,277,59,7,0,0,3,3,12
Mexicali,V,319,68,223,34,2,0,0,0,9,13
Mexicali,V,320,173,256,45,9,0,0,4,2,26
Mexicali,V,321,89,157,36,12,0,0,1,7,23
Mexicali,V,324,150,185,19,2,0,0,4,7,2
Mexicali,V,325,163,186,44,7,0,0,5,5,28
Mexicali,V,326,78,146,33,4,0,0,2,7,13
Mexicali,V,327,168,224,39,11,0,0,1,10,8
Mexicali,V,328,87,105,59,2,0,0,10,8,9
Mexicali,V,329,100,162,35,2,0,0,1,3,9
Mexicali,V,330,124,175,30,5,0,0,1,3,8
Mexicali,V,331,183,271,67,16,0,0,5,8,18
Mexicali,V,332,108,187,30,5,0,0,0,1,27
Mexicali,V,333,124,142,15,1,0,0,4,1,13
Mexicali,V,334,124,228,25,0,0,0,1,5,16
Mexicali,V,335,141,205,26,2,0,0,0,1,24
Mexicali,V,336,228,312,36,7,0,0,1,5,47
Mexicali,V,337,20,74,21,2,0,0,0,1,10
Mexicali,V,338,142,227,42,2,0,0,1,5,26
Mexicali,V,339,189,170,31,9,0,0,0,4,17
Mexicali,V,340,171,224,41,25,0,0,3,9,10
Mexicali,V,341,133,222,53,2,0,0,0,9,14
Mexicali,V,342,68,91,38,2,0,0,0,3,16
Mexicali,V,343,184,181,67,12,0,0,0,7,30
Mexicali,V,344,185,269,82,0,0,0,1,9,28
Mexicali,V,345,159,212,44,6,0,0,1,3,20
Mexicali,V,346,156,145,35,2,0,0,0,5,18
Mexicali,V,347,98,192,22,2,0,0,1,4,13
Mexicali,V,348,146,212,34,2,0,0,3,7,23
Mexicali,V,349,97,153,137,6,0,0,1,10,25
Mexicali,V,350,181,193,60,3,0,0,3,9,21
Mexicali,V,351,51,77,9,2,0,0,1,1,4
Mexicali,V,352,108,162,23,2,0,0,0,1,13
Mexicali,V,353,109,187,20,6,0,0,1,2,6
Mexicali,V,354,130,213,31,5,0,0,0,1,6
Mexicali,V,355,143,201,30,2,0,0,0,3,17
Mexicali,V,356,20,51,7,1,0,0,0,2,2
Mexicali,V,357,99,179,22,3,0,0,0,8,21
Mexicali,V,358,148,248,15,2,0,0,0,3,10
Mexicali,V,359,49,60,18,1,0,0,1,0,7
Mexicali,V,360,95,153,23,4,0,0,1,3,26
Mexicali,V,361,64,153,101,8,0,0,1,7,19
Mexicali,V,362,162,370,64,5,0,0,1,4,34
Mexicali,V,363,50,129,51,4,0,0,1,2,16
Mexicali,V,364,107,152,58,8,0,0,1,4,24
Mexicali,V,365,123,178,62,2,0,0,1,5,15
Mexicali,V,366,136,170,48,5,0,0,1,8,20
Mexicali,V,367,171,169,62,7,0,0,0,2,9
Mexicali,V,368,71,105,14,1,0,0,2,2,9
Mexicali,V,369,118,139,27,5,0,0,0,1,17
Mexicali,V,370,111,172,34,10,0,0,2,4,20
Mexicali,V,371,10,65,3,1,0,0,0,2,7
Mexicali,V,372,56,267,22,5,0,0,0,3,13
Mexicali,V,373,43,246,40,1,0,0,6,3,13
Mexicali,V,374,91,244,27,1,0,0,1,2,18
Mexicali,V,375,133,342,60,12,0,0,0,6,18
Mexicali,V,376,68,178,31,3,0,0,1,3,12
Mexicali,V,377,114,160,24,3,0,0,0,3,25
Mexicali,V,378,59,81,30,1,0,0,3,3,6
Mexicali,V,379,137,293,70,4,0,0,1,12,21
Mexicali,V,380,82,244,91,7,0,0,7,4,17
Mexicali,V,381,97,190,44,11,0,0,1,6,26
Mexicali,V,382,107,232,34,1,0,0,0,6,18
Mexicali,VI,322,45,95,21,2,0,0,0,3,5
Mexicali,VI,323,70,92,16,2,0,0,1,9,0
Mexicali,VI,409,239,154,33,9,0,0,3,16,15
Mexicali,VI,410,144,127,12,6,0,0,2,17,20
Mexicali,VI,411,106,130,19,9,0,0,4,13,23
Mexicali,VI,412,138,88,15,3,0,0,3,6,18
Mexicali,VI,413,173,146,37,4,0,0,9,17,21
Mexicali,VI,414,133,106,41,5,0,0,2,10,11
Mexicali,VI,415,94,90,60,2,0,0,3,11,15
Mexicali,VI,416,115,90,47,1,0,0,1,3,12
Mexicali,VI,417,103,71,75,5,0,0,5,7,12
Mexicali,VI,418,102,90,56,6,0,0,2,3,9
Mexicali,VI,419,133,106,41,5,0,0,2,10,11
Mexicali,VI,420,96,101,26,5,0,0,6,11,14
Mexicali,VI,421,171,150,40,5,0,0,5,9,20
Mexicali,VI,422,1142,854,136,35,0,0,55,115,81
Mexicali,VI,423,172,171,17,7,0,0,4,15,29
Mexicali,VI,445,127,94,22,8,0,0,25,8,7
Mexicali,VI,446,132,127,10,3,0,0,15,10,13
Mexicali,VI,447,121,129,20,2,0,0,16,7,14
Mexicali,VI,448,116,82,26,12,0,0,8,2,12
Mexicali,VI,449,91,104,9,1,0,0,6,4,7
Mexicali,VI,450,174,131,59,3,0,0,9,9,17
Mexicali,VI,451,99,80,62,4,0,0,5,3,18
Mexicali,VI,452,138,131,50,4,0,0,10,4,14
Mexicali,VI,453,146,182,46,7,0,0,40,9,9
Mexicali,VI,454,121,130,73,4,0,0,14,9,27
Mexicali,VI,455,133,66,16,2,0,0,4,15,9
Mexicali,VI,456,83,76,9,0,0,0,2,9,8
Mexicali,VI,457,58,170,46,3,0,0,0,5,12
Mexicali,VI,458,84,141,22,0,0,0,3,2,15
Mexicali,VI,459,22,47,4,0,0,0,0,0,0
Mexicali,VI,460,105,277,126,7,0,0,2,12,27
Mexicali,VI,461,189,178,30,4,0,0,2,1,9
Mexicali,VI,462,94,87,35,3,0,0,0,5,9
Mexicali,VI,463,72,112,15,2,0,0,0,2,3
Mexicali,VI,464,99,196,18,5,0,0,1,2,13
Mexicali,VI,465,74,137,23,2,0,0,0,0,6
Mexicali,VI,466,45,48,21,0,0,0,0,0,3
Mexicali,VI,467,52,87,30,2,0,0,1,1,11
Mexicali,VI,468,41,85,23,3,0,0,0,2,5
Mexicali,VI,469,73,120,49,3,0,0,4,8,14
Mexicali,VI,470,34,183,46,5,0,0,2,7,10
Mexicali,VI,471,64,336,52,5,0,0,0,6,18
Mexicali,VI,472,100,189,27,3,0,0,10,3,13
Mexicali,VI,473,44,200,28,3,0,0,1,2,2
Mexicali,VI,474,171,244,42,7,0,0,7,6,28
Mexicali,VI,475,82,128,18,0,0,0,3,4,12
Mexicali,VI,476,97,323,35,3,0,0,1,5,27
Mexicali,VI,477,82,250,39,10,0,0,2,5,18
Mexicali,VI,478,72,168,37,3,0,0,0,6,13
Mexicali,VI,479,86,232,30,4,0,0,1,0,21
Mexicali,VI,480,64,215,17,1,0,0,3,6,0
Mexicali,VI,481,64,54,33,0,0,0,1,4,6
Mexicali,VI,482,124,123,16,3,0,0,7,11,14
Mexicali,VI,483,236,233,99,11,0,0,12,11,16
Mexicali,VI,484,117,63,17,6,0,0,3,5,10
Mexicali,VI,485,217,167,48,7,0,0,1,2,17
Mexicali,VI,486,166,189,37,8,0,0,7,5,16
Mexicali,VI,487,152,231,24,5,0,0,2,12,21
Mexicali,VI,488,186,175,31,2,0,0,3,3,10
Mexicali,VI,489,347,340,80,35,0,0,94,33,31
Mexicali,VI,490,132,155,30,5,0,0,2,6,9
Mexicali,VI,491,61,90,6,3,0,0,1,7,5
Mexicali,VI,492,122,162,22,4,0,0,4,17,22
Mexicali,VI,493,274,257,46,6,0,0,11,13,33
Mexicali,VI,494,113,137,25,7,0,0,1,16,20
Mexicali,VI,495,163,156,25,0,0,0,1,24,13
Mexicali,VI,496,93,135,12,4,0,0,2,4,3
Mexicali,VI,497,204,231,32,11,0,0,4,16,53
Mexicali,VI,498,97,86,12,6,0,0,4,48,14
Mexicali,VI,499,139,178,30,8,0,0,6,18,19
Mexicali,VI,500,51,110,48,0,0,0,5,3,8
Mexicali,VI,501,57,57,3,1,0,0,0,0,2
Mexicali,VI,502,120,307,12,3,0,0,1,10,15
Mexicali,VI,503,76,193,6,7,0,0,0,5,10
Mexicali,VI,504,144,241,12,4,0,0,1,4,10
Mexicali,VI,505,92,149,5,4,0,0,1,4,8
Mexicali,VI,506,92,235,27,6,0,0,9,6,5
Mexicali,VI,507,101,248,15,5,0,0,0,4,10
Mexicali,VI,508,135,264,18,6,0,0,0,11,11
Mexicali,VI,509,67,215,17,10,0,0,2,7,11
Tecate,VII,1,148,208,172,10,12,0,0,0,16
Tecate,VII,2,114,219,87,10,17,0,0,0,16
Tecate,VII,3,239,313,165,20,21,0,0,0,20
Tecate,VII,4,182,358,141,9,17,0,1,0,16
Tecate,VII,5,118,189,84,21,12,0,1,0,12
Tecate,VII,6,113,180,116,13,18,0,0,0,9
Tecate,VII,7,186,335,143,20,21,0,2,0,17
Tecate,VII,8,242,227,92,4,23,0,0,0,24
Tecate,VII,9,120,281,138,15,17,0,1,0,29
Tecate,VII,10,128,347,178,27,23,0,1,0,16
Tecate,VII,11,89,202,80,10,17,0,0,0,13
Tecate,VII,12,168,309,125,13,19,0,3,0,19
Tecate,VII,13,143,267,149,26,10,0,3,0,12
Tecate,VII,14,155,271,115,14,17,0,0,0,13
Tecate,VII,15,134,238,111,15,17,0,0,0,10
Tecate,VII,16,173,231,78,13,13,0,0,0,14
Tecate,VII,17,156,206,98,9,9,0,1,0,14
Tecate,VII,18,135,287,208,23,24,0,1,0,25
Tecate,VII,19,159,330,160,22,23,0,2,0,26
Tecate,VII,20,129,273,134,17,16,0,2,0,23
Tecate,VII,21,111,336,164,25,25,0,2,0,22
Tecate,VII,22,75,218,306,17,14,0,2,0,31
