Municipio,Distrito,Seccion,PAN,PRI-PT-PVEM-PEBC,PRD,PC,Nulos,Total,Lista Nominal
MEXICALI,I,52,90,111,17,6,2,226,911
MEXICALI,I,53,97,90,21,6,13,227,814
MEXICALI,I,54,99,61,14,2,5,181,715
MEXICALI,I,55,96,108,15,5,10,234,807
MEXICALI,I,56,125,89,7,8,2,231,757
MEXICALI,I,57,98,135,18,12,18,281,954
MEXICALI,I,58,82,69,10,7,8,176,756
MEXICALI,I,59,60,69,5,8,0,142,536
MEXICALI,I,60,87,69,5,5,0,166,587
MEXICALI,I,61,58,88,7,9,6,168,652
MEXICALI,I,62,69,87,10,3,6,175,650
MEXICALI,I,63,118,124,28,17,13,300,1160
MEXICALI,I,64,108,98,9,3,6,224,809
MEXICALI,I,65,135,136,18,10,14,313,1142
MEXICALI,I,66,141,129,22,9,5,306,1073
MEXICALI,I,67,89,100,13,7,8,217,806
MEXICALI,I,68,126,117,20,9,9,281,928
MEXICALI,I,69,120,129,12,8,9,278,878
MEXICALI,I,71,59,89,15,10,6,179,761
MEXICALI,I,73,82,77,8,7,9,183,734
MEXICALI,I,74,132,78,14,9,4,237,825
MEXICALI,I,75,98,59,8,7,8,180,636
MEXICALI,I,76,110,94,16,9,11,240,867
MEXICALI,I,77,104,83,15,9,7,218,830
MEXICALI,I,78,112,113,16,7,7,255,951
MEXICALI,I,79,112,107,9,3,9,240,880
MEXICALI,I,80,135,94,18,8,4,259,869
MEXICALI,I,81,122,77,22,7,5,233,886
MEXICALI,I,82,126,148,18,2,12,306,1139
MEXICALI,I,83,139,103,15,13,8,278,1014
MEXICALI,I,84,142,128,19,11,13,313,997
MEXICALI,I,85,142,97,13,10,9,271,763
MEXICALI,I,86,121,83,10,6,12,232,830
MEXICALI,I,87,170,121,24,7,8,330,1084
MEXICALI,I,88,126,100,13,21,10,270,923
MEXICALI,I,89,205,143,23,8,11,390,1155
MEXICALI,I,90,124,121,14,5,6,270,834
MEXICALI,I,91,80,111,10,5,3,209,1045
MEXICALI,I,93,238,205,22,22,3,490,1389
MEXICALI,I,94,185,181,24,22,14,426,1376
MEXICALI,I,95,143,144,14,13,14,328,1100
MEXICALI,I,96,67,46,4,8,3,128,1012
MEXICALI,I,97,165,214,30,8,3,420,1001
MEXICALI,I,98,177,206,15,8,5,411,1028
MEXICALI,I,99,100,127,5,14,4,250,722
MEXICALI,I,100,111,131,9,7,8,266,808
MEXICALI,I,101,202,153,28,8,3,394,1190
MEXICALI,I,102,139,109,26,5,6,285,822
MEXICALI,I,103,245,262,17,7,6,537,1335
MEXICALI,I,104,201,168,25,16,8,418,1305
MEXICALI,I,105,205,158,30,20,13,426,1394
MEXICALI,I,106,174,125,13,5,13,330,1300
MEXICALI,I,107,178,153,12,11,6,360,1271
MEXICALI,I,108,307,271,29,22,17,646,2172
MEXICALI,I,109,120,186,24,4,7,341,890
MEXICALI,I,110,309,222,38,21,14,604,1857
MEXICALI,I,111,114,129,21,11,8,283,1060
MEXICALI,I,112,179,134,15,10,8,346,1254
MEXICALI,I,113,227,141,25,11,7,411,1461
MEXICALI,I,114,158,163,17,8,10,356,987
MEXICALI,I,115,86,110,15,5,3,219,973
MEXICALI,I,116,140,114,16,10,5,285,894
MEXICALI,I,117,75,79,6,9,1,170,1250
MEXICALI,II,118,63,64,11,4,5,147,579
MEXICALI,II,119,74,86,13,4,7,184,740
MEXICALI,II,121,71,96,8,1,5,181,507
MEXICALI,II,122,134,180,17,15,11,357,955
MEXICALI,II,123,140,178,15,10,9,352,867
MEXICALI,II,124,113,196,18,4,3,334,849
MEXICALI,II,125,107,171,14,12,4,308,745
MEXICALI,II,126,66,119,5,4,1,195,930
MEXICALI,II,127,148,180,12,5,7,352,882
MEXICALI,II,128,91,108,15,5,8,227,850
MEXICALI,II,129,49,60,8,9,2,128,962
MEXICALI,II,130,137,183,22,9,8,359,984
MEXICALI,II,131,120,182,15,11,7,335,783
MEXICALI,II,132,121,171,20,6,6,324,691
MEXICALI,II,133,69,96,8,3,3,179,949
MEXICALI,II,134,119,135,17,6,11,288,878
MEXICALI,II,135,76,93,4,4,2,179,1096
MEXICALI,II,136,119,129,25,3,10,286,1098
MEXICALI,II,137,123,83,8,5,4,223,832
MEXICALI,II,138,100,112,13,7,6,238,774
MEXICALI,II,139,124,75,10,5,3,217,683
MEXICALI,II,140,89,94,10,6,3,202,621
MEXICALI,II,141,110,143,8,10,3,274,774
MEXICALI,II,142,83,119,10,2,2,216,608
MEXICALI,II,143,84,68,8,5,8,173,996
MEXICALI,II,144,106,142,11,5,3,267,820
MEXICALI,II,145,68,80,5,6,5,164,985
MEXICALI,II,146,99,118,15,6,3,241,1340
MEXICALI,II,147,102,142,8,7,5,264,868
MEXICALI,II,148,154,119,4,10,5,292,836
MEXICALI,II,149,135,109,8,4,5,261,863
MEXICALI,II,150,119,115,17,4,11,266,851
MEXICALI,II,151,126,120,10,6,3,265,831
MEXICALI,II,152,161,280,23,12,5,481,1751
MEXICALI,II,153,233,182,24,15,5,459,1280
MEXICALI,II,154,228,288,18,17,8,559,1340
MEXICALI,II,155,151,153,20,9,8,341,1309
MEXICALI,II,156,148,141,10,10,5,314,1060
MEXICALI,II,157,102,128,6,11,6,253,663
MEXICALI,II,158,75,63,5,2,1,146,844
MEXICALI,II,159,155,149,27,7,11,349,1079
MEXICALI,II,161,231,207,36,9,3,486,1115
MEXICALI,II,162,90,118,11,3,4,226,952
MEXICALI,II,163,140,178,16,19,8,361,1153
MEXICALI,II,164,160,127,12,11,5,315,1069
MEXICALI,II,165,85,119,9,1,0,214,874
MEXICALI,II,166,126,167,29,18,9,349,1233
MEXICALI,II,167,68,113,8,7,4,200,865
MEXICALI,II,168,178,150,19,9,9,365,1185
MEXICALI,II,169,131,116,25,8,4,284,843
MEXICALI,II,170,71,77,5,5,3,161,1036
MEXICALI,II,171,172,219,20,11,5,427,1044
MEXICALI,II,172,205,166,27,3,1,402,1122
MEXICALI,II,173,192,236,21,11,7,467,1285
MEXICALI,II,174,181,113,13,4,5,316,782
MEXICALI,II,175,72,83,9,9,4,177,1025
MEXICALI,II,178,129,150,26,7,9,321,1043
MEXICALI,II,179,108,159,16,9,9,301,1200
MEXICALI,II,180,163,157,13,9,3,345,1263
MEXICALI,II,181,212,149,20,10,10,401,1072
MEXICALI,II,182,187,124,14,9,9,343,1044
MEXICALI,II,183,185,149,21,9,3,367,1195
MEXICALI,II,184,263,218,29,29,9,548,2666
MEXICALI,II,185,255,253,31,16,11,566,1436
MEXICALI,II,186,193,214,25,5,3,440,1090
MEXICALI,II,187,244,234,18,24,12,532,2112
MEXICALI,II,188,238,168,23,13,4,446,1774
MEXICALI,II,189,155,188,21,12,11,387,1234
MEXICALI,II,190,46,62,9,2,1,120,783
MEXICALI,II,191,149,108,17,12,1,287,1138
MEXICALI,II,192,160,240,31,10,13,454,1426
MEXICALI,II,194,76,58,1,6,5,146,965
MEXICALI,II,195,152,143,18,18,6,337,1103
MEXICALI,II,196,147,131,20,10,9,317,1119
MEXICALI,II,197,182,124,23,17,6,352,1372
MEXICALI,II,198,111,99,24,18,10,262,1176
MEXICALI,II,199,147,138,13,7,5,310,1181
MEXICALI,III,200,136,155,21,2,10,324,863
MEXICALI,III,202,170,132,16,6,6,330,967
MEXICALI,III,203,128,161,17,9,6,321,838
MEXICALI,IV,204,232,240,30,13,11,526,1453
MEXICALI,IV,205,137,166,20,19,6,348,1073
MEXICALI,IV,206,218,183,22,17,10,450,1337
MEXICALI,IV,207,96,60,11,6,5,178,1282
MEXICALI,IV,208,228,183,22,13,6,452,1436
MEXICALI,IV,209,187,125,29,6,7,354,1044
MEXICALI,IV,210,138,102,15,15,12,282,923
MEXICALI,III,211,209,227,15,12,6,469,1297
MEXICALI,III,212,127,163,13,3,7,313,942
MEXICALI,III,213,129,162,13,6,6,316,797
MEXICALI,III,214,124,140,18,5,5,292,884
MEXICALI,III,215,191,158,22,17,8,396,1330
MEXICALI,III,216,181,168,15,6,12,382,1077
MEXICALI,III,217,167,160,19,6,11,363,1064
MEXICALI,IV,218,159,169,20,6,12,366,1307
MEXICALI,IV,219,214,182,9,19,12,436,1394
MEXICALI,IV,220,69,63,10,1,1,144,948
MEXICALI,III,221,275,275,23,11,5,589,1266
MEXICALI,III,222,196,254,19,10,6,485,1334
MEXICALI,III,223,189,179,16,15,6,405,1071
MEXICALI,III,224,213,212,23,8,14,470,958
MEXICALI,III,225,164,240,31,4,6,445,1086
MEXICALI,III,226,136,197,20,10,6,369,872
MEXICALI,III,227,133,126,12,6,8,285,860
MEXICALI,III,228,182,192,23,8,4,409,1230
MEXICALI,III,230,190,96,19,25,15,345,1506
MEXICALI,III,231,92,99,12,4,11,218,1298
MEXICALI,III,232,149,125,23,8,1,306,906
MEXICALI,III,233,202,279,31,4,5,521,1128
MEXICALI,III,234,140,172,22,3,7,344,802
MEXICALI,III,235,145,233,17,6,10,411,1073
MEXICALI,III,236,191,173,16,7,8,395,1109
MEXICALI,III,237,131,122,12,10,6,281,925
MEXICALI,III,238,118,142,12,11,7,290,929
MEXICALI,III,239,223,111,22,17,11,384,1209
MEXICALI,III,240,73,43,12,5,2,135,860
MEXICALI,III,241,130,90,13,18,8,259,798
MEXICALI,III,242,114,89,11,45,12,271,876
MEXICALI,III,243,158,157,26,12,3,356,824
MEXICALI,III,244,169,245,18,12,4,448,1153
MEXICALI,III,245,208,205,29,17,5,464,1145
MEXICALI,III,246,181,151,12,13,9,366,1078
MEXICALI,III,247,155,150,12,12,11,340,996
MEXICALI,III,248,159,108,25,10,10,312,990
MEXICALI,III,249,145,131,14,17,6,313,959
MEXICALI,III,250,166,163,24,8,8,369,993
MEXICALI,III,251,188,161,18,7,5,379,882
MEXICALI,III,252,168,256,27,11,6,468,1128
MEXICALI,III,253,175,131,16,16,12,350,1054
MEXICALI,III,254,197,219,16,19,15,466,1317
MEXICALI,III,255,87,73,5,10,11,186,1293
MEXICALI,III,256,204,208,24,14,12,462,1462
MEXICALI,III,257,98,125,9,100,0,332,1212
MEXICALI,III,258,249,288,38,18,8,601,1320
MEXICALI,III,259,162,191,16,12,8,389,1148
MEXICALI,III,260,114,87,10,5,5,221,1410
MEXICALI,III,261,243,174,11,23,12,463,1486
MEXICALI,III,262,112,111,8,5,8,244,1491
MEXICALI,III,263,184,159,12,2,10,367,1259
MEXICALI,III,264,153,126,14,6,6,305,1506
MEXICALI,III,265,171,117,6,12,4,310,1556
MEXICALI,III,266,305,176,19,17,16,533,1601
MEXICALI,III,267,269,279,36,13,3,600,1523
MEXICALI,III,268,283,299,37,14,14,647,1389
MEXICALI,III,269,143,147,12,6,7,315,808
MEXICALI,III,270,109,106,10,10,5,240,889
MEXICALI,III,271,72,54,5,10,6,147,888
MEXICALI,III,272,259,162,16,19,9,465,1478
MEXICALI,III,273,225,184,15,14,11,449,1330
MEXICALI,III,274,219,153,26,14,5,417,1379
MEXICALI,III,275,184,165,32,20,9,410,1303
MEXICALI,III,276,118,104,5,6,8,241,745
MEXICALI,III,277,146,134,13,11,6,310,997
MEXICALI,III,278,200,120,26,20,10,376,1399
MEXICALI,III,279,191,163,20,11,10,395,1245
MEXICALI,IV,280,224,163,7,13,14,421,1517
MEXICALI,IV,281,157,100,6,8,6,277,1130
MEXICALI,IV,282,150,78,15,18,10,271,1026
MEXICALI,IV,283,61,63,14,6,4,148,617
MEXICALI,IV,284,95,99,7,4,7,212,879
MEXICALI,IV,285,139,136,13,17,8,313,1234
MEXICALI,IV,286,128,105,22,11,10,276,1583
MEXICALI,IV,287,354,320,47,32,7,760,1804
MEXICALI,IV,288,180,166,16,24,6,392,1040
MEXICALI,IV,289,134,147,9,13,0,303,758
MEXICALI,IV,290,157,146,17,3,6,329,956
MEXICALI,IV,291,698,553,66,37,13,1367,4230
MEXICALI,IV,292,184,276,27,23,6,516,1486
MEXICALI,IV,293,240,167,36,26,4,473,1434
MEXICALI,V,295,80,95,6,9,4,194,589
MEXICALI,IV,296,132,110,16,10,5,273,961
MEXICALI,V,297,171,191,17,10,7,396,1261
MEXICALI,V,298,133,167,16,7,6,329,843
MEXICALI,IV,299,106,101,15,9,3,234,1019
MEXICALI,V,300,112,228,23,16,16,395,1476
MEXICALI,V,301,105,82,13,4,11,215,568
MEXICALI,IV,302,81,133,25,10,7,256,789
MEXICALI,IV,303,124,93,8,22,7,254,834
MEXICALI,IV,304,115,129,20,9,11,284,1142
MEXICALI,IV,305,105,142,24,20,15,306,1195
MEXICALI,V,306,152,267,55,7,14,495,1144
MEXICALI,V,307,81,88,46,3,8,226,717
MEXICALI,V,308,187,209,27,8,7,438,1232
MEXICALI,V,309,223,390,149,10,23,795,2095
MEXICALI,V,310,48,153,44,11,5,261,783
MEXICALI,V,311,161,141,32,7,16,357,1153
MEXICALI,V,312,107,257,44,9,5,422,1337
MEXICALI,V,313,84,183,33,8,4,312,1010
MEXICALI,V,314,70,199,19,9,6,303,1074
MEXICALI,V,315,116,113,26,2,11,268,800
MEXICALI,V,316,89,117,32,5,4,247,761
MEXICALI,V,317,92,116,18,4,11,241,775
MEXICALI,V,318,111,179,37,4,7,338,981
MEXICALI,V,319,72,154,24,3,0,253,657
MEXICALI,V,320,153,127,56,6,20,362,1116
MEXICALI,V,321,96,68,41,3,14,222,868
MEXICALI,VI,322,53,58,8,0,3,122,397
MEXICALI,VI,323,61,55,1,0,8,125,390
MEXICALI,V,324,97,99,34,2,3,235,786
MEXICALI,V,325,117,105,48,3,18,291,853
MEXICALI,V,326,82,111,53,4,7,257,770
MEXICALI,V,327,109,168,45,5,6,333,1024
MEXICALI,V,328,111,112,60,6,12,301,1106
MEXICALI,V,329,84,109,39,13,14,259,781
MEXICALI,V,330,133,105,26,2,11,277,799
MEXICALI,V,331,208,248,85,6,22,569,2147
MEXICALI,V,332,124,84,9,4,20,241,938
MEXICALI,V,333,131,100,15,0,6,252,880
MEXICALI,V,334,103,121,9,11,9,253,1103
MEXICALI,V,335,98,111,14,6,11,240,1050
MEXICALI,V,336,215,193,32,13,28,481,1414
MEXICALI,V,337,32,45,9,1,1,88,372
MEXICALI,V,338,174,141,20,9,12,356,1158
MEXICALI,V,339,171,107,10,6,11,305,981
MEXICALI,V,340,162,134,19,8,5,328,1032
MEXICALI,V,341,156,137,20,8,14,335,916
MEXICALI,V,342,142,87,27,5,15,276,962
MEXICALI,V,343,151,115,22,14,14,316,1179
MEXICALI,V,344,162,165,30,7,12,376,1226
MEXICALI,V,345,103,115,16,0,7,241,1034
MEXICALI,V,346,180,106,37,5,8,336,849
MEXICALI,V,347,70,131,10,15,4,230,729
MEXICALI,V,348,122,116,22,10,10,280,938
MEXICALI,V,349,100,104,41,28,8,281,1069
MEXICALI,V,350,157,202,30,15,17,421,1298
MEXICALI,V,351,57,40,2,5,3,107,347
MEXICALI,V,352,89,130,16,15,9,259,723
MEXICALI,V,353,89,152,16,20,8,285,837
MEXICALI,V,354,100,186,14,18,7,325,862
MEXICALI,V,355,113,158,6,10,9,296,832
MEXICALI,V,356,36,23,9,2,4,74,219
MEXICALI,V,357,74,125,17,6,11,233,788
MEXICALI,V,358,122,212,7,4,6,351,876
MEXICALI,V,359,40,26,14,0,0,80,458
MEXICALI,V,360,63,87,25,4,13,192,1009
MEXICALI,V,361,59,129,88,3,14,293,823
MEXICALI,V,362,152,239,25,27,19,462,1401
MEXICALI,V,363,32,98,10,4,7,151,597
MEXICALI,V,364,90,47,25,9,3,174,874
MEXICALI,V,365,60,70,14,13,2,159,885
MEXICALI,V,366,100,98,24,5,3,230,942
MEXICALI,V,367,98,83,25,10,4,220,909
MEXICALI,V,368,31,69,6,1,8,115,521
MEXICALI,V,369,101,71,41,3,10,226,928
MEXICALI,V,370,100,130,25,6,16,277,903
MEXICALI,V,371,33,40,6,2,4,85,292
MEXICALI,V,372,67,166,10,7,8,258,805
MEXICALI,V,373,82,186,18,2,12,300,923
MEXICALI,V,374,110,158,16,6,4,294,872
MEXICALI,V,375,199,211,55,9,16,490,1431
MEXICALI,V,376,62,137,23,5,11,238,665
MEXICALI,V,377,90,100,15,7,11,223,663
MEXICALI,V,378,63,43,22,7,2,137,477
MEXICALI,V,379,195,189,43,7,8,442,1449
MEXICALI,V,380,99,149,59,2,11,320,1138
MEXICALI,V,381,116,77,62,10,9,274,985
MEXICALI,V,382,88,79,119,7,16,309,1099
MEXICALI,IV,383,170,151,14,12,4,351,1226
MEXICALI,IV,384,89,70,17,6,4,186,689
MEXICALI,IV,385,94,185,18,11,5,313,1085
MEXICALI,IV,386,155,161,24,15,5,360,1329
MEXICALI,IV,387,215,204,29,24,5,477,1284
MEXICALI,IV,388,506,408,46,60,8,1028,3388
MEXICALI,IV,389,577,427,47,49,15,1115,3790
MEXICALI,IV,390,155,160,24,22,7,368,1150
MEXICALI,IV,391,185,203,27,19,6,440,1305
MEXICALI,IV,392,99,121,12,11,4,247,854
MEXICALI,IV,393,96,210,20,16,8,350,1392
MEXICALI,IV,394,71,73,6,7,1,158,667
MEXICALI,IV,395,223,169,12,15,15,434,1448
MEXICALI,IV,396,109,90,11,13,4,227,1451
MEXICALI,IV,397,242,168,16,13,8,447,1559
MEXICALI,IV,398,134,106,16,14,2,272,965
MEXICALI,IV,399,123,126,17,22,10,298,1100
MEXICALI,IV,400,173,181,32,16,5,407,1236
MEXICALI,IV,401,151,145,14,5,10,325,1514
MEXICALI,IV,402,224,171,15,17,14,441,1448
MEXICALI,IV,403,169,93,13,6,7,288,927
MEXICALI,IV,404,227,161,24,16,9,437,1593
MEXICALI,IV,405,193,108,17,18,10,346,1147
MEXICALI,IV,406,143,105,17,4,7,276,875
MEXICALI,IV,407,592,397,44,42,14,1089,3790
MEXICALI,IV,408,144,115,18,14,4,295,829
MEXICALI,VI,409,193,147,22,16,18,396,1225
MEXICALI,VI,410,192,159,21,30,3,405,2220
MEXICALI,VI,411,109,131,5,8,4,257,886
MEXICALI,VI,412,105,110,8,4,11,238,820
MEXICALI,VI,413,102,133,9,7,4,255,1046
MEXICALI,VI,414,124,94,5,10,7,240,859
MEXICALI,VI,415,87,98,13,9,10,217,858
MEXICALI,VI,416,64,43,1,0,0,108,924
MEXICALI,VI,418,87,78,10,6,7,188,863
MEXICALI,VI,419,42,44,6,1,3,96,872
MEXICALI,VI,420,81,97,7,7,3,195,846
MEXICALI,VI,421,157,130,22,15,8,332,1396
MEXICALI,VI,422,1315,1155,136,138,44,2788,13193
MEXICALI,VI,423,79,64,8,6,5,162,1053
MEXICALI,IV,424,117,91,14,6,3,231,724
MEXICALI,IV,425,185,131,20,17,9,362,1152
MEXICALI,IV,426,213,160,20,20,6,419,1380
MEXICALI,IV,427,221,172,12,19,6,430,1397
MEXICALI,IV,428,177,139,10,13,14,353,1095
MEXICALI,IV,429,141,94,12,13,6,266,1056
MEXICALI,IV,430,160,118,19,7,5,309,1298
MEXICALI,IV,431,146,99,13,9,3,270,797
MEXICALI,IV,432,653,462,69,41,26,1251,4516
MEXICALI,IV,433,623,376,61,49,12,1121,3903
MEXICALI,IV,434,86,115,15,12,3,231,651
MEXICALI,IV,435,158,96,13,12,8,287,1141
MEXICALI,IV,436,132,119,12,13,4,280,936
MEXICALI,IV,437,153,90,12,6,6,267,1194
MEXICALI,I,438,43,57,21,4,8,133,1161
MEXICALI,I,439,39,60,18,4,5,126,1100
MEXICALI,I,440,47,53,11,11,7,129,470
MEXICALI,I,441,80,95,18,15,4,212,735
MEXICALI,I,442,34,49,11,5,4,103,923
MEXICALI,I,443,121,96,16,18,3,254,1067
MEXICALI,I,444,88,113,13,10,10,234,1378
MEXICALI,VI,445,97,78,15,7,11,208,901
MEXICALI,VI,446,91,107,8,10,10,226,948
MEXICALI,VI,447,43,55,5,6,5,114,900
MEXICALI,VI,448,42,43,6,1,9,101,761
MEXICALI,VI,449,57,105,7,3,2,174,694
MEXICALI,VI,451,74,108,11,7,12,212,981
MEXICALI,VI,452,93,111,15,14,11,244,1196
MEXICALI,VI,453,133,153,31,9,9,335,1352
MEXICALI,VI,454,56,65,25,3,8,157,1344
MEXICALI,VI,455,117,78,12,7,5,219,852
MEXICALI,VI,456,87,48,11,5,3,154,474
MEXICALI,VI,457,80,123,16,4,7,230,647
MEXICALI,VI,458,155,88,7,0,3,253,649
MEXICALI,VI,459,19,27,1,1,0,48,151
MEXICALI,VI,460,115,175,27,2,10,329,1250
MEXICALI,VI,461,142,135,20,5,3,305,1051
MEXICALI,VI,462,98,67,6,2,7,180,663
MEXICALI,VI,463,79,74,6,2,1,162,493
MEXICALI,VI,464,90,125,7,1,6,229,844
MEXICALI,VI,465,79,125,15,4,7,230,725
MEXICALI,VI,466,37,37,6,1,2,83,298
MEXICALI,VI,467,53,49,15,2,6,125,382
MEXICALI,VI,468,46,53,13,1,3,116,346
MEXICALI,VI,469,61,102,20,3,7,193,560
MEXICALI,VI,470,58,120,22,4,2,206,674
MEXICALI,VI,471,104,230,21,6,14,375,1023
MEXICALI,VI,472,106,98,14,6,6,230,635
MEXICALI,VI,473,36,138,21,2,5,202,641
MEXICALI,VI,474,133,161,17,2,12,325,1045
MEXICALI,VI,475,64,101,9,2,6,182,533
MEXICALI,VI,476,133,190,28,1,14,366,1063
MEXICALI,VI,477,80,156,26,1,5,268,833
MEXICALI,VI,478,63,118,15,3,7,206,711
MEXICALI,VI,479,86,129,16,1,17,249,802
MEXICALI,VI,480,69,113,8,5,4,199,594
MEXICALI,VI,481,53,63,14,5,6,141,548
MEXICALI,VI,482,74,95,12,5,6,192,821
MEXICALI,VI,483,768,525,106,53,25,1477,5545
MEXICALI,VI,484,92,59,15,9,5,180,706
MEXICALI,VI,485,150,130,21,6,12,319,1157
MEXICALI,VI,486,190,212,25,11,14,452,1830
MEXICALI,VI,487,79,75,15,2,11,182,1457
MEXICALI,VI,488,138,175,22,3,11,349,1262
MEXICALI,VI,489,615,637,198,38,35,1523,6809
MEXICALI,VI,490,106,162,27,6,6,307,1087
MEXICALI,VI,491,32,61,7,5,5,110,480
MEXICALI,VI,492,141,165,19,12,16,353,1186
MEXICALI,VI,493,292,307,21,13,28,661,2795
MEXICALI,VI,494,116,121,30,11,13,291,1064
MEXICALI,VI,495,58,70,14,1,5,148,960
MEXICALI,VI,496,97,118,20,6,9,250,911
MEXICALI,VI,497,116,99,20,7,15,257,1232
MEXICALI,VI,498,95,79,8,12,5,199,656
MEXICALI,VI,499,107,109,8,10,8,242,821
MEXICALI,VI,500,71,82,24,3,4,184,510
MEXICALI,VI,501,35,60,7,1,4,107,309
MEXICALI,VI,502,110,161,12,3,6,292,1136
MEXICALI,VI,503,76,81,4,6,3,170,698
MEXICALI,VI,504,100,138,9,2,0,249,900
MEXICALI,VI,505,102,112,12,7,1,234,904
MEXICALI,VI,506,79,151,15,3,4,252,845
MEXICALI,VI,507,144,248,15,2,6,415,1544
MEXICALI,VI,508,55,74,3,2,2,136,960
MEXICALI,VI,509,81,193,18,6,9,307,1060
TIJUANA,VIII,510,201,311,21,5,8,546,1509
TIJUANA,VIII,511,227,400,16,8,9,660,1843
TIJUANA,VIII,512,240,202,18,1,6,467,1034
TIJUANA,VIII,513,239,174,22,4,3,442,946
TIJUANA,VIII,514,224,398,17,9,15,663,1883
TIJUANA,VIII,515,142,277,9,4,7,439,1212
TIJUANA,VIII,516,143,280,11,5,14,453,1131
TIJUANA,VIII,517,291,267,19,6,5,588,1299
TIJUANA,VIII,518,278,206,15,1,7,507,1175
TIJUANA,VIII,519,109,284,17,3,6,419,1090
TIJUANA,VIII,520,158,285,20,5,4,472,1438
TIJUANA,VIII,521,201,274,15,1,12,503,1551
TIJUANA,VIII,522,154,208,10,3,6,381,1076
TIJUANA,VIII,523,238,228,11,5,10,492,1281
TIJUANA,VIII,524,258,170,21,12,10,471,1149
TIJUANA,VIII,525,250,227,13,6,11,507,1299
TIJUANA,VIII,526,224,252,17,4,18,515,1194
TIJUANA,VIII,527,225,252,20,4,3,504,1300
TIJUANA,VIII,528,132,144,4,1,4,285,724
TIJUANA,VIII,529,139,164,6,1,5,315,795
TIJUANA,VIII,530,164,244,17,4,15,444,1327
TIJUANA,VIII,531,352,399,37,11,12,811,1991
TIJUANA,VIII,532,179,279,13,2,8,481,1177
TIJUANA,VIII,533,170,205,11,3,1,390,942
TIJUANA,VIII,534,68,153,16,0,8,245,596
TIJUANA,VIII,535,273,286,13,9,12,593,1450
TIJUANA,VIII,536,236,190,14,4,8,452,1135
TIJUANA,VIII,537,278,265,27,8,16,594,1446
TIJUANA,VIII,538,258,243,11,4,4,520,1273
TIJUANA,VIII,539,173,237,16,2,7,435,1052
TIJUANA,VIII,540,209,190,14,4,7,424,1062
TIJUANA,VIII,541,208,226,16,5,13,468,1169
TIJUANA,VIII,542,108,103,9,3,6,229,664
TIJUANA,VIII,543,259,353,14,4,8,638,1590
TIJUANA,VIII,544,307,303,27,6,9,652,1593
TIJUANA,VIII,545,385,377,23,10,10,805,1814
TIJUANA,VIII,546,341,280,24,3,8,656,1512
TIJUANA,VIII,547,292,299,15,4,8,618,1378
TIJUANA,VIII,548,236,301,17,5,12,571,1425
TIJUANA,VIII,549,96,260,11,0,3,370,1039
