uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin,winner_magar
2002,1992,PRI,FRANCISCO JOSE PEREZ TEJADA,PAN,,0.0477933735,NA
2002,1995,PAN,EUGENIO ELORDUY WALTHER,PRI,MANUEL ALBERTO RAMOS RUBIO,0.0429458495,NA
2002,1998,PAN,VICTOR HERMOSILLO CELADA,PRI,FANCISCO XAVIER RIVAS MARTINEZ,0.0389857015,NA
2002,2001,PAN_PVEM,JAIME RAFAEL DIAZ OCHOA,PRI,JESUS AURELIO FLORES PEÑA,0.1519652159,NA
2002,2004,PRI_PVEM_PT_PEBC,SAMUEL ENRIQUE RAMOS FLORES,PAN,ALEJANDRO BAHENA FLORES,2.616949e-4,NA
2002,2007,PAN_PNA_PES,RODOLFO VALDEZ GUTIERREZ,PRI_PVEM_PEBC,JOAQUIN RAMIREZ CHACON,0.0877016796,NA
2002,2010,PRI_PVEM,JOSE FRANCISCO PEREZ TEJEDA PADILLA,PAN_PNA_PES,RAUL LOPEZ MORENO,0.0247211546,NA
2002,2013,PAN_PRD_PNA_PEBC,JAIME RAFAEL DIAZ OCHOA,PRI_PVEM_PT_PES,ELI TOPETE ROBLES,0.0838259226,NA
2002,2016,PAN,GUSTAVO SANCHEZ VASQUEZ,PRI_PT_PVEM_PNA,ANAHI MARTINEZ GARCIA,0.0666247561,NA
2002,2019,PVEM_PT_TRANS_MORENA,MARINA DEL PILAR AVILA OLMEDA,PAN,GUSTAVO SANCHEZ VASQUEZ,0.1522122776,NA
2003,1954,PRI,EUFRASIO SANTANA SANDOVAL,,,NA,NA
2003,1956,PRI,ARMANDO AGUILAR AVILES,,,NA,NA
2003,1959,PRI,OSCAR BAYLON CHACON,PAN,FRANCISCO TORREZ CORTES,NA,NA
2003,1962,PRI,JOSE GUTIERREZ DURAN,,,NA,NA
2003,1965,PRI,ARCADIO AMAYA CAMPA,,,NA,NA
2003,1968,PRI,ALFONSO ROMERO BAREÑO,,,NA,NA
2003,1971,PRI,ARTURO GUERRA FLORES,PAN,,0.2089171975,NA
2003,1974,PRI,CESAR A BAYLON CHACON,PPS,,0.7265029636,NA
2003,1977,PRI,PERFECTO LARA RODRIGUEZ,PAN,,0.3108370288,NA
2003,1980,PRI,JOSE MANUEL JASSO PEÑA,PAN,,0.343051832,NA
2003,1983,PRI,CESAR MORENO MARTINEZ DE ESCOBAR,PAN,,0.1467789474,NA
2003,1986,PRI,JESUS MENDEZ ZAYAS,PAN,,0.2582485082,NA
2003,1989,PRI,JESUS RUBEN ADAME LOSTANAU,PAN,,0.002310803,NA
2003,1992,PAN,PABLO CONTRERAS RODRIGUEZ,PRI,,0.0245583382,NA
2003,1995,PRI,ALFREDO FERREIRO VELASCO,PAN,GUADALUPE CASTRO VALENZUELA,0.2943131289,NA
2003,1998,PRI,CONSTANTINO LEON GUTIERREZ,PRD,GERARDO MANUEL SOSA OLACHEA,0.2159090909,NA
2003,2001,PRI,JUAN VARGAS RODRIGUEZ,PAN_PVEM,VICTOR ENRIQUE GONZALEZ HERRERA,0.0033119229,NA
2003,2004,PRI_PVEM_PT_PEBC,JOAQUIN SANDOVAL MILLAN,PAN,SALVADOR GARCIA ESTRELLA,0.0518773554,NA
2003,2007,PAN_PNA_PES,DONALDO EDUARDO PEÑALOSA AVILA,PRI_PVEM_PEBC,CESAR MORENO GONZALEZ DE CASTILLA,0.0176047607,NA
2003,2010,PRI_PVEM,JAVIER IGNACIO URBALEJO CINCO,PAN_PNA_PES,ALFONSO ALVAREZ JUAN,0.2713980902,NA
2003,2013,PRI_PVEM_PT_PES,CESAR RAFAEL MORENO GONZALEZ DE CASTILLA,PAN_PRD_PNA_PEBC,PATRICIA RAMIREZ PINEDA,0.0746643012,NA
2003,2016,PRI_PT_PVEM_PNA,NEREIDA FUENTES GONZALEZ,PAN,LUCINA RODRIGUEZ MARTINEZ,0.039578845,NA
2003,2019,PVEM_PT_TRANS_MORENA,OLGA ZULEMA ADAMS PEREYRA,PAN,LUCINA RODRIGUEZ MARTINEZ,0.1437398958,NA
2004,1954,PRI,GUSTAVO AUBANEL VALLEJO,,,NA,NA
2004,1956,PRI,MANUEL QUIROS LABASTIDA,,,NA,NA
2004,1959,PRI,XICOTENCATL LEYVA ALEMAN,PAN,ZEFERINO SANCHEZ HIDALGO,NA,NA
2004,1962,PRI,ILDEFONSO VELAZQUEZ MARTINEZ,,,NA,NA
2004,1965,PRI,FRANCISCO LOPEZ GUTIERREZ,,,NA,NA
2004,1968,PRI,ERNESTO PEREZ RUL,,,NA,NA
2004,1971,PRI,MARCO ANTONIO BOLAÑOS CACHO,PAN,,0.3274436762,NA
2004,1974,PRI,FERNANDO MAEQUEZ ARCE,PAN,,0.3229797588,NA
2004,1977,PRI,XICOTENCATL LEYVA MORTERA,PAN,,0.1691547966,NA
2004,1980,PRI,ROBERTO ANDRADE SALAZAR,PAN,,0.3536565143,NA
2004,1983,PRI,RENE TREVIÑO ARREDONDO,PAN,,0.3600241907,NA
2004,1986,PRI,FEDERICO VALDES MARTINEZ,PAN,,0.364572756,NA
2004,1989,PAN,CARLOS MONTEJO FABELA,PRI,,0.1600868562,NA
2004,1992,PAN,HECTOR GUILLERMO OSUNA JAIME,PRI,,0.0242164782,NA
2004,1995,PAN,JOSE GUADALUPE OSUNA MILLAN,PRI,RENE OSCAR TREVIÑO ARREDONDO,0.1275624282,NA
2004,1998,PAN,FRANCISCO VEGA DE LAMADRID,PRI,AMADOR RODRIGUEZ LOZANO,0.0705729763,NA
2004,2001,PAN_PVEM,JESUS GONZALEZ REYES,PRI,JAIME CLEOFAS MARTINEZ VELOZ,0.0944976077,NA
2004,2004,PRI_PVEM_PT_PEBC,JORGE HANK RHON,PAN,JORGE RAMOS HERNANDEZ,0.0167719717,NA
2004,2007,PAN_PNA_PES,JORGE RAMOS HERNANDEZ,PRI_PVEM_PEBC,FERNANDO DEL MONTE,0.0128672981,NA
2004,2010,PRI_PVEM,CARLOS WALTERIO BUSTAMANTE ANCHONDO,PAN_PNA_PES,CARLOS TORRES TORRES,0.0495421666,NA
2004,2013,PRI_PVEM_PT_PES,JORGE ENRIQUE ASTIAZARAN ORCI,PAN_PRD_PNA_PEBC,ALEJANDRO MONRAZ SUSTAITA,0.0663286598,NA
2004,2016,PAN,JUAN MANUEL GASTELUM BUENROSTRO,PES,JULIAN LEYZAOLA PEREZ,0.0105286017,NA
2004,2019,PVEM_PT_TRANS_MORENA,LUIS ARTURO GONZALEZ CRUZ,PRD,JULIAN LEYZAOLA PEREZ,0.0752577267,NA
2005,1998,PAN,SILVANO ABARCA MACKLIS,PRI,OLIVIA MERCEDES GUTIERREZ ESPINOZA,0.076101061,NA
2005,2001,PAN_PVEM,LUIS ENRIQUE DIAZ FELIX,CONVE_PAS,OSCAR AVILA CORRUJEDO,0.1433373672,NA
2005,2004,PAN,JOSE ANTONIO MACIAS GARAY,PRD,OSCAR AVILA CORRUJEDO,0.1558417435,NA
2005,2007,PRI_PVEM_PEBC,HUGO EDUARDO TORRES CHABERT,PAN_PNA_PES,IGNACIO GARCIA DWORAK,0.2317068625,NA
2005,2010,PRI_PVEM,JAVIER ROBLES AGUIRRE,PAN_PNA_PES,RAUL LEGGS VAZQUEZ,0.1379222435,NA
2005,2013,PAN_PRD_PNA_PEBC,SILVANO ABARCA MACKLIS,PRI_PVEM_PT_PES,ENRIQUE ESQUIVEL HAROS,0.1580777159,NA
2005,2016,PAN,MIRNA CECILIA RINCON VARGAS,PRI_PT_PVEM_PNA,LAURA LUISA TORRES RAMIREZ,0.0938825592,NA
2005,2019,PVEM_PT_TRANS_MORENA,HILDA ARACELY BROWN FIGUEREDO,PAN,MARIA ANA MEDINA PEREZ,0.1752269125,NA
2001,2021,PT_PVEM_MORENA,ARMANDO AYALA ROBLES,PAN_PRI_PRD,BRENDA MENDOZA KAWANISHI,0.3475321645,PT_PVEM_MORENA
2001,2024,MORENA,CLAUDIA JOSEFINA AGATON MUÑIZ,PAN,IVAN NOLASCO CRUZ,0.2553,MORENA
2002,2021,MORENA,NORMA ALICIA BUSTAMENTE MARTINEZ,PAN_PRI_PRD,EVA MARIA VASQUEZ HERNANDEZ,0.1400696477,MORENA
2002,2024,MORENA,NORMA ALICIA BUSTAMANTE MARTINEZ,PAN,FRANCISCO JOSE FIORENTINI CAÑEDO,0.2013,MORENA
2003,2021,MORENA,EDGAR DARIO BENITEZ RUIZ,PES,JOSE ALFREDO FERREIRO VELAZCO,0.0501037132,MORENA
2003,2024,PVEM_MORENA_FXM,ROMAN COTA MUÑOZ,PES,EDGAR DARIO BENITEZ RUIZ,0.6341,PVEM_MORENA_FXM
2004,2021,PT_PVEM_MORENA,MONSERRAT CABALLERO MARTINEZ,PAN_PRI_PRD,JORGE RAMOS HERNANDEZ,0.2127712137,PT_PVEM_MORENA
2004,2024,PVEM_MORENA_FXM,ISMAEL BURGUEÑO RUIZ,PAN,MARIA DEL CARMEN FLORES AVILA,0.4682,PVEM_MORENA_FXM
2005,2021,MORENA,HILDA ARACELY BROWN FIGUEREDO,INDEP,LUIS FERNANDO SERRANO GARCIA,0.1014720314,MORENA
2005,2024,PVEM_MORENA_FXM,MARIA DEL ROCIO ADAME MUÑOZ,PRI,LUIS FERNANDO SERRANO GARCIA,0.194,PVEM_MORENA_FXM
2006,2024,MORENA,MIRIAM ELIZABETH CANO NUÑEZ,INDEP,ALFREDO AVIÑA GALVAN,0.05,MORENA
2007,2024,MORENA,JOSE LUIS DAGNINO LOPEZ,PVEM,ADRIANA LOPEZ QUINTERO,0.0179,MORENA
