Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PNA,CC_PAN_PNA,CC_PRI_PVEM,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,CC_1,CC_2
10,24,RIOVERDE ,662,B01,641,150,172,2,14,4,1,3,0,0,0,346,10,356,153,176,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,662,C01,640,88,159,10,8,13,2,10,21,44,0,355,20,375,119,216,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,662,C02,640,93,120,9,19,8,4,9,25,21,0,308,10,318,127,149,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,663,B01,606,119,202,3,3,15,0,11,9,20,0,382,15,397,139,237,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,664,B01,323,55,116,6,4,1,0,1,8,8,0,199,9,208,64,125,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,665,B01,460,67,126,9,5,6,0,6,22,25,0,266,16,282,95,157,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,665,C01,459,46,149,13,0,4,3,5,23,21,0,264,14,278,74,174,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,666,B01,410,39,117,11,1,5,3,3,10,17,0,206,10,216,52,139,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,666,C01,409,44,113,8,5,6,1,6,8,22,0,213,18,231,58,141,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,667,B01,261,55,101,0,1,0,0,1,6,18,0,182,6,188,62,119,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,668,B01,481,35,172,14,6,7,1,5,1,18,0,259,11,270,41,197,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,668,C01,434,48,122,21,4,3,1,8,6,20,1,234,3,237,62,145,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,670,B01,632,51,232,9,5,5,0,8,0,50,0,360,10,370,59,287,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,670,C01,632,59,239,6,4,0,3,0,12,56,0,379,19,398,71,295,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,671,B01,454,73,85,6,3,5,1,8,8,13,0,202,21,223,89,103,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,672,B01,259,80,49,2,2,4,0,1,7,4,0,149,6,155,88,57,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,673,B01,366,88,102,3,4,5,0,3,4,9,0,218,7,225,95,116,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,674,B01,289,72,79,0,3,6,1,0,0,4,0,165,0,165,72,89,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,675,B01,397,110,78,4,2,8,3,4,6,4,0,219,13,232,120,90,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,676,B01,480,58,128,2,3,0,3,0,11,11,0,216,10,226,69,139,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,677,B01,427,110,133,6,1,3,0,3,8,10,0,274,9,283,121,146,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,678,B01,402,77,131,5,10,3,3,1,10,26,0,266,4,270,88,160,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,678,C01,401,79,155,0,9,0,2,1,7,17,0,270,11,281,87,172,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,679,B01,379,76,83,4,10,10,0,5,7,27,0,222,8,230,88,120,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,680,B01,126,41,23,0,7,2,0,7,0,0,0,80,4,84,48,25,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,681,B01,695,111,147,10,23,8,2,7,24,31,0,363,19,382,142,186,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,682,B01,229,35,58,0,2,0,1,0,0,0,0,96,4,100,35,58,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,683,B01,687,74,166,5,13,5,4,7,16,22,0,312,33,345,97,193,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,684,B01,287,73,57,3,0,3,0,4,6,3,0,149,7,156,83,63,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,685,B01,442,63,85,4,1,4,2,5,10,8,0,182,14,196,78,97,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,686,B01,689,114,198,13,0,0,2,0,0,0,0,327,17,344,114,198,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,687,B01,192,30,51,0,1,1,5,3,0,0,0,91,0,91,33,52,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,688,B01,417,106,99,2,1,1,2,5,9,5,0,230,11,241,120,105,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,689,B01,520,76,133,5,10,6,3,4,4,29,0,270,24,294,84,168,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,689,C01,520,75,133,10,6,6,8,10,9,27,0,284,11,295,94,166,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,690,B01,672,111,149,14,7,11,1,4,10,23,0,330,19,349,125,183,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,691,B01,270,45,71,1,1,1,0,3,9,16,0,147,3,150,57,88,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,692,B01,544,136,141,6,3,4,0,5,18,33,0,346,12,358,159,178,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,693,B01,508,52,182,3,8,7,1,2,4,26,0,285,12,297,58,215,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,694,B01,228,62,70,1,3,2,2,2,2,11,0,155,3,158,66,83,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,695,B01,681,95,153,1,12,10,2,45,24,52,0,394,7,401,164,215,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,695,C01,681,88,148,6,6,9,0,2,17,43,0,319,13,332,107,200,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,695,C02,680,85,181,1,7,13,3,6,15,52,0,363,14,377,106,246,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,696,B01,553,102,111,10,3,20,5,4,21,26,0,302,25,327,127,157,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,696,C01,553,99,130,7,3,13,3,8,26,19,2,310,22,332,133,162,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,696,C02,552,91,109,8,7,17,4,6,24,24,0,290,19,309,121,150,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,697,B01,537,60,143,4,6,13,1,5,10,45,0,287,20,307,75,201,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,697,C01,537,55,165,4,5,8,0,2,10,30,0,279,20,299,67,203,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,698,B01,559,94,104,6,6,6,2,5,20,20,0,263,18,281,119,130,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,699,B01,520,92,107,4,3,2,6,10,24,15,0,263,11,274,126,124,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,700,B01,693,150,158,8,3,6,3,3,9,19,0,359,21,380,162,183,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,701,B01,394,56,87,4,7,1,1,0,8,25,0,189,9,198,64,113,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,701,C01,393,55,96,4,14,3,2,3,6,16,0,199,9,208,64,115,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,702,B01,233,74,64,0,1,3,1,1,8,6,0,158,2,160,83,73,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,703,B01,458,84,157,2,1,2,1,6,14,31,0,298,10,308,104,190,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,704,B01,280,24,123,1,0,3,1,1,0,0,0,153,6,159,25,126,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,705,B01,540,131,129,2,8,1,0,5,14,6,0,296,11,307,150,136,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,706,B01,561,95,148,3,5,0,2,0,0,0,0,253,7,260,95,148,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,706,C01,561,75,99,2,2,1,3,7,10,30,1,230,11,241,92,130,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,706,C02,560,71,143,1,6,5,2,6,12,29,0,275,8,283,89,177,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,707,B01,359,89,102,2,1,2,1,7,0,0,0,204,7,211,96,104,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,708,B01,115,33,19,1,1,0,0,1,0,7,0,62,0,62,34,26,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,709,B01,739,127,175,11,5,11,1,8,17,24,0,379,13,392,152,210,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,710,B01,208,47,70,1,4,1,1,3,6,8,0,141,4,145,56,79,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,711,B01,654,149,181,5,2,3,0,3,21,33,0,397,17,414,173,217,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,711,C01,654,113,215,4,4,8,1,5,11,40,0,401,12,413,129,263,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,712,B01,141,45,47,1,0,0,0,1,6,3,0,103,2,105,52,50,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,713,B01,381,87,66,2,4,1,0,5,18,7,0,190,4,194,110,74,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,713,C01,381,76,59,3,6,1,1,4,11,18,0,179,0,179,91,78,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,714,B01,232,56,43,1,2,2,1,2,5,6,0,118,7,125,63,51,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,715,B01,294,60,84,2,2,0,2,1,6,8,1,166,7,173,67,92,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,716,B01,212,45,35,1,20,3,3,1,1,3,0,112,7,119,47,41,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,717,B01,546,124,161,4,2,2,1,3,12,21,0,330,5,335,139,184,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,718,B01,213,32,61,3,3,1,0,1,4,3,0,108,12,120,37,65,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,719,B01,91,12,33,2,5,0,0,0,0,0,0,52,0,52,12,33,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,720,B01,557,116,112,6,8,6,5,2,13,9,0,277,15,292,131,127,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,721,B01,147,47,38,2,4,3,0,1,2,2,0,99,4,103,50,43,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,722,B01,296,23,116,2,2,1,0,4,5,12,0,165,7,172,32,129,PAN_PNA,PRI_PVEM
10,24,RIOVERDE ,723,B01,110,27,23,0,3,1,0,0,0,3,0,57,3,60,27,27,PAN_PNA,PRI_PVEM
