Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,CC_PRI_PVEM_PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP,CC_1,CC_2,CC_3
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1312,B01,750,35,104,85,5,8,19,10,5,8,65,55,0,399,15,414,48,165,186,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1312,C01,750,47,90,101,8,9,42,7,5,21,58,52,0,440,21,461,73,174,193,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1313,B01,383,14,77,66,5,3,15,4,6,3,16,27,0,236,9,245,23,91,122,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1313,C01,382,18,73,91,3,8,15,6,2,2,19,19,0,256,7,263,22,119,115,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1314,B01,664,21,86,87,10,4,30,10,3,5,63,71,0,390,12,402,29,170,191,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1314,C01,663,27,78,102,7,2,23,5,6,11,61,74,0,396,11,407,44,175,177,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1314,C02,663,25,77,85,8,10,43,6,8,16,74,68,0,420,10,430,49,173,198,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1314,C03,663,26,109,74,8,4,27,8,3,14,66,82,0,421,12,433,43,156,222,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1315,B01,444,40,47,73,6,0,0,3,2,12,38,27,0,248,8,256,54,120,74,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1315,C01,444,27,58,70,5,3,2,4,4,3,45,22,0,243,7,250,34,124,85,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1316,B01,573,27,61,66,7,5,34,5,3,11,64,56,0,339,8,347,41,142,156,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1316,C01,572,24,86,58,3,7,39,7,7,9,36,76,0,352,15,367,40,104,208,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1316,C02,572,23,77,43,6,7,31,1,1,15,44,66,0,314,7,321,39,94,181,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1316,E01,665,35,19,138,5,6,1,7,2,12,89,20,0,334,8,342,49,239,46,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1316,E1C1,665,37,24,166,5,3,4,16,8,4,88,11,0,366,9,375,49,275,42,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1317,B01,464,75,61,75,4,2,4,1,5,13,42,40,0,322,9,331,93,122,107,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1317,C01,463,21,56,72,1,11,21,4,8,6,51,42,0,293,12,305,35,128,130,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1318,B01,494,37,97,52,1,6,10,5,2,15,43,53,0,321,13,334,54,101,166,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1318,C01,494,37,132,65,5,11,13,1,1,10,27,43,0,345,5,350,48,98,199,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
