Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PRI_PVEM,CC_PT_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRI_PVEM,PT_PCP_PMC,CC_1,CC_2
15,37,TAMAZUNCHALE ,1379,B01,224,1,37,6,6,2,10,0,72,4,1,0,139,15,154,43,17,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1380,B01,591,39,53,64,12,4,7,12,145,12,3,0,351,32,383,69,34,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1380,C01,590,32,64,41,15,5,5,27,150,2,4,0,345,25,370,71,51,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1381,B01,679,77,91,24,8,3,2,10,104,23,5,0,347,19,366,117,25,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1382,B01,514,55,37,21,9,5,3,22,105,8,4,6,275,24,299,50,38,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1382,C01,514,55,45,15,12,1,6,27,128,7,8,3,307,20,327,53,53,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1383,B01,644,28,113,18,14,5,3,12,141,13,6,1,354,30,384,131,35,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1383,C01,644,45,103,13,14,4,1,12,135,16,2,0,345,37,382,123,29,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1384,B01,376,42,63,9,11,3,0,4,76,8,1,0,217,13,230,74,16,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1384,C01,375,47,81,3,8,5,2,9,55,13,6,0,229,23,252,99,25,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1385,B01,718,110,118,34,5,6,2,5,83,21,1,2,387,30,417,145,13,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1385,C01,717,69,108,14,6,8,0,0,83,42,6,1,337,33,370,158,12,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1386,B01,525,44,110,16,5,10,1,1,85,18,2,0,292,19,311,138,9,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1386,C01,525,61,82,10,5,4,0,7,123,17,0,3,312,18,330,103,12,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1387,B01,688,64,146,17,2,0,0,3,84,21,2,0,339,43,382,167,7,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1388,B01,446,36,25,29,23,4,0,8,127,9,7,1,269,20,289,38,38,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1388,C01,446,54,25,20,21,2,2,8,109,10,11,1,263,19,282,37,42,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1388,E01,461,34,50,32,6,4,1,5,106,10,5,0,253,40,293,64,17,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1389,B01,510,52,44,11,7,4,3,12,120,3,3,0,259,33,292,51,25,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1389,C01,509,48,47,9,6,3,3,7,129,7,0,0,259,35,294,57,16,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1390,B01,531,69,82,6,21,4,2,8,116,16,2,2,328,42,370,102,33,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1390,C01,530,67,80,10,17,3,0,10,138,8,1,0,334,50,384,91,28,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1391,B01,622,35,31,15,14,9,4,24,166,12,11,3,324,43,367,52,53,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1391,C01,622,26,44,24,16,6,2,35,158,8,8,0,327,56,383,58,61,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1392,B01,585,26,63,17,10,2,2,26,138,16,8,0,308,0,308,81,46,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1392,C01,584,16,61,27,7,2,3,23,129,18,9,0,295,33,328,81,42,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1392,C02,584,13,74,37,12,2,0,23,108,20,7,2,298,28,326,96,42,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1393,B01,580,22,67,26,18,2,2,21,91,12,17,1,279,30,309,81,58,PRI_PVEM,PT_PCP_PMC
