CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,72,2,147,50,0,4,0,0,36,6,28,3,0,0,0,,,,16,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,335,21,356,492
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,73,1,105,13,0,1,0,0,17,5,22,1,0,2,1,,,,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,197,4,201,261
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,74,1,81,22,0,3,0,0,69,6,64,1,0,0,0,,,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,280,9,289,367
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,75,1,45,12,0,0,0,0,20,3,26,1,0,1,0,,,,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,133,7,140,167
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,76,1,32,11,0,0,0,0,2,0,50,3,0,0,1,,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,10,115,131
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,77,1,223,41,0,0,0,0,26,9,177,0,0,0,0,,,,5,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,567,22,589,744
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,78,2,231,58,0,6,0,0,74,26,160,8,1,6,0,,,,18,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,718,23,741,952
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,79,1,143,29,0,8,0,0,42,36,122,4,0,2,0,,,,45,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,510,15,525,709
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,80,1,158,26,0,5,0,0,26,24,106,0,0,1,0,,,,10,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,417,20,437,544
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,81,3,93,201,250,231,186,5,18,14,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1013,21,1034,1530
