ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_VERDE_NVA_ALIANZA,PRI_VERDE,PRI_NVA_ALIANZA,VERDE_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,45,4200,3635,2748,405,482,29,651,239,507,115,31,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13071,374,13446,22574,0.5956
13,HIDALGO,12,ATOTONILCO DE TULA,18,46,,2864,3203,382,1909,1453,149,1321,4759,66,21,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16131,240,16372,27534,0.5946
13,HIDALGO,13,CALNALI,16,23,53,2441,2389,440,210,18,160,251,3056,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9177,439,9616,11958,0.8041
13,HIDALGO,14,CARDONAL,17,26,259,2320,3219,92,85,211,1378,389,263,73,12,72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8376,358,8734,14300,0.6107
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,66,2231,5619,1476,2805,955,150,3689,1516,1285,,,,,,,,,,,,,,,2017,285,,,,,,,,,,,,,,,,,,,,,,,,,,,9,22028,712,22749,40226,0.5707
13,HIDALGO,16,CHAPANTONGO,10,16,2056,2156,71,2357,,30,214,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6999,117,7117,9435,0.7543
13,HIDALGO,17,CHAPULHUACÁN,25,33,41,3579,6776,35,,,63,224,23,25,21,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10795,361,11157,15917,0.7009
13,HIDALGO,18,CHILCUAUTLA,15,25,1359,1684,1611,1403,,109,292,2035,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8577,304,8881,13024,0.6818
13,HIDALGO,19,EL ARENAL,11,22,3494,3820,,39,47,111,639,283,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8653,170,8823,13006,0.6783
13,HIDALGO,20,ELOXOCHITLÁN,8,7,,298,666,699,415,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2096,22,2118,2489,0.8509
13,HIDALGO,21,EMILIANO ZAPATA,8,18,862,1699,,42,,3612,58,218,70,15,17,1,5,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,2,6854,138,6994,10495,0.6664
13,HIDALGO,22,EPAZOYUCAN,11,21,2660,1528,64,49,133,1159,127,280,606,4,8,4,0,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,1,6768,160,6929,11062,0.5359
13,HIDALGO,23,FRANCISCO I. MADERO,17,44,868,4342,5612,94,99,786,2582,1013,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15738,352,16091,26069,0.6172
13,HIDALGO,24,HUASCA DE OCAMPO,19,28,2671,2277,3189,31,79,21,93,163,107,26,4,12,0,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,0,8847,171,9018,13418,0.672
13,HIDALGO,25,HUAUTLA,26,33,47,1216,447,162,1283,2587,2018,1259,1914,71,11,43,19,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,2,11262,648,11912,15628,0.7622
13,HIDALGO,26,HUAZALINGO,10,18,59,762,1815,,27,146,1345,1666,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5837,220,6057,8523,0.7106
13,HIDALGO,27,HUEHUETLA,16,31,385,4808,244,4293,93,84,916,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11937,508,12454,16353,0.7615
13,HIDALGO,28,HUEJUTLA DE REYES,53,146,8553,15887,1193,313,424,798,1283,833,20599,133,66,64,15,,,,,,,,,,,,,,,,,1315,1503,,,,,,,,,,,,,,,,,,,,,84,52979,3384,56447,85499,0.6602
13,HIDALGO,29,HUICHAPAN,37,62,3286,4934,359,2174,,,881,1311,114,,,,,,,,,,,,,,,,,,,,,,,3641,2011,,,,,,,,,,,,,,,,,,,5,18711,529,19245,33125,0.5809
13,HIDALGO,30,IXMIQUILPAN,61,127,22167,12632,692,240,201,763,1500,2135,389,63,36,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,40860,987,41853,68991,0.6066
13,HIDALGO,31,JACALA DE LEDEZMA,22,24,,2461,2577,30,,,81,59,15,,,,,,,,,,,,,,,,,,,,,,,,,1398,,,,,,,,,,,,,,,,,,3,6621,226,6850,9762,0.7017
13,HIDALGO,32,JALTOCÁN,12,16,69,2024,3132,47,,146,164,35,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5826,173,5999,7753,0.7737
13,HIDALGO,33,JUÁREZ HIDALGO,4,5,4,897,1002,,,8,18,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2022,27,2049,2533,0.8089
13,HIDALGO,34,LA MISIÓN,11,16,,2117,3548,,,,22,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5698,138,5836,7871,0.7414
13,HIDALGO,35,LOLOTLA,8,14,1899,1954,,29,34,72,78,43,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5174,201,5375,6828,0.7871
13,HIDALGO,36,METEPEC,9,17,41,333,1273,68,0,1113,1768,35,1868,110,6,52,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6673,162,6836,8872,0.774
13,HIDALGO,37,METZTITLÁN,26,37,40,3413,4051,31,64,70,102,39,3662,29,7,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11514,536,12051,16481,0.7312
13,HIDALGO,38,MINERAL DEL CHICO,13,14,542,1706,2036,32,61,45,35,231,,17,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4713,98,4812,6500,0.7403
13,HIDALGO,39,MINERAL DEL MONTE,12,21,1420,1313,295,752,29,,1552,459,805,,,,,,,,,,,,,,,,,,,,,,,,,,427,,,,,,,,,,,,,,,,,4,7052,159,7215,10982,0.6569
13,HIDALGO,40,MINERAL DE LA REFORMA,76,169,20160,13956,1816,653,582,4559,1484,4183,1263,109,41,14,7,,,,,,,,,,,,,,,,,,,,,,,1564,,,,,,,,,,,,,,,,260,50391,1103,51754,101786,0.5084
13,HIDALGO,41,MIXQUIAHUALA DE JUÁREZ,22,53,945,4225,599,2948,5989,405,1362,1032,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17918,406,18330,30917,0.5928
13,HIDALGO,42,MOLANGO DE ESCAMILLA,15,19,114,1964,155,31,36,38,277,95,2773,32,9,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5557,401,5965,7939,0.8773
13,HIDALGO,43,NICOLÁS FLORES,22,21,2053,1132,319,,,,27,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3642,97,3741,5126,0.7298
13,HIDALGO,44,NOPALA DE VILLAGRÁN,10,20,1950,2127,235,2254,86,0,164,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7672,153,7827,11187,0.6996
13,HIDALGO,45,OMITLÁN DE JUÁREZ,10,14,81,2250,186,1999,265,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4924,71,4996,6846,0.673
13,HIDALGO,46,PACULA ,10,11,1628,1263,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2937,45,2983,4229,0.7053
13,HIDALGO,47,PACHUCA DE SOTO,129,353,41768,24862,3530,1299,1308,16735,2729,7829,2245,721,408,357,180,,,,,,,,,,,,,,,,,,,,,,,,9386,,,,,,,,,,,,,,,104,113357,2515,115976,215981,0.5369
13,HIDALGO,48,PISAFLORES,20,27,3057,3260,,,,,1669,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8028,207,8235,11954,0.7265
13,HIDALGO,49,PROGRESO DE OBREGÓN,12,28,128,4426,636,,84,164,695,249,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4134,,,,,,,,,,,,,,2,10946,225,11173,17524,0.6375
13,HIDALGO,50,SAN AGUSTÍN METZQUITITLÁN,14,18,1032,1555,76,18,269,1230,52,,1336,16,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5592,130,5724,7545,0.7586
13,HIDALGO,51,SAN AGUSTÍN TLAXIACA,18,40,1566,5073,589,137,121,196,224,550,4756,20,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,7,13701,350,14058,22534,0.6238
13,HIDALGO,52,SAN BARTOLO TUTOTEPEC ,17,28,74,4430,4219,55,,,387,42,,154,42,79,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9487,375,9863,12553,0.7857
13,HIDALGO,53,SAN FELIPE ORIZATLÁN,24,50,7030,6566,216,78,63,50,748,105,2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16884,828,17712,26886,0.6936
13,HIDALGO,54,SAN SALVADOR ,24,45,309,3030,4408,126,,269,1405,761,1378,141,29,70,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3285,,,,,,,,,,,,11,15217,439,15667,24650,0.6355
13,HIDALGO,55,SANTIAGO DE ANAYA,19,27,186,2849,187,86,,91,1666,309,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628,,,,,,,,,,,0,8049,0,8049,12477,0.6451
13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,11,37,2987,4069,3605,125,71,401,699,365,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12466,292,12764,23797,0.5858
13,HIDALGO,57,SINGUILUCAN,11,20,373,1369,358,93,1629,,2019,200,1186,127,13,71,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7449,253,7704,11900,0.6473
13,HIDALGO,58,TASQUILLO ,20,28,92,1375,2782,115,340,188,707,504,103,46,12,38,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,,,,,,,,,,0,7273,235,7508,14327,0.524
13,HIDALGO,59,TECOZAUTLA,25,47,10062,2770,297,1443,,,243,388,,91,68,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15371,378,15753,26014,0.6055
13,HIDALGO,60,TENANGO DE DORIA ,14,25,37,1199,3103,139,,,1764,218,992,95,19,44,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7622,350,7972,11942,0.7111
13,HIDALGO,61,TEPEAPULCO,38,76,1823,8430,392,797,,2737,1591,1708,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,45,20575,539,21159,42119,0.5023
13,HIDALGO,62,TEPEHUACÁN DE GUERRERO,33,43,354,7599,2710,,,,1799,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12643,657,13300,18332,0.7255
13,HIDALGO,63,TEPEJI DEL RÍO DE OCAMPO,33,97,4102,4331,1430,551,,985,9333,5037,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,,,,,,,,43,26873,586,27502,57809,0.4757
13,HIDALGO,64,TEPETITLÁN,8,16,2730,1494,234,133,,32,428,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5290,105,5396,7687,0.7019
13,HIDALGO,65,TETEPANGO ,7,15,,555,,85,3093,370,305,,1602,40,12,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6079,129,6215,8376,0.742
13,HIDALGO,66,TEZONTEPEC DE ALDAMA,23,54,5851,5135,449,125,,7552,273,1962,122,113,29,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,374,,,,,,5,22883,420,23308,34580,0.674
13,HIDALGO,67,TIANGUISTENGO,16,22,197,1710,679,41,58,,369,141,3849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7044,507,7553,10278,0.7348
13,HIDALGO,68,TIZAYUCA,40,134,3593,14571,870,541,394,712,1415,2542,5082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,29720,766,30505,79352,0.3844
13,HIDALGO,69,TLAHUELILPAN,9,20,,1613,973,133,2052,546,800,1760,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7928,155,8085,12542,0.6446
13,HIDALGO,70,TLAHUILTEPA,17,20,,2223,125,,,,2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5339,150,5491,7439,0.7381
13,HIDALGO,71,TLANALAPA,8,15,320,788,127,26,678,1239,378,384,108,32,4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289,,,,,0,5397,128,5525,8244,0.6701
13,HIDALGO,72,TLANCHINOL,26,46,6418,4798,237,92,,,277,345,3929,35,19,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,1,16386,836,17223,23852,0.7431
13,HIDALGO,73,TLAXCOAPAN ,12,33,4174,1176,1848,92,43,1179,604,1903,1337,24,2,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12396,374,12775,20293,0.6295
13,HIDALGO,74,TOLCAYUCA,8,18,991,1289,1001,792,,496,1616,250,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6677,104,6782,10564,0.6419
13,HIDALGO,75,TULA DE ALLENDE,53,137,6732,9722,8776,414,489,3765,703,4923,,11,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35561,302,35869,81551,0.4599
13,HIDALGO,76,TULANCINGO DE BRAVO,54,190,8969,17158,1345,598,1205,11604,1455,3073,4473,182,102,41,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441,1799,1374,31,55833,1674,57538,118375,0.486
13,HIDALGO,77,VILLA DE TEZONTEPEC,7,15,355,980,,129,,1878,974,176,445,34,3,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4995,125,5122,8382,0.611
13,HIDALGO,78,XOCHIATIPAN,13,24,3069,2747,1835,17,67,,59,72,2136,8,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10019,371,10391,12126,0.8569
13,HIDALGO,79,XOCHICOATLÁN,9,10,18,1013,540,43,1768,,241,,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4655,118,4774,5534,0.8626
13,HIDALGO,80,YAHUALICA ,15,29,1479,3704,2183,76,286,187,878,,3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12704,480,13190,15944,0.8272
13,HIDALGO,81,ZACUALTIPÁN DE ÁNGELES,19,44,1560,3336,1307,1274,278,5556,683,535,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14955,451,15407,24643,0.6252
13,HIDALGO,82,ZAPOTLÁN DE JUÁREZ,8,23,723,3048,3388,103,194,53,868,127,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8577,145,8727,13758,0.6572
13,HIDALGO,83,ZEMPOALA,17,49,1191,7732,371,393,114,250,6074,843,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17272,424,17706,29098,0.6084
13,HIDALGO,84,ZIMAPÁN,62,75,8942,5588,,157,157,258,560,590,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16318,493,16811,29870,0.5628
