CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,C01,143,120,0,2,4,3,2,5,35,4,0,3,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,367,6,373,581,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0010C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,E01,55,185,3,17,0,1,5,4,10,1,2,0,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,315,10,325,546,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0010E01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,B ,107,160,13,15,2,4,4,9,40,3,4,1,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,395,9,404,679,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0011B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,C01,114,143,8,11,2,5,10,9,22,4,3,0,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,385,6,391,679,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0011C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,C02,133,166,8,10,2,6,5,9,42,8,2,0,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,427,12,439,679,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0011C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,B ,66,149,5,7,5,0,3,2,7,2,2,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,265,12,277,560,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0012B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,C01,80,133,15,9,1,2,1,1,7,6,2,3,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,279,13,292,560,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0012C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,E01,48,52,3,2,2,5,3,3,6,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,8,163,281,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0012E01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,B ,25,144,37,6,10,7,6,49,0,2,0,0,0,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,423,11,434,694,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0013B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,C01,33,183,40,3,4,3,3,51,0,3,1,0,0,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,438,12,453,693,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0013C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,C02,45,163,36,3,5,4,3,50,0,1,0,0,0,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,459,15,474,693,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0013C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,B ,27,136,53,1,6,6,4,62,0,0,0,0,0,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,352,17,369,535,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0014B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,C01,35,125,40,2,5,4,1,39,0,2,0,0,0,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,346,16,362,535,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0014C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,C02,39,144,43,2,4,2,1,59,0,0,1,0,0,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,373,0,373,535,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0014C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,15,B ,6,112,24,4,21,4,6,9,0,0,0,1,0,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,254,21,275,451,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0015B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,16,B ,77,104,5,2,21,13,5,7,0,0,0,0,0,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,441,43,484,722,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0016B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,17,B ,29,52,4,3,8,10,1,14,0,0,0,0,0,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,25,225,394,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0017B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,17,C01,28,78,4,1,7,8,3,14,0,0,0,0,0,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,204,16,220,393,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0017C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,18,B ,4,53,1,3,1,0,1,4,0,0,0,0,0,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,7,86,146,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0018B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,19,B ,25,119,36,0,8,5,0,57,0,0,0,0,0,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,266,16,282,536,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0019B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,19,C01,20,118,33,2,9,3,5,61,0,0,0,0,0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,266,15,281,536,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0019C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,20,B ,46,114,14,16,11,3,5,9,0,0,3,0,0,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,253,24,277,567,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0020B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,20,C01,32,103,4,22,14,3,1,14,0,2,1,0,0,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,228,20,248,566,ACTA CASILLA,ANULADA,TEEH-JDC-093-2016,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0020C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,B ,43,116,9,12,13,2,12,12,0,1,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,270,21,291,636,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0021B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,C01,38,144,7,14,17,2,4,14,0,7,0,0,0,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,288,19,307,636,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0021C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,C02,31,122,3,9,14,3,6,13,0,3,6,1,0,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,251,18,269,636,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0021C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,B ,82,70,16,18,8,2,2,17,0,2,2,2,0,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,267,10,277,503,ACTA CASILLA,ANULADA,TEEH-JDC-093-2016,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0022B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,C01,79,111,11,13,8,2,4,13,0,1,2,0,0,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,286,13,299,503,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0022C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,C02,75,89,14,15,9,2,3,11,0,6,2,0,0,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,283,18,301,502,ACTA CASILLA,ANULADA,TEEH-JDC-093-2016,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0022C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,B ,54,186,18,11,6,2,2,24,0,0,0,1,0,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,406,15,421,681,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0023B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,C01,62,168,9,2,11,2,5,17,0,1,1,0,0,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,356,20,376,680,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0023C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,C02,64,171,9,6,16,0,5,10,0,3,3,0,0,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,375,8,386,680,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0023C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,B ,20,142,14,1,18,4,0,31,0,1,1,1,0,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,451,23,474,741,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0024B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,C01,12,156,12,8,23,0,7,34,0,1,2,1,0,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,470,10,480,741,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0024C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,C02,18,97,16,4,13,3,5,12,0,0,0,0,0,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,444,19,464,740,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0024C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,B ,19,124,29,3,5,1,10,22,0,1,1,1,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,336,23,359,569,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0025B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,E01,36,68,23,2,12,4,6,26,0,0,2,0,0,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,281,15,296,452,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0025E01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,E01C01,39,69,27,1,9,3,1,27,0,1,1,2,0,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,276,5,283,451,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0025E01C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,26,B ,54,96,25,6,9,7,8,35,0,0,0,0,0,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,346,18,364,743,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0026B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,B ,24,100,13,5,5,6,3,148,0,0,2,1,0,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,380,26,406,709,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0027B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,C01,40,100,33,4,11,1,4,164,0,0,0,0,0,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,438,15,453,708,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0027C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,C02,29,87,14,9,15,0,3,190,0,0,0,0,0,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,431,18,449,708,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0027C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,C03,43,48,14,13,16,7,5,218,0,0,0,0,0,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,430,28,458,708,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0027C03.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,28,B ,9,105,9,13,6,4,4,130,0,0,0,0,0,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,309,9,318,485,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0028B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,28,C01,8,79,8,12,5,4,2,143,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,261,0,261,485,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0028C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,B ,18,126,68,24,21,4,5,25,0,2,0,0,0,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,370,9,379,559,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0029B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,C01,18,116,49,20,30,5,3,29,0,1,2,0,1,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,359,5,364,558,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0029C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,C02,22,156,49,9,25,2,5,18,0,1,0,0,0,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,370,10,380,558,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0029C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,B ,22,91,24,25,26,8,7,152,0,0,3,0,0,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,403,22,426,743,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0029C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,C01,35,89,25,23,19,7,3,147,0,0,1,0,1,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,403,21,424,742,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0030C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,C02,20,75,17,30,12,8,4,145,0,2,0,0,0,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,357,45,402,742,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/AYUNTAMIENTOS/VA0030C02.jpg
