distrito,municipio,Seccion,Tipo,PAN,PRI,PRD,PFCRN,PT,PVEM,PPS,PDM,NPP,Nulos,No Registrados,Total
11,CARDENAS,79,CONTIGUA 1,0,125,113,0,0,0,0,0,0,0,0,238
11,CARDENAS,80,BASICA,0,89,137,0,0,0,0,0,0,1,0,227
11,CARDENAS,80,CONTIGUA 1,0,74,158,0,0,0,0,0,0,1,0,233
11,CARDENAS,81,BASICA,0,150,155,0,0,0,0,0,0,4,0,309
11,CARDENAS,82,BASICA,0,98,154,0,0,0,0,0,0,1,0,253
11,CARDENAS,83,BASICA,0,160,154,0,0,0,0,0,0,2,0,316
11,CARDENAS,84,BASICA,0,61,125,0,0,0,0,0,0,1,0,187
11,CARDENAS,84,CONTIGUA 1,0,68,137,0,0,0,0,0,0,0,0,205
11,CARDENAS,85,BASICA,0,88,144,0,0,0,0,0,0,1,0,233
11,CARDENAS,85,CONTIGUA 1,0,88,137,0,0,0,0,0,0,1,0,226
11,CARDENAS,86,BASICA,0,96,155,0,0,0,0,0,0,1,0,252
11,CARDENAS,87,BASICA,0,97,116,0,0,0,0,0,0,0,0,213
11,CARDENAS,88,BASICA,0,153,70,0,0,0,0,0,0,5,0,228
11,CARDENAS,89,BASICA,0,176,86,0,0,0,0,0,0,4,0,266
11,CARDENAS,90,BASICA,0,76,105,0,0,0,0,0,0,2,0,183
11,CARDENAS,90,CONTIGUA 1,0,80,95,0,0,0,0,0,0,1,0,176
11,CARDENAS,91,BASICA,0,99,62,0,0,0,0,0,0,1,0,162
11,CARDENAS,92,BASICA,0,94,56,0,0,0,0,0,0,4,0,154
11,CARDENAS,93,BASICA,0,175,146,0,0,0,0,0,0,0,0,321
11,CARDENAS,94,BASICA,0,63,63,0,0,0,0,0,0,3,0,129
11,CARDENAS,95,BASICA,0,65,97,0,0,0,0,0,0,3,0,165
11,CARDENAS,96,BASICA,0,114,49,0,0,0,0,0,0,1,0,164
11,CARDENAS,97,BASICA,0,79,42,0,0,0,0,0,0,2,0,123
,,,,,,,,,,,,,,,
1,CATORCE,98,BASICA,0,200,0,0,145,0,0,0,0,12,0,357
1,CATORCE,99,BASICA,0,33,0,0,38,0,0,0,0,1,0,72
1,CATORCE,100,BASICA,0,32,0,0,4,0,0,0,0,0,0,36
1,CATORCE,101,BASICA,0,55,0,0,67,0,0,0,0,5,0,127
1,CATORCE,102,BASICA,0,73,0,0,75,0,0,0,0,1,0,149
1,CATORCE,103,BASICA,0,123,0,0,58,0,0,0,0,20,0,201
1,CATORCE,104,BASICA,0,8,0,0,29,0,0,0,0,1,0,38
1,CATORCE,105,BASICA,0,78,0,0,74,0,0,0,0,2,0,154
1,CATORCE,106,BASICA,0,258,0,0,164,0,0,0,0,9,0,431
1,CATORCE,107,BASICA,0,42,0,0,44,0,0,0,0,0,0,86
1,CATORCE,108,BASICA,0,212,0,0,37,0,0,0,0,5,0,254
1,CATORCE,109,BASICA,0,21,0,0,29,0,0,0,0,1,0,51
1,CATORCE,110,BASICA,0,14,0,0,92,0,0,0,0,0,0,106
1,CATORCE,111,BASICA,0,71,0,0,91,0,0,0,0,6,0,168
1,CATORCE,112,BASICA,0,120,0,0,165,0,0,0,0,3,0,288
1,CATORCE,113,BASICA,0,75,0,0,41,0,0,0,0,1,0,117
1,CATORCE,114,BASICA,0,14,0,0,88,0,0,0,0,2,0,104
1,CATORCE,115,BASICA,0,142,0,0,9,0,0,0,0,0,0,151
1,CATORCE,116,BASICA,0,73,0,0,94,0,0,0,0,7,0,174
1,CATORCE,117,BASICA,0,46,0,0,66,0,0,0,0,3,0,115
1,CATORCE,118,BASICA,0,147,0,0,109,0,0,0,0,1,0,257
,,,,,,,,,,,,,,,
1,CEDRAL,119,BASICA,0,242,233,0,0,0,0,0,0,4,0,479
1,CEDRAL,119,CONTIGUA 1,0,241,243,0,0,0,0,0,0,9,0,493
1,CEDRAL,120,BASICA,0,198,160,0,0,0,0,0,0,6,0,364
1,CEDRAL,120,CONTIGUA 1,0,177,191,0,0,0,0,0,0,4,0,372
1,CEDRAL,121,BASICA,0,186,230,0,0,0,0,0,0,1,0,417
1,CEDRAL,121,CONTIGUA 1,0,155,242,0,0,0,0,0,0,1,0,398
1,CEDRAL,122,BASICA,0,196,124,0,0,0,0,0,0,4,0,324
1,CEDRAL,122,CONTIGUA 1,0,199,147,0,0,0,0,0,0,2,0,348
1,CEDRAL,123,BASICA,0,82,45,0,0,0,0,0,0,1,0,128
1,CEDRAL,124,BASICA,0,88,84,0,0,0,0,0,0,1,0,173
1,CEDRAL,125,BASICA,0,82,123,0,0,0,0,0,0,2,0,207
1,CEDRAL,125,CONTIGUA 1,0,48,26,0,0,0,0,0,0,0,0,74
1,CEDRAL,126,BASICA,0,140,96,0,0,0,0,0,0,2,0,238
1,CEDRAL,127,BASICA,0,69,133,0,0,0,0,0,0,1,0,203
1,CEDRAL,128,BASICA,0,138,143,0,0,0,0,0,0,2,0,283
1,CEDRAL,129,BASICA,0,38,76,0,0,0,0,0,0,2,0,116
1,CEDRAL,130,BASICA,0,80,56,0,0,0,0,0,0,1,0,137
1,CEDRAL,131,BASICA,0,240,194,0,0,0,0,0,0,5,0,439
1,CEDRAL,132,BASICA,0,69,85,0,0,0,0,0,0,2,0,156
1,CEDRAL,133,BASICA,0,52,153,0,0,0,0,0,0,1,0,206
1,CEDRAL,134,BASICA,0,112,89,0,0,0,0,0,0,2,0,203
1,CEDRAL,135,BASICA,0,136,145,0,0,0,0,0,0,4,0,285
,,,,,,,,,,,,,,,
2,CERRITOS,136,BASICA,217,137,16,0,1,0,1,0,0,4,0,376
2,CERRITOS,137,BASICA,189,78,21,0,0,0,0,0,0,4,0,292
2,CERRITOS,137,CONTIGUA 1,177,110,17,0,0,0,0,0,0,4,0,308
2,CERRITOS,138,BASICA,212,140,13,0,0,0,0,0,0,3,0,368
2,CERRITOS,139,BASICA,198,105,11,1,0,0,0,0,0,3,0,318
2,CERRITOS,139,CONTIGUA 1,156,121,14,1,0,0,0,1,0,8,0,301
2,CERRITOS,140,BASICA,128,97,23,1,0,0,0,0,0,6,0,255
2,CERRITOS,140,CONTIGUA 1,109,112,21,0,1,0,0,0,0,3,0,246
2,CERRITOS,141,BASICA,176,147,27,1,0,0,0,0,0,8,0,359
2,CERRITOS,141,CONTIGUA 1,199,124,24,0,0,0,0,0,0,3,0,350
2,CERRITOS,142,BASICA,330,124,29,0,0,0,0,0,0,3,0,486
2,CERRITOS,143,BASICA,228,128,35,0,0,1,1,0,0,4,0,397
2,CERRITOS,143,CONTIGUA 1,24,138,28,0,0,1,0,0,0,5,0,196
2,CERRITOS,144,BASICA,251,119,16,1,0,0,0,0,0,7,0,394
2,CERRITOS,144,CONTIGUA 1,219,129,26,0,0,0,0,0,0,9,0,383
2,CERRITOS,145,BASICA,37,57,3,0,0,0,1,0,0,6,0,104
2,CERRITOS,146,BASICA,11,47,1,0,0,0,0,0,0,0,0,59
2,CERRITOS,147,BASICA,83,169,1,0,0,0,0,0,0,5,0,258
2,CERRITOS,148,BASICA,54,87,7,0,0,0,1,1,0,10,0,160
2,CERRITOS,149,BASICA,27,86,3,0,1,0,0,1,0,3,0,121
2,CERRITOS,150,BASICA,51,35,2,0,0,0,0,0,0,1,0,89
2,CERRITOS,151,BASICA,20,51,2,0,0,0,0,1,0,2,0,76
2,CERRITOS,152,BASICA,80,239,1,1,0,1,0,0,0,11,0,333
2,CERRITOS,153,BASICA,43,67,2,0,0,0,0,0,0,11,0,123
2,CERRITOS,154,BASICA,31,29,23,0,0,0,0,0,0,3,0,86
2,CERRITOS,155,BASICA,76,58,4,0,0,0,0,0,0,5,0,143
2,CERRITOS,156,BASICA,113,227,3,1,0,1,0,0,0,17,0,362
2,CERRITOS,157,BASICA,13,41,2,0,0,0,0,0,0,0,0,56
2,CERRITOS,158,BASICA,160,80,7,0,1,1,0,0,0,1,0,250
2,CERRITOS,159,BASICA,34,30,1,0,0,0,0,0,0,2,0,67
2,CERRITOS,160,BASICA,67,39,0,0,0,0,0,0,0,5,0,111
2,CERRITOS,161,BASICA,128,82,2,1,0,1,0,0,1,3,0,218
2,CERRITOS,162,BASICA,26,40,0,0,0,0,0,0,0,1,0,67
2,CERRITOS,163,BASICA,126,61,2,0,0,0,0,0,0,9,0,198
2,CERRITOS,164,BASICA,41,33,1,0,0,0,0,0,0,1,0,76
9,CERRO DE SAN PEDRO,165,BASICA,31,69,34,0,0,0,0,0,0,12,0,146
9,CERRO DE SAN PEDRO,166,BASICA,8,34,20,0,0,0,0,0,0,0,0,62
9,CERRO DE SAN PEDRO,167,BASICA,5,58,24,0,0,0,0,0,0,4,0,91
9,CERRO DE SAN PEDRO,168,BASICA,14,26,13,0,0,0,0,0,0,4,0,57
9,CERRO DE SAN PEDRO,169,BASICA,2,53,14,0,0,0,0,0,0,0,0,69
9,CERRO DE SAN PEDRO,170,BASICA,20,22,12,0,0,0,0,0,0,0,0,54
9,CERRO DE SAN PEDRO,171,BASICA,169,254,96,0,0,0,0,0,0,4,0,523
9,CERRO DE SAN PEDRO,172,BASICA,42,50,47,0,0,0,0,0,0,2,0,141
,,,,,,,,,,,,,,,
11,CIUDAD DEL MAIZ,173,BASICA,138,153,0,0,0,0,0,0,0,3,0,294
11,CIUDAD DEL MAIZ,173,CONTIGUA 1,159,129,0,0,0,0,0,0,0,2,0,290
11,CIUDAD DEL MAIZ,174,BASICA,327,174,0,0,0,0,0,0,0,4,0,505
11,CIUDAD DEL MAIZ,175,BASICA,155,140,0,0,0,0,0,0,0,3,0,298
11,CIUDAD DEL MAIZ,175,CONTIGUA 1,156,121,0,0,0,0,0,0,0,2,0,279
11,CIUDAD DEL MAIZ,176,BASICA,159,151,0,0,0,0,0,0,0,3,0,313
11,CIUDAD DEL MAIZ,176,CONTIGUA 1,207,100,0,0,0,0,0,0,0,3,0,310
11,CIUDAD DEL MAIZ,177,BASICA,233,179,0,0,0,0,0,0,0,2,0,414
11,CIUDAD DEL MAIZ,178,BASICA,131,125,0,0,0,0,0,0,0,0,0,256
11,CIUDAD DEL MAIZ,179,BASICA,291,173,0,0,0,0,0,0,0,2,0,466
11,CIUDAD DEL MAIZ,181,BASICA,102,109,0,0,0,0,0,0,0,4,0,215
11,CIUDAD DEL MAIZ,182,BASICA,121,167,0,0,0,0,0,0,0,0,0,288
11,CIUDAD DEL MAIZ,182,CONTIGUA 1,134,182,0,0,0,0,0,0,0,0,0,316
11,CIUDAD DEL MAIZ,183,BASICA,96,88,0,0,0,0,0,0,0,0,0,184
11,CIUDAD DEL MAIZ,184,BASICA,253,220,0,0,0,0,0,0,0,0,0,473
11,CIUDAD DEL MAIZ,185,BASICA,273,168,0,0,0,0,0,0,0,5,0,446
11,CIUDAD DEL MAIZ,196,BASICA,110,48,0,0,0,0,0,0,0,0,0,158
11,CIUDAD DEL MAIZ,197,BASICA,204,82,0,0,0,0,0,0,0,4,0,290
11,CIUDAD DEL MAIZ,198,BASICA,88,159,0,0,0,0,0,0,0,0,0,247
11,CIUDAD DEL MAIZ,198,CONTIGUA 1,94,179,0,0,0,0,0,0,0,0,0,273
11,CIUDAD DEL MAIZ,199,BASICA,65,94,0,0,0,0,0,0,0,2,0,161
11,CIUDAD DEL MAIZ,200,BASICA,22,108,0,0,0,0,0,0,0,0,0,130
11,CIUDAD DEL MAIZ,201,BASICA,93,155,0,0,0,0,0,0,0,0,0,248
11,CIUDAD DEL MAIZ,201,CONTIGUA 1,126,150,0,0,0,0,0,0,0,7,0,283
11,CIUDAD DEL MAIZ,202,BASICA,112,153,0,0,0,0,0,0,0,1,0,266
11,CIUDAD DEL MAIZ,202,CONTIGUA 1,136,126,0,0,0,0,0,0,0,1,0,263
11,CIUDAD DEL MAIZ,206,BASICA,92,104,0,0,0,0,0,0,0,1,0,197
11,CIUDAD DEL MAIZ,207,BASICA,72,50,0,0,0,0,0,0,0,2,0,124
11,CIUDAD DEL MAIZ,208,BASICA,155,40,0,0,0,0,0,0,0,3,0,198
11,CIUDAD DEL MAIZ,209,BASICA,140,64,0,0,0,0,0,0,0,2,0,206
11,CIUDAD DEL MAIZ,210,BASICA,130,37,0,0,0,0,0,0,0,2,0,169
11,CIUDAD DEL MAIZ,211,BASICA,152,128,0,0,0,0,0,0,0,2,0,282
11,CIUDAD DEL MAIZ,214,BASICA,139,151,0,0,0,0,0,0,0,3,0,293
11,CIUDAD DEL MAIZ,215,BASICA,106,133,0,0,0,0,0,0,0,2,0,241
11,CIUDAD DEL MAIZ,216,BASICA,163,43,0,0,0,0,0,0,0,3,0,209
11,CIUDAD DEL MAIZ,217,BASICA,169,82,0,0,0,0,0,0,0,3,0,254
11,CIUDAD DEL MAIZ,217,CONTIGUA 1,162,70,0,0,0,0,0,0,0,7,0,239
11,CIUDAD DEL MAIZ,218,BASICA,70,46,0,0,0,0,0,0,0,1,0,117
,,,,,,,,,,,,,,,
11,EL NARANJO,180,BASICA,6,121,17,0,0,0,0,0,0,12,0,156
11,EL NARANJO,186,BASICA,21,379,82,0,0,0,0,0,0,22,0,504
11,EL NARANJO,187,BASICA,14,348,93,0,0,0,0,0,0,13,0,468
11,EL NARANJO,188,BASICA,60,341,102,0,5,0,0,0,0,9,0,517
11,EL NARANJO,189,BASICA,65,120,64,0,0,0,0,0,0,8,0,257
11,EL NARANJO,190,BASICA,66,237,105,0,0,0,0,0,0,11,0,419
11,EL NARANJO,190,CONTIGUA 1,62,238,120,0,0,0,0,0,0,9,0,429
11,EL NARANJO,191,BASICA,80,170,71,0,0,0,0,0,0,7,0,328
11,EL NARANJO,191,CONTIGUA 1,72,167,65,0,0,1,1,0,0,3,0,309
11,EL NARANJO,192,BASICA,54,182,87,1,0,0,0,0,0,6,0,330
11,EL NARANJO,192,CONTIGUA 1,69,159,100,0,0,0,0,0,0,8,0,336
11,EL NARANJO,193,BASICA,63,167,75,0,0,0,0,0,0,9,0,314
11,EL NARANJO,193,CONTIGUA 1,64,127,94,0,0,0,0,0,0,7,0,292
11,EL NARANJO,194,BASICA,70,185,76,0,0,0,0,0,0,0,0,331
11,EL NARANJO,195,BASICA,26,86,206,0,0,0,0,0,0,21,0,339
11,EL NARANJO,203,BASICA,24,94,25,0,0,1,0,0,0,1,0,145
11,EL NARANJO,204,BASICA,27,93,24,0,0,0,0,0,0,3,0,147
11,EL NARANJO,205,BASICA,121,172,24,0,0,0,0,0,0,16,10,343
11,EL NARANJO,212,BASICA,133,233,51,0,0,0,0,0,0,0,0,417
11,EL NARANJO,213,BASICA,58,53,7,0,0,0,0,0,0,14,0,132
11,EL NARANJO,219,BASICA,50,101,42,0,1,0,0,0,0,6,0,200
,,,,,,,,,,,,,,,
10,CIUDAD FERNANDEZ,220,BASICA,209,137,7,0,1,3,0,1,0,0,0,358
10,CIUDAD FERNANDEZ,221,BASICA,175,76,28,0,0,0,0,2,0,0,0,281
10,CIUDAD FERNANDEZ,221,CONTIGUA 1,135,50,27,0,1,0,0,0,0,0,0,213
10,CIUDAD FERNANDEZ,222,BASICA,156,97,8,0,1,3,0,1,0,0,0,266
10,CIUDAD FERNANDEZ,222,CONTIGUA 1,119,72,17,0,1,1,0,0,0,0,0,210
10,CIUDAD FERNANDEZ,223,BASICA,208,92,98,0,0,0,0,0,0,0,0,398
10,CIUDAD FERNANDEZ,224,BASICA,151,50,26,3,0,1,0,2,0,0,0,233
10,CIUDAD FERNANDEZ,224,CONTIGUA 1,142,70,23,0,0,0,0,0,0,0,0,235
10,CIUDAD FERNANDEZ,225,BASICA,220,99,24,1,1,0,2,0,0,0,1,348
10,CIUDAD FERNANDEZ,225,CONTIGUA 1,251,83,21,0,1,0,2,0,0,0,0,358
10,CIUDAD FERNANDEZ,225,CONTIGUA 2,0,0,0,0,0,0,0,0,0,0,0,0
10,CIUDAD FERNANDEZ,226,BASICA,132,83,16,0,0,0,0,3,0,0,0,234
10,CIUDAD FERNANDEZ,226,CONTIGUA 1,169,64,14,1,0,0,0,0,0,0,0,248
10,CIUDAD FERNANDEZ,227,BASICA,208,206,0,0,0,0,1,3,0,0,0,418
10,CIUDAD FERNANDEZ,228,BASICA,282,261,9,0,1,0,1,0,0,0,0,554
10,CIUDAD FERNANDEZ,228,CONTIGUA 1,253,153,3,0,0,0,0,1,0,0,0,410
10,CIUDAD FERNANDEZ,229,BASICA,137,205,2,0,0,0,1,2,1,0,0,348
10,CIUDAD FERNANDEZ,230,BASICA,175,98,1,0,2,0,1,1,0,0,0,278
10,CIUDAD FERNANDEZ,230,CONTIGUA 1,183,106,2,0,0,2,0,0,1,0,0,294
10,CIUDAD FERNANDEZ,231,BASICA,188,106,3,0,0,2,0,0,0,0,1,300
10,CIUDAD FERNANDEZ,231,CONTIGUA 1,166,125,0,0,0,1,0,0,0,0,0,292
10,CIUDAD FERNANDEZ,232,BASICA,148,142,14,0,0,5,1,0,0,0,0,310
10,CIUDAD FERNANDEZ,232,CONTIGUA 1,162,125,15,0,0,3,1,1,0,0,0,307
10,CIUDAD FERNANDEZ,233,BASICA,206,196,4,0,0,0,0,0,0,0,0,406
10,CIUDAD FERNANDEZ,234,BASICA,105,128,4,0,0,0,0,0,0,0,0,237
10,CIUDAD FERNANDEZ,234,CONTIGUA 1,111,125,7,0,0,0,0,0,0,0,0,243
10,CIUDAD FERNANDEZ,235,BASICA,63,54,2,0,0,0,1,0,0,0,0,120
10,CIUDAD FERNANDEZ,236,BASICA,86,114,4,0,0,0,0,0,0,0,0,204
10,CIUDAD FERNANDEZ,237,BASICA,9,119,5,0,0,0,2,0,0,0,1,136
10,CIUDAD FERNANDEZ,238,BASICA,16,85,3,0,0,1,0,0,0,0,0,105
10,CIUDAD FERNANDEZ,239,BASICA,20,43,1,0,0,0,0,0,0,0,0,64
10,CIUDAD FERNANDEZ,240,BASICA,20,44,1,0,0,0,0,0,0,0,0,65
10,CIUDAD FERNANDEZ,241,BASICA,117,207,5,0,0,0,0,0,0,0,0,329
10,CIUDAD FERNANDEZ,242,BASICA,86,113,9,1,0,0,2,0,0,0,0,211
10,CIUDAD FERNANDEZ,243,BASICA,183,177,4,0,0,0,0,0,0,0,0,364
10,CIUDAD FERNANDEZ,243,CONTIGUA 1,170,166,5,0,1,0,2,0,0,0,0,344
10,CIUDAD FERNANDEZ,244,BASICA,37,73,4,0,0,0,1,1,0,0,0,116
10,CIUDAD FERNANDEZ,245,BASICA,139,260,2,0,1,1,1,2,0,0,1,407
10,CIUDAD FERNANDEZ,246,BASICA,153,108,1,0,0,0,1,1,0,0,0,264
10,CIUDAD FERNANDEZ,246,CONTIGUA 1,113,139,4,0,1,0,0,0,0,0,0,257
10,CIUDAD FERNANDEZ,247,BASICA,154,212,6,0,0,0,0,0,0,0,0,372
10,CIUDAD FERNANDEZ,248,BASICA,120,125,1,0,0,0,0,0,0,0,0,246
10,CIUDAD FERNANDEZ,249,BASICA,76,167,2,0,0,2,0,5,1,0,0,253
10,CIUDAD FERNANDEZ,250,BASICA,31,156,4,3,0,0,0,2,0,0,0,196
14,TANCANHUITZ DE SANTOS,251,BASICA,131,321,13,0,0,0,0,0,0,2,0,467
14,TANCANHUITZ DE SANTOS,252,BASICA,128,242,6,0,0,0,0,0,0,5,0,381
14,TANCANHUITZ DE SANTOS,252,CONTIGUA 1,151,236,5,0,0,0,0,0,0,10,0,402
14,TANCANHUITZ DE SANTOS,253,BASICA,134,154,18,0,0,0,0,0,0,10,0,316
14,TANCANHUITZ DE SANTOS,253,CONTIGUA 1,107,121,32,0,0,0,0,0,0,7,0,267
14,TANCANHUITZ DE SANTOS,254,BASICA,99,107,23,0,0,0,0,0,0,7,0,236
14,TANCANHUITZ DE SANTOS,255,BASICA,75,136,105,0,0,0,0,0,0,8,0,324
14,TANCANHUITZ DE SANTOS,256,BASICA,174,233,50,0,0,0,0,0,0,14,0,471
14,TANCANHUITZ DE SANTOS,257,BASICA,123,106,67,0,0,0,0,0,0,19,0,315
14,TANCANHUITZ DE SANTOS,257,CONTIGUA 1,111,113,64,0,0,0,0,0,0,16,0,304
