ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PAN_PRD_PT,PRI_PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,11,EL SALVADOR,6,6,,,,49,22,521,,,1121,,,,,,,,,,,,,,,,,,,,0,1713,27,1740,2159,0.8059
32,ZACATECAS,12,GENERAL ENRIQUE ESTRADA,7,11,,,25,174,1047,1103,,,781,,,,,,,,,,,,,,,,,,,,1,3130,77,3208,4638,0.6917
32,ZACATECAS,13,FRESNILLO,204,313,2751,3264,,21865,4712,17208,,32529,,,,,5430,,,,,,,,,,,,,,,,68,87759,2379,90206,157447,0.5729
32,ZACATECAS,14,TRINIDAD GARCIA DE LA CADENA,7,8,67,,,341,,423,,,804,,,,,,,,,,,,,,,,,,,,0,1635,46,1681,2781,0.6045
32,ZACATECAS,15,GENARO CODINA,16,18,174,54,,792,,1013,,,1142,,,,,,,,,,,,706,,,,,,,,2,3881,150,4033,5921,0.681
32,ZACATECAS,16,GUADALUPE,106,214,8959,1749,,13264,2623,8636,,27425,,,,,,,,,,,,,,,,,,,2219,,122,64875,2225,67222,117677,0.5712
32,ZACATECAS,17,HUANUSCO,13,14,,,,377,,907,,,977,,,,,,,,,,,,,,,,,,,,0,2261,48,2309,3903,0.5916
32,ZACATECAS,18,JALPA,34,44,714,3731,193,1681,106,1871,,,2030,,,,,,,,,,,,,,,,,,,,4,10326,319,10649,19495,0.5462
32,ZACATECAS,19,JEREZ,95,115,806,73,,1775,376,7260,,,8682,,,5863,,,,,,,2731,,,,,,,,,,11,27566,915,28492,49342,0.5774
32,ZACATECAS,20,JIMENEZ DEL TEUL,10,11,55,,,647,,299,,1262,,,,,,,,,,,,,,,,,,,,,0,2263,50,2313,3311,0.6986
32,ZACATECAS,21,JUAN ALDAMA,23,32,4429,,118,617,125,174,,,3804,,,,,,,,,,,,,,,,,,,,1,9267,279,9547,15609,0.6116
32,ZACATECAS,22,JUCHIPILA,20,25,129,22,,1031,,2691,,1747,,,,,,,,,,449,,,,,,,,,,,2,6069,188,6259,10931,0.5726
32,ZACATECAS,23,LUIS MOYA,12,17,70,361,,1855,719,569,,2270,,,,,,,,,,,,,,,,,,,,,2,5844,156,6002,9024,0.6651
32,ZACATECAS,24,LORETO,31,61,7948,63,274,4000,420,927,,,4702,295,,,,,,,,,,,,,,,,,,,2,18629,484,19115,32455,0.589
32,ZACATECAS,25,MAZAPIL,47,50,265,21,4621,,,919,,,4557,,,,,,,,,,,,,,,,,,,,1,10383,198,10582,13853,0.7639
32,ZACATECAS,26,GENERAL FRANCISCO R. MURGUIA,42,48,1144,,,3129,74,514,,,5938,,,,,,,,,,,,,,,,,,,,5,10799,298,11102,17249,0.6436
32,ZACATECAS,27,MELCHOR OCAMPO,7,8,24,,,,,1080,,,915,,,,,,,,,,,,,,,,,,,,0,2019,34,2053,2395,0.8572
32,ZACATECAS,28,MEZQUITAL DEL ORO,7,9,,,,10,,1018,,,702,,,,,,,,,,,,,,,,,,,,0,1730,16,1746,2357,0.7408
32,ZACATECAS,29,MIGUEL AUZA,21,33,284,56,93,4200,239,1124,,,2607,,,,,,,,,,,,,,,866,,,,,0,9469,194,9663,16269,0.594
32,ZACATECAS,30,MOMAX,6,7,297,6,441,102,4,136,,,484,,,,,,,,,,,,,,,,,,,,0,1470,29,1499,2300,0.6517
32,ZACATECAS,31,MONTE ESCOBEDO,21,23,1396,,,125,37,1727,,1508,,,,,,,,,,,,,,,,,,,,,0,4793,149,4942,7674,0.644
32,ZACATECAS,32,MORELOS,9,18,393,668,1831,1343,,410,,,1489,,,,,,,,,,,,,,,,,,,,2,6134,166,6302,8799,0.7162
32,ZACATECAS,33,MOYAHUA DE ESTRADA,10,11,,314,,70,,1126,,,1113,,,,,,,,,,,,,,,,,,,,0,2623,58,2681,4463,0.6007
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,44,59,5577,41,,865,205,3592,,,3735,,,,,,,,,,,,,,,,,,,,2,14015,436,14453,24222,0.5967
32,ZACATECAS,35,NORIA DE ANGELES,16,23,1242,32,,2434,107,1202,,,2671,,,,,,,,,,,,,,,,,,,,2,7688,213,7903,11096,0.7122
32,ZACATECAS,36,OJOCALIENTE,42,63,4708,882,,918,253,1954,,7502,,,,,,,,,,,,,,,,,,,,,4,16217,552,16773,29141,0.5756
32,ZACATECAS,37,GENERAL PANFILO NATERA,24,36,2707,127,2041,399,120,1808,,,3653,,,,,,,,,,,,,,,,,,,,3,10855,511,11369,17310,0.6568
32,ZACATECAS,38,PANUCO,14,25,3246,45,,561,176,354,,,3759,,,,,,,,,,,,,,,,,,,,0,8141,193,8334,11926,0.6988
32,ZACATECAS,39,PINOS,95,114,782,233,255,14427,254,995,,,15739,,,,,,,,,,,,,,,,,,,,4,32685,999,33688,48705,0.6917
32,ZACATECAS,40,RIO GRANDE,63,97,4445,811,,2530,708,8890,,7888,,,,,,,,,,,,,,,,,,,,,33,25272,940,26245,48829,0.5375
32,ZACATECAS,41,SAIN ALTO,27,34,184,19,82,592,,6049,,,3660,,,,,,,,,,,,,,,,,,,,1,10586,333,10920,16084,0.6789
32,ZACATECAS,42,SANTA MARIA DE LA PAZ,8,8,59,,,54,,732,,,640,,,,,,,,,,,,,,,,,,,,0,1485,40,1525,2411,0.6325
32,ZACATECAS,43,SOMBRERETE,89,113,3050,,,3669,598,12043,,5843,,,,,,,,,,,,,,,,,,,,,6,25203,740,25949,46398,0.5593
32,ZACATECAS,44,SUSTICACAN,3,3,25,,,424,24,23,,,349,,,,,,,,,,,,,,,,,,,,0,845,37,882,1249,0.7062
32,ZACATECAS,45,TABASCO,21,26,249,126,183,341,217,3193,,,3105,,,,,,,,,,,,,,,,,,,,3,7414,233,7650,12276,0.6232
32,ZACATECAS,46,TEPECHITLAN,19,21,463,60,,,,1940,,,1920,,,,,,,,,,,,,,,,,,,,1,4383,114,4498,7104,0.6332
32,ZACATECAS,47,TEPETONGO,20,20,,,65,370,25,808,,,2349,,,,,,,,,,,,,,,,,,,,2,3617,113,3732,6270,0.5952
32,ZACATECAS,48,TEUL DE GONZALEZ ORTEGA,11,14,56,,,893,140,0,,,1648,,,,,,,,,,,,,,,,,,,,7,2737,63,2807,4377,0.6413
32,ZACATECAS,49,TLALTENANGO DE SANCHEZ ROMAN,37,49,143,,,1216,68,4199,,4107,,,,,,,,1792,,,,,,,,,,,,,2,11525,356,11883,19731,0.6023
32,ZACATECAS,50,TRANCOSO,11,23,2027,100,586,1446,141,2476,,,1296,,,,,,,,,,,,,,,,,,,,1,8072,320,8393,12466,0.6733
32,ZACATECAS,51,VALPARAISO,67,75,,,,577,511,7219,,,8222,,,,,,,,,,,,,,,,,,,,3,16529,427,16959,26737,0.6343
32,ZACATECAS,52,VETAGRANDE,8,15,346,28,32,454,91,2077,,,2109,,,,,,,,,,,153,,,,,,,,,2,5290,122,5414,7307,0.7409
32,ZACATECAS,53,VILLA DE COS,47,62,2010,55,,855,290,5164,,,5538,,2356,,,,,,,,,,,,,,,,,,9,16268,424,16701,24517,0.6812
32,ZACATECAS,54,VILLA GARCIA,16,25,522,2954,,2045,173,311,,2632,,,,,,,,,,,,,,,,,,,,,4,8637,232,8873,12340,0.719
32,ZACATECAS,55,VILLA GONZALEZ ORTEGA,12,19,1003,33,1540,770,,2390,,,352,,,,,,,,,,,,,,,,,,,,1,6088,329,6418,9900,0.6483
32,ZACATECAS,56,VILLA HIDALGO,23,29,73,54,,729,110,3771,,,4360,,,,,,,,,,,,,,,,,,,,0,9097,258,9355,13162,0.7108
32,ZACATECAS,57,VILLANUEVA,50,61,156,505,,540,171,6151,,7719,,,,,,,,,,,,,,,,,,,,,2,15242,527,15771,24935,0.6325
32,ZACATECAS,58,ZACATECAS,111,197,,3849,,,916,,9107,14120,,,,,,,,,,,,,,491,,,,1082,,1681,82,31246,1140,32468,105842,0.3068
