ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,16,GUADALUPE,106,214,3796,23581,4840,8959,2499,1749,1345,13264,2623,,,,,,,,,,,,,,,,,,2219,,122,64875,2225,67222,117677,0.5712
32,ZACATECAS,17,HUANUSCO,13,14,745,917,162,,60,,,377,,,,,,,,,,,,,,,,,,,,,0,2261,48,2309,3903,0.5916
32,ZACATECAS,18,JALPA,34,44,1613,1848,258,714,182,3731,193,1681,106,,,,,,,,,,,,,,,,,,,,4,10326,319,10649,19495,0.5462
32,ZACATECAS,19,JEREZ,95,115,6541,7860,719,806,379,73,443,1775,376,,,5863,,,,,,,2731,,,,,,,,,,11,27566,915,28492,49342,0.5774
32,ZACATECAS,20,JIMENEZ DEL TEUL,10,11,126,1141,173,55,63,,58,647,,,,,,,,,,,,,,,,,,,,,0,2263,50,2313,3311,0.6986
32,ZACATECAS,21,JUAN ALDAMA,23,32,93,3619,81,4429,185,,118,617,125,,,,,,,,,,,,,,,,,,,,1,9267,279,9547,15609,0.6116
32,ZACATECAS,22,JUCHIPILA,20,25,2229,1637,462,129,65,22,45,1031,,,,,,,,,,449,,,,,,,,,,,2,6069,188,6259,10931,0.5726
32,ZACATECAS,23,LUIS MOYA,12,17,447,1650,122,70,510,361,110,1855,719,,,,,,,,,,,,,,,,,,,,2,5844,156,6002,9024,0.6651
32,ZACATECAS,24,LORETO,31,61,436,4146,491,7948,556,63,274,4000,420,295,,,,,,,,,,,,,,,,,,,2,18629,484,19115,32455,0.589
32,ZACATECAS,25,MAZAPIL,47,50,54,4504,865,265,53,21,4621,,,,,,,,,,,,,,,,,,,,,,1,10383,198,10582,13853,0.7639
32,ZACATECAS,26,GENERAL FRANCISCO R. MURGUIA,42,48,131,5751,383,1144,187,,,3129,74,,,,,,,,,,,,,,,,,,,,5,10799,298,11102,17249,0.6436
32,ZACATECAS,27,MELCHOR OCAMPO,7,8,33,912,1047,24,3,,,,,,,,,,,,,,,,,,,,,,,,0,2019,34,2053,2395,0.8572
32,ZACATECAS,28,MEZQUITAL DEL ORO,7,9,113,674,905,,28,,,10,,,,,,,,,,,,,,,,,,,,,0,1730,16,1746,2357,0.7408
32,ZACATECAS,29,MIGUEL AUZA,21,33,688,2560,436,284,47,56,93,4200,239,,,,,,,,,,,,,,,866,,,,,0,9469,194,9663,16269,0.594
32,ZACATECAS,30,MOMAX,6,7,127,455,9,297,29,6,441,102,4,,,,,,,,,,,,,,,,,,,,0,1470,29,1499,2300,0.6517
32,ZACATECAS,31,MONTE ESCOBEDO,21,23,1629,1349,98,1396,119,,40,125,37,,,,,,,,,,,,,,,,,,,,0,4793,149,4942,7674,0.644
32,ZACATECAS,32,MORELOS,9,18,115,1438,295,393,51,668,1831,1343,,,,,,,,,,,,,,,,,,,,,2,6134,166,6302,8799,0.7162
32,ZACATECAS,33,MOYAHUA DE ESTRADA,10,11,738,1078,388,,35,314,,70,,,,,,,,,,,,,,,,,,,,,0,2623,58,2681,4463,0.6007
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,44,59,2776,3514,816,5577,221,41,,865,205,,,,,,,,,,,,,,,,,,,,2,14015,436,14453,24222,0.5967
32,ZACATECAS,35,NORIA DE ANGELES,16,23,186,2605,1016,1242,66,32,,2434,107,,,,,,,,,,,,,,,,,,,,2,7688,213,7903,11096,0.7122
32,ZACATECAS,36,OJOCALIENTE,42,63,1159,6546,795,4708,601,882,355,918,253,,,,,,,,,,,,,,,,,,,,4,16217,552,16773,29141,0.5756
32,ZACATECAS,37,GENERAL PANFILO NATERA,24,36,217,869,1591,2707,2784,127,2041,399,120,,,,,,,,,,,,,,,,,,,,3,10855,511,11369,17310,0.6568
32,ZACATECAS,38,PANUCO,14,25,184,3676,170,3246,83,45,,561,176,,,,,,,,,,,,,,,,,,,,0,8141,193,8334,11926,0.6988
32,ZACATECAS,39,PINOS,95,114,223,15294,772,782,445,233,255,14427,254,,,,,,,,,,,,,,,,,,,,4,32685,999,33688,48705,0.6917
32,ZACATECAS,40,RIO GRANDE,63,97,5051,7067,3839,4445,515,811,306,2530,708,,,,,,,,,,,,,,,,,,,,33,25272,940,26245,48829,0.5375
32,ZACATECAS,41,SAIN ALTO,27,34,780,3602,5269,184,58,19,82,592,,,,,,,,,,,,,,,,,,,,,1,10586,333,10920,16084,0.6789
32,ZACATECAS,42,SANTA MARIA DE LA PAZ,8,8,616,627,116,59,13,,,54,,,,,,,,,,,,,,,,,,,,,0,1485,40,1525,2411,0.6325
32,ZACATECAS,43,SOMBRERETE,89,113,7225,4475,4818,3050,832,,536,3669,598,,,,,,,,,,,,,,,,,,,,6,25203,740,25949,46398,0.5593
32,ZACATECAS,44,SUSTICACAN,3,3,16,337,7,25,12,,,424,24,,,,,,,,,,,,,,,,,,,,0,845,37,882,1249,0.7062
32,ZACATECAS,45,TABASCO,21,26,2823,2950,370,249,155,126,183,341,217,,,,,,,,,,,,,,,,,,,,3,7414,233,7650,12276,0.6232
32,ZACATECAS,46,TEPECHITLAN,19,21,703,1825,1237,463,95,60,,,,,,,,,,,,,,,,,,,,,,,1,4383,114,4498,7104,0.6332
32,ZACATECAS,47,TEPETONGO,20,20,227,2299,581,,50,,65,370,25,,,,,,,,,,,,,,,,,,,,2,3617,113,3732,6270,0.5952
32,ZACATECAS,48,TEUL DE GONZALEZ ORTEGA,11,14,,1574,,56,74,,,893,140,,,,,,,,,,,,,,,,,,,,7,2737,63,2807,4377,0.6413
32,ZACATECAS,49,TLALTENANGO DE SANCHEZ ROMAN,37,49,3677,2468,522,143,1433,,206,1216,68,,,,,,,1792,,,,,,,,,,,,,2,11525,356,11883,19731,0.6023
32,ZACATECAS,50,TRANCOSO,11,23,200,1153,2276,2027,143,100,586,1446,141,,,,,,,,,,,,,,,,,,,,1,8072,320,8393,12466,0.6733
32,ZACATECAS,51,VALPARAISO,67,75,1172,7924,6047,,298,,,577,511,,,,,,,,,,,,,,,,,,,,3,16529,427,16959,26737,0.6343
32,ZACATECAS,52,VETAGRANDE,8,15,436,2058,1641,346,51,28,32,454,91,,,,,,,,,,,153,,,,,,,,,2,5290,122,5414,7307,0.7409
32,ZACATECAS,53,VILLA DE COS,47,62,421,5058,4743,2010,480,55,,855,290,,2356,,,,,,,,,,,,,,,,,,9,16268,424,16701,24517,0.6812
32,ZACATECAS,54,VILLA GARCIA,16,25,186,1851,125,522,244,2954,537,2045,173,,,,,,,,,,,,,,,,,,,,4,8637,232,8873,12340,0.719
32,ZACATECAS,55,VILLA GONZALEZ ORTEGA,12,19,228,165,2162,1003,187,33,1540,770,,,,,,,,,,,,,,,,,,,,,1,6088,329,6418,9900,0.6483
32,ZACATECAS,56,VILLA HIDALGO,23,29,145,4291,3626,73,69,54,,729,110,,,,,,,,,,,,,,,,,,,,0,9097,258,9355,13162,0.7108
32,ZACATECAS,57,VILLANUEVA,50,61,1001,5429,5150,156,525,505,1765,540,171,,,,,,,,,,,,,,,,,,,,2,15242,527,15771,24935,0.6325
32,ZACATECAS,58,ZACATECAS,111,197,5173,11750,1865,2069,1671,3849,699,,916,,,,,,,,,,,,,491,,,,1082,,1681,82,31246,1140,32468,105842,0.3068
