CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,18,NAYARIT,11,RUIZ,27,41,5230,3743,151,117,54,29,924,120,499,123,59,14,4,0,0,24,14,3,0,0,6,1,6,5,1,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11348,448,11800,16748,0.7046
1,18,NAYARIT,12,SAN BLAS,48,67,3305,3755,659,226,1247,158,1012,1792,1721,305,44,12,2,0,0,34,11,2,6,2,10,,,,,,,,,,,,,,,,,,,,,234,3099,,,,,,,,,,,,,,,,,2,17636,1142,18780,28811,0.6518
1,18,NAYARIT,13,SAN PEDRO LAGUNILLAS,12,15,1629,1471,80,93,335,10,84,60,281,12,15,2,1,0,0,14,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,0,4231,190,4421,6216,0.7112
1,18,NAYARIT,14,SANTA MARIA DEL ORO,23,37,1141,5427,709,885,269,50,689,718,1120,57,22,14,2,3,3,12,8,2,21,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,,,,,,,,3,11481,714,12198,17397,0.7012
1,18,NAYARIT,15,SANTIAGO IXCUINTLA,112,150,7173,12974,7873,1578,1069,374,1239,666,3059,350,355,107,17,7,19,227,30,10,70,11,6,20,91,33,21,,,,4532,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,42660,1760,44439,69121,0.6429
1,18,NAYARIT,16,TECUALA,50,65,1334,7046,1860,190,530,248,1046,416,2265,240,50,9,3,3,1,55,3,3,12,9,0,26,64,35,5,,2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18066,922,18992,28594,0.6642
1,18,NAYARIT,17,TEPIC,298,536,41414,33729,9506,5230,4546,827,10698,5671,30944,3136,1057,311,29,22,22,633,117,19,107,7,15,,,,,,,,,,821,884,675,2232,453,1415,2545,751,4579,575,1039,,,784,1384,536,822,314,1403,1173,1129,,256,161,,,,,,123,171971,5720,177814,290823,0.6114
1,18,NAYARIT,18,TUXPAN,34,48,2760,3281,1875,510,170,93,1418,403,819,250,53,18,2,1,0,44,8,2,8,2,0,4,16,26,2,,,,2898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14663,562,15245,22045,0.6915
1,18,NAYARIT,19,XALISCO,22,65,7010,4772,487,301,660,50,1102,703,4593,413,86,25,2,3,1,57,9,3,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259,854,,,,,,17,22402,809,23228,37730,0.6156
1,18,NAYARIT,20,LA YESCA,11,18,824,1620,30,154,27,25,1523,34,1356,11,19,4,1,3,0,8,15,3,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,0,5679,363,6042,7846,0.7701
