CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,1,,1,COLIMA,21,2,236,117,3,11,5,275,27,87,1,3,2,4,0,0,2,,,773,1,15,789,1080
5,6,COLIMA,6,,1,COLIMA,22,2,91,85,6,5,13,138,40,100,7,2,1,4,2,0,0,,,494,0,12,506,787
5,6,COLIMA,3,,1,COLIMA,23,4,232,201,14,27,47,369,65,321,7,6,7,8,4,0,2,,,1310,1,38,1349,2282
5,6,COLIMA,3,,1,COLIMA,24,6,496,359,25,21,113,659,113,624,27,9,14,15,13,3,1,,,2492,3,85,2580,4433
5,6,COLIMA,2,,1,COLIMA,25,2,137,124,9,18,20,151,46,121,13,2,8,5,4,0,0,,,658,0,25,683,1092
5,6,COLIMA,2,,1,COLIMA,26,2,131,114,3,14,9,174,27,96,2,1,6,1,0,0,0,,,578,0,13,591,864
5,6,COLIMA,2,,1,COLIMA,27,1,111,70,4,9,5,170,43,71,4,3,2,3,0,0,0,,,495,0,11,506,747
5,6,COLIMA,2,,1,COLIMA,28,2,90,63,3,4,3,122,32,54,1,1,3,0,0,0,0,,,376,0,14,390,466
5,6,COLIMA,2,,1,COLIMA,29,1,100,106,5,9,3,139,46,64,2,1,2,2,0,0,0,,,479,0,12,491,692
5,6,COLIMA,2,,1,COLIMA,30,1,61,52,2,7,6,75,25,48,1,0,2,0,0,0,0,,,279,0,6,285,445
5,6,COLIMA,2,,1,COLIMA,31,2,168,122,3,14,17,152,61,114,1,2,1,1,5,1,0,,,662,0,23,685,952
5,6,COLIMA,1,,1,COLIMA,32,2,169,172,5,14,27,145,52,122,3,1,12,4,2,0,0,,,728,0,12,740,1170
5,6,COLIMA,1,,1,COLIMA,33,2,212,197,9,17,15,270,71,143,5,2,3,5,2,0,0,,,951,0,13,964,1299
5,6,COLIMA,1,,1,COLIMA,34,2,168,168,5,12,15,258,155,225,3,1,2,2,0,0,0,,,1014,1,15,1030,1086
5,6,COLIMA,1,,1,COLIMA,35,2,188,131,9,15,13,186,83,158,4,4,3,5,0,0,1,,,800,1,13,814,1245
5,6,COLIMA,1,,1,COLIMA,36,2,145,115,4,20,36,168,49,185,5,6,4,6,5,0,0,,,748,1,30,779,1393
5,6,COLIMA,3,,1,COLIMA,37,3,228,187,11,25,46,292,71,284,15,0,8,7,1,0,1,,,1176,0,37,1213,2225
5,6,COLIMA,2,,1,COLIMA,38,2,106,77,6,16,16,129,31,123,6,0,7,3,2,1,0,,,523,3,22,548,860
5,6,COLIMA,2,,1,COLIMA,39,1,60,45,4,5,6,119,36,55,1,3,2,1,2,0,0,,,339,1,7,347,505
5,6,COLIMA,2,,1,COLIMA,40,2,79,50,4,10,6,88,30,57,3,0,2,3,3,0,0,,,335,1,10,346,574
5,6,COLIMA,2,,1,COLIMA,41,1,70,55,3,3,1,85,24,38,2,0,0,0,0,2,0,,,283,0,6,289,419
5,6,COLIMA,1,,1,COLIMA,42,1,60,59,2,6,15,45,38,107,4,3,3,4,0,0,0,,,346,1,12,359,562
5,6,COLIMA,1,,1,COLIMA,43,2,116,159,6,13,12,152,56,91,3,1,6,0,2,0,0,,,617,0,24,641,1020
5,6,COLIMA,1,,1,COLIMA,44,1,68,53,5,7,4,80,17,52,5,1,0,0,0,2,0,,,294,0,10,304,481
5,6,COLIMA,1,,1,COLIMA,45,3,239,210,12,20,23,243,78,179,10,6,6,7,4,0,2,,,1039,4,36,1079,1546
5,6,COLIMA,1,,1,COLIMA,46,2,121,103,7,10,11,181,45,114,4,1,4,1,2,0,0,,,604,0,14,618,864
5,6,COLIMA,2,,1,COLIMA,47,2,203,171,8,15,6,232,53,150,8,1,1,4,0,0,1,,,853,1,13,867,1187
5,6,COLIMA,2,,1,COLIMA,48,2,158,94,6,13,15,212,81,140,6,1,5,5,2,0,1,,,739,5,8,752,1090
5,6,COLIMA,2,,1,COLIMA,49,1,45,53,1,4,3,54,19,37,1,1,4,2,0,0,0,,,224,0,1,225,323
5,6,COLIMA,1,,1,COLIMA,50,2,117,84,3,7,9,115,60,105,6,1,3,2,0,1,1,,,514,0,16,530,801
5,6,COLIMA,1,,1,COLIMA,51,2,147,108,3,8,11,111,31,76,2,6,3,2,2,0,0,,,510,1,13,524,799
5,6,COLIMA,1,,1,COLIMA,52,3,208,218,12,13,22,269,74,179,4,4,9,4,1,0,0,,,1017,0,43,1060,1590
5,6,COLIMA,1,,1,COLIMA,53,2,181,130,13,28,16,224,70,168,3,4,4,2,1,0,0,,,844,1,23,868,1356
5,6,COLIMA,2,,1,COLIMA,54,4,345,278,10,27,27,373,119,268,9,2,8,6,5,0,1,,,1478,2,32,1512,2155
5,6,COLIMA,2,,1,COLIMA,55,2,122,144,6,40,18,147,39,127,2,3,10,5,3,0,2,,,668,1,26,695,1101
5,6,COLIMA,2,,1,COLIMA,56,1,65,41,3,12,5,90,36,42,0,1,1,0,1,0,0,,,297,0,10,307,435
5,6,COLIMA,1,,1,COLIMA,57,2,112,70,5,2,8,111,45,68,3,1,4,1,0,0,1,,,431,0,16,447,751
5,6,COLIMA,1,,1,COLIMA,58,2,147,155,4,13,17,179,42,93,5,1,4,13,3,0,0,,,676,0,22,698,1023
5,6,COLIMA,1,,1,COLIMA,59,2,135,117,10,23,23,120,48,156,8,2,7,9,2,0,3,,,663,1,31,695,1163
5,6,COLIMA,1,,1,COLIMA,60,12,899,589,41,106,115,951,244,1078,39,4,33,31,22,0,5,,,4157,8,106,4271,7488
5,6,COLIMA,3,,1,COLIMA,61,3,175,210,20,14,34,262,55,219,7,3,7,4,8,1,1,,,1020,1,44,1065,1946
5,6,COLIMA,3,,1,COLIMA,62,13,786,727,55,63,151,1127,226,1075,34,13,26,29,25,1,10,,,4348,7,197,4552,8263
5,6,COLIMA,2,,1,COLIMA,63,2,113,121,11,10,20,182,48,161,4,2,8,6,0,0,1,,,687,1,28,716,1136
5,6,COLIMA,2,,1,COLIMA,64,2,156,105,11,29,24,221,49,154,8,2,5,9,4,0,1,,,778,1,29,808,1239
5,6,COLIMA,2,,1,COLIMA,65,4,259,161,11,35,30,299,93,250,10,9,7,6,4,0,1,,,1175,3,38,1216,2059
5,6,COLIMA,2,,1,COLIMA,66,2,143,151,2,20,10,184,95,111,0,3,2,2,1,1,2,,,727,0,10,737,1137
5,6,COLIMA,2,,1,COLIMA,67,2,110,102,4,13,11,151,147,93,1,4,7,3,0,0,0,,,646,2,18,666,984
5,6,COLIMA,1,,1,COLIMA,68,2,199,150,9,10,17,220,149,144,5,1,11,3,6,0,0,,,924,0,29,953,1440
5,6,COLIMA,1,,1,COLIMA,69,5,500,246,14,49,64,533,125,471,16,13,10,17,5,0,2,,,2065,1,54,2120,3662
5,6,COLIMA,1,,1,COLIMA,70,2,201,140,9,10,6,239,67,85,3,5,5,2,2,0,0,,,774,0,22,796,1132
5,6,COLIMA,1,,1,COLIMA,71,2,104,82,8,14,9,96,39,96,3,5,4,1,2,0,1,,,464,0,19,483,923
5,6,COLIMA,1,,1,COLIMA,72,2,111,75,8,8,12,84,35,88,3,5,0,0,2,1,0,,,432,0,20,452,782
5,6,COLIMA,2,,1,COLIMA,73,6,437,337,28,61,56,522,157,464,19,11,13,13,5,0,3,,,2126,5,60,2191,3592
5,6,COLIMA,2,,1,COLIMA,74,3,221,128,15,37,24,261,65,260,6,5,10,1,2,0,1,,,1036,0,49,1085,1822
5,6,COLIMA,3,,1,COLIMA,75,2,177,107,10,17,17,181,99,189,5,1,3,6,6,0,0,,,818,2,22,842,1458
5,6,COLIMA,3,,1,COLIMA,76,3,216,159,17,20,20,202,102,236,9,3,3,3,3,0,0,,,993,0,40,1033,1773
5,6,COLIMA,6,,1,COLIMA,77,2,294,240,10,10,12,206,43,166,10,2,2,3,1,0,1,,,1000,0,15,1015,1493
5,6,COLIMA,6,,1,COLIMA,78,1,47,35,1,0,5,32,8,14,2,0,1,1,0,0,1,,,147,0,2,149,183
5,6,COLIMA,6,,1,COLIMA,79,3,276,254,4,17,16,321,67,183,9,0,5,4,5,1,0,,,1162,0,41,1203,1712
5,6,COLIMA,6,,1,COLIMA,80,1,94,95,3,4,11,122,27,76,2,1,1,3,3,0,0,,,442,0,10,452,723
5,6,COLIMA,3,,1,COLIMA,81,3,243,323,8,24,38,275,82,293,9,2,10,3,3,0,0,,,1313,2,31,1346,2199
5,6,COLIMA,3,,1,COLIMA,82,4,271,290,19,25,63,380,88,262,11,3,9,12,11,1,2,,,1447,2,72,1521,2602
5,6,COLIMA,3,,1,COLIMA,83,3,62,95,5,6,11,55,45,73,4,0,1,1,2,0,1,,,361,0,11,372,616
5,6,COLIMA,3,,1,COLIMA,84,3,170,422,7,15,15,115,55,85,5,0,8,3,1,0,0,,,901,0,56,957,1390
5,6,COLIMA,3,,1,COLIMA,85,5,114,257,10,16,17,91,50,93,3,3,10,3,1,0,0,,,668,0,44,712,1076
5,6,COLIMA,3,,1,COLIMA,86,1,52,102,3,8,14,38,26,64,12,0,2,4,2,0,4,,,331,0,18,349,565
5,6,COLIMA,3,,1,COLIMA,87,3,141,178,9,5,16,64,44,105,5,3,4,4,5,0,1,,,584,0,26,610,935
5,6,COLIMA,3,,1,COLIMA,88,2,95,129,5,3,10,46,89,64,3,1,7,2,1,0,1,,,456,0,22,478,950
5,6,COLIMA,3,,1,COLIMA,89,2,62,99,2,9,10,33,63,63,2,1,1,0,1,0,1,,,347,1,15,363,774
5,6,COLIMA,3,,1,COLIMA,90,2,56,134,6,2,15,33,15,40,3,1,5,3,0,0,0,,,313,0,14,327,534
5,6,COLIMA,3,,1,COLIMA,91,2,74,162,4,4,2,32,7,57,9,2,5,2,0,0,2,,,362,0,7,369,542
5,6,COLIMA,4,,2,COMALA,92,3,639,367,5,2,20,116,23,166,15,9,7,5,3,0,2,136,,1515,0,41,1556,2239
5,6,COLIMA,4,,2,COMALA,93,3,383,288,4,7,17,79,6,105,5,8,3,9,1,0,0,94,,1009,0,27,1036,1435
5,6,COLIMA,4,,2,COMALA,94,2,366,288,5,4,15,74,23,104,7,1,2,3,0,0,0,112,,1004,0,27,1031,1456
5,6,COLIMA,4,,2,COMALA,95,3,469,311,4,1,17,78,10,146,6,3,7,4,3,1,1,105,,1166,1,35,1202,1772
5,6,COLIMA,4,,2,COMALA,96,3,284,301,6,4,7,56,22,130,7,1,5,6,1,0,1,115,,946,0,32,978,1319
5,6,COLIMA,4,,2,COMALA,97,1,72,59,2,1,2,10,4,19,2,4,1,3,1,0,0,3,,183,0,6,189,256
5,6,COLIMA,4,,2,COMALA,98,1,12,28,1,0,2,4,0,11,0,1,3,0,0,0,0,10,,72,0,6,78,104
5,6,COLIMA,4,,2,COMALA,99,2,67,161,3,2,8,27,6,106,3,1,6,15,1,0,1,17,,424,0,20,444,599
5,6,COLIMA,4,,2,COMALA,100,3,428,289,15,2,40,83,8,141,9,5,7,8,1,0,1,52,,1089,0,30,1119,1577
5,6,COLIMA,4,,2,COMALA,101,4,389,510,6,4,19,17,16,116,7,9,12,11,1,1,2,50,,1170,0,53,1223,1612
5,6,COLIMA,4,,2,COMALA,102,1,169,101,6,1,16,22,9,41,7,2,2,4,3,0,0,18,,401,0,10,411,622
5,6,COLIMA,4,,2,COMALA,103,3,280,351,9,10,56,127,12,184,18,6,5,17,5,1,3,134,,1218,0,37,1255,1772
5,6,COLIMA,4,,2,COMALA,104,3,275,255,9,7,32,221,35,179,14,8,7,6,2,0,2,179,,1231,0,47,1278,1834
5,6,COLIMA,5,,3,COQUIMATLAN,105,4,305,551,9,6,72,87,113,316,20,8,11,19,8,0,3,,,1528,0,43,1571,2408
5,6,COLIMA,5,,3,COQUIMATLAN,106,3,332,337,5,24,57,45,87,239,19,6,12,11,7,0,4,,,1185,0,28,1213,1766
5,6,COLIMA,5,,3,COQUIMATLAN,107,3,212,341,6,5,69,59,64,205,11,4,7,17,1,0,1,,,1002,1,35,1038,1599
5,6,COLIMA,5,,3,COQUIMATLAN,108,2,224,258,6,10,38,47,87,126,11,8,11,14,5,0,1,,,846,0,22,868,1319
5,6,COLIMA,5,,3,COQUIMATLAN,109,2,102,251,2,2,30,37,45,123,3,8,10,8,3,0,2,,,626,0,18,644,879
5,6,COLIMA,5,,3,COQUIMATLAN,110,2,96,207,3,4,53,61,51,145,15,6,7,8,0,0,3,,,659,0,25,684,1031
5,6,COLIMA,5,,3,COQUIMATLAN,111,4,261,528,10,10,99,67,112,316,18,6,12,26,8,0,5,,,1478,0,48,1526,2294
5,6,COLIMA,5,,3,COQUIMATLAN,112,2,22,82,2,1,14,9,60,34,2,0,1,5,2,1,0,,,235,0,10,245,341
5,6,COLIMA,5,,3,COQUIMATLAN,113,1,30,125,4,3,19,10,25,43,4,0,0,0,1,0,0,,,264,0,10,274,385
5,6,COLIMA,5,,3,COQUIMATLAN,114,1,36,60,2,0,14,5,8,21,2,1,2,3,0,0,0,,,154,0,2,156,220
5,6,COLIMA,5,,3,COQUIMATLAN,115,1,16,89,5,1,18,12,10,32,2,0,2,3,0,0,1,,,191,0,11,202,322
5,6,COLIMA,5,,3,COQUIMATLAN,116,3,150,232,9,5,28,67,113,124,2,5,6,13,4,1,2,,,761,0,48,809,1399
5,6,COLIMA,5,,3,COQUIMATLAN,117,2,81,193,3,1,20,34,84,51,6,3,5,5,1,2,1,,,490,0,34,524,830
5,6,COLIMA,5,,3,COQUIMATLAN,118,2,66,151,2,9,21,22,23,77,5,0,6,1,2,0,0,,,385,0,23,408,663
5,6,COLIMA,5,,3,COQUIMATLAN,119,2,23,131,3,3,15,29,28,62,5,1,4,3,1,0,2,,,310,0,24,334,540
5,6,COLIMA,6,,4,CUAUHTEMOC,120,3,555,284,8,6,38,59,92,163,10,6,7,4,2,0,2,,,1236,0,59,1295,2047
5,6,COLIMA,6,,4,CUAUHTEMOC,121,2,327,165,3,2,15,50,69,119,2,5,4,2,4,0,0,,,767,0,21,788,1172
5,6,COLIMA,6,,4,CUAUHTEMOC,122,2,250,197,8,4,11,40,55,101,5,1,5,4,2,0,1,,,684,0,21,705,1080
5,6,COLIMA,6,,4,CUAUHTEMOC,123,2,378,228,9,5,15,31,61,125,4,5,4,2,1,0,1,,,869,1,43,913,1429
5,6,COLIMA,6,,4,CUAUHTEMOC,124,3,387,359,8,6,36,40,64,154,4,5,12,7,1,0,3,,,1086,1,32,1119,1681
5,6,COLIMA,6,,4,CUAUHTEMOC,125,3,339,233,13,5,38,43,67,125,4,7,6,6,3,0,0,,,889,0,31,920,1389
5,6,COLIMA,6,,4,CUAUHTEMOC,126,3,398,185,20,7,46,61,80,175,8,10,1,5,3,0,1,,,1000,0,33,1033,1621
5,6,COLIMA,6,,4,CUAUHTEMOC,127,2,324,172,10,6,22,31,69,99,4,3,1,2,1,0,0,,,744,0,19,763,1151
5,6,COLIMA,6,,4,CUAUHTEMOC,128,2,277,143,10,3,17,22,24,72,9,3,2,7,0,0,1,,,590,0,18,608,852
5,6,COLIMA,6,,4,CUAUHTEMOC,129,2,262,138,15,2,25,37,32,114,2,6,3,4,1,1,1,,,643,0,16,659,965
5,6,COLIMA,6,,4,CUAUHTEMOC,130,2,259,166,6,5,28,41,32,144,1,2,5,2,0,0,0,,,691,0,12,703,1002
5,6,COLIMA,6,,4,CUAUHTEMOC,131,3,391,224,12,7,21,34,23,110,6,2,2,2,1,0,0,,,835,0,30,865,1363
5,6,COLIMA,6,,4,CUAUHTEMOC,132,3,385,368,14,2,23,49,83,117,4,5,5,4,1,2,0,,,1062,0,25,1087,1550
5,6,COLIMA,6,,4,CUAUHTEMOC,133,2,189,185,10,3,20,18,38,55,4,1,0,8,3,0,0,,,534,0,15,549,866
5,6,COLIMA,6,,4,CUAUHTEMOC,134,3,405,221,17,5,29,34,118,185,5,12,0,14,9,3,2,,,1059,0,28,1087,1698
5,6,COLIMA,6,,4,CUAUHTEMOC,135,3,347,227,19,8,28,41,65,208,8,11,4,5,1,0,3,,,975,1,42,1018,1518
5,6,COLIMA,6,,4,CUAUHTEMOC,136,1,119,64,3,0,9,9,24,67,5,3,1,1,0,0,3,,,308,0,12,320,492
5,6,COLIMA,6,,4,CUAUHTEMOC,137,2,227,166,7,4,21,19,72,128,6,2,5,3,3,0,2,,,665,0,25,690,1033
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,138,9,275,737,42,80,158,1154,94,1018,36,3,38,29,18,0,4,,,3686,4,128,3818,6494
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,139,13,598,993,39,120,197,1782,231,1606,48,11,33,30,16,0,2,,,5706,6,107,5819,8887
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,140,6,225,611,15,36,79,903,95,594,15,4,22,16,10,0,3,,,2628,1,67,2696,4271
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,141,2,86,168,6,6,24,299,24,195,3,2,7,6,1,0,1,,,828,1,14,843,1171
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,142,2,49,147,6,15,18,164,21,129,1,0,4,4,0,0,1,,,559,0,21,580,870
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,143,2,58,176,9,23,35,253,19,212,11,3,6,7,2,1,1,,,816,0,29,845,1276
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,144,3,112,234,8,22,35,403,48,301,12,3,12,10,3,0,3,,,1206,0,35,1241,1844
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,145,14,724,1162,53,103,189,2048,281,1551,67,5,23,55,16,2,2,,,6281,5,124,6410,9433
5,6,COLIMA,5,,5,VILLA DE ALVAREZ,146,8,377,646,34,47,93,901,133,809,38,6,24,32,10,1,8,,,3159,3,70,3232,5614
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,147,3,119,328,13,23,34,409,35,290,13,0,13,6,9,0,1,,,1293,4,48,1345,2099
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,148,4,58,380,3,12,20,462,29,144,11,1,8,1,1,0,1,,,1131,1,28,1160,1602
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,149,3,79,234,16,13,20,381,63,186,6,3,6,4,6,0,1,,,1018,0,30,1048,1554
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,150,2,60,160,7,6,17,319,17,119,6,3,4,6,2,0,1,,,727,1,34,762,1144
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,151,2,31,158,2,13,13,269,15,72,4,1,16,2,0,0,0,,,596,4,20,620,931
5,6,COLIMA,5,,5,VILLA DE ALVAREZ,152,7,297,637,21,33,96,727,104,781,21,4,26,26,4,0,6,,,2783,1,72,2856,4790
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,153,2,54,224,6,11,22,184,14,142,6,0,21,7,0,0,1,,,692,0,24,716,1166
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,154,2,48,145,7,11,31,186,12,95,6,2,11,5,3,0,0,,,562,0,34,596,988
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,155,2,66,253,5,26,15,301,28,146,4,2,8,7,0,0,0,,,861,0,34,895,1354
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,156,2,48,116,6,8,13,154,21,101,3,0,7,2,2,0,0,,,481,1,20,502,829
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,157,2,75,112,6,8,11,197,18,167,6,0,2,5,0,0,0,,,607,1,20,628,1003
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,158,1,47,80,4,6,7,169,16,70,5,2,3,4,0,0,0,,,413,1,17,431,673
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,159,3,122,305,11,19,35,296,112,302,8,4,13,9,9,0,4,,,1249,0,54,1303,2013
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,160,4,189,373,13,26,63,497,44,405,10,1,13,16,9,0,2,,,1661,1,45,1707,2777
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,161,6,256,531,21,30,56,820,120,603,18,7,10,8,7,0,2,,,2489,1,57,2547,3954
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,162,3,129,223,10,25,40,312,51,306,13,3,5,11,3,1,3,,,1135,2,18,1155,1869
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,164,3,92,321,9,16,29,283,42,252,9,0,10,8,3,0,3,,,1077,0,27,1104,1628
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,165,2,97,212,5,12,13,251,28,191,6,0,9,4,3,0,2,,,833,0,25,858,1271
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,166,2,31,112,3,1,8,45,3,29,0,0,7,1,1,0,0,,,241,0,13,254,351
5,6,COLIMA,5,,5,VILLA DE ALVAREZ,167,3,26,232,2,9,9,126,8,27,4,0,13,3,1,0,1,,,461,0,23,484,680
5,6,COLIMA,5,,5,VILLA DE ALVAREZ,168,1,19,141,6,1,9,84,0,53,1,0,5,4,1,0,1,,,325,0,17,342,529
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,169,1,29,95,0,1,11,71,5,35,1,0,1,2,1,0,0,,,252,0,15,267,359
5,6,COLIMA,9,,6,ARMERIA,170,3,117,356,13,46,43,13,64,395,9,5,23,25,7,0,7,,,1123,0,43,1166,1842
5,6,COLIMA,9,,6,ARMERIA,171,3,98,281,19,49,56,21,83,355,8,9,19,31,5,0,3,,,1037,0,39,1076,1621
5,6,COLIMA,9,,6,ARMERIA,172,2,37,140,5,25,21,13,25,215,3,1,5,17,1,0,4,,,512,0,18,530,842
5,6,COLIMA,9,,6,ARMERIA,173,2,91,231,11,29,32,10,57,245,5,4,15,9,3,0,4,,,746,0,22,768,1139
5,6,COLIMA,9,,6,ARMERIA,174,2,53,159,13,28,40,17,57,209,2,7,9,12,6,0,2,,,614,0,30,644,964
5,6,COLIMA,9,,6,ARMERIA,175,1,42,115,2,22,16,6,20,119,2,2,8,11,2,0,1,,,368,0,13,381,561
5,6,COLIMA,9,,6,ARMERIA,176,2,50,196,7,16,31,6,37,224,2,5,9,6,6,1,2,,,598,0,21,619,1002
5,6,COLIMA,9,,6,ARMERIA,177,2,79,202,11,39,56,16,22,300,14,1,20,15,3,0,1,,,779,0,39,818,1327
5,6,COLIMA,9,,6,ARMERIA,178,2,137,164,14,41,57,8,23,295,3,16,11,27,6,0,5,,,807,1,40,848,1254
5,6,COLIMA,9,,6,ARMERIA,179,2,49,168,9,20,17,14,24,237,3,2,4,11,8,1,2,,,569,0,14,583,896
5,6,COLIMA,9,,6,ARMERIA,180,2,43,126,8,26,17,7,41,166,5,5,13,17,6,0,2,,,482,0,17,499,762
5,6,COLIMA,9,,6,ARMERIA,181,2,56,166,15,6,23,15,54,214,5,3,7,12,4,2,2,,,584,0,24,608,1118
5,6,COLIMA,9,,6,ARMERIA,182,2,60,182,16,11,16,10,45,222,4,4,7,16,2,0,2,,,597,0,27,624,1195
5,6,COLIMA,9,,6,ARMERIA,183,2,39,139,22,28,31,14,83,203,6,2,7,11,4,0,3,,,592,0,29,621,994
5,6,COLIMA,9,,6,ARMERIA,184,1,55,54,6,37,9,20,12,71,4,5,9,1,0,3,6,,,292,0,14,306,462
5,6,COLIMA,9,,6,ARMERIA,185,2,63,87,12,20,25,6,16,171,6,4,11,11,2,1,1,,,436,0,38,474,928
5,6,COLIMA,9,,6,ARMERIA,186,2,77,129,8,36,33,10,47,227,5,4,17,31,7,1,1,,,633,0,37,670,1155
5,6,COLIMA,9,,6,ARMERIA,187,2,70,125,9,39,24,2,28,204,12,2,25,26,6,0,1,,,573,0,32,605,1088
5,6,COLIMA,9,,6,ARMERIA,188,3,232,225,10,42,33,15,40,219,7,18,27,16,7,0,2,,,893,0,56,949,1592
5,6,COLIMA,9,,6,ARMERIA,189,1,10,61,4,22,6,2,70,42,1,0,2,3,0,0,1,,,224,0,6,230,295
5,6,COLIMA,9,,6,ARMERIA,190,1,12,94,2,14,13,5,72,119,1,1,3,4,0,0,0,,,340,0,14,354,462
5,6,COLIMA,16,,7,IXTLAHUACAN,191,2,20,441,2,44,123,20,30,147,91,2,16,82,2,4,4,,,1028,0,25,1053,1264
