CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,2,,1,COLIMA,3,B,1,0,B,80,61,5,3,14,87,25,72,1,0,4,1,0,0,1,,,354,1,12,367,542,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,3,C,1,0,C01,59,54,4,6,14,97,34,66,5,1,5,2,1,0,2,,,350,0,9,359,542,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,3,C,2,0,C02,74,63,3,14,7,99,33,58,1,1,4,3,3,0,0,,,363,0,9,372,541,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,4,B,1,0,B,113,97,2,12,3,124,42,66,2,1,2,1,1,3,0,,,469,0,9,478,663,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,5,B,1,0,B,92,71,3,12,3,102,15,57,2,0,0,0,2,0,1,,,360,0,8,368,525,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,6,B,1,0,B,151,86,5,7,1,118,19,39,1,4,0,0,1,0,0,,,432,0,9,441,616,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,6,C,1,0,C01,142,91,4,3,2,122,13,51,0,1,1,1,1,0,0,,,432,0,4,436,616,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,6,C,2,0,C02,165,82,4,6,5,132,14,37,2,6,2,1,0,0,0,,,456,1,0,457,616,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,7,B,1,0,B,54,58,0,6,7,70,25,49,0,0,2,2,0,0,0,,,273,0,5,278,394,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,7,C,1,0,C01,42,50,0,7,5,69,25,61,2,0,4,2,0,0,0,,,267,0,10,277,393,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,8,B,1,0,B,86,87,2,3,5,103,24,56,2,0,4,3,2,0,0,,,377,1,7,385,531,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,8,C,1,0,C01,83,70,3,9,9,122,25,54,2,0,2,0,1,0,0,,,380,0,7,387,530,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,9,B,1,0,B,77,61,2,6,4,97,18,38,0,1,0,2,0,0,0,,,306,0,8,314,426,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,9,C,1,0,C01,78,66,2,4,3,92,32,37,0,1,1,1,0,0,0,,,317,0,7,324,426,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,10,B,1,0,B,83,83,5,13,8,83,19,68,3,1,2,0,0,0,0,,,368,0,18,386,584,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,10,C,1,0,C01,78,67,3,8,11,102,15,68,4,2,0,3,0,0,0,,,361,0,15,376,583,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,11,B,1,0,B,105,63,1,6,5,144,33,64,1,0,0,0,0,0,0,,,422,0,6,428,584,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,12,B,1,0,B,84,72,2,4,1,109,9,38,0,0,0,2,1,1,0,,,323,0,3,326,447,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,12,C,1,0,C01,109,72,0,6,0,110,15,30,2,1,1,0,0,0,0,,,346,0,3,349,447,Acta Levantada en el Consejo,,,
5,6,COLIMA,6,,1,COLIMA,13,B,1,0,B,174,77,1,7,7,169,35,53,2,1,3,2,0,0,0,,,531,0,6,537,741,Acta Levantada en el Consejo,,,
5,6,COLIMA,6,,1,COLIMA,13,C,1,0,C01,177,93,2,7,7,166,33,49,1,0,3,2,0,0,0,,,540,1,7,548,741,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,14,B,1,0,B,44,58,3,10,6,76,26,65,4,0,4,1,0,0,0,,,297,0,8,305,456,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,14,C,1,0,C01,48,58,5,13,5,83,25,63,1,1,4,2,0,0,1,,,309,0,12,321,456,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,15,B,1,0,B,70,76,3,5,3,82,24,65,2,1,2,0,1,0,1,,,335,1,11,347,498,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,16,B,1,0,B,91,81,1,1,2,125,26,77,0,0,3,1,0,2,3,,,413,0,11,424,613,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,17,B,1,0,B,120,59,6,15,6,131,19,78,0,1,3,3,0,0,0,,,441,1,11,453,670,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,18,B,1,0,B,73,49,1,5,2,85,23,48,4,0,2,2,0,0,0,,,294,1,6,301,422,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,18,C,1,0,C01,71,55,3,9,4,86,19,58,1,0,2,4,0,0,2,,,314,0,3,317,422,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,19,B,1,0,B,86,72,1,3,5,97,32,39,3,1,2,1,0,1,0,,,343,2,6,351,481,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,19,C,1,0,C01,91,61,3,3,2,108,30,50,1,0,2,0,0,0,1,,,352,0,7,359,481,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,20,B,1,0,B,84,73,3,5,1,109,16,35,0,2,1,2,0,0,1,,,332,0,4,336,455,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,20,C,1,0,C01,115,70,0,3,5,105,21,35,0,0,1,0,1,1,0,,,357,0,3,360,455,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,20,S,1,0,S01,10,6,2,0,3,10,2,10,0,0,0,0,0,0,0,,,43,0,3,46,0,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,21,B,1,0,B,128,51,1,7,3,121,15,47,0,2,2,3,0,0,2,,,382,1,8,391,540,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,21,C,1,0,C01,108,66,2,4,2,154,12,40,1,1,0,1,0,0,0,,,391,0,7,398,540,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,22,B,1,0,B,45,40,3,1,5,71,18,57,3,1,1,3,2,0,0,,,250,0,5,255,394,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,22,C,1,0,C01,46,45,3,4,8,67,22,43,4,1,0,1,0,0,0,,,244,0,7,251,393,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,23,B,1,0,B,65,45,4,8,17,94,17,65,0,3,2,2,2,0,0,,,324,0,8,332,571,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,23,C,1,0,C01,63,44,6,8,12,100,13,86,4,1,1,0,1,0,1,,,340,0,9,349,571,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,23,C,2,0,C02,47,50,1,4,9,80,22,89,2,0,3,4,1,0,0,,,312,0,17,329,570,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,23,C,3,0,C03,57,62,3,7,9,95,13,81,1,2,1,2,0,0,1,,,334,1,4,339,570,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,24,B,1,0,B,89,71,4,6,19,108,16,105,5,0,4,2,4,0,0,,,433,1,19,453,739,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,24,C,1,0,C01,91,65,2,2,18,95,24,120,2,0,1,0,2,1,0,,,423,0,11,434,739,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,24,C,2,0,C02,70,66,7,2,20,110,20,100,5,2,3,4,3,0,0,,,412,1,14,427,739,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,24,C,3,0,C03,78,52,6,4,15,118,15,98,5,2,3,3,1,0,0,,,400,1,10,411,739,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,24,C,4,0,C04,93,49,3,3,18,108,18,97,5,4,1,4,2,1,1,,,407,0,16,423,739,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,24,C,5,0,C05,75,56,3,4,23,120,20,104,5,1,2,2,1,1,0,,,417,0,15,432,738,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,25,B,1,0,B,73,67,4,7,13,71,14,68,6,1,3,4,2,0,0,,,333,0,10,343,546,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,25,C,1,0,C01,64,57,5,11,7,80,32,53,7,1,5,1,2,0,0,,,325,0,15,340,546,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,26,B,1,0,B,67,61,3,7,5,86,12,53,1,1,1,1,0,0,0,,,298,0,4,302,432,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,26,C,1,0,C01,64,53,0,7,4,88,15,43,1,0,5,0,0,0,0,,,280,0,9,289,432,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,27,B,1,0,B,111,70,4,9,5,170,43,71,4,3,2,3,0,0,0,,,495,0,11,506,747,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,28,B,1,0,B,81,60,3,3,3,112,28,44,1,1,3,0,0,0,0,,,339,0,10,349,466,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,28,S,1,0,S01,9,3,0,1,0,10,4,10,0,0,0,0,0,0,0,,,37,0,4,41,0,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,29,B,1,0,B,100,106,5,9,3,139,46,64,2,1,2,2,0,0,0,,,479,0,12,491,692,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,30,B,1,0,B,61,52,2,7,6,75,25,48,1,0,2,0,0,0,0,,,279,0,6,285,445,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,31,B,1,0,B,84,57,2,6,6,78,24,59,0,1,0,0,5,1,0,,,323,0,14,337,476,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,31,C,1,0,C01,84,65,1,8,11,74,37,55,1,1,1,1,0,0,0,,,339,0,9,348,476,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,32,B,1,0,B,81,101,4,10,11,69,26,64,2,0,4,0,0,0,0,,,372,0,6,378,585,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,32,C,1,0,C01,88,71,1,4,16,76,26,58,1,1,8,4,2,0,0,,,356,0,6,362,585,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,33,B,1,0,B,106,93,3,9,7,129,35,73,4,1,1,3,1,0,0,,,465,0,9,474,650,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,33,C,1,0,C01,106,104,6,8,8,141,36,70,1,1,2,2,1,0,0,,,486,0,4,490,649,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,34,B,1,0,B,83,96,2,5,7,123,35,59,0,0,1,0,0,0,0,,,411,1,10,422,543,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,34,C,1,0,C01,85,72,3,7,8,135,120,166,3,1,1,2,0,0,0,,,603,0,5,608,543,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,35,B,1,0,B,105,70,7,8,3,91,49,77,3,1,1,3,0,0,0,,,418,0,8,426,623,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,35,C,1,0,C01,83,61,2,7,10,95,34,81,1,3,2,2,0,0,1,,,382,1,5,388,622,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,36,B,1,0,B,71,61,1,9,21,72,30,83,2,3,1,4,2,0,0,,,360,0,8,368,697,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,36,C,1,0,C01,74,54,3,11,15,96,19,102,3,3,3,2,3,0,0,,,388,1,22,411,696,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,37,B,1,0,B,79,57,4,10,17,103,23,109,4,0,4,1,0,0,0,,,411,0,14,425,742,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,37,C,1,0,C01,77,60,5,8,14,91,24,93,7,0,1,3,1,0,1,,,385,0,9,394,742,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,37,C,2,0,C02,72,70,2,7,15,98,24,82,4,0,3,3,0,0,0,,,380,0,14,394,741,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,38,B,1,0,B,52,45,4,6,7,60,21,59,3,0,4,2,1,1,0,,,265,1,12,278,430,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,38,C,1,0,C01,54,32,2,10,9,69,10,64,3,0,3,1,1,0,0,,,258,2,10,270,430,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,39,B,1,0,B,60,45,4,5,6,119,36,55,1,3,2,1,2,0,0,,,339,1,7,347,505,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,40,B,1,0,B,72,49,4,10,6,85,28,56,3,0,2,3,3,0,0,,,321,0,10,331,574,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,40,S,1,0,S01,7,1,0,0,0,3,2,1,0,0,0,0,0,0,0,,,14,1,0,15,0,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,41,B,1,0,B,70,55,3,3,1,85,24,38,2,0,0,0,0,2,0,,,283,0,6,289,419,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,42,B,1,0,B,60,59,2,6,15,45,38,107,4,3,3,4,0,0,0,,,346,1,12,359,562,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,43,B,1,0,B,53,79,1,7,7,64,35,43,0,0,1,0,0,0,0,,,290,0,15,305,510,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,43,C,1,0,C01,63,80,5,6,5,88,21,48,3,1,5,0,2,0,0,,,327,0,9,336,510,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,44,B,1,0,B,68,53,5,7,4,80,17,52,5,1,0,0,0,2,0,,,294,0,10,304,481,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,45,B,1,0,B,80,57,3,4,5,80,19,64,4,2,2,4,2,0,0,,,326,1,13,340,516,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,45,C,1,0,C01,85,70,5,7,9,85,29,59,3,0,3,1,2,0,1,,,359,2,13,374,515,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,45,C,2,0,C02,74,83,4,9,9,78,30,56,3,4,1,2,0,0,1,,,354,1,10,365,515,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,46,B,1,0,B,44,57,4,6,8,94,25,54,2,1,1,0,0,0,0,,,296,0,4,300,432,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,46,C,1,0,C01,77,46,3,4,3,87,20,60,2,0,3,1,2,0,0,,,308,0,10,318,432,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,47,B,1,0,B,94,78,4,11,0,120,25,83,4,1,1,0,0,0,0,,,421,0,9,430,594,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,47,C,1,0,C01,109,93,4,4,6,112,28,67,4,0,0,4,0,0,1,,,432,1,4,437,593,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,48,B,1,0,B,68,47,5,6,8,102,34,67,4,1,2,2,2,0,1,,,349,4,4,357,545,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,48,C,1,0,C01,90,47,1,7,7,110,47,73,2,0,3,3,0,0,0,,,390,1,4,395,545,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,49,B,1,0,B,45,53,1,4,3,54,19,37,1,1,4,2,0,0,0,,,224,0,1,225,323,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,50,B,1,0,B,56,49,1,3,4,58,36,59,2,0,1,1,0,1,0,,,271,0,6,277,401,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,50,C,1,0,C01,61,35,2,4,5,57,24,46,4,1,2,1,0,0,1,,,243,0,10,253,400,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,51,B,1,0,B,77,47,1,3,9,52,13,41,1,2,3,0,1,0,0,,,250,0,6,256,400,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,51,C,1,0,C01,70,61,2,5,2,59,18,35,1,4,0,2,1,0,0,,,260,1,7,268,399,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,52,B,1,0,B,68,66,3,4,8,90,27,62,1,0,3,0,0,0,0,,,332,0,17,349,530,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,52,C,1,0,C01,76,79,5,6,5,92,18,60,1,2,4,2,1,0,0,,,351,0,13,364,530,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,52,C,2,0,C02,64,73,4,3,9,87,29,57,2,2,2,2,0,0,0,,,334,0,13,347,530,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,53,B,1,0,B,104,62,6,12,5,112,31,86,2,2,1,1,1,0,0,,,425,0,14,439,678,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,53,C,1,0,C01,77,68,7,16,11,112,39,82,1,2,3,1,0,0,0,,,419,1,9,429,678,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,54,B,1,0,B,114,96,3,9,8,124,32,85,5,0,0,3,2,0,0,,,481,1,9,491,719,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,54,C,1,0,C01,106,92,5,9,12,127,45,80,4,2,3,1,2,0,0,,,488,1,11,500,718,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,54,C,2,0,C02,115,85,2,6,4,114,41,92,0,0,4,2,0,0,0,,,465,0,12,477,718,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,54,S,1,0,S01,10,5,0,3,3,8,1,11,0,0,1,0,1,0,1,,,44,0,0,44,0,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,55,B,1,0,B,67,77,5,14,7,85,18,62,1,1,2,2,3,0,1,,,345,0,9,354,551,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,55,C,1,0,C01,55,67,1,26,11,62,21,65,1,2,8,3,0,0,1,,,323,1,17,341,550,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,56,B,1,0,B,65,41,3,12,5,90,36,42,0,1,1,0,1,0,0,,,297,0,10,307,435,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,57,B,1,0,B,54,39,2,0,3,61,22,39,1,0,2,1,0,0,1,,,225,0,9,234,376,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,57,C,1,0,C01,58,31,3,2,5,50,23,29,2,1,2,0,0,0,0,,,206,0,7,213,375,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,58,B,1,0,B,82,74,2,5,10,93,21,44,2,1,2,8,2,0,0,,,346,0,9,355,512,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,58,C,1,0,C01,65,81,2,8,7,86,21,49,3,0,2,5,1,0,0,,,330,0,13,343,511,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,59,B,1,0,B,59,55,6,10,13,55,20,88,6,1,2,3,1,0,2,,,321,0,18,339,582,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,59,C,1,0,C01,76,62,4,13,10,65,28,68,2,1,5,6,1,0,1,,,342,1,13,356,581,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,60,B,1,0,B,78,69,6,7,19,95,18,69,6,1,3,3,2,0,0,,,376,4,15,395,709,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,60,C,1,0,C01,90,59,1,10,12,87,23,84,4,0,5,5,4,0,0,,,384,0,11,395,709,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,60,C,2,0,C02,76,35,2,10,9,90,17,99,2,0,2,2,2,0,1,,,347,0,16,363,708,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,60,C,3,0,C03,68,56,4,14,14,83,16,104,2,0,3,2,2,0,2,,,370,3,5,378,708,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,60,E,1,0,E01,79,49,3,13,10,75,20,104,3,0,2,3,3,0,0,,,364,0,12,376,665,Acta Levantada en el Consejo,,,
5,6,COLIMA,1,,1,COLIMA,60,E,1,1,E01C01,90,53,3,13,4,82,23,98,3,0,2,3,1,0,2,,,377,0,10,387,665,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,60,E,1,2,E01C02,85,62,5,6,5,75,29,101,2,0,5,2,1,0,0,,,378,0,5,383,665,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,60,E,1,3,E01C03,81,54,6,11,8,92,27,102,3,2,2,4,1,0,0,,,393,0,7,400,665,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,60,E,1,4,E01C04,74,42,2,10,13,100,23,103,2,1,8,5,2,0,0,,,385,0,10,395,665,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,60,E,1,5,E01C05,86,66,3,3,10,74,21,99,7,0,1,1,4,0,0,,,375,0,6,381,665,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,60,E,1,6,E01C06,83,41,5,7,9,93,23,108,5,0,0,0,0,0,0,,,374,1,9,384,664,Acta de Casilla,,,
5,6,COLIMA,1,,1,COLIMA,60,S,1,0,S01,9,3,1,2,2,5,4,7,0,0,0,1,0,0,0,,,34,0,0,34,0,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,61,B,1,0,B,63,72,5,6,9,83,24,62,2,0,3,2,3,0,0,,,334,1,14,349,649,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,61,C,1,0,C01,47,64,8,3,13,94,13,84,4,2,3,0,3,0,0,,,338,0,13,351,649,Grupo de Recuento,,,
5,6,COLIMA,3,,1,COLIMA,61,C,2,0,C02,65,74,7,5,12,85,18,73,1,1,1,2,2,1,1,,,348,0,17,365,648,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,62,B,1,0,B,46,61,4,3,12,113,25,74,4,0,3,1,2,0,1,,,349,1,17,367,602,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,62,C,1,0,C01,53,68,6,6,20,107,14,57,1,2,2,3,1,0,0,,,340,1,14,355,602,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,62,C,2,0,C02,58,62,4,3,10,101,10,78,1,2,3,0,3,0,1,,,336,0,11,347,601,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,62,C,3,0,C03,47,59,5,6,16,101,10,72,1,0,0,2,3,0,1,,,323,0,19,342,601,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,62,C,4,0,C04,54,53,5,5,6,119,16,49,4,0,0,0,3,0,0,,,314,2,13,329,601,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,62,E,1,0,E01,58,52,2,4,8,74,23,78,8,0,1,0,1,0,0,,,309,0,11,320,657,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,62,E,1,1,E01C01,78,45,6,4,15,74,20,94,1,0,2,3,2,0,3,,,347,1,22,370,657,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,62,E,1,2,E01C02,68,47,1,8,12,68,16,88,5,1,5,4,0,0,0,,,323,0,15,338,657,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,62,E,1,3,E01C03,68,59,5,4,12,76,17,83,4,1,2,2,0,1,1,,,335,0,12,347,657,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,62,E,1,4,E01C04,61,60,4,4,9,80,15,114,1,3,4,4,1,0,0,,,360,0,19,379,657,Acta de Casilla,,,
5,6,COLIMA,3,,1,COLIMA,62,E,1,5,E01C05,63,47,7,3,9,82,18,110,1,1,1,3,3,0,2,,,350,0,11,361,657,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,62,E,1,6,E01C06,60,59,5,6,14,65,14,106,1,0,2,3,2,0,0,,,337,1,17,355,657,Acta Levantada en el Consejo,,,
5,6,COLIMA,3,,1,COLIMA,62,E,1,7,E01C07,72,55,1,7,8,67,28,72,2,3,1,4,4,0,1,,,325,1,16,342,657,Acta Levantada en el Consejo,,,
5,6,COLIMA,2,,1,COLIMA,63,B,1,0,B,56,57,8,4,11,102,24,76,3,1,4,1,0,0,1,,,348,0,14,362,568,Acta de Casilla,,,
