CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1435,C01,46,146,29,23,13,14,9,2,1,0,5,9,,,,,,,,,,,,,297,20,317,615,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1435,C02,48,131,27,28,13,14,4,0,0,6,12,18,,,,,,,,,,,,,301,14,315,615,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1435,C03,59,136,20,23,13,15,9,0,0,3,10,16,,,,,,,,,,,,,304,12,316,614,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1436,B,46,167,15,18,14,14,10,2,2,3,7,16,,,,,,,,,,,,,314,18,332,652,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1436,C01,36,187,10,20,16,16,10,1,7,5,6,5,,,,,,,,,,,,,319,15,334,652,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1436,C02,53,166,13,19,12,16,5,0,1,9,6,14,,,,,,,,,,,,,314,14,328,651,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1437,B,58,109,5,21,12,12,4,0,2,1,5,19,,,,,,,,,,,,,248,8,256,547,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1437,C01,51,114,6,32,13,27,7,1,0,9,3,25,,,,,,,,,,,,,288,12,300,547,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1437,C02,51,118,5,22,10,12,8,0,1,6,6,15,,,,,,,,,,,,,254,5,259,546,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1438,B,72,124,6,35,10,24,7,0,2,11,8,14,,,,,,,,,,,,,313,11,324,677,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1438,C01,0,0,4,26,19,20,0,0,0,7,0,23,,,,,,,,,,,,,99,9,108,676,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1438,C02,78,139,9,39,15,33,12,1,6,8,8,10,,,,,,,,,,,,,358,7,365,676,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1439,B,46,132,1,36,18,16,3,0,5,2,3,13,,,,,,,,,,,,,275,6,281,593,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1439,C01,68,140,3,26,13,16,2,1,2,9,4,10,,,,,,,,,,,,,294,20,314,593,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1439,C02,53,128,4,29,13,16,5,2,2,4,6,18,,,,,,,,,,,,,280,10,290,593,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1440,B,56,140,5,44,14,26,15,0,3,9,11,22,,,,,,,,,,,,,345,13,358,712,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1440,C01,78,131,11,34,14,21,2,0,2,7,11,18,,,,,,,,,,,,,329,11,340,711,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1440,C02,61,126,12,40,14,28,6,1,3,6,10,26,,,,,,,,,,,,,333,18,351,711,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1441,B,64,151,6,40,22,18,10,0,1,6,11,11,,,,,,,,,,,,,340,16,356,739,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1441,C01,57,136,10,38,13,29,6,2,1,6,12,11,,,,,,,,,,,,,321,12,333,739,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1441,C02,85,143,4,42,16,23,8,0,2,9,12,16,,,,,,,,,,,,,360,16,376,739,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1442,B,80,144,9,33,14,0,10,4,3,7,10,36,,,,,,,,,,,,,350,14,364,726,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1442,C01,50,143,7,26,23,25,10,1,2,9,5,23,,,,,,,,,,,,,324,12,336,725,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1442,C02,72,18,6,26,18,17,6,1,3,16,11,24,,,,,,,,,,,,,218,23,241,725,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1443,B,56,142,2,45,12,18,3,3,1,5,13,10,,,,,,,,,,,,,310,13,323,711,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1443,C01,47,110,2,51,16,16,5,0,2,6,10,19,,,,,,,,,,,,,284,8,292,711,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1443,C02,60,139,2,43,12,17,7,2,1,9,11,26,,,,,,,,,,,,,329,28,357,711,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1444,B,45,152,4,19,14,9,8,2,3,6,6,29,,,,,,,,,,,,,297,25,322,667,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1444,C01,43,140,5,38,27,16,8,1,2,5,8,27,,,,,,,,,,,,,320,12,332,667,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1444,C02,35,127,4,28,11,11,5,0,0,4,9,21,,,,,,,,,,,,,255,29,284,667,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1445,B,55,155,8,22,11,27,7,1,0,2,7,15,,,,,,,,,,,,,310,10,320,609,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1445,C01,54,132,4,38,18,34,3,0,1,7,11,16,,,,,,,,,,,,,318,7,325,608,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1446,B,41,171,7,26,12,22,8,0,2,6,13,19,,,,,,,,,,,,,327,18,345,676,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1446,C01,69,149,7,25,15,17,11,0,4,11,5,18,,,,,,,,,,,,,331,17,348,675,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1446,C02,61,139,8,30,11,30,11,1,2,10,4,28,,,,,,,,,,,,,335,8,343,675,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1447,B,31,115,6,22,26,25,3,1,2,2,2,27,,,,,,,,,,,,,262,10,272,592,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1447,C01,47,103,4,35,19,21,10,2,0,3,13,30,,,,,,,,,,,,,287,8,295,592,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1447,C02,47,133,3,25,11,19,5,0,3,4,5,19,,,,,,,,,,,,,274,21,295,591,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1448,B,80,95,3,32,9,33,10,3,3,7,10,39,,,,,,,,,,,,,324,5,329,682,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1448,C01,82,118,0,24,16,40,13,2,4,7,7,30,,,,,,,,,,,,,343,7,350,682,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1448,C02,96,105,8,31,11,37,9,1,2,6,4,34,,,,,,,,,,,,,344,17,361,682,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1448,C03,80,100,4,28,12,46,8,5,1,4,8,36,,,,,,,,,,,,,332,7,339,682,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1448,C04,93,112,32,2,21,37,18,0,2,10,8,26,,,,,,,,,,,,,361,7,368,681,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1448,C05,76,81,9,33,18,29,18,2,3,11,8,30,,,,,,,,,,,,,318,8,326,681,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1448,C06,64,129,6,27,13,39,9,1,2,10,13,40,,,,,,,,,,,,,353,11,364,681,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1448,C07,101,105,1,24,22,41,10,2,3,9,4,40,,,,,,,,,,,,,362,8,370,681,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1449,B,39,94,5,39,20,31,6,1,1,8,9,23,,,,,,,,,,,,,276,14,290,634,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1449,C01,42,128,7,37,16,29,10,1,2,2,12,25,,,,,,,,,,,,,311,10,321,634,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1449,C02,49,108,7,32,19,34,9,1,2,6,11,28,,,,,,,,,,,,,306,16,322,634,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1449,C03,49,110,4,44,12,22,12,1,0,8,1,38,,,,,,,,,,,,,301,18,319,634,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1449,C04,43,114,2,45,16,17,11,1,4,5,8,30,,,,,,,,,,,,,296,16,312,633,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1450,B,52,113,2,57,16,15,12,1,2,1,8,13,,,,,,,,,,,,,292,8,300,692,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1450,C01,51,139,2,38,25,10,7,0,1,5,6,21,,,,,,,,,,,,,305,8,313,692,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1450,C02,67,120,4,38,16,20,7,0,2,2,5,27,,,,,,,,,,,,,308,10,318,692,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1451,B,47,101,3,56,21,18,8,2,0,4,11,26,,,,,,,,,,,,,297,22,319,685,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1451,C01,35,124,6,60,18,26,5,4,1,8,10,20,,,,,,,,,,,,,317,9,326,685,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1451,C02,37,110,4,39,16,23,12,2,4,3,13,26,,,,,,,,,,,,,289,0,289,684,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1452,B,52,153,9,35,11,24,11,1,1,4,11,21,,,,,,,,,,,,,333,11,344,695,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1452,C01,59,139,5,35,11,33,11,1,4,5,15,25,,,,,,,,,,,,,343,10,353,694,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1452,C02,58,157,6,37,17,28,8,0,3,4,14,26,,,,,,,,,,,,,358,9,367,694,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1453,B,96,123,5,38,20,28,19,2,1,8,7,23,,,,,,,,,,,,,370,13,383,646,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1453,C01,114,107,9,45,21,37,11,2,0,4,9,27,,,,,,,,,,,,,386,13,399,646,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1453,C02,94,94,5,46,18,41,13,0,2,8,7,27,,,,,,,,,,,,,355,8,363,646,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1453,S01,7,30,0,2,1,4,4,0,0,0,1,5,,,,,,,,,,,,,54,0,54,0,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1454,B,52,169,9,34,18,56,23,3,1,9,10,20,,,,,,,,,,,,,404,0,404,732,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1454,C01,54,146,6,32,11,33,4,1,3,7,11,23,,,,,,,,,,,,,331,13,344,732,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1454,C02,67,150,6,35,11,40,11,2,5,6,8,29,,,,,,,,,,,,,370,12,382,731,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1455,B,49,145,5,40,11,23,11,1,1,4,10,22,,,,,,,,,,,,,322,15,337,716,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1455,C01,37,172,6,30,15,15,7,1,1,5,12,9,,,,,,,,,,,,,310,33,343,716,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1455,C02,41,153,6,30,12,15,10,0,2,3,7,13,,,,,,,,,,,,,292,9,301,716,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1455,C03,38,138,3,63,16,19,5,5,3,0,5,16,,,,,,,,,,,,,311,10,321,715,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1456,B,37,140,4,28,12,13,3,0,1,2,4,7,,,,,,,,,,,,,251,11,262,607,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1456,C01,36,147,6,21,5,5,1,1,1,6,1,11,,,,,,,,,,,,,241,17,258,606,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1456,C02,38,168,6,31,17,11,3,0,1,5,3,7,,,,,,,,,,,,,290,15,305,606,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1456,C03,32,143,4,32,13,14,4,1,2,2,1,8,,,,,,,,,,,,,256,16,272,606,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1457,B,46,213,10,38,14,21,6,1,2,7,8,26,,,,,,,,,,,,,392,16,408,716,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1457,C01,41,243,6,23,2,21,6,0,1,7,4,15,,,,,,,,,,,,,369,11,380,715,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1458,B,61,166,2,30,12,15,9,2,1,2,17,23,,,,,,,,,,,,,340,13,353,667,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1458,C01,63,147,3,33,16,14,3,0,5,5,5,23,,,,,,,,,,,,,317,18,335,667,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1458,C02,46,146,2,32,12,28,12,0,2,7,14,26,,,,,,,,,,,,,327,12,339,667,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1459,B,55,110,8,24,9,21,9,1,0,6,6,24,,,,,,,,,,,,,273,7,280,624,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1459,C01,45,127,5,19,15,34,9,0,0,5,10,19,,,,,,,,,,,,,288,16,304,624,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1459,C02,47,109,5,15,17,26,8,0,3,5,10,25,,,,,,,,,,,,,270,8,278,623,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1460,B,44,133,6,18,10,9,5,1,3,3,6,28,,,,,,,,,,,,,266,10,276,606,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1460,C01,32,134,6,17,7,31,10,0,1,4,10,22,,,,,,,,,,,,,274,16,290,606,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1460,C02,41,146,6,26,20,27,6,0,3,5,8,29,,,,,,,,,,,,,317,19,336,606,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1461,B,33,107,4,23,10,24,5,1,1,3,6,21,,,,,,,,,,,,,238,9,247,566,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1461,C01,41,107,2,13,13,16,5,0,3,6,3,25,,,,,,,,,,,,,234,6,240,566,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1461,C02,34,121,2,16,12,14,10,1,2,3,5,20,,,,,,,,,,,,,240,10,250,565,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1461,C03,39,82,1,19,12,20,5,1,0,8,11,17,,,,,,,,,,,,,215,7,222,565,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1462,B,38,121,5,22,12,17,1,2,1,9,7,16,,,,,,,,,,,,,251,6,257,573,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1462,C01,31,109,4,16,19,21,4,1,1,3,11,21,,,,,,,,,,,,,241,7,248,572,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1462,C02,46,125,0,28,13,19,9,2,1,8,8,8,,,,,,,,,,,,,267,9,276,572,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1462,C03,53,117,2,23,15,23,4,1,4,5,5,19,,,,,,,,,,,,,271,8,279,572,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1463,B,83,129,7,26,15,31,8,0,1,4,9,27,,,,,,,,,,,,,340,11,351,631,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1463,C01,52,137,3,24,13,34,10,1,4,11,6,21,,,,,,,,,,,,,316,16,332,631,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1463,C02,60,131,2,29,6,23,12,0,5,6,9,20,,,,,,,,,,,,,303,13,316,630,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1463,C03,59,109,4,22,22,21,10,2,4,6,10,24,,,,,,,,,,,,,293,13,306,630,Grupo de Recuento,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1464,B,54,98,3,22,16,36,8,4,5,5,11,18,,,,,,,,,,,,,280,5,285,517,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1464,C01,48,109,4,8,9,24,9,0,3,5,13,12,,,,,,,,,,,,,244,16,260,517,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1464,C02,59,112,3,15,18,22,7,4,3,3,7,20,,,,,,,,,,,,,273,15,288,516,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1465,B,81,137,3,15,15,38,9,0,2,5,5,28,,,,,,,,,,,,,338,11,349,618,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1465,C01,66,110,7,20,16,33,12,2,1,9,13,17,,,,,,,,,,,,,306,10,316,617,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1465,C02,46,103,7,23,14,33,5,0,0,0,0,21,,,,,,,,,,,,,252,15,267,617,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1466,B,97,132,11,21,19,41,13,1,2,7,12,24,,,,,,,,,,,,,380,0,380,708,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1466,C01,67,143,5,22,22,37,13,2,0,8,11,28,,,,,,,,,,,,,358,19,377,707,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1467,B,58,123,6,23,12,29,11,1,2,8,8,34,,,,,,,,,,,,,315,9,324,629,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1467,C01,79,115,5,34,18,42,13,1,2,3,11,41,,,,,,,,,,,,,364,8,372,629,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1467,C02,74,106,7,32,13,43,13,0,2,10,16,17,,,,,,,,,,,,,333,6,339,629,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1468,B,85,117,2,38,27,42,15,2,4,11,8,31,,,,,,,,,,,,,382,19,401,651,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1468,C01,85,115,5,35,22,44,9,0,4,10,11,25,,,,,,,,,,,,,365,2,367,651,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1468,C02,75,120,8,23,32,34,6,3,4,8,12,29,,,,,,,,,,,,,354,10,364,650,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1469,B,97,89,3,27,20,38,11,0,4,15,9,24,,,,,,,,,,,,,337,5,342,659,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1469,C01,93,97,4,29,20,32,8,2,2,14,8,29,,,,,,,,,,,,,338,12,350,659,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1469,C02,86,107,6,28,24,28,6,1,1,11,10,44,,,,,,,,,,,,,352,3,355,658,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1481,B,86,110,6,14,17,28,13,3,1,8,14,35,,,,,,,,,,,,,335,6,341,658,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1481,C01,95,95,9,11,15,43,15,0,4,4,17,33,,,,,,,,,,,,,341,15,356,657,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1481,C02,96,96,6,16,13,37,13,1,4,6,11,36,,,,,,,,,,,,,335,13,348,657,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1482,B,66,119,3,14,16,19,11,0,1,7,20,25,,,,,,,,,,,,,301,10,311,569,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1482,C01,74,104,6,16,10,36,10,0,2,6,10,25,,,,,,,,,,,,,299,11,310,569,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1482,C02,68,109,4,18,13,31,10,4,6,10,9,23,,,,,,,,,,,,,305,13,318,568,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1483,B,63,182,2,24,16,26,6,2,3,8,9,27,,,,,,,,,,,,,368,17,385,703,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1483,C01,64,159,2,31,21,27,11,1,2,5,8,34,,,,,,,,,,,,,365,21,386,703,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1483,C02,52,163,4,20,22,19,3,0,5,6,14,34,,,,,,,,,,,,,342,19,361,702,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1484,B,62,163,4,29,23,41,8,6,0,6,7,15,,,,,,,,,,,,,364,16,380,704,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1484,C01,67,153,7,25,27,37,14,0,5,11,19,9,,,,,,,,,,,,,374,16,390,704,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1484,C02,70,145,5,29,20,41,14,1,2,4,19,24,,,,,,,,,,,,,374,20,394,703,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1485,B,73,149,9,22,31,36,17,0,3,5,9,7,,,,,,,,,,,,,361,15,376,750,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1485,C01,79,147,9,25,30,49,14,0,2,12,12,14,,,,,,,,,,,,,393,19,412,750,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1486,B,86,101,12,26,19,30,8,2,2,5,9,27,,,,,,,,,,,,,327,13,340,666,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1486,C01,82,127,10,33,14,30,10,0,1,6,4,19,,,,,,,,,,,,,336,18,354,665,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1486,C02,90,124,11,23,20,32,6,0,1,5,12,18,,,,,,,,,,,,,342,12,354,665,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1487,B,78,111,10,26,15,49,12,0,3,5,12,23,,,,,,,,,,,,,344,16,360,710,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1487,C01,89,123,2,27,16,41,6,0,1,8,10,21,,,,,,,,,,,,,344,0,344,710,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1487,C02,102,98,8,25,23,47,10,2,0,7,7,21,,,,,,,,,,,,,350,14,364,710,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1487,C03,90,104,4,42,28,43,10,2,1,6,13,17,,,,,,,,,,,,,360,6,366,710,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1488,B,147,91,3,15,15,75,14,4,3,8,19,13,,,,,,,,,,,,,407,11,418,707,Acta Casilla,,,
2,19,NUEVO LEON,1,Monterrey,40,Monterrey,1488,C01,127,92,5,27,21,81,21,3,5,9,15,14,,,,,,,,,,,,,420,12,432,706,Acta Casilla,,,
