CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,16,APODACA,6,APODACA,69,6,541,611,28,115,179,296,65,12,10,58,38,31,,,,,,137,,,,,,,2121,49,2170,4041
2,19,NUEVO LEON,16,APODACA,6,APODACA,70,9,1203,903,59,141,211,477,120,8,17,83,54,65,,,,,,276,,,,,,,3617,63,3680,6370
2,19,NUEVO LEON,16,APODACA,6,APODACA,71,2,177,163,12,10,49,86,19,5,2,21,12,17,,,,,,56,,,,,,,629,18,647,1052
2,19,NUEVO LEON,16,APODACA,6,APODACA,72,2,111,138,7,21,24,47,21,3,2,13,5,9,,,,,,35,,,,,,,436,17,453,866
2,19,NUEVO LEON,16,APODACA,6,APODACA,73,4,426,351,22,25,81,160,43,3,3,36,27,26,,,,,,112,,,,,,,1315,33,1348,2403
2,19,NUEVO LEON,16,APODACA,6,APODACA,74,2,119,244,10,13,48,61,16,0,4,10,1,8,,,,,,19,,,,,,,553,17,570,1290
2,19,NUEVO LEON,16,APODACA,6,APODACA,75,2,93,200,14,16,29,34,15,0,3,7,7,5,,,,,,35,,,,,,,458,9,467,1021
2,19,NUEVO LEON,16,APODACA,6,APODACA,76,2,127,236,6,10,36,59,20,0,2,11,20,11,,,,,,31,,,,,,,569,13,582,1337
2,19,NUEVO LEON,16,APODACA,6,APODACA,78,3,147,324,31,20,47,58,20,1,3,12,13,10,,,,,,43,,,,,,,729,25,754,1562
2,19,NUEVO LEON,16,APODACA,6,APODACA,79,3,212,402,15,22,73,52,35,2,5,24,11,20,,,,,,58,,,,,,,931,21,952,1959
2,19,NUEVO LEON,16,APODACA,6,APODACA,80,2,112,294,2,16,31,43,15,1,3,6,14,12,,,,,,34,,,,,,,583,13,596,1119
2,19,NUEVO LEON,16,APODACA,6,APODACA,81,6,887,510,40,51,106,446,84,10,10,64,33,53,,,,,,217,,,,,,,2511,39,2550,4046
2,19,NUEVO LEON,16,APODACA,6,APODACA,82,2,172,141,25,15,30,93,35,5,3,25,4,11,,,,,,24,,,,,,,583,11,594,1013
2,19,NUEVO LEON,16,APODACA,6,APODACA,83,1,87,111,14,11,20,51,18,0,0,10,13,10,,,,,,43,,,,,,,388,27,415,719
2,19,NUEVO LEON,16,APODACA,6,APODACA,84,14,1636,1296,82,124,318,664,305,10,18,115,79,114,,,,,,361,,,,,,,5122,102,5224,9453
2,19,NUEVO LEON,16,APODACA,6,APODACA,85,3,209,354,23,25,62,131,47,4,5,16,7,17,,,,,,64,,,,,,,964,28,992,1985
2,19,NUEVO LEON,16,APODACA,6,APODACA,86,4,298,396,25,22,77,139,97,3,5,31,27,17,,,,,,118,,,,,,,1255,35,1290,2527
2,19,NUEVO LEON,16,APODACA,6,APODACA,87,3,318,358,19,26,85,133,61,1,8,21,26,27,,,,,,80,,,,,,,1163,25,1188,2211
2,19,NUEVO LEON,16,APODACA,6,APODACA,88,5,578,485,41,22,200,172,44,5,8,27,35,28,,,,,,94,,,,,,,1739,40,1779,3384
2,19,NUEVO LEON,16,APODACA,6,APODACA,89,3,334,338,149,19,59,101,29,1,6,15,20,23,,,,,,60,,,,,,,1154,26,1180,2040
2,19,NUEVO LEON,16,APODACA,6,APODACA,90,3,238,233,24,21,51,126,30,0,7,32,17,21,,,,,,54,,,,,,,854,24,878,1561
2,19,NUEVO LEON,16,APODACA,6,APODACA,91,2,230,176,12,17,29,84,21,0,2,19,11,9,,,,,,45,,,,,,,655,18,673,1194
2,19,NUEVO LEON,16,APODACA,6,APODACA,92,3,303,371,7,15,28,78,35,4,8,14,16,20,,,,,,57,,,,,,,956,28,984,1619
2,19,NUEVO LEON,16,APODACA,6,APODACA,93,2,263,225,11,18,64,96,29,4,5,10,14,12,,,,,,78,,,,,,,829,16,845,1444
2,19,NUEVO LEON,16,APODACA,6,APODACA,94,3,183,386,8,16,49,68,18,1,2,16,11,17,,,,,,54,,,,,,,829,17,846,1639
2,19,NUEVO LEON,16,APODACA,6,APODACA,95,4,631,359,26,36,71,259,69,2,5,42,47,47,,,,,,110,,,,,,,1704,39,1743,2676
2,19,NUEVO LEON,16,APODACA,6,APODACA,96,3,144,394,19,24,37,44,15,1,4,13,8,9,,,,,,43,,,,,,,755,24,779,1642
2,19,NUEVO LEON,16,APODACA,6,APODACA,97,2,194,268,16,13,23,76,19,1,2,6,13,12,,,,,,53,,,,,,,696,11,707,1277
2,19,NUEVO LEON,16,APODACA,6,APODACA,98,2,158,348,16,21,35,61,9,1,3,7,6,14,,,,,,35,,,,,,,714,45,759,1475
2,19,NUEVO LEON,16,APODACA,6,APODACA,99,3,232,231,15,14,59,91,46,0,5,8,20,22,,,,,,86,,,,,,,829,82,911,1507
2,19,NUEVO LEON,16,APODACA,6,APODACA,100,4,369,431,18,26,77,156,50,2,9,38,23,23,,,,,,78,,,,,,,1300,51,1351,2448
2,19,NUEVO LEON,16,APODACA,6,APODACA,101,8,1103,791,215,56,203,482,148,7,13,70,43,75,,,,,,243,,,,,,,3449,53,3502,5668
2,19,NUEVO LEON,16,APODACA,6,APODACA,102,12,2011,1185,80,83,241,788,156,9,37,106,86,103,,,,,,418,,,,,,,5303,87,5390,8649
2,19,NUEVO LEON,16,APODACA,6,APODACA,103,2,186,314,12,15,31,116,16,0,7,14,13,19,,,,,,44,,,,,,,787,40,827,1440
2,19,NUEVO LEON,16,APODACA,6,APODACA,104,2,214,270,13,5,46,96,18,3,3,19,7,14,,,,,,56,,,,,,,764,19,783,1322
2,19,NUEVO LEON,16,APODACA,6,APODACA,105,2,308,241,13,14,47,94,43,0,3,15,16,13,,,,,,60,,,,,,,867,33,900,1462
2,19,NUEVO LEON,16,APODACA,6,APODACA,106,2,237,211,9,11,34,74,28,0,1,7,12,8,,,,,,37,,,,,,,669,11,680,1160
2,19,NUEVO LEON,16,APODACA,6,APODACA,107,4,617,432,16,24,71,255,54,3,9,38,24,25,,,,,,105,,,,,,,1673,39,1712,2983
2,19,NUEVO LEON,16,APODACA,6,APODACA,108,7,1224,629,46,39,105,500,77,10,8,76,46,60,,,,,,249,,,,,,,3069,53,3122,4866
2,19,NUEVO LEON,16,APODACA,6,APODACA,109,4,366,688,16,10,44,126,39,4,4,13,15,21,,,,,,90,,,,,,,1436,24,1460,2668
2,19,NUEVO LEON,16,APODACA,6,APODACA,110,3,325,328,22,8,29,133,12,3,5,18,13,5,,,,,,98,,,,,,,999,7,1006,1597
2,19,NUEVO LEON,16,APODACA,6,APODACA,111,2,225,280,19,11,37,73,20,3,3,12,11,14,,,,,,65,,,,,,,773,19,792,1492
2,19,NUEVO LEON,16,APODACA,6,APODACA,112,2,185,349,7,9,39,54,18,4,2,12,14,5,,,,,,42,,,,,,,740,21,761,1424
2,19,NUEVO LEON,16,APODACA,6,APODACA,113,2,132,189,2,4,19,32,8,0,2,2,2,3,,,,,,38,,,,,,,433,17,450,824
2,19,NUEVO LEON,16,APODACA,6,APODACA,114,3,447,395,33,18,49,186,47,1,9,27,23,26,,,,,,117,,,,,,,1378,20,1398,2215
2,19,NUEVO LEON,16,APODACA,6,APODACA,115,3,290,365,14,19,28,95,24,4,10,10,15,9,,,,,,62,,,,,,,945,16,961,1636
2,19,NUEVO LEON,16,APODACA,6,APODACA,116,3,134,456,29,16,39,61,21,8,1,24,8,15,,,,,,46,,,,,,,858,33,891,2087
2,19,NUEVO LEON,16,APODACA,6,APODACA,117,3,130,405,16,20,67,56,29,2,9,27,16,7,,,,,,50,,,,,,,834,43,877,1951
2,19,NUEVO LEON,16,APODACA,6,APODACA,118,3,123,312,31,19,44,41,17,1,0,8,10,14,,,,,,26,,,,,,,646,33,679,1645
2,19,NUEVO LEON,16,APODACA,6,APODACA,119,3,110,310,15,6,37,35,8,1,8,10,8,7,,,,,,28,,,,,,,583,17,600,1600
2,19,NUEVO LEON,16,APODACA,6,APODACA,120,4,134,462,75,41,45,47,28,7,2,17,15,10,,,,,,66,,,,,,,949,52,1001,2279
2,19,NUEVO LEON,16,APODACA,6,APODACA,121,4,160,427,86,16,40,59,27,1,6,19,35,14,,,,,,33,,,,,,,923,43,966,2376
2,19,NUEVO LEON,16,APODACA,6,APODACA,122,4,229,447,59,16,62,77,25,5,4,23,27,12,,,,,,99,,,,,,,1085,45,1130,2761
2,19,NUEVO LEON,16,APODACA,6,APODACA,123,4,233,454,31,21,66,83,22,2,6,21,23,17,,,,,,76,,,,,,,1055,31,1086,2502
2,19,NUEVO LEON,16,APODACA,6,APODACA,124,6,451,717,40,24,135,129,48,4,5,44,22,38,,,,,,141,,,,,,,1798,45,1843,4062
2,19,NUEVO LEON,16,APODACA,6,APODACA,125,3,108,393,24,8,168,49,34,0,9,12,13,8,,,,,,47,,,,,,,873,23,896,2142
2,19,NUEVO LEON,16,APODACA,6,APODACA,126,2,54,225,16,14,28,35,36,3,1,9,9,11,,,,,,20,,,,,,,461,18,479,1246
2,19,NUEVO LEON,16,APODACA,6,APODACA,127,2,76,273,3,3,37,34,26,9,4,15,3,11,,,,,,6,,,,,,,500,13,513,1241
2,19,NUEVO LEON,16,APODACA,6,APODACA,128,2,70,290,5,8,63,46,40,1,5,12,10,7,,,,,,31,,,,,,,588,19,607,1272
2,19,NUEVO LEON,16,APODACA,6,APODACA,130,9,1227,1025,48,46,187,529,251,2,30,81,85,74,,,,,,321,,,,,,,3906,74,3980,6636
2,19,NUEVO LEON,16,APODACA,6,APODACA,131,8,963,880,43,52,212,344,81,5,30,63,74,47,,,,,,239,,,,,,,3033,45,3078,5690
2,19,NUEVO LEON,16,APODACA,6,APODACA,132,4,635,301,17,14,60,262,88,5,10,30,23,21,,,,,,121,,,,,,,1587,20,1607,2461
2,19,NUEVO LEON,16,APODACA,6,APODACA,133,3,337,279,6,8,51,150,44,1,5,19,16,20,,,,,,96,,,,,,,1032,15,1047,1660
2,19,NUEVO LEON,16,APODACA,6,APODACA,134,2,203,211,3,9,49,79,41,8,0,6,9,16,,,,,,55,,,,,,,689,14,703,1329
2,19,NUEVO LEON,16,APODACA,6,APODACA,135,3,283,351,13,21,83,128,40,3,2,18,17,10,,,,,,85,,,,,,,1054,27,1081,1873
2,19,NUEVO LEON,16,APODACA,6,APODACA,136,2,110,349,3,10,44,48,25,2,4,8,11,6,,,,,,48,,,,,,,668,24,692,1430
2,19,NUEVO LEON,16,APODACA,6,APODACA,137,2,80,322,9,12,39,46,21,1,4,17,7,8,,,,,,27,,,,,,,593,22,615,1296
2,19,NUEVO LEON,16,APODACA,6,APODACA,138,2,142,308,11,17,35,53,12,2,3,10,15,7,,,,,,36,,,,,,,651,35,686,1377
2,19,NUEVO LEON,16,APODACA,6,APODACA,139,3,320,290,16,25,43,107,51,2,6,18,19,11,,,,,,75,,,,,,,983,18,1001,1619
2,19,NUEVO LEON,16,APODACA,6,APODACA,140,2,162,241,3,16,40,64,28,1,2,20,9,9,,,,,,58,,,,,,,653,20,673,1059
2,19,NUEVO LEON,16,APODACA,6,APODACA,141,10,1053,1255,58,57,237,401,94,11,13,70,83,45,,,,,,303,,,,,,,3680,67,3747,6824
2,19,NUEVO LEON,16,APODACA,6,APODACA,142,11,924,1300,67,63,326,427,173,9,12,67,54,50,,,,,,275,,,,,,,3747,64,3811,7506
2,19,NUEVO LEON,16,APODACA,6,APODACA,143,3,190,326,16,12,36,62,24,5,6,10,6,7,,,,,,37,,,,,,,737,20,757,1506
2,19,NUEVO LEON,16,APODACA,6,APODACA,144,9,1113,888,82,62,203,411,97,21,14,67,56,54,,,,,,218,,,,,,,3286,61,3347,6252
2,19,NUEVO LEON,16,APODACA,6,APODACA,145,5,415,680,51,32,117,195,52,5,15,38,27,31,,,,,,140,,,,,,,1798,47,1845,3673
2,19,NUEVO LEON,16,APODACA,6,APODACA,146,4,318,441,42,25,70,104,29,5,3,39,18,13,,,,,,71,,,,,,,1178,39,1217,2513
2,19,NUEVO LEON,16,APODACA,6,APODACA,147,2,139,239,10,16,40,49,18,3,4,12,9,14,,,,,,36,,,,,,,589,23,612,1058
2,19,NUEVO LEON,16,APODACA,6,APODACA,148,5,557,641,32,48,99,171,44,1,12,42,74,29,,,,,,131,,,,,,,1881,45,1926,3517
2,19,NUEVO LEON,16,APODACA,6,APODACA,150,8,664,667,51,30,127,280,56,4,15,54,43,32,,,,,,126,,,,,,,2149,52,2201,3344
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,151,3,351,758,6,7,4,12,16,0,1,6,6,27,,,,,,,,,,,,,1194,54,1248,1541
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,152,2,328,615,1,19,7,13,29,0,2,4,4,65,,,,,,,,,,,,,1087,57,1144,1478
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,153,1,102,202,0,4,0,3,3,0,2,0,2,13,,,,,,,,,,,,,331,25,356,439
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,154,2,36,149,1,0,0,1,0,0,1,0,0,69,,,,,,,,,,,,,257,8,265,302
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,155,1,109,270,0,1,3,0,1,0,1,0,1,2,,,,,,,,,,,,,388,18,406,489
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,156,1,164,329,3,2,5,7,14,2,18,1,5,17,,,,,,,,,,,,,567,34,601,748
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,157,1,95,303,5,0,4,4,20,0,8,3,0,4,,,,,,,,,,,,,446,12,458,605
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,158,2,205,370,4,3,4,12,14,0,23,1,2,22,,,,,,,,,,,,,660,31,691,871
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,159,1,47,97,0,4,1,0,1,0,0,0,1,8,,,,,,,,,,,,,159,12,171,197
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,160,1,245,298,0,7,1,0,3,0,2,0,0,16,,,,,,,,,,,,,572,28,600,692
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,161,2,334,447,1,9,8,0,3,1,1,0,4,15,,,,,,,,,,,,,823,20,843,1001
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,162,2,113,425,1,3,1,2,3,0,3,1,1,19,,,,,,,,,,,,,572,62,634,769
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,163,1,69,280,0,8,2,1,0,0,0,0,0,14,,,,,,,,,,,,,374,20,394,465
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,164,2,54,263,1,2,0,1,0,0,0,0,1,8,,,,,,,,,,,,,330,22,352,414
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,165,2,232,317,0,6,2,2,10,0,1,2,10,22,,,,,,,,,,,,,604,38,642,812
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,166,1,74,290,3,6,8,2,1,0,0,0,1,10,,,,,,,,,,,,,395,24,419,493
2,19,NUEVO LEON,26,GALEANA,7,ARAMBERRI,167,1,83,176,0,48,0,3,2,0,0,0,1,0,,,,,,,,,,,,,313,17,330,403
2,19,NUEVO LEON,21,SABINAS HIDALGO,8,BUSTAMANTE,168,1,278,129,7,0,4,,89,1,0,4,4,,,,,,,,,,,,22,,538,11,549,674
2,19,NUEVO LEON,21,SABINAS HIDALGO,8,BUSTAMANTE,169,1,244,206,3,1,4,,94,1,1,1,1,,,,,,,,,,,,23,,579,4,583,720
2,19,NUEVO LEON,21,SABINAS HIDALGO,8,BUSTAMANTE,170,1,301,148,5,2,3,,74,0,2,9,2,,,,,,,,,,,,16,,562,3,565,713
2,19,NUEVO LEON,21,SABINAS HIDALGO,8,BUSTAMANTE,171,2,474,225,10,1,6,,180,0,1,7,3,,,,,,,,,,,,40,,947,9,956,1131
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,172,4,356,264,8,14,365,30,10,0,9,9,47,14,,,,,,,,,,,,,1126,32,1158,1608
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,173,2,139,153,8,3,213,10,9,1,0,9,35,11,,,,,,,,,,,,,591,28,619,1145
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,174,4,320,372,8,18,524,30,15,6,4,63,71,43,,,,,,,,,,,,,1474,49,1523,2907
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,175,3,248,250,5,16,288,21,11,18,1,52,36,24,,,,,,,,,,,,,970,39,1009,1895
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,176,3,286,228,8,18,302,25,10,9,6,26,62,87,,,,,,,,,,,,,1067,40,1107,2077
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,177,2,247,174,6,10,191,20,16,10,10,21,25,23,,,,,,,,,,,,,753,19,772,1367
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,178,2,167,159,5,8,189,14,15,18,0,6,28,13,,,,,,,,,,,,,622,16,638,1234
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,179,2,197,217,2,4,225,15,5,7,2,12,21,12,,,,,,,,,,,,,719,18,737,1423
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,180,2,175,181,4,8,192,14,10,8,0,9,23,17,,,,,,,,,,,,,641,21,662,1291
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,181,3,187,189,4,7,268,14,5,31,0,17,25,18,,,,,,,,,,,,,765,29,794,1522
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,182,3,255,237,6,11,336,30,24,14,0,13,43,37,,,,,,,,,,,,,1006,34,1040,2078
2,19,NUEVO LEON,23,CADEREYTA JIMENEZ,9,CADEREYTA JIMENEZ,183,10,1020,779,32,51,1170,112,69,21,11,68,203,94,,,,,,,,,,,,,3630,40,3670,6758
