"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","JESÚS ORTIZ CANO","NO REGISTRADO","NULO"
"Tepeji Del Río De Ocampo","1271","CONTIGUA 2","53","32","14","0","2","3","139","40","1","9","2","7"
"Tepeji Del Río De Ocampo","1272","BASICA","37","53","19","0","4","28","83","62","3","0","0","7"
"Tepeji Del Río De Ocampo","1272","CONTIGUA 1","42","31","10","0","7","11","103","57","7","29","0","3"
"Tepeji Del Río De Ocampo","1272","CONTIGUA 2","55","53","15","0","5","8","91","53","7","18","0","6"
"Tepeji Del Río De Ocampo","1272","CONTIGUA 3","42","55","6","0","6","4","155","50","3","20","1","3"
"Tepeji Del Río De Ocampo","1272","CONTIGUA 4","47","63","10","0","7","8","99","57","6","18","0","8"
"Tepeji Del Río De Ocampo","1273","BASICA","61","32","8","0","3","6","133","41","2","2","1","6"
"Tepeji Del Río De Ocampo","1273","CONTIGUA 1","62","36","2","0","5","2","162","54","4","0","4","1"
"Tepeji Del Río De Ocampo","1274","BASICA","83","24","3","0","4","3","128","50","2","10","0","8"
"Tepeji Del Río De Ocampo","1274","CONTIGUA 1","55","33","10","0","4","11","137","52","3","10","0","4"
"Tepeji Del Río De Ocampo","1274","CONTIGUA 2","60","23","8","0","8","3","133","56","6","0","0","6"
"Tepeji Del Río De Ocampo","1274","ESPECIAL 1","11","7","1","0","3","2","12","3","1","1","0","0"
"Tepeji Del Río De Ocampo","1275","BASICA","40","48","12","0","5","3","109","51","5","11","0","9"
"Tepeji Del Río De Ocampo","1275","CONTIGUA 1","47","50","8","0","2","7","131","45","8","17","0","8"
"Tepeji Del Río De Ocampo","1275","CONTIGUA 2","69","30","9","0","8","8","100","41","6","16","0","5"
"Tepeji Del Río De Ocampo","1276","BASICA","77","37","13","0","10","5","148","40","2","9","0","6"
"Tepeji Del Río De Ocampo","1276","CONTIGUA 1","50","35","8","0","5","4","165","50","13","8","0","13"
"Tepeji Del Río De Ocampo","1276","CONTIGUA 2","66","62","15","0","10","2","147","46","5","7","0","1"
"Tepeji Del Río De Ocampo","1277","BASICA","34","19","20","0","9","20","73","46","3","9","0","0"
"Tepeji Del Río De Ocampo","1277","CONTIGUA 1","42","32","17","0","4","4","45","47","3","0","0","5"
"Tepeji Del Río De Ocampo","1278","BASICA","37","32","31","0","6","7","60","71","4","3","1","7"
"Tepeji Del Río De Ocampo","1278","CONTIGUA 1","22","39","29","0","4","7","60","70","2","4","1","8"
"Tepeji Del Río De Ocampo","1278","CONTIGUA 2","26","47","24","0","1","7","59","71","3","4","0","18"
"Tepeji Del Río De Ocampo","1278","CONTIGUA 3","15","41","31","0","5","7","54","85","2","0","0","4"
"Tepeji Del Río De Ocampo","1278","CONTIGUA 4","10","56","29","0","6","7","74","61","3","3","0","3"
"Tepeji Del Río De Ocampo","1279","BASICA","52","42","8","0","1","8","78","61","3","0","1","2"
"Tepeji Del Río De Ocampo","1279","CONTIGUA 1","51","53","8","0","4","8","61","57","6","1","0","0"
"Tepeji Del Río De Ocampo","1279","CONTIGUA 2","51","40","11","0","2","8","58","43","1","2","0","3"
"Tepeji Del Río De Ocampo","1280","BASICA","39","33","10","0","6","7","128","25","2","5","0","6"
"Tepeji Del Río De Ocampo","1280","CONTIGUA 1","54","34","2","0","6","11","115","17","1","1","0","6"
"Tepeji Del Río De Ocampo","1280","CONTIGUA 2","44","40","3","0","4","11","117","17","1","2","0","5"
"Tepeji Del Río De Ocampo","1281","BASICA","27","66","3","0","3","83","83","26","1","9","0","9"
"Tepeji Del Río De Ocampo","1281","CONTIGUA 1","33","81","5","0","2","77","86","16","2","3","0","5"
"Tepeji Del Río De Ocampo","1281","CONTIGUA 2","21","65","2","0","5","78","88","19","2","5","0","6"
"Tepeji Del Río De Ocampo","1282","BASICA","60","37","18","0","8","5","68","94","10","2","0","6"
"Tepeji Del Río De Ocampo","1282","CONTIGUA 1","33","32","28","0","2","8","92","78","5","5","0","3"
"Tepeji Del Río De Ocampo","1282","CONTIGUA 2","53","41","15","0","3","14","70","69","11","5","0","7"
"Tepeji Del Río De Ocampo","1283","BASICA","36","45","38","0","2","29","71","58","5","18","0","6"
"Tepeji Del Río De Ocampo","1283","CONTIGUA 1","24","68","25","0","3","31","90","76","3","35","0","3"
"Tepeji Del Río De Ocampo","1284","BASICA","24","72","59","0","2","18","48","45","0","31","0","9"
"Tepeji Del Río De Ocampo","1284","CONTIGUA 1","27","66","48","0","3","13","54","60","2","13","1","13"
"Tepeji Del Río De Ocampo","1284","CONTIGUA 2","25","78","39","0","3","18","57","48","0","5","0","6"
"Tepeji Del Río De Ocampo","1284","CONTIGUA 3","22","98","27","0","9","13","95","34","2","10","0","12"
"Tepeji Del Río De Ocampo","1285","BASICA","28","35","6","0","6","4","57","61","4","6","0","4"
"Tepeji Del Río De Ocampo","1285","CONTIGUA 1","24","35","9","0","3","5","61","41","3","3","0","1"
"Tepeji Del Río De Ocampo","1286","BASICA","13","37","13","0","5","17","130","45","7","8","0","7"
"Tepeji Del Río De Ocampo","1286","CONTIGUA 1","15","36","14","0","9","12","133","38","6","11","0","4"
"Tepeji Del Río De Ocampo","1287","BASICA","44","36","13","0","2","1","57","164","0","16","0","4"
"Tepeji Del Río De Ocampo","1287","CONTIGUA 1","23","29","4","0","4","4","63","163","2","8","0","10"
"Tepeji Del Río De Ocampo","1287","CONTIGUA 2","29","37","7","0","5","0","61","200","2","9","0","4"
"Tepeji Del Río De Ocampo","1287","CONTIGUA 3","28","30","6","0","0","7","65","173","3","8","0","9"
"Tepeji Del Río De Ocampo","1287","CONTIGUA 4","26","34","22","0","3","3","68","140","3","19","0","4"
"Tepeji Del Río De Ocampo","1288","BASICA","3","93","69","0","3","8","21","7","1","0","0","7"
"Tepeji Del Río De Ocampo","1289","BASICA","41","29","4","0","6","25","130","24","0","6","0","9"
"Tepeji Del Río De Ocampo","1289","CONTIGUA 1","38","45","7","0","6","9","186","25","0","8","0","11"
"Tepeji Del Río De Ocampo","1290","BASICA","37","45","26","0","10","10","31","36","6","1","0","2"
"Tepeji Del Río De Ocampo","1290","CONTIGUA 1","33","54","17","0","10","12","37","45","6","3","0","4"
"Tepeji Del Río De Ocampo","1291","BASICA","33","35","7","0","14","4","54","45","1","8","0","4"
"Tepeji Del Río De Ocampo","1291","CONTIGUA 1","21","47","10","0","9","4","72","20","2","5","0","4"
"Tepeji Del Río De Ocampo","1291","CONTIGUA 2","21","43","8","0","15","4","55","29","4","3","0","18"
"Tepeji Del Río De Ocampo","1292","BASICA","22","36","8","0","6","2","64","14","0","9","0","7"
"Tepeji Del Río De Ocampo","1292","CONTIGUA 1","36","28","19","0","8","7","54","20","0","8","0","4"
"Tepeji Del Río De Ocampo","1292","CONTIGUA 2","24","33","19","0","6","3","50","17","0","5","0","6"
"Tepeji Del Río De Ocampo","1293","BASICA","18","73","26","0","14","7","36","26","7","14","0","11"
"Tepeji Del Río De Ocampo","1293","CONTIGUA 1","18","81","41","0","9","5","44","34","5","1","0","5"
"Tepeji Del Río De Ocampo","1293","CONTIGUA 2","14","71","26","0","10","6","39","34","4","3","0","7"
"Tepeji Del Río De Ocampo","1294","BASICA","20","51","16","0","10","8","98","8","2","27","0","18"
"Tepeji Del Río De Ocampo","1294","CONTIGUA 1","46","66","11","0","4","6","76","8","2","29","0","11"
