"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO","...19"
"Tula De Allende","1462","BASICA","37","85","46","1","4","42","6","50","0","0","0","0","0","0","10",NA
"Tula De Allende","1462","CONTIGUA 1","37","48","54","3","4","60","11","40","0","0","0","0","0","0","6",NA
"Tula De Allende","1462","CONTIGUA 2","40","68","56","4","1","40","11","41","0","0","0","0","0","0","6",NA
"Tula De Allende","1463","BASICA","33","114","58","5","22","17","10","18","0","0","2","0","0","0","9",NA
"Tula De Allende","1464","BASICA","48","109","41","4","11","5","9","17","0","0","0","0","0","0","0",NA
"Tula De Allende","1464","CONTIGUA 1","50","78","49","11","8","19","9","23","0","0","0","0","0","0","0",NA
"Tula De Allende","1464","CONTIGUA 2","42","87","40","10","6","10","21","36","0","0","2","0","0","0","0",NA
"Tula De Allende","1465","BASICA","20","30","30","2","0","2","1","10","0","0","0","0","0","0","0",NA
"Tula De Allende","1466","BASICA","102","132","62","4","3","18","3","12","0","1","0","0","0","0","3",NA
"Tula De Allende","1466","CONTIGUA 1","121","77","74","8","0","11","7","22","0","0","0","0","0","0","0",NA
"Tula De Allende","1466","CONTIGUA 2","102","94","64","44","1","5","7","17","0","0","0","0","0","0","9",NA
"Tula De Allende","1466","CONTIGUA 3","102","81","78","3","2","13","5","14","0","0","0","0","0","0","0",NA
"Tula De Allende","1467","BASICA","29","48","49","2","2","26","3","15","0","0","0","0","0","0","0","ANULADA"
"Tula De Allende","1468","BASICA","54","74","62","3","2","7","16","22","0","0","0","0","0","0","4",NA
"Tula De Allende","1468","CONTIGUA 1","40","79","28","2","2","21","8","30","0","0","0","0","0","0","0",NA
"Tula De Allende","1469","BASICA","39","81","48","0","0","16","8","38","0","0","0","0","0","0","0",NA
"Tula De Allende","1470","BASICA","23","58","22","1","3","13","4","7","0","0","0","0","0","0","4",NA
"Tula De Allende","1472","BASICA","84","63","52","3","2","27","4","24","0","0","0","0","0","0","2",NA
"Tula De Allende","1472","CONTIGUA 1","70","93","53","2","4","27","7","32","0","0","0","0","0","0","0",NA
"Tula De Allende","1473","BASICA","64","22","29","2","3","12","4","21","0","0","0","0","0","0","8",NA
"Tula De Allende","1473","CONTIGUA 1","47","51","46","3","1","21","3","17","0","0","0","0","0","0","0",NA
"Tula De Allende","1474","BASICA","125","73","74","7","0","25","0","27","0","0","0","0","0","0","0",NA
"Tula De Allende","1474","CONTIGUA 1","143","87","93","2","4","20","2","27","0","0","0","0","0","0","0",NA
"Tula De Allende","1474","CONTIGUA 2","124","78","78","2","3","12","4","38","0","0","1","0","0","0","0",NA
"Tula De Allende","1475","BASICA","374","29","14","2","0","5","0","4","0","0","0","0","0","0","5",NA
"Tula De Allende","1476","BASICA","65","50","58","3","4","29","5","49","0","0","0","0","0","0","0",NA
"Tula De Allende","1476","CONTIGUA 1","77","40","63","1","3","27","7","49","0","0","0","0","0","0","0",NA
"Tula De Allende","1476","CONTIGUA 2","70","69","61","4","2","37","1","50","0","0","0","0","0","1","0",NA
"Tula De Allende","1476","CONTIGUA 3","56","76","60","4","3","14","8","69","0","0","0","0","0","0","0",NA
"Tula De Allende","1477","BASICA","75","45","62","3","3","20","2","43","0","0","0","0","0","0","0",NA
"Tula De Allende","1477","CONTIGUA 1","104","41","58","4","2","17","3","55","0","0","1","0","0","0","6",NA
"Tula De Allende","1477","CONTIGUA 2","85","54","68","0","1","25","2","69","0","0","0","0","0","0","0",NA
"Tula De Allende","1478","BASICA","58","87","73","3","2","27","5","51","0","0","0","0","0","0","0","ANULADA"
"Tula De Allende","1478","CONTIGUA 1","49","78","63","2","1","31","7","64","0","0","0","0","0","0","0",NA
"Tula De Allende","1478","CONTIGUA 2","76","70","61","2","3","35","7","51","0","0","0","0","0","0","0",NA
"Tula De Allende","1478","CONTIGUA 3","45","86","69","4","4","34","6","51","0","0","0","0","0","0","0",NA
"Tula De Allende","1479","BASICA","60","76","44","7","2","23","5","61","0","0","1","0","0","0","6",NA
"Tula De Allende","1479","CONTIGUA 1","62","85","50","3","7","42","9","64","0","0","0","0","0","0","0",NA
"Tula De Allende","1480","BASICA","31","174","35","0","6","15","2","27","0","0","2","0","0","0","0",NA
"Tula De Allende","1480","CONTIGUA 1","29","187","39","1","3","15","4","33","0","0","0","0","0","0","0",NA
"Tula De Allende","1480","CONTIGUA 2","24","163","63","2","5","17","3","49","0","0","0","0","0","0","8",NA
"Tula De Allende","1480","CONTIGUA 3","26","190","51","2","2","7","5","54","0","0","1","0","0","0","4",NA
"Tula De Allende","1480","CONTIGUA 4","13","250","56","4","2","9","7","25","0","0","0","0","0","0","3",NA
"Tula De Allende","1481","BASICA","57","70","60","4","4","65","10","64","0","0","0","0","0","0","0",NA
"Tula De Allende","1481","CONTIGUA 1","54","84","62","4","3","58","5","67","0","0","0","0","0","0","10",NA
"Tula De Allende","1482","BASICA","51","81","39","4","4","44","2","32","0","0","0","0","0","0","0",NA
"Tula De Allende","1482","CONTIGUA 1","68","98","47","3","3","21","3","24","0","0","2","0","0","0","0",NA
"Tula De Allende","1483","BASICA","38","85","36","4","14","15","6","22","0","0","2","0","0","0","0",NA
"Tula De Allende","1483","CONTIGUA 1","34","42","33","2","7","18","4","33","0","0","0","0","0","0","0",NA
"Tula De Allende","1484","BASICA","88","50","54","9","3","33","3","58","0","0","0","1","0","0","0",NA
"Tula De Allende","1484","CONTIGUA 1","57","55","72","7","9","30","6","49","0","0","0","0","0","0","0",NA
"Tula De Allende","1485","BASICA","58","44","42","2","1","33","4","43","0","0","0","0","0","0","4",NA
"Tula De Allende","1485","CONTIGUA 1","38","59","42","3","1","16","4","46","0","0","0","0","0","0","0",NA
"Tula De Allende","1485","CONTIGUA 2","32","40","55","3","4","19","2","49","0","0","0","0","0","0","0",NA
"Tula De Allende","1485","CONTIGUA 3","50","36","52","6","4","32","3","38","0","0","0","0","0","0","5",NA
"Tula De Allende","1485","CONTIGUA 4","51","46","45","5","4","27","7","47","0","0","0","0","0","0","4",NA
"Tula De Allende","1485","CONTIGUA 5","31","60","48","2","1","27","6","57","0","0","0","0","0","0","0",NA
"Tula De Allende","1486","BASICA","59","81","51","1","2","59","3","42","0","0","0","0","0","0","0",NA
"Tula De Allende","1486","CONTIGUA 1","64","85","54","3","3","58","3","34","0","0","0","0","0","0","0",NA
"Tula De Allende","1487","BASICA","41","122","77","2","3","39","4","51","0","0","0","0","0","0","0",NA
"Tula De Allende","1487","CONTIGUA 1","60","90","99","2","1","41","4","36","0","0","1","0","0","0","0",NA
"Tula De Allende","1488","BASICA","82","76","66","3","6","40","9","36","0","0","0","0","0","1","0",NA
"Tula De Allende","1488","CONTIGUA 1","77","93","57","5","2","47","4","23","0","0","0","0","0","0","0",NA
"Tula De Allende","1488","CONTIGUA 2","57","43","72","4","6","48","8","34","0","0","1","0","0","0","9",NA
"Tula De Allende","1489","BASICA","45","86","38","2","0","12","3","51","0","0","0","0","0","0","0",NA
"Tula De Allende","1489","CONTIGUA 1","46","66","51","0","3","23","2","30","0","0","0","0","0","0","0",NA
"Tula De Allende","1490","BASICA","24","17","14","1","1","5","2","11","0","0","0","0","0","1","0",NA
"Tula De Allende","1491","BASICA","29","61","74","1","1","36","5","35","0","0","0","0","0","0","4",NA
"Tula De Allende","1491","CONTIGUA 1","35","71","64","0","0","39","4","40","0","0","0","0","0","0","0",NA
"Tula De Allende","1491","CONTIGUA 2","31","82","49","2","1","44","3","36","0","0","0","0","0","0","0","ANULADA"
"Tula De Allende","1492","BASICA","65","68","82","3","3","27","8","36","0","0","0","0","0","1","0",NA
"Tula De Allende","1492","CONTIGUA 1","72","91","81","1","2","20","6","35","0","0","0","0","1","0","5",NA
"Tula De Allende","1492","CONTIGUA 2","68","66","101","6","1","21","8","42","0","0","0","0","0","0","0","ANULADA"
"Tula De Allende","1492","CONTIGUA 3","87","64","58","4","5","20","0","46","0","0","0","0","0","0","0",NA
"Tula De Allende","1493","BASICA","7","81","361","2","1","8","2","16","0","0","0","0","0","0","0",NA
"Tula De Allende","1493","CONTIGUA 1","5","144","347","3","7","4","2","7","0","0","0","0","0","0","6",NA
"Tula De Allende","1493","CONTIGUA 2","9","105","345","0","4","6","1","17","0","0","1","0","0","0","9",NA
"Tula De Allende","1493","CONTIGUA 3","16","105","350","1","0","7","3","12","0","0","1","0","0","0","4",NA
"Tula De Allende","1494","BASICA","46","86","95","4","5","14","2","34","0","0","0","0","0","0","3",NA
"Tula De Allende","1494","CONTIGUA 1","36","99","74","4","5","11","1","31","0","0","0","0","0","0","0",NA
"Tula De Allende","1494","CONTIGUA 2","43","96","77","4","4","19","2","28","0","0","0","0","0","0","0",NA
"Tula De Allende","1495","BASICA","27","63","9","3","4","12","4","29","0","0","0","0","0","0","0",NA
"Tula De Allende","1495","CONTIGUA 1","44","46","109","4","5","7","7","22","0","0","0","0","0","0","1",NA
"Tula De Allende","1495","CONTIGUA 2","30","64","113","4","4","30","6","20","0","0","0","0","0","0","0",NA
"Tula De Allende","1496","BASICA","26","67","54","3","3","7","5","35","0","0","0","0","0","0","0",NA
"Tula De Allende","1496","CONTIGUA 1","32","52","68","2","5","10","4","43","0","0","0","0","0","0","3",NA
"Tula De Allende","1497","BASICA","26","62","71","7","1","12","5","23","0","0","0","0","0","0","0",NA
"Tula De Allende","1497","CONTIGUA 1","43","61","75","1","3","8","1","26","0","0","0","0","0","0","0",NA
"Tula De Allende","1497","CONTIGUA 2","44","82","93","4","2","8","3","15","0","0","0","0","0","0","0",NA
"Tula De Allende","1497","CONTIGUA 3","39","89","72","5","3","10","3","26","0","0","0","0","0","0","0",NA
"Tula De Allende","1498","BASICA","58","71","73","3","2","17","8","46","0","0","0","0","0","0","0",NA
"Tula De Allende","1498","CONTIGUA 1","51","86","79","6","6","16","14","0","0","0","0","0","0","0","0",NA
"Tula De Allende","1498","CONTIGUA 2","34","85","64","6","3","19","8","46","0","0","0","0","0","0","3",NA
"Tula De Allende","1498","CONTIGUA 3","41","67","73","5","1","11","13","47","0","0","2","2","0","0","0",NA
"Tula De Allende","1499","BASICA","29","103","112","10","1","10","2","64","0","0","0","0","0","0","0",NA
"Tula De Allende","1500","BASICA","38","45","57","5","1","20","6","45","0","0","0","0","0","0","2",NA
"Tula De Allende","1500","CONTIGUA 1","40","40","38","4","3","12","7","30","0","0","0","0","0","0","0",NA
"Tula De Allende","1500","CONTIGUA 2","31","52","42","3","3","29","9","34","0","0","0","0","0","0","2",NA
"Tula De Allende","1501","BASICA","5","35","59","1","1","2","0","3","0","0","0","0","0","0","4",NA
