"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","FRANCISCO MACIAS BELTRAN","NO REGISTRADO","NULO"
"Mineral De La Reforma","740","CONTIGUA 13","115","80","5","1","3","19","6","18","0","0","1","0","0","9","0","7"
"Mineral De La Reforma","740","CONTIGUA 2","119","59","16","3","4","34","10","23","11","0","0","0","0","11","0","4"
"Mineral De La Reforma","740","CONTIGUA 3","155","74","8","3","4","14","4","19","6","2","0","0","0","9","0","0"
"Mineral De La Reforma","740","CONTIGUA 4","95","63","7","0","3","28","12","17","6","1","0","0","0","8","0","7"
"Mineral De La Reforma","740","CONTIGUA 5","84","89","16","2","0","17","0","20","7","0","0","0","0","4","0","6"
"Mineral De La Reforma","740","CONTIGUA 6","103","71","8","3","3","14","5","14","10","0","0","0","0","4","0","7"
"Mineral De La Reforma","740","CONTIGUA 7","88","66","16","3","4","19","10","24","9","0","1","0","0","8","0","3"
"Mineral De La Reforma","740","CONTIGUA 8","92","86","11","2","6","28","8","25","4","0","0","0","0","10","0","3"
"Mineral De La Reforma","740","CONTIGUA 9","91","66","14","2","0","17","9","23","4","1","5","0","0","11","0","8"
"Mineral De La Reforma","741","BASICA","190","91","4","0","10","18","12","12","0","0","0","0","0","6","0","3"
"Mineral De La Reforma","741","CONTIGUA 1","129","104","4","2","4","11","6","14","2","1","1","0","0","10","0","2"
"Mineral De La Reforma","741","CONTIGUA 2","178","119","3","1","3","17","4","4","1","1","1","0","0","4","0","5"
"Mineral De La Reforma","929","BASICA","158","76","11","6","3","24","3","29","2","0","0","0","0","10","0","6"
"Mineral De La Reforma","929","CONTIGUA 1","133","94","3","5","5","7","10","31","5","1","0","0","0","13","0","6"
"Mineral De La Reforma","937","BASICA","100","60","6","0","2","20","7","16","5","2","0","0","0","3","0","5"
"Mineral De La Reforma","937","CONTIGUA 1","100","70","3","7","3","28","2","9","2","0","0","0","0","7","0","9"
"Mineral De La Reforma","938","BASICA","78","82","15","4","1","28","9","23","5","0","0","0","0","7","0","6"
"Mineral De La Reforma","1708","BASICA","93","110","10","8","6","26","4","26","10","0","0","0","0","14","0","2"
"Mineral De La Reforma","1709","BASICA","122","102","7","4","5","24","4","30","2","0","1","0","0","0","22","5"
"Mineral De La Reforma","1709","CONTIGUA 1","117","119","8","5","2","21","4","22","5","1","1","0","0","11","0","9"
"Mineral De La Reforma","1710","BASICA","133","113","11","1","4","39","7","34","5","0","0","0","0","23","0","8"
"Mineral De La Reforma","1710","CONTIGUA 1","117","106","10","0","10","47","7","25","5","0","0","0","0","21","1","6"
"Mineral De La Reforma","1710","CONTIGUA 2","121","108","10","3","6","37","10","30","6","0","0","0","0","28","0","9"
"Mineral De La Reforma","1711","BASICA","82","55","8","0","3","30","8","17","10","0","0","0","1","15","0","6"
"Mineral De La Reforma","1711","CONTIGUA 1","83","45","9","1","5","25","10","25","3","0","0","0","0","8","0","2"
"Mineral De La Reforma","1712","BASICA","87","50","4","6","6","17","13","21","9","0","0","0","0","7","0","7"
"Mineral De La Reforma","1712","CONTIGUA 1","106","77","10","6","4","16","9","27","8","1","0","1","0","9","0","6"
"Mineral De La Reforma","1713","BASICA","67","63","12","6","4","19","6","27","3","2","1","0","1","7","0","3"
"Mineral De La Reforma","1713","CONTIGUA 2","76","57","11","1","2","15","8","19","1","0","0","0","1","0","5","4"
"Mineral De La Reforma","1714","BASICA","135","112","11","1","3","25","13","30","3","0","0","0","0","6","0","4"
"Mineral De La Reforma","1715","BASICA","117","88","7","5","4","37","9","34","11","1","0","0","0","12","2","13"
"Mineral De La Reforma","1716","BASICA","191","112","17","2","3","29","40","31","7","1","1","0","0","24","0","14"
"Mineral De La Reforma","1716","CONTIGUA 1","177","105","17","2","9","35","56","51","17","3","0","0","0","20","1","4"
