"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","JUAN CARLOS SÁNCHEZ RIVERA","JUAN LUIS HERNÁNDEZ CÁZARES","NO REGISTRADO","NULO","...17"
"Cuautepec De Hinojosa","265","CONTIGUA 3","51","79","40","28","42","0","52","28","15","24","9","0","6",NA
"Cuautepec De Hinojosa","266","BASICA","24","85","22","14","10","1","22","98","7","11","3","0","14",NA
"Cuautepec De Hinojosa","266","CONTIGUA 1","20","63","16","4","24","1","37","64","9","6","5","0","15",NA
"Cuautepec De Hinojosa","267","BASICA","12","51","14","18","28","2","49","10","2","38","3","0","13",NA
"Cuautepec De Hinojosa","267","CONTIGUA 1","13","30","20","13","27","0","42","15","3","33","0","0","8",NA
"Cuautepec De Hinojosa","268","BASICA","16","128","18","5","25","2","34","21","4","16","2","0","11",NA
"Cuautepec De Hinojosa","269","BASICA","28","92","47","6","83","1","73","24","41","31","1","0","17",NA
"Cuautepec De Hinojosa","269","CONTIGUA 1","31","119","36","13","100","6","64","24","29","33","5","0","15",NA
"Cuautepec De Hinojosa","269","CONTIGUA 2","45","112","29","9","71","3","55","43","38","26","2","0","25",NA
"Cuautepec De Hinojosa","269","CONTIGUA 3","40","121","32","8","65","0","49","36","39","28","4","0","13",NA
"Cuautepec De Hinojosa","270","BASICA","34","73","18","6","30","2","26","27","26","75","5","0","12",NA
"Cuautepec De Hinojosa","270","CONTIGUA 1","27","84","18","10","25","2","48","14","22","71","2","0","5",NA
"Cuautepec De Hinojosa","270","CONTIGUA 2","27","80","16","8","34","1","50","19","15","78","2","0","8",NA
"Cuautepec De Hinojosa","271","BASICA","36","54","24","14","54","0","73","20","30","28","6","0","8",NA
"Cuautepec De Hinojosa","271","CONTIGUA 1","27","55","21","7","59","2","64","11","19","33","2","0","12",NA
"Cuautepec De Hinojosa","271","CONTIGUA 2","27","66","24","9","45","1","102","12","26","29","4","1","5",NA
"Cuautepec De Hinojosa","271","CONTIGUA 3","26","54","22","11","46","0","70","18","31","50","1","0","10",NA
"Cuautepec De Hinojosa","271","CONTIGUA 4","23","66","18","8","35","0","82","19","34","43","3","0","9",NA
"Cuautepec De Hinojosa","272","BASICA","57","76","8","11","14","9","10","5","2","10","0","0","14",NA
"Cuautepec De Hinojosa","272","CONTIGUA 1","41","86","16","15","37","3","15","13","6","13","2","0","9",NA
"Cuautepec De Hinojosa","273","BASICA","29","77","7","22","99","1","94","29","10","49","0","0","11",NA
"Cuautepec De Hinojosa","273","CONTIGUA 1","43","79","8","18","96","4","75","16","6","40","2","0","25",NA
"Cuautepec De Hinojosa","273","CONTIGUA 2","35","83","8","9","79","0","95","19","10","61","0","0","19",NA
"Cuautepec De Hinojosa","273","CONTIGUA 3","35","87","8","19","84","2","73","26","14","55","5","0","20",NA
"Cuautepec De Hinojosa","273","CONTIGUA 4","31","107","20","16","96","3","60","12","10","33","2","0","8",NA
"Cuautepec De Hinojosa","274","BASICA","29","66","36","11","46","4","84","22","33","14","1","0","13",NA
"Cuautepec De Hinojosa","274","CONTIGUA 1","23","71","17","8","65","10","92","22","28","21","1","0","10",NA
"Cuautepec De Hinojosa","274","CONTIGUA 2","14","94","19","7","83","4","78","29","31","14","3","0","6",NA
"Cuautepec De Hinojosa","274","CONTIGUA 3","15","74","17","11","72","6","91","28","35","5","3","0","16",NA
"Cuautepec De Hinojosa","274","CONTIGUA 4","9","70","17","19","70","6","82","24","32","10","4","0","17",NA
"Cuautepec De Hinojosa","275","BASICA","31","64","16","20","27","4","34","18","11","4","1","0","7",NA
"Cuautepec De Hinojosa","275","CONTIGUA 1","27","59","10","18","32","5","24","13","10","7","1","0","5","ANULADA"
"Cuautepec De Hinojosa","276","BASICA","19","108","75","64","22","3","55","17","12","5","1","0","17",NA
"Cuautepec De Hinojosa","277","BASICA","68","86","65","33","14","3","41","13","13","21","0","0","24",NA
"Cuautepec De Hinojosa","278","BASICA","48","139","41","44","19","0","49","25","15","6","2","0","5",NA
"Cuautepec De Hinojosa","279","BASICA","79","89","22","12","8","1","13","9","9","11","12","1","4",NA
"Cuautepec De Hinojosa","280","BASICA","16","107","6","11","37","4","44","29","22","27","27","0","7",NA
"Cuautepec De Hinojosa","280","CONTIGUA 1","22","134","11","8","43","2","53","28","27","28","16","0","4",NA
