"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","FORTUNATO GONZÁLEZ ISLAS","LUCIA CARIÑO VITE HERNANDEZ","NO REGISTRADO","NULO","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"Huejutla De Reyes","459","CONTIGUA 2","56","107","5","0","3","9","20","7","123","1","0","3","0","5","6","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","459","CONTIGUA 3","62","102","3","1","2","6","15","7","141","1","0","0","0","15","12","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","459","CONTIGUA 4","63","125","4","4","3","5","12","8","149","0","0","0","0","9","8","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","460","BASICA","65","141","10","1","0","5","10","7","167","1","1","1","0","13","20","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","460","CONTIGUA 1","52","170","6","0","1","13","5","12","174","0","0","0","0","4","5","0","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","460","CONTIGUA 2","62","164","4","1","3","12","9","17","183","4","0","0","0","6","14","0","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","460","CONTIGUA 3","62","152","3","2","3","11","20","5","175","1","0","1","0","9","13","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","460","CONTIGUA 4","46","149","9","2","0","7","15","10","194","0","0","0","0","11","9","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","460","EXTRAORDINARIA 1","35","124","2","2","2","6","7","7","131","2","0","1","0","7","10","0","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","460","EXTRAORDINARIA 1 CONTIGUA 1","31","102","4","0","3","5","7","14","129","0","0","0","0","6","10","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","460","EXTRAORDINARIA 1 CONTIGUA 2","32","142","8","2","1","6","9","12","118","2","0","1","0","8","9","0","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","461","BASICA","47","132","3","2","0","7","9","5","160","1","0","0","0","12","9","0","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","461","CONTIGUA 1","50","104","8","0","0","4","10","5","179","0","0","0","1","14","19","1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","461","CONTIGUA 2","44","136","9","0","0","6","8","5","169","0","0","0","0","12","16","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","461","ESPECIAL 1","22","30","4","1","0","4","9","3","55","0","0","0","0","2","3","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","462","BASICA","36","150","4","1","1","4","10","7","199","0","0","0","0","4","9","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","462","CONTIGUA 1","32","148","0","1","0","4","16","12","203","2","0","0","0","0","13","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","463","BASICA","120","158","2","0","2","8","9","1","214","0","0","0","0","6","7","0","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","463","CONTIGUA 1","85","162","1","0","2","9","10","0","214","1","0","1","0","11","4","0","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","464","BASICA","59","135","3","4","2","7","12","15","194","3","0","0","0","23","8","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","464","CONTIGUA 1","73","140","3","1","1","3","6","12","180","1","1","1","0","10","5","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","464","CONTIGUA 2","74","129","6","3","4","4","22","15","155","2","0","0","0","12","0","0","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","464","CONTIGUA 3","88","155","3","1","4","9","10","10","164","2","0","0","0","8","8","0","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","465","BASICA","52","162","3","1","2","1","12","5","189","2","0","2","0","8","8","1","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-55","-55"
"Huejutla De Reyes","466","BASICA","42","121","10","2","0","2","6","5","135","0","1","0","0","6","9","0","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","466","CONTIGUA 1","24","161","5","0","0","1","0","2","140","0","0","0","0","6","5","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","467","BASICA","58","113","11","3","0","9","8","9","175","2","1","1","0","20","8","0","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","467","CONTIGUA 1","68","87","12","3","1","2","11","9","180","3","3","0","0","18","9","1","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","467","CONTIGUA 2","70","106","12","4","1","3","10","7","184","3","0","0","0","19","11","0","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","467","CONTIGUA 3","67","105","8","5","1","5","14","15","188","1","0","0","0","13","5","0","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","467","CONTIGUA 4","54","109","14","1","4","5","8","12","181","2","0","1","0","15","7","0","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","468","BASICA","62","89","5","1","1","3","12","12","189","1","1","1","0","20","18","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","468","CONTIGUA 1","45","77","4","3","1","0","12","8","226","1","0","1","0","22","12","0","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","468","CONTIGUA 2","48","108","4","2","0","5","16","8","185","1","0","0","0","30","17","1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","468","CONTIGUA 3","38","123","7","0","2","3","19","11","169","3","0","1","0","19","18","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","469","BASICA","40","102","17","1","0","8","11","2","183","2","0","0","0","10","7","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","469","CONTIGUA 1","66","102","12","4","0","4","10","3","194","2","0","1","0","8","7","0","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","469","CONTIGUA 2","30","131","3","1","5","4","7","2","187","1","1","0","0","10","13","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","470","BASICA","62","111","16","2","0","5","19","18","178","1","1","0","0","16","8","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","470","CONTIGUA 1","53","127","12","4","1","9","12","9","175","1","1","0","0","19","12","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","470","CONTIGUA 2","71","114","9","2","2","3","7","6","181","2","2","0","1","15","8","1","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","470","CONTIGUA 3","65","130","11","2","2","4","5","10","187","3","0","1","0","20","5","0","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","470","CONTIGUA 4","65","108","8","5","0","7","10","14","179","3","0","0","0","20","3","0","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","470","CONTIGUA 5","72","116","11","4","1","5","13","14","59","1","0","0","0","14","11","0","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","471","BASICA","52","51","6","4","5","2","6","0","78","0","0","0","0","4","8","0","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","471","CONTIGUA 1","27","57","2","2","1","3","2","2","125","0","0","0","0","1","5","5","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","471","EXTRAORDINARIA 1","56","49","7","3","1","1","9","1","82","0","0","0","0","4","10","0","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","471","EXTRAORDINARIA 1 CONTIGUA 1","51","47","4","5","2","1","14","0","93","0","1","0","0","5","11","1","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","472","BASICA","28","77","3","3","0","2","2","4","86","1","1","1","0","1","5","1","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","472","EXTRAORDINARIA 1","48","32","3","5","2","3","4","0","62","0","0","0","0","1","7","0","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","473","BASICA","84","82","22","1","1","9","13","4","100","4","1","0","0","7","26","0","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","473","CONTIGUA 1","84","55","19","3","6","9","16","1","104","1","1","2","0","7","10","0","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","473","CONTIGUA 2","89","88","9","1","5","2","28","3","105","3","0","1","0","5","15","0","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","474","BASICA","33","39","3","0","0","2","9","1","129","0","0","0","0","2","7","0","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","474","CONTIGUA 1","30","46","1","3","3","3","3","0","134","0","0","0","0","4","5","0","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","475","BASICA","26","147","8","5","4","1","6","4","127","1","2","0","0","6","6","0","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","476","BASICA","58","111","6","4","4","56","7","1","109","2","0","1","0","8","7","0","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","476","CONTIGUA 1","60","138","9","7","5","30","18","0","100","0","4","0","2","7","4","0","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","477","BASICA","39","83","1","4","1","1","8","4","194","0","0","0","0","12","6","0","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","477","EXTRAORDINARIA 1","92","57","2","1","1","4","8","3","142","0","0","1","0","5","3","0","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","478","BASICA","95","137","12","3","0","1","8","8","78","1","0","0","0","4","6","0","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","478","CONTIGUA 1","79","116","23","3","0","4","12","8","103","0","1","0","0","3","7","0","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","479","BASICA","68","134","4","0","2","2","12","2","145","2","0","2","0","11","3","0","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","479","CONTIGUA 1","77","99","2","4","2","7","9","5","160","0","0","0","0","6","5","0","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","480","BASICA","111","92","10","2","1","5","6","2","196","0","0","0","0","4","7","0","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","480","CONTIGUA 1","110","80","10","4","3","6","2","3","198","0","0","0","0","6","7","0","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","481","BASICA","110","29","7","2","2","4","3","1","82","1","1","2","0","3","1","0","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","481","CONTIGUA 1","101","31","7","8","3","4","5","1","80","1","2","0","0","5","3","0","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","481","EXTRAORDINARIA 1","22","2","2","0","0","2","1","0","74","0","0","0","0","0","3","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huejutla De Reyes","482","BASICA","74","123","13","2","2","6","3","4","147","3","2","0","0","6","0","0","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
