"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","MARÍA ELENA JIMÉNEZ GUZMÁN","J. GUADALUPE SANTIAGO AGUILAR","NO REGISTRADO","NULO"
"Tezontepec De Aldama","1314","BASICA","104","92","7","0","2","114","8","60","1","3","0","0","0","21","14","0","8"
"Tezontepec De Aldama","1314","CONTIGUA 1","116","78","14","0","2","124","4","42","0","1","2","0","0","25","7","0","8"
"Tezontepec De Aldama","1314","CONTIGUA 2","122","60","12","0","1","162","4","41","5","1","0","0","0","32","9","0","11"
"Tezontepec De Aldama","1315","BASICA","58","68","2","0","4","177","2","40","2","4","0","0","0","12","27","0","5"
"Tezontepec De Aldama","1316","BASICA","204","114","5","0","2","155","7","21","5","1","1","1","0","14","4","0","9"
"Tezontepec De Aldama","1316","CONTIGUA 1","181","122","4","0","1","140","8","13","4","3","4","0","0","21","6","1","4"
"Tezontepec De Aldama","1316","CONTIGUA 2","180","118","11","0","5","124","15","19","10","1","1","2","0","11","6","0","9"
"Tezontepec De Aldama","1317","BASICA","50","50","14","0","2","278","2","26","2","1","1","0","0","10","3","3","7"
"Tezontepec De Aldama","1317","CONTIGUA 1","84","51","5","0","3","270","0","15","0","1","0","0","0","14","0","0","9"
"Tezontepec De Aldama","1317","CONTIGUA 2","47","61","21","0","2","288","2","18","0","0","0","0","0","8","1","0","8"
"Tezontepec De Aldama","1317","CONTIGUA 3","66","59","15","0","0","292","3","11","0","0","0","0","0","6","6","0","4"
"Tezontepec De Aldama","1318","BASICA","97","47","16","0","1","327","3","10","1","2","0","0","0","10","1","0","8"
"Tezontepec De Aldama","1318","CONTIGUA 1","88","46","16","0","0","345","2","8","3","1","0","0","0","9","2","0","7"
"Tezontepec De Aldama","1319","BASICA","166","66","4","0","2","93","6","40","6","2","0","0","0","21","7","0","13"
"Tezontepec De Aldama","1319","CONTIGUA 1","195","79","3","0","3","78","8","26","7","1","0","0","0","20","2","0","6"
"Tezontepec De Aldama","1319","CONTIGUA 2","181","83","6","0","2","89","11","26","2","2","0","0","0","17","9","0","5"
"Tezontepec De Aldama","1319","CONTIGUA 3","177","69","22","0","4","95","14","17","3","0","2","0","0","19","1","0","9"
"Tezontepec De Aldama","1320","BASICA","131","96","5","0","3","135","15","25","2","0","0","0","0","15","7","0","10"
"Tezontepec De Aldama","1320","CONTIGUA 1","140","80","0","0","1","116","14","27","5","2","0","0","0","11","10","0","9"
"Tezontepec De Aldama","1321","BASICA","43","50","18","0","1","134","7","32","1","0","0","0","0","11","5","0","6"
"Tezontepec De Aldama","1321","CONTIGUA 1","50","51","5","0","4","149","3","46","2","1","0","0","0","8","1","0","10"
"Tezontepec De Aldama","1322","BASICA","135","69","22","0","2","154","9","34","3","0","0","0","0","24","8","0","10"
"Tezontepec De Aldama","1322","CONTIGUA 1","130","100","15","0","8","105","8","35","7","0","0","0","0","8","0","0","15"
"Tezontepec De Aldama","1323","BASICA","175","127","9","0","3","128","3","12","1","1","0","0","0","21","7","0","14"
"Tezontepec De Aldama","1324","BASICA","66","68","11","0","4","56","3","198","3","0","1","0","0","10","3","0","2"
"Tezontepec De Aldama","1324","CONTIGUA 1","72","103","4","0","3","46","0","173","2","1","0","0","0","9","5","0","3"
"Tezontepec De Aldama","1325","BASICA","149","181","8","0","3","96","3","39","2","3","0","0","0","21","7","0","5"
"Tezontepec De Aldama","1325","CONTIGUA 1","137","175","9","0","4","125","0","40","3","5","0","0","0","5","6","0","7"
"Tezontepec De Aldama","1326","BASICA","68","106","11","0","0","155","1","46","2","2","1","0","0","26","5","0","15"
"Tezontepec De Aldama","1326","CONTIGUA 1","87","69","3","0","0","160","5","42","1","8","0","0","0","19","3","0","7"
"Tezontepec De Aldama","1327","BASICA","58","61","7","0","2","107","5","37","1","1","0","0","0","18","2","0","11"
"Tezontepec De Aldama","1327","CONTIGUA 1","74","54","7","0","2","98","0","26","1","1","1","0","0","26","3","0","9"
"Tezontepec De Aldama","1327","CONTIGUA 2","76","64","5","0","0","89","0","26","1","0","0","0","0","24","22","0","2"
"Tezontepec De Aldama","1328","BASICA","95","153","6","0","2","115","15","42","1","6","1","0","0","15","4","0","7"
"Tezontepec De Aldama","1328","CONTIGUA 1","133","127","9","0","4","101","9","31","1","7","1","0","0","14","9","0","12"
"Tezontepec De Aldama","1328","CONTIGUA 2","89","167","9","0","3","154","4","25","1","2","0","0","0","15","4","0","10"
"Tezontepec De Aldama","1329","BASICA","136","98","2","0","1","70","3","36","3","0","1","0","0","9","1","0","2"
"Tezontepec De Aldama","1329","CONTIGUA 1","108","115","2","0","0","47","11","58","1","3","0","0","0","3","11","0","9"
"Tezontepec De Aldama","1330","BASICA","110","45","6","0","3","113","5","27","3","3","0","0","0","13","3","0","6"
"Tezontepec De Aldama","1331","BASICA","64","86","21","0","0","97","7","27","3","0","0","0","0","12","4","0","8"
"Tezontepec De Aldama","1332","BASICA","61","172","6","0","1","107","2","39","2","7","2","0","1","10","4","0","12"
"Tezontepec De Aldama","1332","CONTIGUA 1","60","169","7","0","1","100","10","38","3","3","3","0","0","9","15","1","5"
