"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","HUMBERTO ENDONIO SALINAS","JOSÉ LUIS ARROYAVE HERNÁNDEZ","NO REGISTRADO","NULO"
"Huichapan","520","BASICA","90","165","2","0","40","0","6","3","2","84","12","0","14"
"Huichapan","520","CONTIGUA 1","83","130","6","0","57","0","17","11","0","97","24","0","12"
"Huichapan","521","BASICA","109","58","15","0","58","0","19","4","4","118","15","0","12"
"Huichapan","522","BASICA","40","53","2","0","13","0","6","43","1","50","12","0","5"
"Huichapan","522","CONTIGUA 1","41","33","2","0","16","0","22","43","3","38","15","0","10"
"Huichapan","523","BASICA","128","34","7","0","21","0","49","18","1","49","13","0","5"
"Huichapan","523","CONTIGUA 1","157","49","2","0","36","0","25","10","3","51","15","0","7"
"Huichapan","523","CONTIGUA 2","119","28","3","0","47","0","30","16","1","45","27","0","8"
"Huichapan","524","BASICA","47","82","0","0","29","0","9","4","0","61","4","0","8"
"Huichapan","525","BASICA","48","93","10","0","81","0","16","7","1","90","28","0","6"
"Huichapan","526","BASICA","22","68","5","0","53","0","7","1","5","52","17","0","11"
"Huichapan","527","BASICA","25","59","5","0","40","0","10","27","1","65","37","0","7"
"Huichapan","528","BASICA","96","60","6","0","30","0","21","17","4","72","27","0","11"
"Huichapan","528","CONTIGUA 1","77","96","7","0","33","0","17","8","1","81","12","0","2"
"Huichapan","528","CONTIGUA 2","86","71","8","0","52","0","20","12","4","9","3","0","5"
"Huichapan","529","BASICA","37","40","4","0","24","0","2","2","1","119","24","0","15"
"Huichapan","530","BASICA","78","130","11","0","87","0","38","15","3","48","44","1","10"
"Huichapan","531","BASICA","36","82","2","0","22","0","22","16","2","62","41","0","10"
"Huichapan","531","CONTIGUA 1","46","77","4","0","22","0","15","12","2","33","11","0","11"
"Huichapan","532","BASICA","67","138","2","0","31","0","12","3","4","19","28","0","18"
"Huichapan","533","BASICA","219","76","7","0","16","0","8","13","4","57","71","0","7"
"Huichapan","534","BASICA","60","75","33","0","35","0","26","38","3","58","71","1","7"
"Huichapan","534","CONTIGUA 1","64","95","34","0","36","0","17","30","5","73","75","0","7"
"Huichapan","535","BASICA","21","102","23","0","23","0","15","31","1","62","77","0","11"
"Huichapan","535","CONTIGUA 1","33","73","20","0","37","0","12","35","2","73","56","0","4"
"Huichapan","536","BASICA","58","80","4","0","33","0","17","43","0","50","21","0","4"
"Huichapan","537","BASICA","40","129","13","0","15","0","8","8","2","53","19","1","13"
"Huichapan","537","CONTIGUA 1","46","130","8","0","23","0","23","16","1","108","55","0","10"
"Huichapan","538","BASICA","38","32","2","0","21","0","10","2","1","18","35","0","4"
"Huichapan","539","BASICA","22","65","3","0","20","0","9","3","0","12","36","0","21"
"Huichapan","539","CONTIGUA 1","11","51","0","0","13","0","6","3","0","19","91","0","14"
"Huichapan","540","BASICA","24","68","2","0","37","0","12","6","1","22","59","0","8"
"Huichapan","540","CONTIGUA 1","27","84","0","0","34","0","7","6","0","10","5","0","5"
"Huichapan","541","BASICA","22","38","3","0","19","0","10","11","0","7","18","0","6"
"Huichapan","542","BASICA","5","108","2","0","34","0","14","7","0","24","26","0","8"
"Huichapan","543","BASICA","64","120","1","0","60","0","18","13","1","62","8","0","6"
"Huichapan","544","BASICA","28","51","5","0","28","0","9","154","2","4","14","0","11"
"Huichapan","544","CONTIGUA 1","14","70","5","0","27","0","3","173","2","5","3","0","3"
"Huichapan","544","CONTIGUA 2","9","78","4","0","20","0","6","170","1","43","15","0","6"
"Huichapan","545","BASICA","40","59","2","0","46","0","36","12","1","48","20","0","10"
"Huichapan","545","CONTIGUA 1","43","45","5","0","38","0","27","24","2","44","4","0","6"
"Huichapan","546","BASICA","28","41","2","0","64","0","11","7","0","0","0","0","0"
