"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","JULIO RAMÓN MENCHACA SALAZAR","NO REGISTRADO","NULO"
"Pachuca de Soto","852","CONTIGUA 4","107","101","14","4","4","27","11","23","5","0","0","0","0","18","0","11"
"Pachuca de Soto","852","CONTIGUA 5","98","104","20","3","9","34","2","24","8","1","0","1","0","13","0","9"
"Pachuca de Soto","852","CONTIGUA 6","99","99","14","2","3","24","7","28","7","1","0","0","0","14","0","11"
"Pachuca de Soto","852","CONTIGUA 7","76","71","20","1","5","23","12","28","6","0","1","1","0","15","0","12"
"Pachuca de Soto","852","CONTIGUA 8","87","91","14","3","7","37","5","35","2","0","0","0","0","11","1","4"
"Pachuca de Soto","852","CONTIGUA 9","106","91","16","5","4","24","2","20","7","0","0","0","0","23","0","7"
"Pachuca de Soto","853","BASICA","105","62","6","3","2","59","6","16","2","1","0","0","0","18","0","8"
"Pachuca de Soto","853","CONTIGUA 1","103","73","6","2","5","40","11","15","2","0","0","0","0","17","0","8"
"Pachuca de Soto","853","CONTIGUA 2","104","67","10","0","4","55","7","19","5","0","0","0","0","17","0","5"
"Pachuca de Soto","854","BASICA","159","0","8","2","0","85","0","14","0","129","0","0","0","35","0","8"
"Pachuca de Soto","854","CONTIGUA 1","146","81","8","4","7","90","7","33","5","0","0","0","0","35","0","3"
"Pachuca de Soto","855","BASICA","133","83","14","5","4","85","10","29","9","0","1","1","0","29","0","10"
"Pachuca de Soto","855","CONTIGUA 1","137","64","8","3","3","100","11","20","5","1","0","0","0","38","0","10"
"Pachuca de Soto","856","BASICA","138","78","9","5","4","74","8","31","9","0","0","0","0","24","0","13"
"Pachuca de Soto","856","CONTIGUA 1","116","72","13","7","9","80","14","22","8","0","0","0","0","32","0","4"
"Pachuca de Soto","857","BASICA","107","60","9","9","4","49","2","16","4","0","1","0","0","22","0","0"
"Pachuca de Soto","857","CONTIGUA 1","91","78","6","9","4","61","2","12","5","0","0","0","0","18","0","9"
"Pachuca de Soto","858","BASICA","115","55","10","7","3","56","7","22","5","0","0","0","0","48","0","0"
"Pachuca de Soto","859","BASICA","91","78","10","8","2","51","6","31","4","0","0","0","0","24","0","6"
"Pachuca de Soto","860","BASICA","89","38","7","4","5","39","1","8","3","0","5","0","0","14","0","10"
"Pachuca de Soto","860","CONTIGUA 1","92","37","3","4","2","47","3","13","2","0","1","0","0","24","0","7"
"Pachuca de Soto","861","BASICA","119","69","6","1","2","28","5","16","4","1","0","0","0","44","0","5"
"Pachuca de Soto","862","BASICA","111","85","7","3","5","27","4","17","5","1","1","0","0","20","0","4"
"Pachuca de Soto","863","BASICA","72","81","9","2","5","30","8","24","3","0","0","0","0","19","0","5"
"Pachuca de Soto","863","CONTIGUA 1","68","72","9","4","5","20","7","25","7","0","0","0","0","15","0","6"
"Pachuca de Soto","863","CONTIGUA 2","73","85","4","3","1","24","6","35","5","0","2","1","0","22","0","6"
"Pachuca de Soto","864","BASICA","68","56","18","7","4","10","2","8","8","62","60","58","6","14","0","6"
"Pachuca de Soto","864","CONTIGUA 1","56","58","13","5","3","17","13","11","7","1","0","0","0","10","0","8"
"Pachuca de Soto","865","BASICA","107","89","16","7","5","41","11","39","6","1","1","0","0","24","0","10"
"Pachuca de Soto","865","CONTIGUA 1","111","83","12","9","1","49","21","21","4","0","0","0","0","24","0","10"
"Pachuca de Soto","866","BASICA","116","50","13","11","10","45","5","24","3","0","0","0","0","20","0","8"
"Pachuca de Soto","866","CONTIGUA 1","118","67","13","3","4","53","11","27","9","0","0","0","0","12","0","4"
"Pachuca de Soto","867","BASICA","81","85","6","3","4","27","5","11","5","1","0","0","0","20","0","1"
"Pachuca de Soto","867","CONTIGUA 1","101","50","3","3","2","29","12","24","7","1","0","0","0","17","0","0"
"Pachuca de Soto","868","BASICA","89","64","4","0","4","35","15","19","2","0","0","0","0","19","0","4"
"Pachuca de Soto","868","CONTIGUA 1","76","65","9","3","1","22","22","13","2","1","0","1","0","21","1","3"
"Pachuca de Soto","869","BASICA","79","66","5","4","0","53","5","16","5","0","0","0","0","33","1","5"
"Pachuca de Soto","870","BASICA","89","61","10","4","5","28","6","17","6","0","0","0","0","24","0","10"
"Pachuca de Soto","871","BASICA","71","51","3","4","0","39","6","14","8","0","0","0","0","27","0","7"
"Pachuca de Soto","871","CONTIGUA 1","70","55","3","0","1","43","6","11","0","0","1","0","0","31","0","7"
"Pachuca de Soto","872","BASICA","120","55","7","2","14","58","1","15","3","0","0","0","0","32","0","1"
"Pachuca de Soto","873","BASICA","108","66","5","3","1","61","7","18","6","0","0","0","0","33","0","5"
"Pachuca de Soto","873","CONTIGUA 1","122","58","7","9","2","51","5","9","57","0","0","0","0","21","0","7"
"Pachuca de Soto","874","BASICA","139","98","10","5","8","83","7","22","7","0","0","0","0","49","0","13"
"Pachuca de Soto","875","BASICA","83","65","3","2","5","43","4","9","5","0","0","0","0","22","0","8"
"Pachuca de Soto","875","CONTIGUA 1","102","65","5","1","2","28","8","16","5","0","0","0","0","23","0","4"
"Pachuca de Soto","876","BASICA","147","97","10","2","6","79","10","27","5","0","1","0","0","40","0","8"
"Pachuca de Soto","876","CONTIGUA 1","133","93","10","2","3","87","7","29","9","0","0","0","0","34","0","11"
"Pachuca de Soto","877","BASICA","119","74","12","8","2","43","15","34","10","0","0","0","0","31","0","9"
"Pachuca de Soto","877","CONTIGUA 1","101","76","16","2","4","53","16","20","9","0","1","0","0","34","0","0"
"Pachuca de Soto","878","BASICA","157","92","10","11","3","94","6","27","11","0","0","0","0","30","0","11"
"Pachuca de Soto","878","CONTIGUA 1","134","95","8","5","6","94","10","24","2","0","0","0","0","43","1","12"
"Pachuca de Soto","878","CONTIGUA 2","133","87","11","10","4","89","11","25","7","102","91","98","15","44","0","10"
"Pachuca de Soto","879","BASICA","135","70","14","3","6","67","4","35","7","0","0","0","29","0","0","11"
"Pachuca de Soto","879","CONTIGUA 1","135","78","12","5","5","52","12","32","8","1","1","1","0","21","0","8"
"Pachuca de Soto","879","CONTIGUA 2","139","72","19","6","5","63","10","45","8","0","0","0","0","23","1","7"
"Pachuca de Soto","879","CONTIGUA 3","137","83","10","6","5","79","6","34","10","0","0","0","0","0","0","8"
"Pachuca de Soto","879","CONTIGUA 4","126","54","13","4","3","60","6","36","8","0","0","0","0","26","0","14"
"Pachuca de Soto","879","CONTIGUA 5","136","84","18","4","5","47","9","27","3","0","0","0","0","27","0","11"
"Pachuca de Soto","880","BASICA","131","78","7","5","4","76","9","23","6","0","0","0","0","27","1","6"
"Pachuca de Soto","880","CONTIGUA 1","107","75","10","10","4","74","11","39","6","1","0","0","0","21","0","8"
"Pachuca de Soto","880","CONTIGUA 2","136","79","10","9","4","59","7","25","7","0","1","0","0","0","0","6"
"Pachuca de Soto","880","CONTIGUA 3","139","63","11","2","2","95","10","27","7","1","0","0","0","29","0","9"
"Pachuca de Soto","880","CONTIGUA 4","105","72","11","7","4","80","8","9","29","0","0","0","1","33","0","7"
"Pachuca de Soto","880","CONTIGUA 5","114","70","13","5","2","85","17","24","1","5","0","0","0","30","0","15"
"Pachuca de Soto","880","EXTRAORDINARIA 1","136","67","11","8","4","80","8","37","5","0","0","0","0","25","0","7"
"Pachuca de Soto","880","EXTRAORDINARIA 1 CONTIGUA 1","152","64","18","6","4","94","4","18","6","0","0","0","0","35","0","4"
"Pachuca de Soto","880","EXTRAORDINARIA 1 CONTIGUA 2","156","89","7","2","7","87","13","21","13","2","0","0","0","23","0","6"
"Pachuca de Soto","880","EXTRAORDINARIA 1 CONTIGUA 3","139","63","11","2","2","95","10","27","7","1","0","0","0","29","0","9"
"Pachuca de Soto","880","EXTRAORDINARIA 1 CONTIGUA 4","148","69","14","4","4","79","16","24","9","0","0","0","0","45","0","7"
"Pachuca de Soto","880","EXTRAORDINARIA 1 CONTIGUA 5","161","73","10","3","1","96","11","19","96","1","0","0","0","34","0","2"
"Pachuca de Soto","880","EXTRAORDINARIA 1 CONTIGUA 6","138","66","6","5","7","95","13","25","5","0","0","0","0","28","0","2"
"Pachuca de Soto","881","BASICA","130","94","18","5","3","83","7","31","6","0","0","0","0","24","0","6"
"Pachuca de Soto","881","CONTIGUA 1","126","92","8","4","2","78","9","38","8","0","0","0","0","38","0","10"
"Pachuca de Soto","882","BASICA","120","39","10","4","2","78","6","17","8","0","0","0","0","31","0","7"
"Pachuca de Soto","882","CONTIGUA 1","93","75","7","1","2","70","5","17","5","0","0","0","0","41","0","9"
"Pachuca de Soto","883","BASICA","129","86","3","0","6","64","7","24","8","0","0","0","0","34","1","6"
"Pachuca de Soto","884","BASICA","164","135","9","5","0","96","12","27","7","1","1","0","0","58","0","11"
"Pachuca de Soto","885","BASICA","135","74","8","4","4","62","3","16","5","0","0","0","0","99","0","8"
"Pachuca de Soto","885","CONTIGUA 1","140","69","6","3","1","79","5","16","7","0","0","0","0","0","0","10"
"Pachuca de Soto","886","BASICA","141","102","10","3","3","62","13","20","6","0","0","0","0","41","0","13"
"Pachuca de Soto","887","BASICA","139","73","3","4","2","64","4","20","3","1","0","0","0","44","0","9"
"Pachuca de Soto","887","CONTIGUA 1","140","92","3","6","0","69","3","23","4","0","0","0","0","34","0","3"
"Pachuca de Soto","888","BASICA","124","66","13","3","7","66","11","12","3","1","0","0","0","20","0","7"
"Pachuca de Soto","888","CONTIGUA 1","111","70","5","3","5","65","11","15","6","0","0","0","0","31","0","10"
"Pachuca de Soto","889","BASICA","145","96","9","5","2","84","8","33","13","0","0","0","0","50","0","11"
"Pachuca de Soto","890","BASICA","110","78","4","2","2","46","4","13","3","0","0","1","0","17","0","8"
"Pachuca de Soto","890","CONTIGUA 1","113","49","2","3","6","54","5","15","4","0","0","0","0","21","0","5"
"Pachuca de Soto","891","BASICA","74","49","2","2","0","35","8","19","2","0","0","1","0","25","0","5"
"Pachuca de Soto","891","CONTIGUA 1","94","39","2","2","4","28","0","13","5","0","0","0","0","0","0","5"
"Pachuca de Soto","892","BASICA","103","70","5","1","0","30","3","9","1","4","0","0","0","48","1","5"
"Pachuca de Soto","893","BASICA","74","21","0","0","0","27","2","4","2","0","0","0","0","51","0","0"
"Pachuca de Soto","893","ESPECIAL 1","9","10","2","2","0","5","0","1","2","0","1","0","0","10","0","2"
"Pachuca de Soto","894","BASICA","141","94","10","1","3","68","17","7","6","3","0","0","0","85","1","8"
"Pachuca de Soto","895","BASICA","84","52","8","3","3","34","11","11","6","0","0","0","0","25","0","7"
"Pachuca de Soto","895","CONTIGUA 1","94","57","8","4","7","31","2","20","6","1","0","0","1","22","0","2"
"Pachuca de Soto","896","BASICA","123","53","5","4","2","54","4","9","12","6","0","0","1","0","0","5"
"Pachuca de Soto","896","CONTIGUA 1","107","69","6","3","3","40","5","15","8","9","0","0","0","23","0","4"
"Pachuca de Soto","897","BASICA","134","79","10","5","6","40","8","28","3","0","1","21","0","7","0","7"
"Pachuca de Soto","897","CONTIGUA 1","154","75","10","2","5","63","5","27","6","0","0","0","0","22","0","2"
"Pachuca de Soto","898","BASICA","140","58","7","5","3","73","7","5","7","0","0","0","0","29","0","14"
"Pachuca de Soto","898","CONTIGUA 1","140","69","7","6","5","79","9","30","4","0","0","0","0","23","0","3"
"Pachuca de Soto","899","BASICA","89","57","5","10","4","57","8","26","7","0","0","0","0","23","0","15"
"Pachuca de Soto","899","CONTIGUA 1","102","53","7","3","1","57","9","21","6","0","1","1","0","23","0","11"
"Pachuca de Soto","900","BASICA","125","55","8","2","2","69","5","17","4","0","0","0","0","27","0","3"
"Pachuca de Soto","900","CONTIGUA 1","109","55","10","6","3","64","2","26","3","0","0","0","0","34","0","6"
"Pachuca de Soto","900","CONTIGUA 2","118","72","9","9","3","93","6","15","6","0","0","0","0","38","0","14"
"Pachuca de Soto","901","BASICA","112","68","3","2","4","47","8","19","7","0","0","0","0","0","0","7"
"Pachuca de Soto","901","CONTIGUA 1","101","66","8","4","1","61","5","7","4","0","0","2","0","29","0","8"
"Pachuca de Soto","902","BASICA","167","86","5","1","2","65","11","25","4","1","1","0","0","41","2","8"
"Pachuca de Soto","902","CONTIGUA 1","175","98","3","3","3","81","10","14","1","0","0","0","0","45","0","5"
"Pachuca de Soto","903","BASICA","89","62","6","0","7","61","8","15","4","0","0","0","0","30","0","8"
"Pachuca de Soto","903","CONTIGUA 1","79","58","8","2","2","57","3","15","4","0","0","0","0","20","0","5"
"Pachuca de Soto","904","BASICA","113","94","2","1","5","58","3","20","2","1","1","0","0","59","0","5"
"Pachuca de Soto","904","CONTIGUA 1","142","80","3","0","7","42","6","12","4","1","0","0","0","68","1","5"
"Pachuca de Soto","905","BASICA","153","89","2","2","2","45","9","9","5","0","0","0","0","52","1","6"
"Pachuca de Soto","906","BASICA","153","89","2","2","2","45","9","9","5","0","0","0","0","52","1","6"
"Pachuca de Soto","907","BASICA","207","126","3","2","5","67","3","26","4","0","0","0","1","57","0","7"
"Pachuca de Soto","908","BASICA","75","80","7","4","1","27","3","11","1","0","0","0","0","34","0","3"
"Pachuca de Soto","908","CONTIGUA 1","87","89","1","1","3","21","0","18","2","0","0","0","1","23","0","5"
"Pachuca de Soto","909","BASICA","170","121","6","2","3","88","3","17","1","0","0","0","0","54","0","6"
"Pachuca de Soto","909","CONTIGUA 1","160","119","5","1","6","62","4","13","4","0","0","0","1","51","0","14"
"Pachuca de Soto","910","BASICA","103","55","13","0","3","41","11","15","8","0","0","0","0","29","1","3"
"Pachuca de Soto","910","CONTIGUA 1","119","53","14","3","4","35","7","15","4","0","0","0","1","25","0","7"
"Pachuca de Soto","910","CONTIGUA 2","100","68","3","0","1","40","5","24","3","0","0","0","0","34","0","7"
"Pachuca de Soto","911","BASICA","141","81","11","6","2","57","6","17","10","0","0","0","0","22","0","11"
"Pachuca de Soto","911","CONTIGUA 1","106","72","15","4","0","58","8","20","5","2","0","0","7","24","0","2"
"Pachuca de Soto","911","CONTIGUA 2","126","94","19","5","5","52","8","28","5","0","0","0","0","22","0","0"
"Pachuca de Soto","912","BASICA","109","62","5","3","2","74","5","26","9","1","0","0","0","21","2","8"
"Pachuca de Soto","912","CONTIGUA 1","91","58","13","11","4","78","7","25","4","0","0","0","0","30","0","8"
"Pachuca de Soto","912","CONTIGUA 2","139","51","7","3","1","84","5","25","3","0","0","0","0","22","0","3"
"Pachuca de Soto","913","BASICA","111","44","13","4","2","64","9","32","5","0","0","0","0","25","0","5"
"Pachuca de Soto","913","CONTIGUA 1","105","62","11","3","0","51","6","30","1","2","0","0","27","27","0","9"
"Pachuca de Soto","913","CONTIGUA 2","115","64","14","4","5","55","2","29","4","0","1","0","0","22","0","10"
"Pachuca de Soto","914","BASICA","135","71","20","5","4","40","12","29","8","1","0","0","0","26","1","2"
"Pachuca de Soto","914","CONTIGUA 1","137","56","13","9","6","35","17","31","7","1","0","0","0","24","0","7"
"Pachuca de Soto","914","CONTIGUA 2","137","79","13","6","8","54","9","20","6","0","0","0","0","19","0","6"
"Pachuca de Soto","915","BASICA","101","46","13","3","1","43","4","20","6","0","0","0","1","21","0","0"
"Pachuca de Soto","915","CONTIGUA 1","97","48","13","6","1","59","5","16","5","0","0","0","0","19","0","6"
"Pachuca de Soto","915","CONTIGUA 2","112","48","12","0","3","42","4","19","9","0","0","0","0","13","0","4"
"Pachuca de Soto","916","BASICA","130","61","6","6","3","63","4","25","7","0","0","0","0","18","0","6"
"Pachuca de Soto","916","CONTIGUA 1","112","60","6","8","2","59","9","24","5","0","0","0","0","22","0","8"
"Pachuca de Soto","916","CONTIGUA 2","108","59","8","5","3","65","6","22","7","1","0","0","0","23","0","0"
"Pachuca de Soto","917","BASICA","116","61","16","3","2","39","7","23","7","0","0","0","0","14","0","9"
"Pachuca de Soto","917","CONTIGUA 1","108","50","14","7","6","29","9","29","6","0","0","0","0","17","1","9"
"Pachuca de Soto","917","CONTIGUA 2","114","60","16","7","8","38","10","22","5","0","0","0","0","0","21","2"
"Pachuca de Soto","917","CONTIGUA 3","121","56","15","5","4","32","8","27","8","0","0","0","0","28","5","7"
"Pachuca de Soto","917","CONTIGUA 4","115","50","13","4","6","48","6","25","11","0","0","0","0","22","0","7"
"Pachuca de Soto","917","EXTRAORDINARIA 1","102","57","15","9","3","45","6","31","9","0","1","0","0","15","0","8"
"Pachuca de Soto","917","EXTRAORDINARIA 1 CONTIGUA 1","77","59","18","6","5","34","8","23","7","0","0","0","0","21","0","7"
"Pachuca de Soto","917","EXTRAORDINARIA 1 CONTIGUA 2","120","51","17","5","4","24","9","21","4","0","0","0","0","14","0","8"
"Pachuca de Soto","917","EXTRAORDINARIA 1 CONTIGUA 3","89","46","13","5","4","39","11","39","2","1","0","0","0","32","0","8"
"Pachuca de Soto","917","EXTRAORDINARIA 1 CONTIGUA 4","88","53","16","4","6","32","10","27","8","0","0","0","0","26","0","11"
"Pachuca de Soto","917","EXTRAORDINARIA 1 CONTIGUA 5","99","60","20","4","20","31","4","26","12","0","0","0","0","25","0","9"
"Pachuca de Soto","917","EXTRAORDINARIA 2","130","75","12","4","3","47","6","22","10","0","0","0","0","23","1","5"
"Pachuca de Soto","917","EXTRAORDINARIA 2 CONTIGUA 1","151","47","9","1","2","52","4","16","6","0","0","0","0","27","1","3"
"Pachuca de Soto","917","EXTRAORDINARIA 2 CONTIGUA 2","102","58","15","4","3","44","7","25","2","0","0","0","0","27","0","6"
"Pachuca de Soto","917","EXTRAORDINARIA 2 CONTIGUA 3","121","0","8","2","0","48","0","24","4","71","0","0","0","39","0","7"
"Pachuca de Soto","917","EXTRAORDINARIA 2 CONTIGUA 4","142","74","12","1","1","42","9","25","2","0","0","0","0","27","0","7"
"Pachuca de Soto","917","EXTRAORDINARIA 2 CONTIGUA 5","104","70","8","1","5","52","5","26","6","0","1","0","0","26","0","11"
"Pachuca de Soto","918","BASICA","144","61","7","5","5","37","16","23","7","0","0","0","0","18","0","13"
"Pachuca de Soto","918","CONTIGUA 1","104","75","9","3","3","40","10","28","9","0","1","0","0","15","0","5"
"Pachuca de Soto","918","CONTIGUA 2","87","51","9","5","1","54","10","26","3","0","0","0","0","18","0","9"
"Pachuca de Soto","918","CONTIGUA 3","106","71","12","4","5","53","9","32","7","0","0","0","0","15","0","8"
"Pachuca de Soto","919","BASICA","127","75","16","5","3","48","11","26","5","0","0","0","0","29","0","13"
"Pachuca de Soto","919","CONTIGUA 1","144","61","14","3","3","56","7","30","7","1","0","0","0","28","0","0"
"Pachuca de Soto","919","CONTIGUA 2","141","73","16","6","2","51","8","27","11","0","0","0","0","24","0","15"
"Pachuca de Soto","920","BASICA","139","94","4","2","3","43","4","10","4","0","2","0","0","38","0","12"
"Pachuca de Soto","920","CONTIGUA 1","129","73","7","3","2","60","11","25","3","0","0","0","0","23","0","6"
"Pachuca de Soto","921","BASICA","129","76","5","0","6","36","3","4","1","1","0","0","0","36","0","4"
"Pachuca de Soto","921","CONTIGUA 1","127","80","2","0","2","38","4","7","4","0","1","0","0","41","0","3"
"Pachuca de Soto","922","BASICA","117","59","8","2","5","52","12","19","6","0","0","0","0","30","0","7"
"Pachuca de Soto","922","CONTIGUA 1","109","89","11","3","1","46","12","6","7","0","0","0","0","18","0","8"
"Pachuca de Soto","922","CONTIGUA 2","102","66","7","3","9","48","4","20","5","0","1","0","0","31","0","11"
"Pachuca de Soto","923","BASICA","137","88","16","9","5","71","6","35","7","0","0","0","0","43","0","14"
"Pachuca de Soto","923","CONTIGUA 1","134","83","11","1","5","66","6","28","9","0","0","0","0","43","0","17"
"Pachuca de Soto","924","BASICA","83","71","8","3","2","50","7","18","6","0","0","0","0","26","0","7"
"Pachuca de Soto","924","CONTIGUA 1","80","64","9","3","3","38","3","15","5","0","1","1","1","37","0","6"
"Pachuca de Soto","925","BASICA","120","67","10","2","2","72","9","10","3","0","0","0","0","26","0","14"
"Pachuca de Soto","925","CONTIGUA 1","126","65","7","1","3","57","13","17","4","1","0","0","0","25","0","7"
"Pachuca de Soto","926","BASICA","168","91","8","1","4","114","5","26","5","0","0","0","0","53","0","11"
"Pachuca de Soto","927","BASICA","136","73","4","3","1","60","6","17","3","0","0","0","0","30","0","5"
"Pachuca de Soto","928","BASICA","127","73","2","3","2","53","7","22","4","0","0","0","0","73","0","7"
"Pachuca de Soto","928","CONTIGUA 1","170","72","8","3","3","62","10","11","6","0","0","0","0","37","0","4"
"Pachuca de Soto","930","BASICA","103","63","22","2","6","22","4","25","9","0","0","0","0","14","0","12"
"Pachuca de Soto","930","CONTIGUA 1","95","66","18","7","2","15","10","28","9","0","0","0","0","15","0","16"
"Pachuca de Soto","930","CONTIGUA 2","115","58","15","3","0","10","4","19","9","0","3","0","0","20","0","7"
"Pachuca de Soto","931","BASICA","96","78","8","6","4","18","2","30","14","0","0","0","0","29","0","8"
"Pachuca de Soto","931","CONTIGUA 1","123","92","8","4","6","43","9","18","8","0","0","0","0","24","0","5"
"Pachuca de Soto","932","BASICA","134","55","11","5","2","30","10","2","2","0","0","0","0","0","0","3"
"Pachuca de Soto","932","CONTIGUA 1","133","66","20","6","6","44","5","27","8","1","0","0","0","20","0","10"
"Pachuca de Soto","932","CONTIGUA 2","119","81","13","3","6","43","7","22","3","1","1","0","0","31","0","8"
"Pachuca de Soto","932","CONTIGUA 3","132","46","19","4","3","38","5","37","6","0","0","0","0","24","0","3"
"Pachuca de Soto","933","BASICA","171","102","1","2","1","37","3","12","3","0","0","0","0","71","0","16"
"Pachuca de Soto","933","CONTIGUA 1","193","107","7","1","2","34","2","16","2","0","0","1","0","53","0","3"
"Pachuca de Soto","933","CONTIGUA 2","152","109","1","2","2","44","5","6","4","0","1","0","0","93","0","0"
"Pachuca de Soto","933","CONTIGUA 3","144","130","3","0","3","33","3","11","0","0","1","0","0","39","0","3"
"Pachuca de Soto","934","BASICA","138","71","8","3","2","60","7","19","6","0","0","0","0","29","0","4"
"Pachuca de Soto","934","CONTIGUA 1","139","77","13","2","1","54","11","33","11","0","0","0","0","25","0","4"
"Pachuca de Soto","934","CONTIGUA 2","133","67","10","5","7","63","16","32","9","0","0","0","0","28","1","9"
"Pachuca de Soto","934","CONTIGUA 3","122","66","9","6","3","67","5","26","8","0","0","0","0","32","1","9"
"Pachuca de Soto","934","CONTIGUA 4","121","62","3","5","4","54","6","35","11","0","0","0","0","32","1","5"
"Pachuca de Soto","934","CONTIGUA 5","135","61","15","3","3","68","10","31","6","0","0","0","0","32","0","4"
"Pachuca de Soto","934","CONTIGUA 6","154","66","6","3","2","58","4","27","8","0","0","0","0","37","8","8"
"Pachuca de Soto","934","CONTIGUA 7","127","69","4","2","3","70","18","26","10","0","0","1","0","37","1","9"
"Pachuca de Soto","934","EXTRAORDINARIA 1","158","100","6","0","0","46","2","13","2","0","0","0","0","74","0","5"
