"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","ARMANDO SALOMÓN CAMARGO","NO REGISTRADO","NULO"
"Actopan","55","CONTIGUA 1","2","134","27","2","6","7","13","8","183","0","0","1","0","10","0","7"
"Actopan","56","BASICA","2","58","3","0","2","9","3","19","104","1","0","0","0","0","0","5"
"Actopan","57","BASICA","0","131","19","8","15","6","10","8","204","1","0","0","1","7","0","21"
"Actopan","58","BASICA","5","64","61","5","4","12","11","7","131","0","0","1","0","3","0","3"
"Actopan","59","BASICA","4","77","14","0","7","1","2","8","105","0","0","0","0","12","0","5"
"Actopan","59","CONTIGUA 1","4","44","6","7","1","6","8","11","114","0","0","0","0","5","0","6"
"Actopan","60","BASICA","5","54","58","6","1","10","8","12","216","0","2","0","0","12","0","4"
"Actopan","60","CONTIGUA 1","7","55","42","10","2","7","9","21","234","0","0","0","0","4","0","4"
"Actopan","60","CONTIGUA 2","1","62","60","5","2","9","7","22","185","3","1","0","0","10","0","12"
"Actopan","61","BASICA","9","137","5","1","11","19","17","27","136","1","3","0","0","7","0","9"
"Actopan","62","BASICA","3","92","21","3","1","13","12","27","190","1","0","1","0","17","0","19"
"Actopan","62","CONTIGUA 1","3","85","20","2","1","15","8","30","188","3","0","1","0","14","0","9"
"Actopan","62","CONTIGUA 2","1","87","23","6","3","14","7","33","194","0","0","0","0","18","0","7"
"Actopan","63","BASICA","5","53","11","2","3","4","7","31","108","0","0","0","0","3","0","6"
"Actopan","64","BASICA","2","121","22","3","2","42","27","28","146","1","0","0","0","4","0","11"
"Actopan","65","BASICA","2","98","31","4","0","5","6","44","161","0","0","1","0","2","0","14"
"Actopan","65","CONTIGUA 1","1","106","52","0","0","2","5","39","157","1","0","0","0","6","0","10"
"Actopan","65","CONTIGUA 2","1","106","44","1","0","3","11","39","135","0","1","0","0","8","0","13"
"Actopan","66","BASICA","4","92","11","4","5","8","9","17","222","1","2","0","0","16","0","22"
"Actopan","66","CONTIGUA 1","6","105","6","2","1","22","4","22","195","0","0","0","0","23","0","20"
"Actopan","67","BASICA","3","80","17","2","5","43","8","41","209","0","0","0","0","13","0","11"
"Actopan","67","CONTIGUA 1","4","60","8","4","2","36","6","51","211","0","2","1","0","9","0","16"
"Actopan","68","BASICA","3","74","17","2","4","22","8","36","193","0","0","0","1","2","0","12"
"Actopan","68","CONTIGUA 1","4","60","20","5","4","35","4","38","183","0","0","0","0","14","0","11"
