CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,CI_1,CI_2,CI_3,CI_4,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,885,2,2,1,2,0,2,1,1,0,3,0,0,7,1,0,0,1,0,1,0,1,3,6,19,102,7,4,3,8,104,17,42,338,1268
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,886,2,5,2,1,0,2,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,1,9,10,112,6,1,7,8,92,13,32,309,1138
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,887,3,1,2,3,0,0,1,2,0,11,1,0,22,0,0,0,0,0,1,1,1,0,15,29,142,12,5,3,14,152,18,27,463,1611
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,888,3,2,0,2,0,1,0,0,2,5,0,1,37,2,1,1,0,0,0,0,1,0,21,16,134,8,7,11,11,154,20,34,471,1657
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,889,2,7,2,2,0,0,0,1,0,2,0,0,2,2,1,0,0,0,0,1,0,0,16,15,87,6,4,4,8,126,17,24,327,1342
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,890,3,1,5,1,0,3,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,1,28,15,170,3,5,7,13,168,12,41,480,1529
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,891,3,0,0,0,0,0,0,0,0,5,1,0,2,1,0,0,0,2,0,0,2,0,10,29,146,8,3,10,15,154,14,33,435,1639
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,892,2,0,1,1,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,1,0,0,18,7,173,4,4,6,7,146,6,31,414,1359
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,893,3,3,0,0,1,4,1,2,0,0,0,0,4,0,0,1,0,2,0,2,0,0,14,10,147,8,1,12,10,151,15,42,430,1751
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,894,3,1,1,0,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,1,6,13,155,6,3,6,7,185,12,27,431,1816
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,895,4,3,2,1,0,0,0,0,0,2,0,1,1,1,1,0,0,1,0,2,1,0,11,28,340,13,8,14,12,183,19,65,709,2440
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,896,3,1,5,0,0,9,0,0,0,3,0,0,3,1,0,1,0,0,0,1,1,1,9,17,287,7,4,14,10,211,13,47,645,2219
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,897,2,1,5,1,1,0,1,0,0,2,2,0,2,0,0,0,0,0,1,1,2,0,13,26,153,6,4,4,7,113,11,16,372,1404
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,898,2,3,0,1,0,0,0,1,1,6,0,0,3,1,0,0,0,0,0,0,1,2,21,11,155,8,1,14,10,127,6,46,418,1267
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,899,2,3,1,0,2,1,0,0,0,2,1,0,6,2,1,0,0,0,0,2,1,0,16,21,135,4,7,8,7,115,12,28,375,1335
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,900,3,1,1,0,1,0,0,2,1,1,0,1,10,1,1,0,0,0,0,0,1,0,8,22,207,8,26,8,7,110,14,39,470,1564
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,901,2,9,4,2,0,1,2,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,18,12,238,5,4,4,10,119,8,54,496,1433
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,902,2,3,2,1,1,1,0,0,0,2,0,0,1,0,0,0,1,1,0,2,3,0,6,13,101,4,1,3,10,102,5,30,293,1425
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,903,2,1,1,1,0,1,0,2,1,4,2,0,3,2,0,1,0,0,0,1,0,1,5,20,125,6,4,2,5,132,9,36,365,1267
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,904,2,4,3,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,25,18,87,6,4,8,5,156,8,29,361,1399
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,905,3,2,0,3,0,0,0,0,0,3,3,0,3,1,0,0,2,0,0,0,0,2,15,12,268,3,1,13,6,182,12,25,556,1804
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,906,3,1,3,0,0,5,1,0,0,7,2,0,1,0,0,2,0,0,0,1,0,0,22,16,208,2,3,10,7,172,9,28,500,1655
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,907,2,4,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,2,0,8,17,119,2,5,8,5,116,8,17,321,1153
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,908,2,0,2,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,2,0,0,9,15,106,8,6,15,5,186,16,12,390,1361
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,909,3,0,0,0,0,4,0,0,0,6,0,0,2,1,0,0,0,0,0,1,0,0,5,18,278,11,9,8,10,212,11,50,626,2126
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,910,4,1,1,3,1,0,0,0,0,3,4,1,0,0,3,0,1,0,0,0,0,0,6,25,387,15,3,7,12,151,12,39,675,2256
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,911,2,2,2,1,1,0,0,0,2,3,1,0,2,0,2,0,0,0,0,0,0,1,8,18,114,4,1,4,6,144,16,27,359,1336
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,912,3,1,0,1,1,2,0,0,1,4,1,0,3,0,0,0,0,0,0,3,0,0,9,24,242,10,0,4,5,147,8,34,500,1559
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,913,3,3,2,0,2,3,0,1,2,3,0,0,5,0,0,0,0,0,1,1,0,1,35,27,133,2,2,11,11,157,10,25,437,1516
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,914,2,1,3,0,5,3,0,0,1,6,0,0,4,0,1,0,1,0,0,0,0,0,11,11,151,11,5,6,13,148,15,32,428,1410
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,915,3,2,0,0,1,1,0,2,0,5,0,0,2,0,2,1,0,0,0,0,2,0,23,21,112,4,5,5,10,154,14,36,402,1506
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,916,2,1,1,3,0,1,1,0,4,4,0,0,0,0,1,0,0,0,0,0,1,3,20,14,129,8,7,6,9,156,11,40,420,1396
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,917,3,15,4,2,1,2,2,1,2,2,2,0,7,0,0,1,0,0,1,2,0,1,26,42,452,11,9,10,18,247,12,72,944,1469
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,918,3,2,0,5,0,3,0,1,1,3,0,2,6,1,1,0,1,0,0,1,0,0,22,28,129,8,4,4,7,146,14,36,425,1537
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,919,2,1,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,2,0,2,1,1,20,19,88,3,3,3,12,140,11,29,341,1294
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,920,2,1,0,0,1,1,0,0,3,0,0,2,1,0,1,0,0,0,1,1,0,3,12,12,96,1,5,1,7,129,8,15,301,1305
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,921,2,3,1,2,0,2,0,2,1,1,0,0,0,2,0,0,0,0,0,0,3,0,25,13,126,8,5,3,10,118,11,38,374,1167
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,922,2,4,3,2,1,2,0,0,0,0,0,2,3,1,1,0,1,0,0,1,1,1,21,19,183,5,4,2,16,165,14,28,480,1367
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,923,3,0,3,0,1,3,0,0,0,1,0,0,6,0,0,0,1,0,1,0,0,1,6,15,206,6,0,7,2,128,8,34,429,1525
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,924,2,1,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,4,9,235,3,5,1,5,96,2,51,419,1480
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,925,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,150,3,3,2,2,100,3,24,309,1041
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,926,2,2,1,0,0,0,1,2,0,1,0,0,4,0,0,0,0,0,0,0,1,0,10,10,156,3,2,3,2,95,4,22,319,1352
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,927,3,1,0,3,0,1,0,4,0,7,0,0,1,4,0,0,0,0,1,1,0,2,6,28,205,6,5,6,6,120,8,44,459,1608
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,928,4,3,1,2,0,1,2,1,0,4,3,2,1,1,1,1,1,1,0,3,1,1,19,24,202,10,4,13,16,230,27,40,615,2302
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,929,2,3,4,1,2,1,1,0,2,3,0,0,3,1,0,0,0,1,0,2,1,1,15,19,98,4,1,4,16,139,7,29,358,1248
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,930,2,6,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,2,16,20,135,5,2,6,5,103,9,17,334,1027
4,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,5,GUSTAVO A. MADERO,931,2,3,1,0,1,0,0,0,1,0,1,1,2,0,0,0,1,0,0,1,3,1,15,20,148,2,4,3,6,150,22,18,404,1313
