CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1100,4,24,391,102,16,36,3,949,12,1,1,0,2,16,2,1,4,14,1574,0,75,1649,2462
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1101,3,22,241,63,18,19,6,618,9,3,1,1,0,7,5,0,2,15,1030,0,37,1067,1527
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1102,2,5,153,83,12,16,6,424,5,4,1,1,0,4,2,0,1,5,722,0,28,750,1074
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1103,2,13,218,61,4,26,2,325,4,1,0,0,0,2,0,0,1,3,660,0,22,682,915
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1104,4,40,388,195,11,47,5,960,11,4,0,0,2,9,1,0,2,22,1697,0,57,1754,2760
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1105,3,21,297,105,8,23,1,637,9,3,1,0,0,7,0,1,2,8,1123,0,40,1163,1792
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1106,2,18,229,76,9,18,4,524,7,3,1,0,0,1,0,0,0,10,900,0,37,937,1390
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1107,2,20,152,62,9,12,3,445,9,1,1,0,0,7,2,0,1,6,730,0,22,752,1067
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1108,2,12,169,35,11,7,1,441,3,2,0,1,1,2,1,0,3,0,689,0,14,703,927
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1109,2,11,148,59,9,11,3,252,6,0,0,0,0,1,0,0,0,0,500,1,21,522,677
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1110,1,5,47,20,3,5,0,130,3,0,0,0,0,3,1,0,0,4,221,0,1,222,271
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1111,1,4,105,47,5,11,1,221,4,0,0,0,0,1,1,1,1,2,404,0,24,428,662
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1112,1,3,52,16,1,6,0,139,2,0,0,0,0,0,0,0,0,0,219,0,11,230,305
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1113,2,11,200,59,7,17,9,488,11,0,1,0,0,0,8,0,2,8,821,0,28,849,1045
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1114,2,69,198,14,3,4,4,443,0,0,0,0,0,2,1,0,0,3,741,0,25,766,980
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1115,1,8,137,52,2,19,2,267,4,2,1,0,0,4,1,0,0,3,502,1,15,518,677
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1116,2,17,81,42,19,21,2,333,8,0,0,0,0,4,1,0,2,3,533,0,23,556,882
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1117,1,14,82,38,8,10,2,233,1,1,0,0,0,1,0,0,1,3,394,0,23,417,598
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1118,2,26,233,86,12,10,3,413,7,4,1,0,2,2,3,1,1,3,807,0,53,860,1309
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1119,2,18,240,60,14,20,1,292,2,0,1,0,0,5,0,0,3,0,656,0,32,688,917
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1120,1,1,47,7,1,0,0,101,1,0,0,0,0,0,0,0,0,0,158,0,5,163,205
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1121,2,23,211,43,22,18,6,463,3,1,0,0,1,7,2,0,6,6,812,0,35,847,1139
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1122,2,16,135,90,17,16,2,277,5,0,0,0,0,1,0,0,0,3,562,0,39,601,780
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1123,1,9,164,67,8,20,1,236,4,0,0,0,0,2,0,0,2,5,518,0,29,547,741
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1124,1,1,68,28,2,8,0,108,0,0,0,0,1,1,1,0,0,0,218,0,12,230,340
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1125,2,10,146,44,8,6,0,268,10,3,1,0,0,2,0,1,0,9,508,0,20,528,792
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1126,1,6,106,45,6,11,4,254,4,0,0,0,0,2,0,0,1,5,444,0,20,464,633
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1127,2,11,144,29,7,8,2,409,6,1,0,0,0,8,3,0,0,4,632,0,21,653,876
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1128,3,18,199,91,8,32,4,355,9,1,0,0,0,7,0,0,1,2,727,0,80,807,1071
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1129,1,1,5,7,2,3,0,102,1,0,0,0,0,1,1,0,0,0,123,0,1,124,190
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1130,2,20,272,108,27,28,8,475,4,0,1,0,1,2,0,0,0,2,948,0,70,1018,1413
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1131,1,12,103,44,16,9,2,207,8,2,0,2,1,6,0,0,0,1,413,0,54,467,646
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1132,1,3,31,10,7,4,1,260,4,0,0,0,0,1,1,0,1,0,323,0,14,337,414
,27,TABASCO,2,CARDENAS,2,CARDENAS,46,2,17,44,99,17,8,2,517,2,0,0,0,1,5,7,1,0,6,726,8,30,764,1160
,27,TABASCO,2,CARDENAS,2,CARDENAS,47,8,43,145,597,49,48,12,1977,22,8,2,1,4,67,19,0,6,57,3057,0,106,3163,5310
