CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,PRI_PVEM ,PT_MORENA_ES ,PT_MORENA ,PT_ES ,MORENA_ES , CAND_IND41, CAND_IND42, CAND_IND43, CAND_IND44, CAND_IND45, CAND_IND46, CAND_IND47, CAND_IND48, CAND_IND49, CAND_IND50, CAND_IND51, CAND_IND52, CAND_IND53, CAND_IND54, CAND_IND55, CAND_IND56, CAND_IND57, CAND_IND58, CAND_IND59, CAND_IND60, CAND_IND61, CAND_IND62, CAND_IND63, CAND_IND64, CAND_IND65, CAND_IND66, CAND_IND67, CAND_IND68, CAND_IND69, CAND_IND70, CAND_IND71, CAND_IND72, CAND_IND73, CAND_IND74, CAND_IND75, CAND_IND76, CAND_IND77, CAND_IND78, CAND_IND79, CAND_IND80, CAND_IND81, CAND_IND82, CAND_IND83, CAND_IND84, CAND_IND85, CAND_IND86, CAND_IND87, CAND_IND88, CAND_IND89, CAND_IND90, CAND_IND91, CAND_IND92, CAND_IND93, NUM_VOTOS_VALIDOS, NUM_VOTOS_CAN_NREG, NUM_VOTOS_NULOS, TOTAL_VOTOS, LISTA_NOMINAL
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1458,3,85,390,0,3,106,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,0,17,606,1993
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1459,3,88,250,1,7,114,4,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,467,0,18,485,1906
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1460,3,57,253,2,6,63,3,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,389,0,12,401,1868
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1461,3,80,280,1,4,98,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,0,19,486,2221
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1462,4,130,282,3,7,131,3,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,562,0,16,578,2349
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1463,4,128,330,2,11,149,1,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,629,0,19,648,2646
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2124,18,609,1862,8,33,472,4,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3005,0,87,3092,13417
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2125,3,154,230,2,13,144,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,548,0,12,560,2203
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2126,9,455,478,12,16,307,6,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1289,0,15,1304,6307
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2127,3,250,222,0,17,165,5,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,676,0,16,692,2245
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2128,6,414,396,3,10,262,4,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,1104,0,18,1122,3852
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2129,6,446,383,1,25,252,6,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,1135,0,16,1151,4012
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2130,6,470,389,0,32,308,8,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1223,0,14,1237,4104
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2131,6,202,585,2,13,138,2,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,952,0,26,978,3776
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2132,8,252,869,5,18,244,9,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1408,0,41,1449,5276
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2133,7,319,532,1,17,221,3,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1103,0,25,1128,4845
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,2134,15,1527,994,4,41,679,20,26,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,3310,2,24,3336,11208
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1453,4,173,252,0,11,140,3,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,0,24,604,1937
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1454,3,130,333,2,11,114,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,596,0,25,621,2196
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1455,4,75,523,4,5,89,4,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,707,0,24,731,2991
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1456,4,143,426,0,13,81,4,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,0,20,689,2462
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1457,2,102,274,3,10,68,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,460,0,14,474,1485
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1467,3,181,308,4,4,95,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,0,16,611,1942
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1468,3,148,272,1,7,113,1,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,550,0,14,564,1997
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1469,3,133,352,2,7,130,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,630,1,6,637,2056
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1470,4,162,330,2,5,129,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,0,16,650,2318
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1471,3,189,269,0,17,134,4,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,0,13,631,1941
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1472,3,138,378,0,12,98,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,0,21,647,1852
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1473,3,89,398,2,9,108,6,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,616,0,24,640,2194
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1474,3,49,260,2,6,92,1,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,415,0,16,431,1843
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1475,3,57,255,0,7,73,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,0,16,411,1717
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1476,3,52,356,0,1,71,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,485,0,12,497,1857
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1477,3,129,268,1,6,119,3,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,0,16,543,1761
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1478,3,118,271,2,8,124,0,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,528,0,12,540,1661
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1479,3,196,244,1,6,159,0,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,615,0,10,625,1999
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1480,4,217,365,2,5,191,0,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,783,0,18,801,2596
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1495,3,118,396,2,17,140,4,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,688,0,20,708,2004
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1496,3,123,217,0,7,113,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,466,0,10,476,1545
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1497,3,114,335,3,8,121,3,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,587,0,15,602,1960
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1498,3,98,402,0,6,98,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,613,0,23,636,1988
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1499,3,84,286,0,4,84,1,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,463,0,22,485,2081
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1500,3,133,186,1,7,88,0,7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,428,0,13,441,1697
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1501,2,187,148,4,5,80,0,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,434,0,11,445,1239
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1513,4,321,327,0,7,187,8,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,865,0,18,883,2943
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1514,3,268,215,2,5,104,2,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,607,0,7,614,1550
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1516,2,256,210,4,6,86,4,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,580,0,10,590,1413
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1517,3,142,183,2,8,128,1,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,472,0,16,488,1821
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1518,4,108,401,2,6,109,1,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,631,0,15,646,2357
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1519,3,117,358,0,9,134,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,623,0,25,648,2190
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1520,4,98,379,1,6,214,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,0,20,719,2552
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1521,4,78,389,1,5,145,3,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,0,15,640,2600
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1522,3,75,323,1,4,202,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,612,0,13,625,2165
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1523,3,128,359,1,5,127,3,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,629,0,31,660,1850
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1524,3,135,229,1,5,157,2,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,538,0,12,550,1859
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1525,3,190,243,3,17,118,5,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,578,0,23,601,1657
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1526,2,216,198,0,11,115,2,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,555,0,10,565,1311
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1527,3,310,249,2,8,130,9,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,718,0,11,729,1676
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1540,2,245,170,1,11,129,1,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,0,18,579,1446
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1541,3,142,191,1,4,93,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,0,6,441,1579
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1542,2,223,159,0,2,57,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,0,4,450,1065
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1543,2,189,145,0,5,61,3,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,409,0,12,421,1180
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1544,3,131,253,1,8,129,3,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,0,12,542,1650
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1545,3,137,271,1,2,158,3,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,580,0,17,597,1894
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1546,3,158,312,0,3,150,2,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,630,1,12,643,1916
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1547,3,115,261,2,4,136,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,0,8,529,1763
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1548,3,98,346,2,6,146,0,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,0,25,626,2198
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1553,3,95,214,1,6,102,0,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0,19,443,1983
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1554,2,96,215,0,4,93,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,413,0,16,429,1488
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1555,3,93,286,0,2,104,5,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,494,0,25,519,1875
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1556,2,124,223,2,3,88,1,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,446,0,15,461,1369
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1557,1,133,103,2,1,31,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,0,4,274,672
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1558,1,143,95,0,3,49,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,295,0,5,300,661
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1559,2,209,169,0,7,88,7,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,491,0,15,506,1414
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1560,3,297,258,1,6,97,8,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,0,17,692,1761
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1561,4,56,354,3,1,148,1,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,566,0,16,582,2368
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1562,3,178,134,1,1,171,0,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,490,0,6,496,1527
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1563,3,195,217,3,11,133,5,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,572,1,21,594,1783
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1564,3,125,205,0,8,75,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,418,0,18,436,1745
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1565,3,161,199,1,8,91,5,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,471,0,13,484,1535
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,1566,2,212,128,0,7,93,1,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,445,0,14,459,1250
