DTTO. LOCAL,CVE,MUNICIPIO,Sección,Casillas,PAN,PRI,PRD,PT,PVEM,CD,PSN,PAS,PAC,COALICION,Nulos,No Registrados,TOTAL
3,2,Acala,12,B,94,110,0,0,0,0,0,2,0,128,9,0,343
3,2,Acala,12,CA,59,143,0,0,0,0,0,1,0,149,5,0,357
3,2,Acala,13,B,39,114,0,0,0,0,0,1,0,146,3,0,303
3,2,Acala,13,CA,30,140,0,0,0,0,0,2,0,116,12,0,300
3,2,Acala,14,B,54,151,0,0,0,0,0,6,0,161,3,0,375
3,2,Acala,14,X1,1,23,0,0,0,0,0,66,0,66,5,0,161
3,2,Acala,15,B,65,103,0,0,0,0,0,105,0,85,16,0,374
3,2,Acala,15,X1,21,29,0,0,0,0,0,5,0,54,8,0,117
3,2,Acala,16,B,13,56,0,0,0,0,0,188,0,69,3,0,329
3,2,Acala,16,CA,8,56,0,0,0,0,0,186,0,59,7,0,316
3,2,Acala,17,B,25,24,0,0,0,0,0,283,0,28,5,0,365
3,2,Acala,17,CA,9,34,0,0,0,0,0,237,0,46,11,0,337
3,2,Acala,17,CB,9,28,0,0,0,0,0,244,0,42,13,0,336
3,2,Acala,18,B,16,57,0,0,0,0,0,22,0,73,4,0,172
3,2,Acala,18,X1,12,42,0,0,0,0,0,10,0,45,3,0,112
3,2,Acala,19,B,136,94,0,0,0,0,0,7,0,149,18,0,404
3,2,Acala,19,CA,109,106,0,0,0,0,0,13,0,176,9,0,413
3,2,Acala,19,X1,7,33,0,0,0,0,0,6,0,30,5,0,81
3,2,Acala,20,B,48,129,0,0,0,0,0,22,0,94,7,0,300
3,2,Acala,20,CA,52,126,0,0,0,0,0,24,0,72,15,0,289
,,,,,,,,,,,,,,,,,
16,3,Acapetahua,21,B,30,174,21,23,172,0,0,0,0,,0,0,420
16,3,Acapetahua,22,B,4,84,19,11,177,0,0,0,0,,5,0,300
16,3,Acapetahua,22,CA,4,89,16,13,145,0,0,0,0,,3,0,270
16,3,Acapetahua,23,B,9,110,21,16,141,0,0,0,0,,2,0,299
16,3,Acapetahua,23,CA,15,78,25,4,164,0,0,0,0,,7,0,293
16,3,Acapetahua,24,B,12,139,30,11,170,0,0,0,0,,8,0,370
16,3,Acapetahua,24,CA,9,137,36,15,175,0,0,0,0,,5,0,377
16,3,Acapetahua,25,B,78,96,61,8,88,0,0,0,0,,16,0,347
16,3,Acapetahua,25,CA,0,0,0,0,0,0,0,0,0,,0,0,0
16,3,Acapetahua,26,B,24,18,46,16,98,0,0,0,0,,5,0,207
16,3,Acapetahua,26,CA,0,0,0,0,0,0,0,0,0,,0,0,0
16,3,Acapetahua,26,X1,19,81,95,0,46,0,0,0,0,,5,0,246
16,3,Acapetahua,26,X2,21,51,111,2,36,0,0,0,0,,6,0,227
16,3,Acapetahua,27,B,49,44,113,20,64,0,0,0,0,,15,0,305
16,3,Acapetahua,27,CA,0,0,0,0,0,0,0,0,0,,0,0,0
16,3,Acapetahua,28,B,38,88,98,22,42,0,0,0,0,,7,0,295
16,3,Acapetahua,28,CA,45,109,88,15,49,0,0,0,0,,9,0,315
16,3,Acapetahua,28,X1,42,24,9,15,54,0,0,0,0,,4,0,148
16,3,Acapetahua,29,B,35,46,65,49,133,0,0,0,0,,7,0,335
16,3,Acapetahua,29,CA,36,45,80,33,117,0,0,0,0,,8,0,319
16,3,Acapetahua,30,B,13,113,94,9,174,0,0,0,0,,3,0,406
16,3,Acapetahua,31,B,28,80,77,2,67,0,0,0,0,,8,0,262
16,3,Acapetahua,31,CA,23,79,73,3,66,0,0,0,0,,11,0,255
16,3,Acapetahua,32,B,5,57,39,1,131,0,0,0,0,,5,0,238
16,3,Acapetahua,32,X1,15,83,60,2,62,0,0,0,0,,5,0,227
16,3,Acapetahua,33,B,5,40,53,34,138,0,0,0,0,,9,0,279
16,3,Acapetahua,34,B,13,63,99,10,125,0,0,0,0,,8,0,318
16,3,Acapetahua,34,CA,17,51,100,5,147,0,0,0,0,,10,0,330
16,3,Acapetahua,34,CB,20,58,110,1,136,0,0,0,0,,10,0,335
,,,,,,,,,,,,,,,,,
7,4,Altamirano,35,B,7,162,171,15,0,0,0,0,0,,14,0,369
7,4,Altamirano,35,CA,2,118,167,14,0,0,0,0,0,,13,0,314
7,4,Altamirano,35,CB,5,168,170,10,0,0,0,0,0,,10,0,363
7,4,Altamirano,36,B,5,222,105,35,0,0,0,0,0,,43,0,410
7,4,Altamirano,36,CA,6,170,152,43,0,0,0,0,0,,30,0,401
7,4,Altamirano,37,B,9,145,88,40,0,0,0,0,0,,9,0,291
7,4,Altamirano,37,CA,8,153,126,22,0,0,0,0,0,,16,0,325
7,4,Altamirano,37,CB,4,127,109,31,0,0,0,0,0,,15,0,286
7,4,Altamirano,38,B,4,232,26,1,0,0,0,0,0,,0,0,263
7,4,Altamirano,38,X1,1,9,25,0,0,0,0,0,0,,7,0,42
7,4,Altamirano,39,B,0,211,29,58,0,0,0,0,0,,14,0,312
7,4,Altamirano,39,X1,3,45,62,32,0,0,0,0,0,,0,0,142
7,4,Altamirano,40,B,2,33,4,1,0,0,0,0,0,,1,0,41
7,4,Altamirano,40,X1,13,174,76,16,0,0,0,0,0,,9,0,288
7,4,Altamirano,40,X2,2,56,2,4,0,0,0,0,0,,16,0,80
7,4,Altamirano,40,X3,1,39,76,13,0,0,0,0,0,,0,0,129
7,4,Altamirano,40,X4,22,162,74,10,0,0,0,0,0,,0,10,278
7,4,Altamirano,41,B,4,479,1,16,0,0,0,0,0,,26,0,526
7,4,Altamirano,41,X1,0,0,0,1,0,0,0,0,0,,139,0,140
7,4,Altamirano,41,X2,1,112,7,2,0,0,0,0,0,,9,0,131
7,4,Altamirano,42,B,2,107,58,70,0,0,0,0,0,,0,10,247
7,4,Altamirano,42,CA,4,180,145,173,0,0,0,0,0,,34,0,536
7,4,Altamirano,42,X1,0,148,7,25,0,0,0,0,0,,13,0,193
7,4,Altamirano,42,X2,4,126,6,11,0,0,0,0,0,,4,0,151
7,4,Altamirano,42,X3,1,44,2,2,0,0,0,0,0,,1,0,50
7,4,Altamirano,43,B,10,175,62,10,0,0,0,0,0,,21,0,278
7,4,Altamirano,43,CA,4,188,54,19,0,0,0,0,0,,11,0,276
,,,,,,,,,,,,,,,,,
12,5,Amatan,44,B,144,124,20,103,34,0,0,0,16,,8,0,449
12,5,Amatan,44,CA,129,144,37,81,26,0,0,0,18,,18,0,453
12,5,Amatan,44,CB,120,131,30,105,25,0,0,0,15,,15,0,441
12,5,Amatan,45,B,67,37,2,21,75,0,0,0,14,,17,0,233
12,5,Amatan,46,B,23,5,3,2,20,0,0,0,6,,4,0,63
12,5,Amatan,46,X1,23,24,41,5,2,0,0,0,1,,24,0,120
12,5,Amatan,47,B,25,28,4,3,47,0,0,0,6,,0,0,113
12,5,Amatan,48,B,50,22,32,2,40,0,0,0,97,,15,0,258
12,5,Amatan,48,CA,56,18,35,9,32,0,0,0,94,,7,0,251
12,5,Amatan,48,X1,102,25,12,7,56,0,0,0,31,,23,0,256
12,5,Amatan,49,B,47,103,15,26,3,0,0,0,59,,27,0,280
12,5,Amatan,49,X1,36,98,30,29,7,0,0,0,11,,14,0,225
12,5,Amatan,50,B,32,16,21,42,5,0,0,0,114,,63,0,293
12,5,Amatan,50,CA,48,26,5,44,14,0,0,0,100,,23,0,260
12,5,Amatan,51,B,176,99,59,4,4,0,0,0,3,,78,,423
12,5,Amatan,52,B,0,0,0,0,0,0,0,0,0,,0,0,0
12,5,Amatan,52,CA,85,30,42,32,18,0,0,0,26,,19,0,252
12,5,Amatan,53,B,80,106,70,18,30,0,0,0,40,,40,0,384
12,5,Amatan,53,CA,126,108,19,9,39,0,0,0,46,,22,0,369
,,,,,,,,,,,,,,,,,
17,6,Amatenango de la Fro,54,B,38,115,95,129,0,0,0,0,0,,12,0,389
17,6,Amatenango de la Fro,54,CA,40,88,99,149,0,0,0,0,0,,11,0,387
17,6,Amatenango de la Fro,55,B,16,143,48,35,0,0,0,0,0,,12,0,254
17,6,Amatenango de la Fro,55,X1,10,49,64,15,0,0,0,0,0,,8,0,146
17,6,Amatenango de la Fro,56,B,55,139,62,20,0,0,0,0,0,,11,0,287
17,6,Amatenango de la Fro,56,X1,7,51,108,21,0,0,0,0,0,,11,0,198
17,6,Amatenango de la Fro,57,B,10,71,191,26,0,0,0,0,0,,2,0,300
17,6,Amatenango de la Fro,57,CA,9,58,210,39,0,0,0,0,0,,8,0,324
17,6,Amatenango de la Fro,58,B,10,190,72,53,0,0,0,0,0,,8,0,333
17,6,Amatenango de la Fro,59,B,58,92,98,10,0,0,0,0,0,,12,0,270
17,6,Amatenango de la Fro,59,CA,38,146,70,8,0,0,0,0,0,,6,0,268
17,6,Amatenango de la Fro,60,B,123,124,87,2,0,0,0,0,0,,4,0,340
17,6,Amatenango de la Fro,60,CA,68,153,104,4,0,0,0,0,0,,6,0,335
17,6,Amatenango de la Fro,61,B,75,179,140,5,0,0,0,0,0,,8,0,407
17,6,Amatenango de la Fro,61,CA,64,206,126,9,0,0,0,0,0,,14,0,419
17,6,Amatenango de la Fro,62,B,136,225,93,4,0,0,0,0,0,,6,0,464
17,6,Amatenango de la Fro,62,CA,111,268,89,5,0,0,0,0,0,,18,0,491
17,6,Amatenango de la Fro,63,B,9,123,35,9,0,0,0,0,0,,2,0,178
17,6,Amatenango de la Fro,64,B,17,127,90,137,0,0,0,0,0,,14,0,385
17,6,Amatenango de la Fro,64,X1,7,71,20,36,0,0,0,0,0,,5,0,139
17,6,Amatenango de la Fro,65,B,35,64,210,3,0,0,0,0,0,,17,0,329
17,6,Amatenango de la Fro,65,X1,2,91,64,34,0,0,0,0,0,,8,0,199
17,6,Amatenango de la Fro,66,B,8,116,197,59,0,0,0,0,0,,12,0,392
17,6,Amatenango de la Fro,66,CA,8,142,185,31,0,0,0,0,0,,7,0,373
17,6,Amatenango de la Fro,67,B,25,90,24,83,0,0,0,0,0,,3,0,225
17,6,Amatenango de la Fro,67,CA,20,95,35,68,0,0,0,0,0,,7,0,225
17,6,Amatenango de la Fro,67,X1,12,41,40,3,0,0,0,0,0,,2,0,98
,,,,,,,,,,,,,,,,,
4,7,Amatenango del Valle,68,B,115,153,134,32,0,0,0,0,0,,27,0,461
4,7,Amatenango del Valle,68,CA,113,153,161,20,0,0,0,0,0,,9,0,456
4,7,Amatenango del Valle,69,B,78,278,127,24,0,0,0,0,0,,15,0,522
4,7,Amatenango del Valle,70,B,18,120,63,6,0,0,0,0,0,,0,0,207
4,7,Amatenango del Valle,70,CA,8,95,90,10,0,0,0,0,0,,10,0,213
4,7,Amatenango del Valle,71,B,33,125,116,18,0,0,0,0,0,,36,0,328
4,7,Amatenango del Valle,71,CA,18,146,116,17,0,0,0,0,0,,18,0,315
,,,,,,,,,,,,,,,,,
23,8,Angel Albino Corzo,72,B,137,127,40,40,12,0,0,0,0,,6,0,362
23,8,Angel Albino Corzo,72,CA,142,151,32,32,20,0,0,0,0,,7,0,384
23,8,Angel Albino Corzo,73,B,156,132,23,62,48,0,0,0,0,,11,0,432
23,8,Angel Albino Corzo,73,CA,139,118,29,66,61,0,0,0,0,,10,0,423
23,8,Angel Albino Corzo,74,B,204,59,18,17,15,0,0,0,0,,9,0,322
23,8,Angel Albino Corzo,74,CA,129,106,46,22,10,0,0,0,0,,5,0,318
23,8,Angel Albino Corzo,75,B,136,120,18,20,17,0,0,0,0,,14,0,325
23,8,Angel Albino Corzo,75,CA,108,123,32,49,13,0,0,0,0,,2,0,327
23,8,Angel Albino Corzo,76,B,113,102,54,46,111,0,0,0,0,,7,0,433
23,8,Angel Albino Corzo,76,CA,75,138,89,43,89,0,0,0,0,,4,0,438
23,8,Angel Albino Corzo,77,B,27,140,110,68,19,0,0,0,0,,6,1,371
23,8,Angel Albino Corzo,77,CA,30,139,93,56,9,0,0,0,0,,8,0,335
23,8,Angel Albino Corzo,78,B,25,125,78,84,5,0,0,0,0,,16,0,333
23,8,Angel Albino Corzo,78,CA,50,119,84,66,9,0,0,0,0,,7,0,335
23,8,Angel Albino Corzo,78,CB,74,98,77,81,10,0,0,0,0,,16,0,356
23,8,Angel Albino Corzo,79,B,168,40,17,26,3,0,0,0,0,,14,0,268
23,8,Angel Albino Corzo,79,X1,10,19,1,12,2,0,0,0,0,,4,0,48
23,8,Angel Albino Corzo,80,B,14,45,74,68,44,0,0,0,0,,7,0,252
23,8,Angel Albino Corzo,80,X1,24,45,137,76,50,0,0,0,0,,11,0,343
23,8,Angel Albino Corzo,81,B,2,29,1,60,10,0,0,0,0,,39,0,141
23,8,Angel Albino Corzo,82,B,35,21,52,106,39,0,0,0,0,,6,0,259
23,8,Angel Albino Corzo,82,CA,62,33,32,87,49,0,0,0,0,,16,0,279
23,8,Angel Albino Corzo,84,B,48,107,98,19,2,0,0,0,0,,8,0,282
23,8,Angel Albino Corzo,84,CA,62,90,88,23,2,0,0,0,0,,10,0,275
23,8,Angel Albino Corzo,85,B,0,0,0,0,0,0,0,0,0,,0,0,0
,,,,,,,,,,,,,,,,,
15,9,Arriaga,88,B,131,63,47,10,14,0,0,0,0,,5,0,270
15,9,Arriaga,88,CA,168,51,28,9,12,0,0,0,0,,10,0,278
15,9,Arriaga,89,B,97,53,45,5,21,0,0,0,0,,5,4,230
15,9,Arriaga,89,CA,104,36,36,10,18,0,0,0,0,,0,0,204
15,9,Arriaga,90,B,139,26,18,4,5,0,0,0,0,,4,0,196
15,9,Arriaga,90,CA,114,29,19,5,2,0,0,0,0,,9,0,178
15,9,Arriaga,91,B,168,36,51,6,7,0,0,0,0,,5,0,273
15,9,Arriaga,91,CA,176,29,55,5,15,0,0,0,0,,4,0,284
15,9,Arriaga,91,CB,182,21,46,5,7,0,0,0,0,,9,0,270
15,9,Arriaga,92,B,134,81,73,12,12,0,0,0,0,,8,0,320
15,9,Arriaga,93,B,140,32,28,4,8,0,0,0,0,,0,0,212
15,9,Arriaga,93,CA,122,17,36,2,15,0,0,0,0,,2,0,194
15,9,Arriaga,94,B,109,61,26,5,8,0,0,0,0,,3,0,212
15,9,Arriaga,94,CA,108,31,30,10,10,0,0,0,0,,4,0,193
15,9,Arriaga,95,B,157,25,58,8,14,0,0,0,0,,5,0,267
15,9,Arriaga,95,CA,156,24,44,4,11,0,0,0,0,,9,0,248
15,9,Arriaga,96,B,146,41,52,21,40,0,0,0,0,,3,0,303
15,9,Arriaga,96,CA,147,36,59,8,21,0,0,0,0,,4,0,275
15,9,Arriaga,97,B,133,47,71,9,10,0,0,0,0,,2,0,272
15,9,Arriaga,97,CA,133,48,65,4,7,0,0,0,0,,4,0,261
15,9,Arriaga,98,B,158,47,57,11,13,0,0,0,0,,6,0,292
15,9,Arriaga,98,CA,162,40,49,7,15,0,0,0,0,,5,0,278
15,9,Arriaga,98,CB,142,43,53,6,14,0,0,0,0,,5,0,263
15,9,Arriaga,99,B,164,48,93,5,19,0,0,0,0,,7,0,336
15,9,Arriaga,99,CA,145,37,100,10,11,0,0,0,0,,7,0,310
15,9,Arriaga,100,B,162,41,78,16,11,0,0,0,0,,5,0,313
15,9,Arriaga,100,CA,171,36,66,11,15,0,0,0,0,,0,0,299
15,9,Arriaga,101,B,29,55,50,2,4,0,0,0,0,,4,0,144
15,9,Arriaga,102,B,48,42,23,3,8,0,0,0,0,,1,0,125
15,9,Arriaga,102,X1,37,36,12,0,1,0,0,0,0,,3,0,89
15,9,Arriaga,103,B,77,85,27,11,64,0,0,0,0,,0,0,264
15,9,Arriaga,103,CA,50,85,13,8,87,0,0,0,0,,4,0,247
15,9,Arriaga,104,B,68,57,57,2,21,0,0,0,0,,4,0,209
15,9,Arriaga,104,X1,75,43,42,11,28,0,0,0,0,,2,0,201
15,9,Arriaga,105,B,189,77,71,2,4,0,0,0,0,,12,0,355
15,9,Arriaga,106,B,142,48,71,23,32,0,0,0,0,,0,0,316
15,9,Arriaga,106,CA,113,59,73,16,32,0,0,0,0,,7,0,300
15,9,Arriaga,107,B,48,20,85,9,13,0,0,0,0,,13,0,188
15,9,Arriaga,108,B,7,8,15,1,2,0,0,0,0,,0,0,33
15,9,Arriaga,109,B,116,84,29,8,5,0,0,0,0,,9,0,251
15,9,Arriaga,109,X1,97,108,97,35,12,0,0,0,0,,13,0,362
15,9,Arriaga,110,B,97,64,41,7,5,0,0,0,0,,0,0,214
15,9,Arriaga,110,CA,116,31,69,1,2,0,0,0,0,,4,0,223
15,9,Arriaga,110,X1,49,20,40,0,5,0,0,0,0,,0,0,114
15,9,Arriaga,111,B,85,102,43,10,0,0,0,0,0,,7,0,247
15,9,Arriaga,111,CA,94,99,39,12,0,0,0,0,0,,6,0,250
15,9,Arriaga,112,B,55,104,57,7,52,0,0,0,0,,0,0,275
15,9,Arriaga,112,CA,90,73,54,11,19,0,0,0,0,,13,0,260
15,9,Arriaga,112,CB,60,95,82,7,19,0,0,0,0,,7,0,270
,,,,,,,,,,,,,,,,,
17,10,Bejucal de Ocampo,113,B,9,88,189,9,0,0,0,0,0,,1,0,296
17,10,Bejucal de Ocampo,113,CA,11,114,187,5,0,0,0,0,0,,2,0,319
17,10,Bejucal de Ocampo,114,B,16,210,94,23,0,0,0,0,0,,11,0,354
17,10,Bejucal de Ocampo,114,CA,19,216,99,31,0,0,0,0,0,,13,5,383
17,10,Bejucal de Ocampo,115,B,26,129,66,3,0,0,0,0,0,,6,0,230
17,10,Bejucal de Ocampo,115,CA,23,131,53,7,0,0,0,0,0,,9,0,223
,,,,,,,,,,,,,,,,,
17,11,Bella Vista,116,B,21,193,184,20,0,0,0,0,0,,6,0,424
17,11,Bella Vista,117,B,4,131,83,36,0,0,0,0,0,,10,0,264
17,11,Bella Vista,117,CA,2,122,90,55,0,0,0,0,0,,0,0,269
17,11,Bella Vista,117,X1,3,85,71,10,0,0,0,0,0,,0,0,169
17,11,Bella Vista,118,B,1,180,88,19,0,0,0,0,0,,15,0,303
17,11,Bella Vista,119,B,2,96,6,55,0,0,0,0,0,,9,0,168
17,11,Bella Vista,120,B,16,243,98,78,0,0,0,0,0,,9,0,444
17,11,Bella Vista,121,B,0,96,99,65,0,0,0,0,0,,19,0,279
17,11,Bella Vista,121,CA,2,96,116,52,0,0,0,0,0,,8,0,274
17,11,Bella Vista,122,B,2,166,50,121,0,0,0,0,0,,14,0,353
17,11,Bella Vista,123,B,27,65,58,66,0,0,0,0,0,,6,0,222
17,11,Bella Vista,123,X1,2,81,14,108,0,0,0,0,0,,20,0,225
17,11,Bella Vista,124,B,1,156,166,45,0,0,0,0,0,,0,0,368
17,11,Bella Vista,124,X1,1,90,96,26,0,0,0,0,0,,12,0,225
17,11,Bella Vista,125,B,8,137,75,26,0,0,0,0,0,,4,5,255
17,11,Bella Vista,126,B,2,177,111,10,0,0,0,0,0,,0,0,300
17,11,Bella Vista,126,CA,1,141,140,8,0,0,0,0,0,,0,0,290
17,11,Bella Vista,127,B,11,171,73,67,0,0,0,0,0,,2,0,324
17,11,Bella Vista,128,B,5,181,106,120,0,0,0,0,0,,3,0,415
17,11,Bella Vista,128,CA,3,167,114,107,0,0,0,0,0,,5,0,396
17,11,Bella Vista,129,B,4,100,9,83,0,0,0,0,0,,8,0,204
,,,,,,,,,,,,,,,,,
14,12,Berriozabal,130,B,61,81,117,8,18,0,0,0,9,,11,0,305
14,12,Berriozabal,130,CA,44,98,105,13,26,0,0,0,9,,14,0,309
14,12,Berriozabal,130,CB,63,87,95,5,27,0,0,0,6,,8,0,291
14,12,Berriozabal,131,B,123,85,90,8,12,0,0,0,2,,5,0,325
14,12,Berriozabal,131,CA,111,51,98,4,26,0,0,0,7,,9,0,306
14,12,Berriozabal,131,CB,122,77,85,9,21,0,0,0,9,,9,0,332
14,12,Berriozabal,132,B,160,41,98,15,14,0,0,0,20,,9,0,357
14,12,Berriozabal,132,CA,160,69,90,11,15,0,0,0,13,,8,0,366
14,12,Berriozabal,133,B,106,41,89,9,13,0,0,0,2,,3,0,263
14,12,Berriozabal,133,CA,97,49,70,4,19,0,0,0,6,,5,0,250
14,12,Berriozabal,134,B,127,60,67,13,18,0,0,0,2,,5,0,292
14,12,Berriozabal,134,CA,93,59,87,21,18,0,0,0,9,,3,0,290
14,12,Berriozabal,134,CB,110,71,69,12,18,0,0,0,6,,3,0,289
14,12,Berriozabal,135,B,65,86,135,12,36,0,0,0,3,,5,0,342
14,12,Berriozabal,135,CA,69,96,135,8,28,0,0,0,8,,5,0,349
14,12,Berriozabal,135,CB,81,76,142,13,23,0,0,0,3,,2,0,340
14,12,Berriozabal,136,B,45,48,52,12,35,0,0,0,8,,10,0,210
14,12,Berriozabal,136,CA,59,64,66,13,40,0,0,0,2,,6,0,250
14,12,Berriozabal,136,CB,64,42,83,9,22,0,0,0,4,,2,0,226
14,12,Berriozabal,136,CC,67,45,56,7,27,0,0,0,10,,4,0,216
14,12,Berriozabal,137,B,38,129,38,2,2,0,0,0,11,,6,0,226
14,12,Berriozabal,137,CA,51,112,35,2,6,0,0,0,5,,12,0,223
14,12,Berriozabal,138,B,8,182,112,18,2,0,0,0,1,,5,0,328
14,12,Berriozabal,138,CA,16,197,96,21,2,0,0,0,2,,11,0,345
14,12,Berriozabal,139,B,27,94,65,1,1,0,0,0,2,,3,0,193
14,12,Berriozabal,139,EX1,17,42,12,3,1,0,0,0,7,,0,0,82
14,12,Berriozabal,140,B,35,103,123,2,4,0,0,0,3,,11,0,281
14,12,Berriozabal,141,B,74,97,35,7,14,0,0,0,2,,13,0,242
14,12,Berriozabal,142,B,46,100,143,8,6,0,0,0,5,,13,0,321
14,12,Berriozabal,142,CA,41,95,144,6,14,0,0,0,11,,8,0,319
14,12,Berriozabal,143,B,38,34,100,4,10,0,0,0,7,,7,0,200
,,,,,,,,,,,,,,,,,
10,13,Bochil,144,B,9,99,109,39,92,53,16,0,3,,6,0,426
10,13,Bochil,144,CA,21,91,108,43,90,41,26,0,4,,14,0,438
10,13,Bochil,145,B,10,80,63,26,79,22,12,0,2,,15,0,309
10,13,Bochil,145,CA,9,79,58,24,97,19,6,0,3,,15,0,310
10,13,Bochil,145,CB,0,0,0,0,0,0,0,0,0,,0,0,0
10,13,Bochil,146,B,18,61,28,32,53,19,17,0,11,,34,0,273
10,13,Bochil,146,CA,57,67,33,12,73,22,10,0,4,,10,0,288
10,13,Bochil,147,B,0,0,0,0,0,0,0,0,0,,0,0,0
10,13,Bochil,147,CA,21,46,41,26,81,44,8,0,1,,8,0,276
10,13,Bochil,147,CB,21,58,32,43,70,39,12,0,4,,12,0,291
10,13,Bochil,148,B,4,68,6,51,8,3,0,0,0,,7,0,147
10,13,Bochil,148,X1,1,3,12,75,2,73,1,0,0,,13,0,180
10,13,Bochil,148,X2,2,0,86,0,14,14,0,0,0,,6,0,122
10,13,Bochil,149,B,2,71,19,118,39,31,64,0,0,,10,0,354
10,13,Bochil,149,X1,11,91,34,34,28,88,64,0,0,,28,0,378
10,13,Bochil,150,B,3,19,222,148,25,58,31,0,1,,16,0,523
10,13,Bochil,151,B,7,37,140,68,49,73,36,0,0,,22,0,432
10,13,Bochil,151,X1,2,4,26,22,127,8,128,0,0,,17,0,334
10,13,Bochil,152,B,7,66,25,21,140,49,41,0,1,,24,0,374
10,13,Bochil,152,CA,7,37,38,20,168,42,38,0,0,,13,0,363
10,13,Bochil,153,B,8,13,92,13,138,95,22,0,1,,10,0,392
10,13,Bochil,154,B,43,50,111,30,31,101,51,0,0,,23,0,440
10,13,Bochil,154,X1,3,22,59,25,53,24,1,0,0,,1,0,188
,,,,,,,,,,,,,,,,,
10,14,El Bosque,155,B,39,132,20,66,7,0,0,0,12,,19,0,295
10,14,El Bosque,155,CA,24,162,18,104,6,1,0,0,10,,14,0,339
10,14,El Bosque,156,B,17,94,8,89,12,6,0,0,9,,21,0,256
10,14,El Bosque,156,CA,26,110,6,104,7,1,0,0,2,,18,0,274
10,14,El Bosque,157,B,21,54,11,117,5,0,0,0,0,,23,0,231
10,14,El Bosque,157,CA,44,47,19,131,1,0,0,0,1,,13,0,256
10,14,El Bosque,158,B,1,3,2,30,1,5,0,0,0,,1,0,43
10,14,El Bosque,158,CA,0,2,3,22,3,2,0,0,0,,6,0,38
10,14,El Bosque,159,B,11,173,44,83,2,3,0,0,1,,18,0,335
10,14,El Bosque,159,CA,4,150,29,105,0,8,0,0,0,,27,0,323
10,14,El Bosque,160,B,141,66,20,41,3,15,0,0,0,,7,0,293
10,14,El Bosque,160,CA,146,63,16,24,1,3,0,0,1,,13,0,267
10,14,El Bosque,160,X1,3,64,46,39,1,1,0,0,0,,2,0,156
10,14,El Bosque,161,B,1,37,2,29,2,1,0,0,0,,4,0,76
10,14,El Bosque,161,X1,15,66,1,80,0,0,0,0,0,,2,0,164
10,14,El Bosque,162,B,2,73,3,94,1,1,0,0,0,,18,0,192
10,14,El Bosque,162,CA,4,68,9,75,1,2,0,0,1,,6,0,166
,,,,,,,,,,,,,,,,,
24,15,Cacahoatan,163,B,38,99,71,6,3,0,0,46,1,,11,0,275
24,15,Cacahoatan,163,CA,32,122,69,5,1,0,0,38,0,,11,0,278
24,15,Cacahoatan,164,B,48,142,62,3,7,0,0,48,1,,9,0,320
24,15,Cacahoatan,164,CA,46,109,86,9,12,0,0,46,4,,7,0,319
24,15,Cacahoatan,164,CB,28,148,78,7,9,0,0,58,1,,8,0,337
24,15,Cacahoatan,165,B,54,93,46,8,13,0,0,41,0,,9,0,264
