CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2844,1,45,10,0,5,0,0,0,10,0,1,1,1,0,0,0,0,0,0,0,73,0,5,78,148,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2845,2,210,45,9,5,3,6,6,145,3,2,0,0,0,3,0,1,0,5,0,443,0,18,461,773,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2846,1,58,3,1,2,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,84,0,4,88,120,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2847,1,48,7,0,2,1,1,3,35,0,0,0,0,0,0,0,0,0,0,0,97,0,5,102,149,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2848,1,63,43,1,5,3,3,4,60,3,1,0,0,0,1,3,1,0,0,0,191,0,8,199,332,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2849,1,109,48,3,2,3,3,3,43,4,0,3,2,0,1,0,1,0,0,0,225,0,5,230,279,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2850,1,226,25,3,9,8,5,0,37,2,1,3,0,0,0,0,1,0,1,0,321,0,15,336,417,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2851,1,160,10,3,1,3,0,1,24,1,1,2,0,0,0,0,0,0,0,0,206,0,4,210,265,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2852,1,163,4,1,2,4,0,3,7,0,0,0,0,0,0,0,0,0,0,0,184,0,6,190,266,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2853,1,94,67,0,3,2,2,1,33,2,2,0,2,0,3,1,0,0,0,0,212,0,14,226,308,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2854,1,86,39,8,8,3,10,5,61,3,0,2,0,0,1,1,1,0,1,0,229,0,7,236,366,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2855,1,142,54,7,1,6,3,2,56,0,4,0,0,0,3,3,0,0,0,0,281,0,9,290,418,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2856,1,25,25,2,2,2,0,4,12,2,0,1,0,0,0,0,1,0,0,0,76,0,0,76,110,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2857,1,18,32,1,1,1,0,2,20,0,0,0,0,0,0,0,2,0,0,0,77,0,3,80,112,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2858,1,135,25,10,1,9,3,3,76,6,0,3,0,0,0,0,0,0,2,0,273,0,13,286,470,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2859,3,645,95,21,19,25,16,18,427,15,5,3,2,0,8,12,7,2,4,0,1324,0,34,1358,1973,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2860,2,379,89,7,25,14,4,6,224,11,0,1,0,0,8,1,2,0,1,0,772,0,28,800,1180,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2861,3,351,62,38,25,43,10,20,425,19,3,3,0,0,2,6,7,2,0,0,1016,0,34,1050,1813,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2862,2,265,28,23,12,27,9,7,290,15,5,2,0,0,2,2,4,0,2,0,693,0,31,724,1189,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2863,2,247,33,23,13,26,10,3,206,13,3,0,1,1,0,5,5,0,1,0,590,0,25,615,1056,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2864,1,140,42,17,4,7,5,8,96,3,0,1,0,0,0,0,1,0,0,0,324,0,5,329,510,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2865,2,125,35,37,11,15,14,11,202,6,1,1,0,0,0,3,1,0,0,0,462,0,12,474,801,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2866,1,55,18,3,11,9,1,2,42,3,0,0,0,0,0,1,0,0,0,0,145,0,8,153,263,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2867,1,157,50,6,3,11,2,4,90,3,2,2,0,0,1,3,1,0,1,0,336,0,10,346,436,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2868,2,232,155,7,7,15,6,31,211,4,1,1,0,0,2,1,2,0,1,0,676,0,25,701,1020,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2869,2,170,148,9,5,10,8,3,239,2,4,1,1,0,1,1,1,1,3,0,607,0,20,627,982,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2870,1,77,138,1,9,7,2,1,163,2,2,0,1,0,4,2,2,0,1,0,412,0,14,426,630,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2871,2,112,105,2,10,3,9,11,205,3,4,1,0,0,1,2,0,0,1,0,469,0,14,483,1077,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2872,1,68,27,4,1,2,2,5,46,4,0,0,0,1,2,1,0,0,0,0,163,0,6,169,273,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2873,2,222,289,5,16,3,6,8,175,8,1,1,1,0,4,0,2,0,3,0,744,0,31,775,1034,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2874,1,11,21,4,2,4,4,5,75,3,1,0,0,0,0,1,0,0,0,0,131,0,7,138,238,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2875,2,150,57,8,12,20,9,26,229,7,1,2,0,0,1,3,0,0,3,0,528,0,35,563,947,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2876,2,312,117,8,15,19,7,14,233,4,2,0,1,0,1,6,0,0,1,0,740,0,27,767,1069,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2877,2,346,40,7,10,14,10,12,151,6,0,4,1,0,4,4,3,1,0,0,613,0,32,645,778,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2878,1,94,53,4,12,2,1,2,43,1,2,1,0,0,0,3,0,0,0,0,218,0,15,233,382,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2879,1,334,56,0,8,12,0,5,63,2,2,3,5,0,1,3,1,0,0,0,495,0,9,504,545,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2880,2,158,126,5,21,12,5,3,168,6,2,3,1,0,2,4,2,1,3,0,522,0,19,541,449,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2881,2,139,96,8,22,17,7,13,162,7,1,0,0,0,4,4,1,0,2,0,483,0,15,498,695,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2882,2,99,27,3,4,5,4,6,121,3,2,1,1,0,1,4,1,0,2,0,284,0,11,295,788,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2883,1,164,81,10,3,8,10,14,218,7,6,0,0,0,3,3,1,0,1,0,529,0,19,548,746,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2884,2,238,189,15,26,15,17,16,209,5,2,0,0,0,10,3,3,0,1,0,749,0,42,791,1308,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2885,3,357,129,21,30,30,15,81,324,12,5,8,0,1,1,9,7,1,2,0,1033,0,56,1089,1670,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2886,1,60,19,4,4,4,2,4,60,2,0,1,0,0,0,3,0,0,0,0,163,0,11,174,252,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2887,1,107,25,3,5,1,4,3,41,0,2,1,0,0,0,0,0,0,0,0,192,0,6,198,261,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2888,2,216,63,12,19,18,4,12,174,19,2,1,2,1,4,5,5,0,0,0,557,0,29,586,790,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2889,2,66,61,6,15,7,6,14,116,1,0,1,1,0,1,1,1,0,3,0,300,1,22,323,538,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2891,1,159,21,5,1,8,1,0,32,1,1,2,0,0,3,0,0,0,0,0,234,0,16,250,362,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2892,1,33,8,2,3,0,2,0,20,0,0,0,0,0,0,0,0,0,1,0,69,0,4,73,156,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2893,2,238,48,8,28,20,13,30,251,8,2,3,1,0,1,14,3,1,4,0,673,0,32,705,1241,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2894,1,63,22,5,2,6,4,7,111,5,0,1,0,0,0,3,1,0,1,0,231,0,5,236,398,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2895,2,217,41,14,12,26,11,12,290,13,5,0,1,0,1,9,4,1,4,0,661,0,12,673,1052,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2896,1,112,27,7,4,7,7,12,37,5,5,3,0,0,1,1,1,0,0,0,229,0,16,245,353,,,,,
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2897,2,285,37,12,16,10,4,7,114,5,0,2,0,0,0,3,0,1,2,0,498,0,21,519,752,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3219,1,78,24,8,3,11,5,5,147,29,0,0,1,0,1,9,1,1,5,0,328,0,9,337,556,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3220,1,83,29,14,8,5,14,3,132,25,0,0,0,0,2,5,3,1,1,0,325,0,8,333,545,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3221,3,225,66,32,27,15,24,9,313,150,7,1,0,0,2,5,3,4,9,0,892,1,28,921,1562,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3222,1,94,31,13,4,6,0,7,129,24,3,0,0,0,1,2,3,1,3,0,321,0,10,331,571,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3223,2,154,37,19,14,8,10,3,182,69,1,1,0,0,1,3,1,0,7,0,510,0,16,526,859,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3224,1,120,41,5,12,8,11,9,118,66,5,0,2,1,0,8,1,0,3,0,410,0,12,422,701,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3225,3,313,89,31,30,16,15,14,266,158,4,1,0,0,4,15,1,0,11,0,968,0,30,998,1545,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3226,2,162,31,7,9,9,6,5,132,97,3,3,0,1,0,8,0,0,7,0,480,0,16,496,778,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3227,3,303,80,31,21,28,21,8,334,269,15,0,0,0,2,11,4,1,10,0,1138,0,41,1179,1823,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3228,2,148,61,14,10,10,10,10,190,90,6,2,0,0,3,8,0,0,7,0,569,0,13,582,969,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3229,2,297,48,17,16,12,20,9,214,102,3,3,1,1,2,8,1,0,4,0,758,0,19,777,1162,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3230,2,207,60,16,12,11,13,7,249,51,4,1,2,1,4,3,0,0,0,0,641,0,21,662,1092,,,,,
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3231,1,91,24,12,11,5,13,5,152,44,6,1,0,0,0,2,2,0,3,0,371,1,12,384,691,,,,,
