ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,14,DOLORES HIDALGO CIN,71,192,1559,16392,1243,5829,1206,2018,840,3192,367,,,,,,,,,1160,10605,,,,,,,,,,,,,,,,44411,79,2695,54490,112026,
11,GUANAJUATO,15,GUANAJUATO,93,238,27292,8443,4861,6201,2654,1115,1495,13863,1183,,,,,,,,,,,,,,,,,,,,,,,,,,67107,50,2224,69331,137513,
11,GUANAJUATO,16,HUANIMARO,13,29,2576,176,872,2410,41,1503,117,279,12,,,,,,,,,,,1423,,,,,,,,,,,,,,,9409,1,420,9830,16900,
11,GUANAJUATO,17,IRAPUATO,249,680,75192,38293,2229,5683,5393,2267,2962,43437,2823,,,,,,,,,,,,17987,,,,,,,,,,,,,,196266,372,6326,202964,415087,
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,51,6980,7263,261,825,135,125,1475,917,51,,,,,,,,,,,,,,,,,,,,,,,,,,18032,3,503,18032,28989,
11,GUANAJUATO,19,JERECUARO,56,81,4162,7303,286,2641,228,3374,155,1739,122,,,,,,,,,,,,,,,,,,,,,,,,,,20010,5,1322,20010,41440,
11,GUANAJUATO,20,LEON,723,1836,326206,64268,7078,63529,10991,11732,9623,82397,8894,,,,,,,,,,,,,,,,,,,,,,,,,,584718,480,18872,604070,1114438,
11,GUANAJUATO,21,MOROLEON,35,76,4309,2848,10730,1814,381,279,174,2629,104,,,,,,,,,,,,,,,,,,,,,,,,,,23268,11,700,23968,43487,
11,GUANAJUATO,22,OCAMPO,18,36,3242,3102,464,204,72,2149,255,434,23,,,,,,,,,,,,,99,,,,,,,,,,,,,10044,1,403,10045,17804,
11,GUANAJUATO,23,PENJAMO,114,228,17425,12705,1077,3420,1644,602,978,13698,555,,,,,,,,,,,,,,1925,,,,,,,,,,,,54029,103,2324,54132,124292,
11,GUANAJUATO,24,PUEBLO NUEVO,8,21,1410,3175,214,73,31,51,1849,208,9,,,,,,,,,,,,,,,,,,,,,,,,,,7020,0,252,7272,10744,
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,86,14681,7446,,1492,272,249,501,1982,142,,,,,,,,,,,,,,,,,,,,,,,,,,26765,8,782,26773,53515,
11,GUANAJUATO,26,ROMITA,50,84,6432,10107,367,458,313,163,2813,3702,105,,,,,,,,,,,,,,,,,,,,,,,,,,24460,24,743,25203,45218,
11,GUANAJUATO,27,SALAMANCA,154,361,28948,15063,1573,3342,3468,1448,1946,27772,1387,,,,,,,,,,,,,,,3653,24675,,,,,,,,,,113275,209,3765,117249,212516,
11,GUANAJUATO,28,SALVATIERRA,84,153,18337,8548,984,3495,1170,733,1023,7838,438,,,,,,,,,,,,,,,,,,,,,,,,,,42566,19,1650,44216,84454,
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,50,7659,4248,630,560,173,886,188,542,124,,,,,,,,,,,,,,,,,,,,,,,,,,15010,2,584,15631,27250,
11,GUANAJUATO,30,SAN FELIPE,71,146,8172,4247,750,10220,524,2609,7416,2227,198,,,,,,,,,,,,,,,,,725,,,,,,,,,37088,47,1998,39133,80941,
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,59,153,12786,17392,252,9481,493,2002,342,3966,206,,,,,,,,,,,,,,,,,,,,,,,,,,46920,10,1436,46930,91009,
11,GUANAJUATO,32,SAN JOSE ITURBIDE,38,99,6251,1565,1233,2500,701,5968,4859,6805,391,,,,,,,,,,,,,,,,,,397,,,,,,,,30670,29,1658,32357,58276,
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,148,12097,13623,1528,2790,913,961,1934,7136,605,,,,,,,,,,,,,,,,,,,,,,,,,,41587,29,2062,41587,88157,
11,GUANAJUATO,34,SANTA CATARINA,5,10,1513,1145,,,,27,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,2912,1,90,3003,4309,
11,GUANAJUATO,35,SANTA CRUZ DE JUVENTINO ROSAS,36,101,8020,1763,12626,1847,410,168,421,5377,267,,,,,,,,,,,,,,,,,,,,,1355,,,,,32254,20,1063,32274,60770,
11,GUANAJUATO,36,SANTIAGO MARAVATIO,10,13,1879,2265,,84,7,,14,79,5,,,,,,,,,,,,,,,,,,,,,,,,,,4333,0,141,4474,6671,
11,GUANAJUATO,37,SILAO DE LA VICTORIA,78,223,20146,10560,1157,7953,1610,794,1196,14042,667,,,,,,,,,,,,,,,,,,,,,,,,,,58125,41,1816,59982,134585,
11,GUANAJUATO,38,TARANDACUAO,12,20,1968,1360,,1149,30,363,412,440,13,,,,,,,,,,,,,,,,,,,,,,,,,,5735,1,240,5751,10229,
11,GUANAJUATO,39,TARIMORO,34,60,6797,3280,180,914,281,1189,375,1928,82,,,,,,,,,,,,,,,,,,,,,,958,,,,15984,35,596,16019,31224,
11,GUANAJUATO,40,TIERRA BLANCA,10,23,2878,1671,2184,2349,,105,21,377,,,,,,,,,,,,,,,,,,,,,,,,,,,9585,1,372,9586,13033,
11,GUANAJUATO,41,URIANGATO,26,81,2407,8164,149,5194,176,1067,209,2050,119,,,,,,,,,,,,,,,,,,,,,,,6536,,,26071,6,894,26077,49270,
11,GUANAJUATO,42,VALLE DE SANTIAGO,75,206,12369,9479,9795,3589,948,1820,1162,5391,351,,,,,,,,,,,,,,,,,,,,,,,,6846,,51750,34,2338,54122,114493,
11,GUANAJUATO,43,VICTORIA,15,27,4618,1933,928,179,123,197,192,1592,37,,,,,,,,,,,,,,,,,,,,,,,,,,9799,1,333,10133,15422,
11,GUANAJUATO,44,VILLAGRAN,28,75,7024,833,1588,2160,264,353,11521,2118,159,,,,,,,,,,,,,,,,,,,,,,,,,692,26712,22,847,26735,45588,
11,GUANAJUATO,45,XICHU,14,23,3234,2424,,121,16,,,88,8,,,,,,,,,,,,,,,,,,,,,,,,,,5891,2,211,6102,8459,
11,GUANAJUATO,46,YURIRIA,57,114,11149,7569,602,5793,444,258,422,3124,218,,,,,,,,,,,,,,,,,,,,,,,,,,29579,10,1169,30748,63401,
