CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,B,18,67,38,1,12,0,2,1,135,7,0,0,0,0,0,1,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,0,287,6,293,409,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,C01,8,77,29,5,13,2,5,2,119,6,1,0,0,0,0,0,0,0,3,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,0,276,11,287,408,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,B,9,100,40,6,27,2,8,3,201,16,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,1,423,9,433,665,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,C01,11,99,38,4,36,0,13,7,211,14,1,0,0,1,0,1,0,0,1,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,0,455,8,463,665,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,B,8,80,29,5,7,1,6,5,149,25,1,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,0,329,11,340,483,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,C01,12,79,34,1,11,0,6,3,167,14,0,0,0,0,0,1,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,0,340,11,351,482,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,11,B,5,56,25,0,9,6,6,3,95,3,0,1,0,0,0,1,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,0,217,3,220,330,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,12,B,10,122,45,0,11,3,11,4,215,12,0,0,0,0,0,2,0,0,2,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,0,451,12,463,632,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,B,8,104,61,0,18,1,3,3,169,3,2,0,0,0,0,2,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,0,382,12,394,567,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,SMR01,5,16,13,0,4,0,2,3,84,0,1,0,0,0,0,3,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,0,134,9,143,0,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,14,B,10,39,19,3,15,2,2,2,68,2,1,1,0,0,0,1,0,0,1,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,0,186,3,189,245,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,15,B,6,76,46,3,11,1,7,1,140,2,0,0,0,0,0,3,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,0,304,14,318,426,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,B,9,74,47,3,5,0,6,6,123,18,1,0,0,0,0,2,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,0,313,7,320,472,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,C01,15,73,41,3,2,1,4,8,123,13,1,1,0,0,0,0,0,0,2,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,0,309,7,316,471,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,B,6,55,26,1,6,0,3,6,132,2,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,0,245,7,252,396,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,C01,11,68,30,2,10,0,8,3,113,5,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,0,255,6,261,395,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,B,5,85,36,1,3,0,1,8,97,6,1,0,0,0,0,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,0,258,13,271,397,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,C01,6,72,30,2,7,1,1,0,113,9,0,0,0,0,0,0,0,0,0,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,0,252,14,266,396,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,19,B,0,45,1,0,2,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,0,72,10,82,119,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,20,B,10,66,7,2,3,0,12,1,30,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,0,145,22,167,250,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,21,B,19,82,8,2,5,1,6,5,129,4,0,0,0,0,0,1,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,0,277,19,296,415,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,22,B,18,13,3,0,1,1,2,0,115,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,0,156,16,172,212,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,B,11,51,10,1,12,2,4,1,129,13,1,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,0,262,20,282,415,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,E01,17,34,2,3,8,0,0,1,37,1,1,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,0,108,7,115,156,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,B,7,189,40,3,15,1,8,2,271,8,0,0,0,0,0,8,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,557,23,580,732,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,25,B,2,15,5,0,3,2,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,0,73,7,80,109,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,26,B,15,28,14,0,4,1,3,0,44,1,2,0,0,0,0,2,0,1,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,0,122,9,131,191,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,27,B,14,52,37,0,10,5,2,4,95,1,1,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,0,230,11,241,492,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,28,B,8,117,21,0,1,0,4,0,67,0,0,0,0,0,0,5,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,0,231,9,240,350,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,29,B,2,45,9,1,2,0,2,2,34,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,100,10,110,149,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,30,B,9,38,6,0,5,1,3,0,93,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,0,167,8,175,232,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,31,B,2,32,7,0,7,0,3,2,180,2,0,0,0,0,0,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,238,8,246,289,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,32,B,2,219,4,0,1,0,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,0,292,3,295,351,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,B,79,70,72,4,19,2,5,5,186,8,4,1,0,1,0,2,1,0,1,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,0,469,34,503,739,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,34,B,26,57,18,0,0,1,6,2,60,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,0,183,4,187,281,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,35,B,14,12,5,0,4,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,0,71,8,79,106,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,B,12,38,25,1,17,0,12,1,87,1,2,0,1,0,0,2,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,0,216,30,246,379,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,C01,11,40,27,1,43,0,15,5,77,1,2,2,0,0,0,1,0,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,0,248,32,280,378,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,37,B,18,41,18,1,4,0,5,6,61,1,1,0,0,0,0,1,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,0,197,17,214,267,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,B,12,117,42,1,3,0,9,1,101,7,0,0,0,0,0,1,0,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,0,322,23,345,466,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,C01,7,116,55,2,3,1,4,1,116,6,0,0,0,0,0,0,0,0,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,0,333,12,345,465,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,B,4,78,34,0,5,0,13,1,88,4,1,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,0,234,15,249,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,C01,7,83,37,2,1,1,10,1,80,8,2,0,0,0,0,2,0,0,1,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,0,253,13,266,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,40,B,16,117,55,0,0,0,5,0,291,0,1,0,0,0,0,2,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,0,505,14,519,692,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,41,B,10,76,22,1,2,0,11,0,113,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,0,241,7,248,321,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,43,B,30,177,51,6,7,1,6,4,137,3,1,3,0,0,1,3,0,0,1,0,0,34,,,,,,,,,,,,,,,,,,,,,,,,0,465,21,486,721,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,44,B,5,31,19,0,3,0,1,1,40,0,0,0,0,0,0,1,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,0,104,5,109,139,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,45,B,13,24,30,2,4,1,0,3,61,0,0,0,0,0,0,1,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,0,148,9,157,223,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,B,36,60,51,2,15,6,2,0,129,0,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,0,305,6,311,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,C01,18,35,50,2,9,1,4,0,124,1,1,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,0,253,13,266,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,B,37,83,59,1,1,0,8,3,148,2,0,2,0,0,0,3,0,0,1,0,0,67,,,,,,,,,,,,,,,,,,,,,,,,0,415,28,443,614,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,E01,1,23,7,0,2,0,0,0,21,0,1,0,0,0,0,1,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,0,61,2,63,97,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,48,B,7,37,5,3,2,0,1,1,42,3,0,0,0,0,0,1,0,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,1,127,6,134,226,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,49,B,111,136,1,8,0,0,159,0,25,0,0,0,0,0,0,0,1,0,0,0,0,,22,,,,,,,,,,,,,,,,,,,,,,,0,463,12,475,670,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,50,B,63,77,0,3,0,5,97,1,12,0,0,0,0,0,0,0,0,0,0,0,0,,14,,,,,,,,,,,,,,,,,,,,,,,0,272,8,280,390,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,50,C01,53,100,1,1,0,3,73,0,15,0,0,0,0,0,0,0,1,0,0,0,0,,15,,,,,,,,,,,,,,,,,,,,,,,0,262,4,266,389,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,51,B,111,124,4,2,0,8,182,1,11,0,1,0,0,0,0,1,2,0,0,0,0,,33,,,,,,,,,,,,,,,,,,,,,,,0,480,11,491,672,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,52,B,50,158,2,9,0,3,129,1,10,0,0,0,1,0,0,0,0,0,0,0,1,,19,,,,,,,,,,,,,,,,,,,,,,,0,383,14,397,569,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,52,C01,72,159,2,2,0,0,120,0,4,0,2,0,1,0,0,1,0,0,0,0,0,,18,,,,,,,,,,,,,,,,,,,,,,,0,381,9,390,568,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,53,B,61,102,1,1,0,0,129,2,6,0,1,1,0,0,0,0,1,0,0,0,0,,27,,,,,,,,,,,,,,,,,,,,,,,0,332,7,339,492,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,53,C01,61,94,0,1,0,0,132,1,10,0,2,0,0,1,0,0,0,0,0,0,0,,22,,,,,,,,,,,,,,,,,,,,,,,0,324,6,330,492,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,54,B,95,100,3,1,0,2,150,1,10,0,1,0,0,0,0,0,0,0,0,0,0,,29,,,,,,,,,,,,,,,,,,,,,,,0,392,11,403,563,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,54,C01,83,126,1,3,0,1,144,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,19,,,,,,,,,,,,,,,,,,,,,,,0,384,6,390,562,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,54,SMR01,2,4,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,0,18,0,18,0,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,55,B,70,87,0,6,0,1,18,0,14,0,1,0,0,0,0,1,0,0,0,0,0,,23,,,,,,,,,,,,,,,,,,,,,,,0,221,1,222,286,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,56,B,135,193,4,4,0,2,73,1,28,0,1,0,0,0,0,0,0,0,0,0,0,,31,,,,,,,,,,,,,,,,,,,,,,,0,472,10,482,637,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,57,B,62,99,1,1,0,1,55,0,5,0,0,1,0,0,0,0,0,0,0,0,0,,27,,,,,,,,,,,,,,,,,,,,,,,0,252,8,260,401,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,57,C01,57,88,2,8,0,1,74,3,6,0,4,0,0,0,0,0,0,0,0,0,0,,25,,,,,,,,,,,,,,,,,,,,,,,0,268,4,272,400,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,58,B,91,149,0,4,0,0,54,4,7,0,3,1,0,0,0,0,2,0,0,0,0,,15,,,,,,,,,,,,,,,,,,,,,,,0,330,8,338,507,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,59,B,99,139,4,8,0,2,105,3,7,0,0,0,1,0,0,0,0,0,0,0,0,,86,,,,,,,,,,,,,,,,,,,,,,,1,454,13,468,656,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,59,C01,89,149,3,6,0,0,99,2,1,0,2,0,1,0,0,0,1,0,0,0,0,,77,,,,,,,,,,,,,,,,,,,,,,,0,430,19,449,655,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,60,B,156,264,8,0,0,2,22,1,8,0,2,1,0,0,0,1,0,1,0,0,0,,8,,,,,,,,,,,,,,,,,,,,,,,0,474,11,485,661,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,61,B,132,202,1,2,0,4,78,1,30,0,1,1,0,0,0,0,0,0,0,0,0,,34,,,,,,,,,,,,,,,,,,,,,,,0,486,24,510,669,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,61,E01,32,38,0,0,0,2,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,116,3,119,166,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,62,B,19,78,0,1,0,0,55,0,1,0,0,0,0,0,0,0,2,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,156,1,157,245,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,63,B,15,124,1,0,0,1,65,1,3,0,0,0,0,0,0,0,1,0,0,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,0,216,1,217,330,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,64,B,29,40,0,1,0,2,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,0,143,4,147,206,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,65,B,96,103,3,1,0,1,50,5,4,0,0,0,0,1,0,0,0,0,0,0,0,,16,,,,,,,,,,,,,,,,,,,,,,,0,280,7,287,435,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,65,E01,33,79,1,0,0,1,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,0,144,9,153,220,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,66,B,67,108,2,3,0,0,7,51,41,48,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,327,14,341,455,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,67,B,57,61,5,4,0,0,3,75,26,42,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,276,2,278,394,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,67,C01,77,50,3,5,0,1,6,63,23,48,1,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,279,9,288,394,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,68,B,78,43,1,4,0,0,20,51,15,51,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,263,9,272,383,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,68,C01,70,44,0,2,0,0,16,55,20,50,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,258,9,267,382,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,69,B,76,57,1,0,0,1,13,34,58,58,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,299,8,307,461,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,70,B,53,31,1,6,0,0,6,16,17,30,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,161,2,163,225,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,71,B,19,22,30,1,0,1,2,18,22,6,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,122,3,125,192,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,72,B,23,20,12,0,0,0,0,8,3,14,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,83,2,85,99,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,74,B,24,53,12,4,0,2,10,26,24,61,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,216,18,234,318,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,74,E01,9,24,13,1,0,0,2,19,8,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,85,2,87,118,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,75,B,89,149,27,1,0,1,7,32,28,48,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,384,14,398,585,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,76,B,12,26,4,0,0,1,3,5,11,31,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,93,6,99,146,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,77,B,27,107,32,5,0,3,17,17,19,66,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,295,17,312,441,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,78,B,46,157,9,12,0,0,22,30,22,132,1,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,433,23,456,652,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,79,B,27,56,48,2,0,0,13,27,10,109,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,294,11,305,456,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,79,C01,36,77,28,3,0,1,11,14,9,81,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,261,14,275,456,,,,
