"","uniqueid","year","mun","state","Validation"
"84",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"85",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"86",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"87",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"88",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"89",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"90",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"91",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"92",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"93",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"94",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"95",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"96",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"97",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"98",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"99",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"100",16076,2015,"SAHUAYO EXTRAORDINARIO","MICHOACAN",1
"101",19039,2018,"MONTERREY","NUEVO LEON",1
"102",19039,2018,"MONTERREY","NUEVO LEON",1
"103",19039,2018,"MONTERREY","NUEVO LEON",1
"104",19039,2018,"MONTERREY","NUEVO LEON",1
"105",19039,2018,"MONTERREY","NUEVO LEON",1
"106",19039,2018,"MONTERREY","NUEVO LEON",1
"107",19039,2018,"MONTERREY","NUEVO LEON",1
"108",19039,2018,"MONTERREY","NUEVO LEON",1
"109",19039,2018,"MONTERREY","NUEVO LEON",1
"110",19039,2018,"MONTERREY","NUEVO LEON",1
"111",19039,2018,"MONTERREY","NUEVO LEON",1
"112",19039,2018,"MONTERREY","NUEVO LEON",1
"113",19039,2018,"MONTERREY","NUEVO LEON",1
"114",19039,2018,"MONTERREY","NUEVO LEON",1
"115",19039,2018,"MONTERREY","NUEVO LEON",1
"116",19039,2018,"MONTERREY","NUEVO LEON",1
"117",19039,2018,"MONTERREY","NUEVO LEON",1
"118",19039,2018,"MONTERREY","NUEVO LEON",1
"119",19039,2018,"MONTERREY","NUEVO LEON",1
"120",19039,2018,"MONTERREY","NUEVO LEON",1
"121",19039,2018,"MONTERREY","NUEVO LEON",1
"122",19039,2018,"MONTERREY","NUEVO LEON",1
"123",19039,2018,"MONTERREY","NUEVO LEON",1
"124",19039,2018,"MONTERREY","NUEVO LEON",1
"125",19039,2018,"MONTERREY","NUEVO LEON",1
"126",19039,2018,"MONTERREY","NUEVO LEON",1
"127",19039,2018,"MONTERREY","NUEVO LEON",1
"128",19039,2018,"MONTERREY","NUEVO LEON",1
"129",19039,2018,"MONTERREY","NUEVO LEON",1
"130",19039,2018,"MONTERREY","NUEVO LEON",1
"131",19039,2018,"MONTERREY","NUEVO LEON",1
"132",19039,2018,"MONTERREY","NUEVO LEON",1
"133",19039,2018,"MONTERREY","NUEVO LEON",1
"134",19039,2018,"MONTERREY","NUEVO LEON",1
"135",19039,2018,"MONTERREY","NUEVO LEON",1
"136",19039,2018,"MONTERREY","NUEVO LEON",1
"137",19039,2018,"MONTERREY","NUEVO LEON",1
"138",19039,2018,"MONTERREY","NUEVO LEON",1
"139",19039,2018,"MONTERREY","NUEVO LEON",1
"140",19039,2018,"MONTERREY","NUEVO LEON",1
"141",19039,2018,"MONTERREY","NUEVO LEON",1
"142",19039,2018,"MONTERREY","NUEVO LEON",1
"143",19039,2018,"MONTERREY","NUEVO LEON",1
"144",19039,2018,"MONTERREY","NUEVO LEON",1
"145",19039,2018,"MONTERREY","NUEVO LEON",1
"146",19039,2018,"MONTERREY","NUEVO LEON",1
"147",19039,2018,"MONTERREY","NUEVO LEON",1
"148",19039,2018,"MONTERREY","NUEVO LEON",1
"149",19039,2018,"MONTERREY","NUEVO LEON",1
"150",19039,2018,"MONTERREY","NUEVO LEON",1
"151",19039,2018,"MONTERREY","NUEVO LEON",1
"152",19039,2018,"MONTERREY","NUEVO LEON",1
"153",19039,2018,"MONTERREY","NUEVO LEON",1
"154",19039,2018,"MONTERREY","NUEVO LEON",1
"155",19039,2018,"MONTERREY","NUEVO LEON",1
"156",19039,2018,"MONTERREY","NUEVO LEON",1
"157",19039,2018,"MONTERREY","NUEVO LEON",1
"158",19039,2018,"MONTERREY","NUEVO LEON",1
"159",19039,2018,"MONTERREY","NUEVO LEON",1
"160",19039,2018,"MONTERREY","NUEVO LEON",1
"161",19039,2018,"MONTERREY","NUEVO LEON",1
"162",19039,2018,"MONTERREY","NUEVO LEON",1
"163",19039,2018,"MONTERREY","NUEVO LEON",1
"164",19039,2018,"MONTERREY","NUEVO LEON",1
"165",19039,2018,"MONTERREY","NUEVO LEON",1
"166",19039,2018,"MONTERREY","NUEVO LEON",1
"167",19039,2018,"MONTERREY","NUEVO LEON",1
"168",19039,2018,"MONTERREY","NUEVO LEON",1
"169",19039,2018,"MONTERREY","NUEVO LEON",1
"170",19039,2018,"MONTERREY","NUEVO LEON",1
"171",19039,2018,"MONTERREY","NUEVO LEON",1
"172",19039,2018,"MONTERREY","NUEVO LEON",1
"173",19039,2018,"MONTERREY","NUEVO LEON",1
"174",19039,2018,"MONTERREY","NUEVO LEON",1
"175",19039,2018,"MONTERREY","NUEVO LEON",1
"176",19039,2018,"MONTERREY","NUEVO LEON",1
"177",19039,2018,"MONTERREY","NUEVO LEON",1
"178",19039,2018,"MONTERREY","NUEVO LEON",1
"179",19039,2018,"MONTERREY","NUEVO LEON",1
"180",19039,2018,"MONTERREY","NUEVO LEON",1
"181",19039,2018,"MONTERREY","NUEVO LEON",1
"182",19039,2018,"MONTERREY","NUEVO LEON",1
"183",19039,2018,"MONTERREY","NUEVO LEON",1
"184",19039,2018,"MONTERREY","NUEVO LEON",1
"185",19039,2018,"MONTERREY","NUEVO LEON",1
"186",19039,2018,"MONTERREY","NUEVO LEON",1
"187",19039,2018,"MONTERREY","NUEVO LEON",1
"188",19039,2018,"MONTERREY","NUEVO LEON",1
"189",19039,2018,"MONTERREY","NUEVO LEON",1
"190",19039,2018,"MONTERREY","NUEVO LEON",1
"191",19039,2018,"MONTERREY","NUEVO LEON",1
"192",19039,2018,"MONTERREY","NUEVO LEON",1
"193",19039,2018,"MONTERREY","NUEVO LEON",1
"194",19039,2018,"MONTERREY","NUEVO LEON",1
"195",19039,2018,"MONTERREY","NUEVO LEON",1
"196",19039,2018,"MONTERREY","NUEVO LEON",1
"197",19039,2018,"MONTERREY","NUEVO LEON",1
"198",19039,2018,"MONTERREY","NUEVO LEON",1
"199",19039,2018,"MONTERREY","NUEVO LEON",1
"200",19039,2018,"MONTERREY","NUEVO LEON",1
"201",19039,2018,"MONTERREY","NUEVO LEON",1
"202",19039,2018,"MONTERREY","NUEVO LEON",1
"203",19039,2018,"MONTERREY","NUEVO LEON",1
"204",19039,2018,"MONTERREY","NUEVO LEON",1
"205",19039,2018,"MONTERREY","NUEVO LEON",1
"206",19039,2018,"MONTERREY","NUEVO LEON",1
"207",19039,2018,"MONTERREY","NUEVO LEON",1
"208",19039,2018,"MONTERREY","NUEVO LEON",1
"209",19039,2018,"MONTERREY","NUEVO LEON",1
"210",19039,2018,"MONTERREY","NUEVO LEON",1
"211",19039,2018,"MONTERREY","NUEVO LEON",1
"212",19039,2018,"MONTERREY","NUEVO LEON",1
"213",19039,2018,"MONTERREY","NUEVO LEON",1
"214",19039,2018,"MONTERREY","NUEVO LEON",1
"215",19039,2018,"MONTERREY","NUEVO LEON",1
"216",19039,2018,"MONTERREY","NUEVO LEON",1
"217",19039,2018,"MONTERREY","NUEVO LEON",1
"218",19039,2018,"MONTERREY","NUEVO LEON",1
"219",19039,2018,"MONTERREY","NUEVO LEON",1
"220",19039,2018,"MONTERREY","NUEVO LEON",1
"221",19039,2018,"MONTERREY","NUEVO LEON",1
"222",19039,2018,"MONTERREY","NUEVO LEON",1
"223",19039,2018,"MONTERREY","NUEVO LEON",1
"224",19039,2018,"MONTERREY","NUEVO LEON",1
"225",19039,2018,"MONTERREY","NUEVO LEON",1
"226",19039,2018,"MONTERREY","NUEVO LEON",1
"227",19039,2018,"MONTERREY","NUEVO LEON",1
"228",19039,2018,"MONTERREY","NUEVO LEON",1
"229",19039,2018,"MONTERREY","NUEVO LEON",1
"230",19039,2018,"MONTERREY","NUEVO LEON",1
"231",19039,2018,"MONTERREY","NUEVO LEON",1
"232",19039,2018,"MONTERREY","NUEVO LEON",1
"233",19039,2018,"MONTERREY","NUEVO LEON",1
"234",19039,2018,"MONTERREY","NUEVO LEON",1
"235",19039,2018,"MONTERREY","NUEVO LEON",1
"236",19039,2018,"MONTERREY","NUEVO LEON",1
"237",19039,2018,"MONTERREY","NUEVO LEON",1
"238",19039,2018,"MONTERREY","NUEVO LEON",1
"239",19039,2018,"MONTERREY","NUEVO LEON",1
"240",19039,2018,"MONTERREY","NUEVO LEON",1
"241",19039,2018,"MONTERREY","NUEVO LEON",1
"242",19039,2018,"MONTERREY","NUEVO LEON",1
"243",19039,2018,"MONTERREY","NUEVO LEON",1
"244",19039,2018,"MONTERREY","NUEVO LEON",1
"245",19039,2018,"MONTERREY","NUEVO LEON",1
"246",19039,2018,"MONTERREY","NUEVO LEON",1
"247",19039,2018,"MONTERREY","NUEVO LEON",1
"248",19039,2018,"MONTERREY","NUEVO LEON",1
"249",19039,2018,"MONTERREY","NUEVO LEON",1
"250",19039,2018,"MONTERREY","NUEVO LEON",1
"251",19039,2018,"MONTERREY","NUEVO LEON",1
"252",19039,2018,"MONTERREY","NUEVO LEON",1
"253",19039,2018,"MONTERREY","NUEVO LEON",1
"254",19039,2018,"MONTERREY","NUEVO LEON",1
"255",19039,2018,"MONTERREY","NUEVO LEON",1
"256",19039,2018,"MONTERREY","NUEVO LEON",1
"257",19039,2018,"MONTERREY","NUEVO LEON",1
"258",19039,2018,"MONTERREY","NUEVO LEON",1
"259",19039,2018,"MONTERREY","NUEVO LEON",1
"260",19039,2018,"MONTERREY","NUEVO LEON",1
"261",19039,2018,"MONTERREY","NUEVO LEON",1
"262",19039,2018,"MONTERREY","NUEVO LEON",1
"263",19039,2018,"MONTERREY","NUEVO LEON",1
"264",19039,2018,"MONTERREY","NUEVO LEON",1
"265",19039,2018,"MONTERREY","NUEVO LEON",1
"266",19039,2018,"MONTERREY","NUEVO LEON",1
"267",19039,2018,"MONTERREY","NUEVO LEON",1
"268",19039,2018,"MONTERREY","NUEVO LEON",1
"269",19039,2018,"MONTERREY","NUEVO LEON",1
"270",19039,2018,"MONTERREY","NUEVO LEON",1
"271",19039,2018,"MONTERREY","NUEVO LEON",1
"272",19039,2018,"MONTERREY","NUEVO LEON",1
"273",19039,2018,"MONTERREY","NUEVO LEON",1
"274",19039,2018,"MONTERREY","NUEVO LEON",1
"275",19039,2018,"MONTERREY","NUEVO LEON",1
"276",19039,2018,"MONTERREY","NUEVO LEON",1
"277",19039,2018,"MONTERREY","NUEVO LEON",1
"278",19039,2018,"MONTERREY","NUEVO LEON",1
"279",19039,2018,"MONTERREY","NUEVO LEON",1
"280",19039,2018,"MONTERREY","NUEVO LEON",1
"281",19039,2018,"MONTERREY","NUEVO LEON",1
"282",19039,2018,"MONTERREY","NUEVO LEON",1
"283",19039,2018,"MONTERREY","NUEVO LEON",1
"284",19039,2018,"MONTERREY","NUEVO LEON",1
"285",19039,2018,"MONTERREY","NUEVO LEON",1
"286",19039,2018,"MONTERREY","NUEVO LEON",1
"287",19039,2018,"MONTERREY","NUEVO LEON",1
"288",19039,2018,"MONTERREY","NUEVO LEON",1
"289",19039,2018,"MONTERREY","NUEVO LEON",1
"290",19039,2018,"MONTERREY","NUEVO LEON",1
"291",19039,2018,"MONTERREY","NUEVO LEON",1
"292",19039,2018,"MONTERREY","NUEVO LEON",1
"293",19039,2018,"MONTERREY","NUEVO LEON",1
"294",19039,2018,"MONTERREY","NUEVO LEON",1
"295",19039,2018,"MONTERREY","NUEVO LEON",1
"296",19039,2018,"MONTERREY","NUEVO LEON",1
"297",19039,2018,"MONTERREY","NUEVO LEON",1
"298",19039,2018,"MONTERREY","NUEVO LEON",1
"299",19039,2018,"MONTERREY","NUEVO LEON",1
"300",19039,2018,"MONTERREY","NUEVO LEON",1
"301",19039,2018,"MONTERREY","NUEVO LEON",1
"302",19039,2018,"MONTERREY","NUEVO LEON",1
"303",19039,2018,"MONTERREY","NUEVO LEON",1
"304",19039,2018,"MONTERREY","NUEVO LEON",1
"305",19039,2018,"MONTERREY","NUEVO LEON",1
"306",19039,2018,"MONTERREY","NUEVO LEON",1
"307",19039,2018,"MONTERREY","NUEVO LEON",1
"308",19039,2018,"MONTERREY","NUEVO LEON",1
"309",19039,2018,"MONTERREY","NUEVO LEON",1
"310",19039,2018,"MONTERREY","NUEVO LEON",1
"311",19039,2018,"MONTERREY","NUEVO LEON",1
"312",19039,2018,"MONTERREY","NUEVO LEON",1
"313",19039,2018,"MONTERREY","NUEVO LEON",1
"314",19039,2018,"MONTERREY","NUEVO LEON",1
"315",19039,2018,"MONTERREY","NUEVO LEON",1
"316",19039,2018,"MONTERREY","NUEVO LEON",1
"317",19039,2018,"MONTERREY","NUEVO LEON",1
"318",19039,2018,"MONTERREY","NUEVO LEON",1
"319",19039,2018,"MONTERREY","NUEVO LEON",1
"320",19039,2018,"MONTERREY","NUEVO LEON",1
"321",19039,2018,"MONTERREY","NUEVO LEON",1
"322",19039,2018,"MONTERREY","NUEVO LEON",1
"323",19039,2018,"MONTERREY","NUEVO LEON",1
"324",19039,2018,"MONTERREY","NUEVO LEON",1
"325",19039,2018,"MONTERREY","NUEVO LEON",1
"326",19039,2018,"MONTERREY","NUEVO LEON",1
"327",19039,2018,"MONTERREY","NUEVO LEON",1
"328",19039,2018,"MONTERREY","NUEVO LEON",1
"329",19039,2018,"MONTERREY","NUEVO LEON",1
"330",19039,2018,"MONTERREY","NUEVO LEON",1
"331",19039,2018,"MONTERREY","NUEVO LEON",1
"332",19039,2018,"MONTERREY","NUEVO LEON",1
"333",19039,2018,"MONTERREY","NUEVO LEON",1
"334",19039,2018,"MONTERREY","NUEVO LEON",1
"335",19039,2018,"MONTERREY","NUEVO LEON",1
"336",19039,2018,"MONTERREY","NUEVO LEON",1
"337",19039,2018,"MONTERREY","NUEVO LEON",1
"338",19039,2018,"MONTERREY","NUEVO LEON",1
"339",19039,2018,"MONTERREY","NUEVO LEON",1
"340",19039,2018,"MONTERREY","NUEVO LEON",1
"341",19039,2018,"MONTERREY","NUEVO LEON",1
"342",19039,2018,"MONTERREY","NUEVO LEON",1
"343",19039,2018,"MONTERREY","NUEVO LEON",1
"344",19039,2018,"MONTERREY","NUEVO LEON",1
"345",19039,2018,"MONTERREY","NUEVO LEON",1
"346",19039,2018,"MONTERREY","NUEVO LEON",1
"347",19039,2018,"MONTERREY","NUEVO LEON",1
"348",19039,2018,"MONTERREY","NUEVO LEON",1
"349",19039,2018,"MONTERREY","NUEVO LEON",1
"350",19039,2018,"MONTERREY","NUEVO LEON",1
"351",19039,2018,"MONTERREY","NUEVO LEON",1
"352",19039,2018,"MONTERREY","NUEVO LEON",1
"353",19039,2018,"MONTERREY","NUEVO LEON",1
"354",19039,2018,"MONTERREY","NUEVO LEON",1
"355",19039,2018,"MONTERREY","NUEVO LEON",1
"356",19039,2018,"MONTERREY","NUEVO LEON",1
"357",19039,2018,"MONTERREY","NUEVO LEON",1
"358",19039,2018,"MONTERREY","NUEVO LEON",1
"359",19039,2018,"MONTERREY","NUEVO LEON",1
"360",19039,2018,"MONTERREY","NUEVO LEON",1
"361",19039,2018,"MONTERREY","NUEVO LEON",1
"362",19039,2018,"MONTERREY","NUEVO LEON",1
"363",19039,2018,"MONTERREY","NUEVO LEON",1
"364",19039,2018,"MONTERREY","NUEVO LEON",1
"365",19039,2018,"MONTERREY","NUEVO LEON",1
"366",19039,2018,"MONTERREY","NUEVO LEON",1
"367",19039,2018,"MONTERREY","NUEVO LEON",1
"368",19039,2018,"MONTERREY","NUEVO LEON",1
"369",19039,2018,"MONTERREY","NUEVO LEON",1
"370",19039,2018,"MONTERREY","NUEVO LEON",1
"371",19039,2018,"MONTERREY","NUEVO LEON",1
"372",19039,2018,"MONTERREY","NUEVO LEON",1
"373",19039,2018,"MONTERREY","NUEVO LEON",1
"374",19039,2018,"MONTERREY","NUEVO LEON",1
"375",19039,2018,"MONTERREY","NUEVO LEON",1
"376",19039,2018,"MONTERREY","NUEVO LEON",1
"377",19039,2018,"MONTERREY","NUEVO LEON",1
"378",19039,2018,"MONTERREY","NUEVO LEON",1
"379",19039,2018,"MONTERREY","NUEVO LEON",1
"380",19039,2018,"MONTERREY","NUEVO LEON",1
"381",19039,2018,"MONTERREY","NUEVO LEON",1
"382",19039,2018,"MONTERREY","NUEVO LEON",1
"383",19039,2018,"MONTERREY","NUEVO LEON",1
"384",19039,2018,"MONTERREY","NUEVO LEON",1
"385",19039,2018,"MONTERREY","NUEVO LEON",1
"386",19039,2018,"MONTERREY","NUEVO LEON",1
"387",19039,2018,"MONTERREY","NUEVO LEON",1
"388",19039,2018,"MONTERREY","NUEVO LEON",1
"389",19039,2018,"MONTERREY","NUEVO LEON",1
"390",19039,2018,"MONTERREY","NUEVO LEON",1
"391",19039,2018,"MONTERREY","NUEVO LEON",1
"392",19039,2018,"MONTERREY","NUEVO LEON",1
"393",19039,2018,"MONTERREY","NUEVO LEON",1
"394",19039,2018,"MONTERREY","NUEVO LEON",1
"395",19039,2018,"MONTERREY","NUEVO LEON",1
"396",19039,2018,"MONTERREY","NUEVO LEON",1
"397",19039,2018,"MONTERREY","NUEVO LEON",1
"398",19039,2018,"MONTERREY","NUEVO LEON",1
"399",19039,2018,"MONTERREY","NUEVO LEON",1
"400",19039,2018,"MONTERREY","NUEVO LEON",1
"401",19039,2018,"MONTERREY","NUEVO LEON",1
"402",19039,2018,"MONTERREY","NUEVO LEON",1
"403",19039,2018,"MONTERREY","NUEVO LEON",1
"404",19039,2018,"MONTERREY","NUEVO LEON",1
"405",19039,2018,"MONTERREY","NUEVO LEON",1
"406",19039,2018,"MONTERREY","NUEVO LEON",1
"407",19039,2018,"MONTERREY","NUEVO LEON",1
"408",19039,2018,"MONTERREY","NUEVO LEON",1
"409",19039,2018,"MONTERREY","NUEVO LEON",1
"410",19039,2018,"MONTERREY","NUEVO LEON",1
"411",19039,2018,"MONTERREY","NUEVO LEON",1
"412",19039,2018,"MONTERREY","NUEVO LEON",1
"413",19039,2018,"MONTERREY","NUEVO LEON",1
"414",19039,2018,"MONTERREY","NUEVO LEON",1
"415",19039,2018,"MONTERREY","NUEVO LEON",1
"416",19039,2018,"MONTERREY","NUEVO LEON",1
"417",19039,2018,"MONTERREY","NUEVO LEON",1
"418",19039,2018,"MONTERREY","NUEVO LEON",1
"419",19039,2018,"MONTERREY","NUEVO LEON",1
"420",19039,2018,"MONTERREY","NUEVO LEON",1
"421",19039,2018,"MONTERREY","NUEVO LEON",1
"422",19039,2018,"MONTERREY","NUEVO LEON",1
"423",19039,2018,"MONTERREY","NUEVO LEON",1
"424",19039,2018,"MONTERREY","NUEVO LEON",1
"425",19039,2018,"MONTERREY","NUEVO LEON",1
"426",19039,2018,"MONTERREY","NUEVO LEON",1
"427",19039,2018,"MONTERREY","NUEVO LEON",1
"428",19039,2018,"MONTERREY","NUEVO LEON",1
"429",19039,2018,"MONTERREY","NUEVO LEON",1
"430",19039,2018,"MONTERREY","NUEVO LEON",1
"431",19039,2018,"MONTERREY","NUEVO LEON",1
"432",19039,2018,"MONTERREY","NUEVO LEON",1
"433",19039,2018,"MONTERREY","NUEVO LEON",1
"434",19039,2018,"MONTERREY","NUEVO LEON",1
"435",19039,2018,"MONTERREY","NUEVO LEON",1
"436",19039,2018,"MONTERREY","NUEVO LEON",1
"437",19039,2018,"MONTERREY","NUEVO LEON",1
"438",19039,2018,"MONTERREY","NUEVO LEON",1
"439",19039,2018,"MONTERREY","NUEVO LEON",1
"440",19039,2018,"MONTERREY","NUEVO LEON",1
"441",19039,2018,"MONTERREY","NUEVO LEON",1
"442",19039,2018,"MONTERREY","NUEVO LEON",1
"443",19039,2018,"MONTERREY","NUEVO LEON",1
"444",19039,2018,"MONTERREY","NUEVO LEON",1
"445",19039,2018,"MONTERREY","NUEVO LEON",1
"446",19039,2018,"MONTERREY","NUEVO LEON",1
"447",19039,2018,"MONTERREY","NUEVO LEON",1
"448",19039,2018,"MONTERREY","NUEVO LEON",1
"449",19039,2018,"MONTERREY","NUEVO LEON",1
"450",19039,2018,"MONTERREY","NUEVO LEON",1
"451",19039,2018,"MONTERREY","NUEVO LEON",1
"452",19039,2018,"MONTERREY","NUEVO LEON",1
"453",19039,2018,"MONTERREY","NUEVO LEON",1
"454",19039,2018,"MONTERREY","NUEVO LEON",1
"455",19039,2018,"MONTERREY","NUEVO LEON",1
"456",19039,2018,"MONTERREY","NUEVO LEON",1
"457",19039,2018,"MONTERREY","NUEVO LEON",1
"458",19039,2018,"MONTERREY","NUEVO LEON",1
"459",19039,2018,"MONTERREY","NUEVO LEON",1
"460",19039,2018,"MONTERREY","NUEVO LEON",1
"461",19039,2018,"MONTERREY","NUEVO LEON",1
"462",19039,2018,"MONTERREY","NUEVO LEON",1
"463",19039,2018,"MONTERREY","NUEVO LEON",1
"464",19039,2018,"MONTERREY","NUEVO LEON",1
"465",19039,2018,"MONTERREY","NUEVO LEON",1
"466",19039,2018,"MONTERREY","NUEVO LEON",1
