MUNICIPIO,DISTRITO,SECCIN,CASILLA,TIPO,PAN,PRI,PRD-PT,PVEM,MRPS,PPS,NOREGISTRADOS,NULO,TOTAL,LISTA NOMINAL
COMONDU,XI,54,54,B,126,135,110,0,0,0,0,39,490,744
COMONDU,XI,54,54,EXT,6,34,33,0,1,0,0,6,,
COMONDU,XI,55,55,B,34,43,64,0,0,0,0,5,265,355
COMONDU,XI,55,55,EXT,6,60,42,0,0,0,0,11,,
COMONDU,XI,56,56,B,32,95,78,0,2,0,0,4,211,284
COMONDU,XI,57,57,B,87,213,118,0,3,0,0,14,435,622
COMONDU,XI,58,58,B,95,171,147,0,2,0,0,24,439,605
COMONDU,XI,59,59,B,103,195,172,0,0,0,0,14,484,761
COMONDU,XI,60,60,B,84,211,122,0,2,0,0,15,434,690
COMONDU,XI,61,61,B,106,246,232,0,1,0,0,15,600,912
COMONDU,XI,62,62,B,9,57,57,0,0,0,0, ,123,154
,,,,,,,,,,,,,,
LORETO,XII,337,337,B,4,29,4,0,0,0,0,20,57,47
LORETO,XII,338,338,B,186,251,76,0,0,0,0,13,608,789
LORETO,XII,338,338,EXT,30,36,7,0,0,0,0,9,,
LORETO,XII,339,339,B,215,216,66,0,0,0,0,13,1030,1264
LORETO,XII,339,339,C,215,244,46,0,0,0,0,15,,
LORETO,XII,340,340,B,204,134,48,0,0,0,0,11,778,981
LORETO,XII,340,340,C,177,152,42,0,0,0,0,10,,
LORETO,XII,341,341,B,131,148,43,0,0,0,0,14,662,864
LORETO,XII,341,341,C,113,168,45,0,0,0,0,0,,
LORETO,XII,342,342,B,138,137,32,0,0,0,0,0,649,851
LORETO,XII,342,342,C,153,135,36,0,0,0,0,18,,
LORETO,XII,343,343,B,87,100,17,0,0,0,0,3,207,255
LORETO,XII,344,344,B,146,163,42,0,0,0,0,12,719,857
LORETO,XII,344,344,C,118,194,34,0,0,0,0,10,,
LORETO,XII,345,345,B,33,63,7,0,0,0,0,10,214,251
LORETO,XII,345,345,EXT,66,15,8,0,0,0,0,12,,
LORETO,XII,346,346,B,43,88,11,0,0,0,0,12,230,256
LORETO,XII,346,346,EXT,23,26,12,0,0,0,0,15,,
LORETO,XII,347,347,B,40,65,3,0,0,0,0,9,117,170
,,,,,,,,,,,,,,
LOS CABOS,VII,290,290,B,59,256,218,0,0,0,0,2,535,575
LOS CABOS,VII,291,291,B,10,224,204,0,0,0,0,6,885,1291
LOS CABOS,VII,291,291,C,15,237,179,0,0,0,0,10,,
LOS CABOS,VII,292,292,B,24,324,133,0,0,0,0,24,641,738
LOS CABOS,VII,292,292,ESP,7,53,69,0,0,0,0,7,,
LOS CABOS,VII,298,298,B,18,154,152,0,0,0,0,9,658,1917
LOS CABOS,VII,298,298,C1,16,128,152,0,0,0,0,12,,
LOS CABOS,VII,298,298,EXT,1,10,6,0,0,0,0,,,
LOS CABOS,VII,299,299,B,12,175,237,0,0,0,0,6,430,653
LOS CABOS,VII,300,300,B,18,161,177,0,0,0,0,6,740,1223
LOS CABOS,VII,300,300,C,27,169,171,0,0,0,0,11,,
LOS CABOS,VII,301,301,B,17,188,212,0,0,0,0,13,1222,2205
LOS CABOS,VII,301,301,C1,22,155,236,0,0,0,0,9,,
LOS CABOS,VII,301,301,C2,23,178,155,0,0,0,0,14,,
LOS CABOS,VII,320,320,B,21,156,166,0,0,0,0,11,354,639
LOS CABOS,VII,303,303,B,8,88,106,0,0,0,0,0,263,273
LOS CABOS,VII,303,303,ESP,2,23,33,0,0,0,0,3,,
LOS CABOS,VII,304,304,B,3,124,156,0,0,0,0,8,675,895
LOS CABOS,VII,304,304,C,5,131,160,0,0,0,0,8,,
LOS CABOS,VII,304,304,EXT,1,27,48,0,0,0,0,4,,
LOS CABOS,VII,305,305,B,2,102,140,0,0,0,0,6,346,419
LOS CABOS,VII,305,305,EXT,0,41,51,0,0,0,0,4,,
LOS CABOS,VII,306,306,B,3,128,228,0,0,0,0,6,762,940
LOS CABOS,VII,306,306,C,2,129,229,0,0,0,0,10,,
LOS CABOS,VII,306,306,EXT,0,9,18,0,0,0,0,0,,
LOS CABOS,VII,307,307,B,4,59,57,0,0,0,0,7,184,248
LOS CABOS,VII,307,307,EXT,0,18,34,0,0,0,0,5,,
LOS CABOS,VII,308,308,B,2,256,128,0,0,0,0,6,896,1129
LOS CABOS,VII,308,308,C,6,253,98,0,0,0,0,5,,
LOS CABOS,VII,308,308,EXT,1,79,60,0,0,0,0,2,,
LOS CABOS,VII,309,309,B,0,113,91,0,0,0,0,10,321,396
LOS CABOS,VII,309,309,EXT,3,71,30,0,0,0,0,3,,
LOS CABOS,VII,310,310,B,2,134,285,0,0,0,0,7,428,518
LOS CABOS,VII,311,311,B,5,116,151,0,0,0,0,11,342,444
LOS CABOS,VII,311,311,EXT,1,30,26,0,0,0,0,2,,
LOS CABOS,VII,312,312,B,12,108,209,0,0,0,0,7,979,1504
LOS CABOS,VII,312,312,C,14,118,143,0,0,0,0,5,,
LOS CABOS,VII,312,312,EXT,5,132,218,0,0,0,0,8,,
LOS CABOS,VII,313,313,B,20,306,198,0,0,0,0,7,531,748
LOS CABOS,VII,314,314,B,11,220,197,0,0,0,0,10,1150,1324
LOS CABOS,VII,314,314,C,18,221,177,0,0,0,0,11,,
LOS CABOS,VII,315,315,B,7,161,115,0,0,0,0,2,285,358
,,,,,,,,,,,,,,
LOS CABOS,VIII,293,293,B,8,191,121,0,0,0,0,6,606,932
LOS CABOS,VIII,293,293,C,14,154,108,0,0,0,0,4,,
LOS CABOS,VIII,294,294,B,46,235,247,0,0,0,0,6,534,835
LOS CABOS,VIII,295,295,B,16,205,163,0,0,0,0,4,851,1168
LOS CABOS,VIII,295,295,C,26,262,141,0,0,0,0,34,,
LOS CABOS,VIII,296,296,B,15,155,150,0,0,0,0,5,630,945
LOS CABOS,VIII,296,296,C,31,124,143,0,0,0,0,7,,
LOS CABOS,VIII,297,297,B,18,171,194,0,0,0,0,11,751,1352
LOS CABOS,VIII,297,297,C,25,143,179,0,0,0,0,10,,
LOS CABOS,VIII,316,316,B,75,148,215,0,0,0,0,12,588,920
LOS CABOS,VIII,316,316,ESP,13,52,70,0,0,0,0,3,,
LOS CABOS,VIII,317,317,B,52,114,190,0,0,0,0,12,725,1425
LOS CABOS,VIII,317,317,C,45,93,209,0,0,0,0,10,,
LOS CABOS,VIII,318,318,B,19,117,116,0,0,0,0,5,539,953
LOS CABOS,VIII,318,318,C,44,115,120,0,0,0,0,3,,
LOS CABOS,VIII,319,319,B,28,88,105,0,0,0,0,5,226,376
LOS CABOS,VIII,320,320,B,17,62,163,0,0,0,0,12,489,1112
LOS CABOS,VIII,320,320,C,15,70,145,0,0,0,0,5,,
LOS CABOS,VIII,321,321,B,38,116,245,0,0,0,0,13,412,897
LOS CABOS,VIII,322,322,B,25,137,277,0,0,0,0,5,444,870
LOS CABOS,VIII,323,323,B,22,110,147,0,0,0,0,6,587,1043
LOS CABOS,VIII,323,323,C,31,123,142,0,0,0,0,6,,
LOS CABOS,VIII,324,324,B,30,136,311,0,0,0,0,18,753,1549
LOS CABOS,VIII,324,324,C,24,69,158,0,0,0,0,7,,
LOS CABOS,VIII,325,325,B,14,100,214,0,0,0,0,15,656,1479
LOS CABOS,VIII,325,325,C,8,80,218,0,0,0,0,7,,
LOS CABOS,VIII,326,326,B,35,98,220,0,0,0,0,9,362,649
LOS CABOS,VIII,327,327,B,36,77,157,0,0,0,0,12,530,1047
LOS CABOS,VIII,327,327,C,47,27,167,0,0,0,0,7,,
LOS CABOS,VIII,328,328,B,20,53,156,0,0,0,0,4,487,995
LOS CABOS,VIII,328,328,C,17,80,150,0,0,0,0,7,,
LOS CABOS,VIII,329,329,B,22,101,207,0,0,0,0,6,336,588
LOS CABOS,VIII,330,330,B,17,111,171,0,0,0,0,0,1433,2780
LOS CABOS,VIII,330,330,C1,22,111,159,0,0,0,0,14,,
LOS CABOS,VIII,330,330,C2,17,111,201,0,0,0,0,0,,
LOS CABOS,VIII,330,330,EXT1,19,52,98,0,0,0,0,2,,
LOS CABOS,VIII,330,330,EXT2,1,31,23,0,0,0,0,3,,
LOS CABOS,VIII,330,330,EXT3,0,11,97,0,0,0,0,4,,
LOS CABOS,VIII,330,330,EXT4,4,46,101,0,0,0,0,7,,
LOS CABOS,VIII,331,331,B,21,99,161,0,0,0,0,5,542,901
LOS CABOS,VIII,331,331,C,29,90,134,0,0,0,0,3,,
LOS CABOS,VIII,332,332,B,18,93,183,0,0,0,0,7,620,1174
LOS CABOS,VIII,332,332,C,39,104,166,0,0,0,0,10,,
LOS CABOS,VIII,333,333,B,18,155,341,0,0,0,0,11,525,1017
LOS CABOS,VIII,334,334,B,1,60,26,0,0,0,0,,111,189
LOS CABOS,VIII,334,334,EXT,12,1,11,0,0,0,0,0,,
LOS CABOS,VIII,335,335,B,8,39,68,0,0,0,0,,115,198
LOS CABOS,VIII,336,336,B,7,27,30,0,0,0,0,0,64,126
LOS CABOS,VIII,351,351,B,11,19,30,0,0,0,0,1,61,148
LOS CABOS,VIII,352,352,B,30,96,83,0,0,0,0,1,210,360
,,,,,,,,,,,,,,
MULEGE,XIII,75,75,B,184,115,0,0,0,0,0,9,308,420
MULEGE,XIII,76,76,B,210,148,0,0,0,0,0,10,748,1044
MULEGE,XIII,76,76,C,235,133,0,0,0,0,0,12,,
MULEGE,XIII,77,77,B,218,177,0,0,0,0,0,7,532,575
MULEGE,XIII,77,77,ESP,69,53,0,0,0,0,0,8,,
MULEGE,XIII,78,78,B,161,129,0,0,0,0,0,7,601,841
MULEGE,XIII,78,78,C,151,138,0,0,0,0,0,15,,
MULEGE,XIII,79,79,B,281,176,0,0,0,0,0,9,466,625
MULEGE,XIII,80,80,B,214,115,0,0,0,0,0,11,683,1050
MULEGE,XIII,80,80,C,206,126,0,0,0,0,0,11,,
MULEGE,XIII,81,81,B,204,187,0,0,0,0,0,8,399,540
MULEGE,XIII,82,82,B,166,157,0,0,0,0,0,8,658,897
MULEGE,XIII,82,82,C,178,139,0,0,0,0,0,10,,
MULEGE,XIII,83,83,B,306,144,0,0,0,0,0,10,982,1252
MULEGE,XIII,83,83,EXT,329,188,0,0,0,0,0,5,,
MULEGE,XIII,84,84,B,138,103,0,0,0,0,0,20,261,388
MULEGE,XIII,85,85,B,136,102,0,0,0,0,0,18,450,638
MULEGE,XIII,85,85,EXT1,41,19,0,0,0,0,0,5,,
MULEGE,XIII,85,85,EXT2,66,60,0,0,0,0,0,3,,
MULEGE,XIII,86,86,B,35,52,0,0,0,0,0,4,91,124
MULEGE,XIII,87,87,B,92,109,0,0,0,0,0,9,210,302
MULEGE,XIII,88,88,B,195,217,0,0,0,0,0,40,452,673
MULEGE,XIII,89,89,B,246,170,0,0,0,0,0,19,435,627
MULEGE,XIII,90,90,B,241,163,0,0,0,0,0,12,416,599
MULEGE,XIII,91,91,B,74,80,0,0,0,0,0,6,160,234
,,,,,,,,,,,,,,
MULEGE,XIV,92,92,B,187,117,0,0,0,0,0,16,320,496
MULEGE,XIV,93,93,B,217,152,0,0,0,0,0,14,383,596
MULEGE,XIV,94,94,B,208,128,0,0,0,0,0,44,778,1372
MULEGE,XIV,94,94,C,202,161,0,0,0,0,0,35,,
MULEGE,XIV,95,95,B,177,105,0,0,0,0,0,18,620,1090
MULEGE,XIV,95,95,C,203,101,0,0,0,0,0,16,,
MULEGE,XIV,96,96,B,135,100,0,0,0,0,0,26,523,838
MULEGE,XIV,96,96,C,133,104,0,0,0,0,0,25,,
MULEGE,XIV,97,97,B,143,112,0,0,0,0,0,14,537,797
MULEGE,XIV,97,97,C,158,92,0,0,0,0,0,18,,
MULEGE,XIV,98,98,B,204,88,0,0,0,0,0,20,700,919
MULEGE,XIV,98,98,C,208,90,0,0,0,0,0,19,,
MULEGE,XIV,98,98,ESP,38,23,0,0,0,0,0,10,,
MULEGE,XIV,99,99,B,86,100,0,0,0,0,0,27,213,259
MULEGE,XIV,100,100,B,11,13,0,0,0,0,0,5,29,58
MULEGE,XIV,101,101,B,44,69,0,0,0,0,0,10,160,460
MULEGE,XIV,101,101,EXT,24,11,0,0,0,0,0,2,,
MULEGE,XIV,102,102,B,29,112,0,0,0,0,0,35,176,387
MULEGE,XIV,103,103,B,223,244,0,0,0,0,0,21,488,715
MULEGE,XIV,104,104,B,135,158,0,0,0,0,57,50,995,1395
MULEGE,XIV,104,104,C,154,138,0,0,0,0,0,50,,
MULEGE,XIV,104,104,ESP,37,41,0,0,0,0,0,7,,
MULEGE,XIV,104,104,EXT,46,109,0,0,0,0,0,13,,
,,,,,,,,,,,,,,
MULEGE,XV,105,105,B,42,39,0,0,0,0,0,5,86,193
MULEGE,XV,106,106,B,46,21,0,0,0,0,0,2,69,96
MULEGE,XV,107,107,B,179,117,0,0,0,0,0,22,318,521
MULEGE,XV,108,108,B,210,153,0,0,0,0,0,19,382,627
MULEGE,XV,109,109,B,175,127,0,0,0,0,0,14,357,601
MULEGE,XV,109,109,EXT,27,12,0,0,0,0,0,2,,
MULEGE,XV,110,110,B,25,70,0,0,0,0,0,6,148,204
MULEGE,XV,110,110,EXT,11,36,0,0,0,0,0,0,,
MULEGE,XV,111,111,B,24,86,0,0,0,0,0,5,115,196
MULEGE,XV,112,112,B,221,123,0,0,0,0,0,13,357,495
MULEGE,XV,113,113,B,149,62,0,0,0,0,0,17,228,360
MULEGE,XV,114,114,B,303,159,0,0,0,0,0,22,484,624
MULEGE,XV,115,115,B,60,46,0,0,0,0,0,1,158,191
MULEGE,XV,115,115,EXT,20,31,0,0,0,0,0,,,
MULEGE,XV,116,116,B,165,145,0,0,0,0,0,18,659,848
MULEGE,XV,116,116,C,141,165,0,0,0,0,0,25,,
MULEGE,XV,117,117,B,65,69,0,0,0,0,0,17,215,286
MULEGE,XV,117,117,EXT,14,43,0,0,0,0,0,7,,
MULEGE,XV,118,118,B,18,87,0,0,0,0,0,3,182,303
MULEGE,XV,118,118,EXT,28,42,0,0,0,0,0,4,,
MULEGE,XV,119,119,B,54,60,0,0,0,0,0,0,114,204
MULEGE,XV,120,120,B,206,154,0,0,0,0,0,26,386,508
,,,,,,,,,,,,,,
LA PAZ,I,121,121,B,23,158,259,0,0,0,0,2,442,636
LA PAZ,I,122,122,B,14,187,219,0,0,0,0,6,426,629
LA PAZ,I,123,123,B,24,144,187,0,0,0,0,0,696,952
LA PAZ,I,123,123,C,19,130,188,0,0,0,0,4,,
LA PAZ,I,124,124,B,29,196,206,0,0,0,0,8,864,1162
LA PAZ,I,124,124,C,31,169,218,0,0,0,0,7,,
LA PAZ,I,125,125,B,62,213,219,0,0,0,0,5,499,673
LA PAZ,I,126,126,B,14,86,193,0,0,0,0,6,,
LA PAZ,I,126,126,C,16,93,192,0,1,0,0,0,302,776
LA PAZ,I,127,127,B,14,104,166,0,0,0,0,11,578,836
LA PAZ,I,127,127,C,12,89,182,0,0,0,0,0,,
LA PAZ,I,128,128,B,11,159,231,0,0,0,0,12,413,589
LA PAZ,I,129,129,B,17,206,216,0,0,0,0,15,454,692
LA PAZ,I,130,130,B,18,88,165,0,0,0,0,2,273,411
LA PAZ,I,131,131,B,32,135,182,0,0,0,0,0,349,555
LA PAZ,I,132,132,B,12,104,191,0,0,0,0,3,310,450
LA PAZ,I,133,133,B,19,79,153,0,0,0,0,0,251,364
LA PAZ,I,134,134,B,17,81,121,0,0,0,0,3,222,313
LA PAZ,I,135,135,B,15,119,196,0,0,0,0,3,673,963
LA PAZ,I,135,135,C,12,129,190,0,0,0,0,9,,
LA PAZ,I,136,136,B,9,94,167,0,0,0,0,3,556,820
LA PAZ,I,136,136,C,22,77,171,0,0,0,0,13,,
LA PAZ,I,137,137,B,22,133,178,0,0,0,0,0,805,891
LA PAZ,I,137,137,C,14,146,189,0,0,0,0,4,,
LA PAZ,I,138,138,B,27,149,296,0,0,0,0,0,472,670
LA PAZ,I,139,139,B,18,105,238,0,0,0,0,0,361,571
LA PAZ,I,140,140,B,13,104,198,0,0,0,0,4,319,475
LA PAZ,I,141,141,B,26,101,306,0,0,0,1,11,445,686
LA PAZ,I,142,142,B,5,83,174,0,0,0,0,6,552,840
LA PAZ,I,142,142,C,13,95,169,0,0,0,0,7,,
LA PAZ,I,143,143,B,19,109,299,0,0,0,0,12,439,698
LA PAZ,I,144,144,B,6,89,129,0,0,0,0,0,765,771
LA PAZ,I,144,144,C,4,354,161,0,0,22,0,0,,
LA PAZ,I,145,145,B,24,84,279,0,0,0,0,11,398,585
LA PAZ,I,146,146,B,19,75,227,0,0,0,0,5,326,521
LA PAZ,I,147,147,B,11,102,312,0,0,0,0,3,428,601
LA PAZ,I,148,148,B,7,118,262,0,0,0,0,5,392,582
LA PAZ,I,149,149,B,12,184,257,0,0,0,0,7,460,656
LA PAZ,I,150,150,B,16,115,236,0,0,0,0,5,372,533
LA PAZ,I,151,151,B,9,81,193,0,0,0,0,0,283,456
LA PAZ,I,152,152,B,10,92,213,0,0,0,0,5,320,540
LA PAZ,I,153,153,B,8,112,198,0,0,0,0,0,318,473
LA PAZ,I,154,154,B,19,86,183,0,0,0,0,0,580,884
LA PAZ,I,154,154,C,10,100,176,0,0,0,0,6,,
LA PAZ,I,155,155,B,13,142,193,0,0,0,0,4,709,1024
LA PAZ,I,155,155,C,12,135,206,0,0,0,0,4,,
LA PAZ,I,156,156,B,12,100,194,0,0,0,0,5,625,962
LA PAZ,I,156,156,C,13,119,172,0,0,0,0,10,,
LA PAZ,I,157,157,B,12,118,222,0,0,0,0,5,357,593
LA PAZ,I,158,158,B,37,126,244,0,0,0,0,16,423,640
,,,,,,,,,,,,,,
LA PAZ,II,159,159,B,25,170,209,0,0,0,0,4,408,596
LA PAZ,II,160,160,B,34,169,247,0,0,0,0,6,456,693
LA PAZ,II,161,161,B,17,128,147,0,0,0,0,0,592,845
LA PAZ,II,161,161,C,19,161,120,0,0,0,0,0,,
LA PAZ,II,162,162,B,27,117,232,0,0,0,0,8,810,1063
LA PAZ,II,162,162,C,22,127,225,0,0,0,0,0,,
LA PAZ,II,162,162,ESP,4,22,26,0,0,0,0,0,,
LA PAZ,II,163,163,B,25,240,286,0,0,0,0,10,561,764
LA PAZ,II,164,164,B,24,154,168,0,0,0,0,6,701,927
LA PAZ,II,164,164,C,28,129,185,0,0,0,0,7,,
LA PAZ,II,165,165,B,19,161,206,0,0,0,1,9,784,1014
LA PAZ,II,165,165,C,15,176,190,0,0,0,0,7,,
LA PAZ,II,166,166,B,35,266,241,0,0,0,0,6,548,748
LA PAZ,II,167,167,B,20,131,282,0,0,0,0,8,877,1144
LA PAZ,II,167,167,C,18,158,258,0,0,0,0,2,,
LA PAZ,II,168,168,B,22,132,224,0,0,0,0,0,759,973
LA PAZ,II,168,168,C,32,112,225,0,0,0,0,12,,
LA PAZ,II,169,169,B,13,85,136,0,0,0,0,0,465,997
LA PAZ,II,169,169,C,9,103,114,0,0,0,0,5,,
LA PAZ,II,170,170,B,23,169,221,0,0,0,0,12,425,563
LA PAZ,II,171,171,B,14,117,275,0,0,0,0,7,413,571
LA PAZ,II,172,172,B,32,206,313,0,0,0,0,0,551,757
LA PAZ,II,173,173,B,14,161,218,0,0,0,0,6,777,1067
LA PAZ,II,173,173,C,20,123,230,0,0,0,0,5,,
LA PAZ,II,174,174,B,23,103,233,0,0,0,0,0,738,1053
LA PAZ,II,174,174,C,26,121,228,0,0,0,0,4,,
LA PAZ,II,175,175,B,13,103,248,0,0,0,0,5,752,1068
LA PAZ,II,175,175,C,11,115,245,10,0,2,0,0,,
LA PAZ,II,176,176,B,24,102,281,0,0,0,0,0,407,567
LA PAZ,II,177,177,B,11,127,298,0,0,0,0,8,444,619
LA PAZ,II,178,178,B,9,127,215,0,0,0,0,11,362,512
LA PAZ,II,179,179,B,12,160,341,0,0,0,0,7,520,731
LA PAZ,II,180,180,B,13,142,283,0,0,0,0,0,438,650
LA PAZ,II,181,181,B,16,103,231,0,0,0,0,5,708,1054
LA PAZ,II,181,181,C,17,109,221,0,0,0,0,6,,
LA PAZ,II,182,182,B,14,141,204,0,0,0,0,7,366,547
LA PAZ,II,183,183,B,10,118,274,0,0,0,0,3,405,547
,,,,,,,,,,,,,,
LA PAZ,III,184,184,B,16,119,205,0,0,0,0,5,345,494
LA PAZ,III,185,185,B,33,135,295,0,0,0,0,8,471,649
LA PAZ,III,186,186,B,30,157,171,0,0,15,0,0,724,930
LA PAZ,III,186,186,C,26,116,202,0,0,0,0,7,,
LA PAZ,III,187,187,B,24,144,199,0,0,0,0,6,728,1001
LA PAZ,III,187,187,C,20,151,175,0,0,0,0,9,,
LA PAZ,III,188,188,B,25,137,189,0,0,0,0,8,682,943
LA PAZ,III,188,188,C,28,148,147,0,0,0,0,0,,
LA PAZ,III,189,189,B,29,157,196,0,0,0,0,0,752,1011
LA PAZ,III,189,189,C,35,142,190,0,0,0,0,3,,
LA PAZ,III,190,190,B,23,142,208,0,0,0,1,1,740,994
LA PAZ,III,190,190,C,21,159,178,0,0,0,0,7,,
LA PAZ,III,191,191,B,25,159,172,0,0,0,0,4,747,1010
LA PAZ,III,191,191,C,24,157,206,0,0,0,0,0,,
LA PAZ,III,192,192,B,51,217,177,0,0,0,0,9,454,642
LA PAZ,III,193,193,B,21,172,166,0,0,0,0,3,724,942
LA PAZ,III,193,193,C,25,162,170,0,0,0,0,5,,
LA PAZ,III,194,194,B,29,157,197,0,0,0,0,4,387,548
LA PAZ,III,195,195,B,18,102,150,0,0,0,0,9,560,782
LA PAZ,III,195,195,C,18,97,157,0,0,0,0,9,,
LA PAZ,III,196,196,B,22,110,180,0,0,0,0,12,639,890
LA PAZ,III,196,196,C,13,112,183,0,0,0,0,7,,
LA PAZ,III,197,197,B,14,115,147,0,0,0,0,4,579,780
LA PAZ,III,197,197,C,20,110,164,0,0,0,0,5,,
LA PAZ,III,198,198,B,27,170,293,0,0,0,0,4,494,713
LA PAZ,III,199,199,B,18,154,301,0,0,0,0,7,480,634
LA PAZ,III,200,200,B,25,221,253,0,0,0,0,10,509,726
LA PAZ,III,201,201,B,15,94,183,0,0,0,0,13,305,466
LA PAZ,III,202,202,B,41,248,226,0,0,0,0,5,520,676
LA PAZ,III,203,203,B,17,163,345,0,0,0,0,10,535,733
LA PAZ,III,204,204,B,23,144,361,0,0,0,0,3,531,729
LA PAZ,III,205,205,B,13,101,270,0,0,0,0,12,396,631
LA PAZ,III,206,206,B,22,106,355,0,0,0,0,14,497,665
,,,,,,,,,,,,,,
LA PAZ,IV,226,226,B,29,173,257,0,0,0,0,0,459,597
LA PAZ,IV,227,227,B,22,109,231,0,0,0,0,3,721,975
LA PAZ,IV,227,227,C,19,115,218,0,0,0,0,4,,
