ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT,PAN_PRD,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,23,LUIS MOYA,12,17,426,1616,102,70,477,361,97,1855,719,,41,,,37,39,1,3,,,,,,,,,,,,,,,,,,,,,2,5844,156,6002,9024,0.6651
32,ZACATECAS,24,LORETO,31,61,413,4116,468,7948,527,63,274,4000,420,,46,,,,,,,59,295,,,,,,,,,,,,,,,,,,,2,18629,484,19115,32455,0.589
32,ZACATECAS,25,MAZAPIL,47,50,34,4500,845,265,49,21,4621,,,,40,,,,,,,8,,,,,,,,,,,,,,,,,,,,1,10383,198,10582,13853,0.7639
32,ZACATECAS,26,GENERAL FRANCISCO R. MURGUIA,42,48,116,5703,368,1144,140,,,3129,74,,30,,,,,,,95,,,,,,,,,,,,,,,,,,,,5,10799,298,11102,17249,0.6436
32,ZACATECAS,27,MELCHOR OCAMPO,7,8,24,911,1038,24,3,,,,,,18,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,2019,34,2053,2395,0.8572
32,ZACATECAS,28,MEZQUITAL DEL ORO,7,9,85,663,876,,17,,,10,,,57,,,,,,,22,,,,,,,,,,,,,,,,,,,,0,1730,16,1746,2357,0.7408
32,ZACATECAS,29,MIGUEL AUZA,21,33,642,2549,390,284,36,56,93,4200,239,,92,,,,,,,22,,,,,,,,,,,,,,,866,,,,,0,9469,194,9663,16269,0.594
32,ZACATECAS,30,MOMAX,6,7,126,453,9,297,27,6,441,102,4,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1470,29,1499,2300,0.6517
32,ZACATECAS,31,MONTE ESCOBEDO,21,23,1601,1335,71,1396,107,,34,125,37,,55,,,8,15,6,3,,,,,,,,,,,,,,,,,,,,,0,4793,149,4942,7674,0.644
32,ZACATECAS,32,MORELOS,9,18,104,1435,283,393,48,668,1831,1343,,,23,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,6134,166,6302,8799,0.7162
32,ZACATECAS,33,MOYAHUA DE ESTRADA,10,11,662,1072,312,,29,314,,70,,,152,,,,,,,12,,,,,,,,,,,,,,,,,,,,0,2623,58,2681,4463,0.6007
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,44,59,2663,3458,703,5577,165,41,,865,205,,226,,,,,,,112,,,,,,,,,,,,,,,,,,,,2,14015,436,14453,24222,0.5967
32,ZACATECAS,35,NORIA DE ANGELES,16,23,142,2590,971,1242,52,32,,2434,107,,89,,,,,,,29,,,,,,,,,,,,,,,,,,,,2,7688,213,7903,11096,0.7122
32,ZACATECAS,36,OJOCALIENTE,42,63,1110,6436,746,4708,497,882,311,918,253,,98,,,108,133,14,3,,,,,,,,,,,,,,,,,,,,,4,16217,552,16773,29141,0.5756
32,ZACATECAS,37,GENERAL PANFILO NATERA,24,36,189,754,1562,2707,2668,127,2041,399,120,,57,,,,,,,231,,,,,,,,,,,,,,,,,,,,3,10855,511,11369,17310,0.6568
32,ZACATECAS,38,PANUCO,14,25,143,3657,130,3246,65,45,,561,176,,81,,,,,,,37,,,,,,,,,,,,,,,,,,,,0,8141,193,8334,11926,0.6988
32,ZACATECAS,39,PINOS,95,114,219,15248,767,782,400,233,255,14427,254,,9,,,,,,,91,,,,,,,,,,,,,,,,,,,,4,32685,999,33688,48705,0.6917
32,ZACATECAS,40,RIO GRANDE,63,97,4783,7023,3572,4445,469,811,293,2530,708,,535,,,26,65,3,9,,,,,,,,,,,,,,,,,,,,,33,25272,940,26245,48829,0.5375
32,ZACATECAS,41,SAIN ALTO,27,34,668,3590,5156,184,47,19,82,592,,,225,,,,,,,23,,,,,,,,,,,,,,,,,,,,1,10586,333,10920,16084,0.6789
32,ZACATECAS,42,SANTA MARIA DE LA PAZ,8,8,603,623,104,59,10,,,54,,,25,,,,,,,7,,,,,,,,,,,,,,,,,,,,0,1485,40,1525,2411,0.6325
32,ZACATECAS,43,SOMBRERETE,89,113,6671,4342,4264,3050,722,,437,3669,598,,1108,,,151,92,71,28,,,,,,,,,,,,,,,,,,,,,6,25203,740,25949,46398,0.5593
32,ZACATECAS,44,SUSTICACAN,3,3,16,336,7,25,11,,,424,24,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,845,37,882,1249,0.7062
32,ZACATECAS,45,TABASCO,21,26,2761,2906,309,249,112,126,183,341,217,,123,,,,,,,87,,,,,,,,,,,,,,,,,,,,3,7414,233,7650,12276,0.6232
32,ZACATECAS,46,TEPECHITLAN,19,21,619,1817,1152,463,88,60,,,,,169,,,,,,,15,,,,,,,,,,,,,,,,,,,,1,4383,114,4498,7104,0.6332
32,ZACATECAS,47,TEPETONGO,20,20,218,2288,571,,39,,65,370,25,,19,,,,,,,22,,,,,,,,,,,,,,,,,,,,2,3617,113,3732,6270,0.5952
32,ZACATECAS,48,TEUL DE GONZALEZ ORTEGA,11,14,,1565,,56,66,,,893,140,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,7,2737,63,2807,4377,0.6413
32,ZACATECAS,49,TLALTENANGO DE SANCHEZ ROMAN,37,49,3572,2378,418,143,1339,,160,1216,68,,209,,,99,105,8,18,,,,,,,,1792,,,,,,,,,,,,,2,11525,356,11883,19731,0.6023
32,ZACATECAS,50,TRANCOSO,11,23,152,1141,2228,2027,132,100,586,1446,141,,96,,,,,,,23,,,,,,,,,,,,,,,,,,,,1,8072,320,8393,12466,0.6733
32,ZACATECAS,51,VALPARAISO,67,75,1021,7854,5896,,229,,,577,511,,302,,,,,,,139,,,,,,,,,,,,,,,,,,,,3,16529,427,16959,26737,0.6343
32,ZACATECAS,52,VETAGRANDE,8,15,322,2047,1527,346,40,28,32,454,91,,228,,,,,,,22,,,,,,,,,,,153,,,,,,,,,2,5290,122,5414,7307,0.7409
32,ZACATECAS,53,VILLA DE COS,47,62,276,5006,4597,2010,429,55,,855,290,,291,,,,,,,103,,2356,,,,,,,,,,,,,,,,,,9,16268,424,16701,24517,0.6812
32,ZACATECAS,54,VILLA GARCIA,16,25,179,1823,119,522,225,2954,515,2045,173,,13,,,33,15,18,3,,,,,,,,,,,,,,,,,,,,,4,8637,232,8873,12340,0.719
32,ZACATECAS,55,VILLA GONZALEZ ORTEGA,12,19,187,157,2120,1003,178,33,1540,770,,,83,,,,,,,17,,,,,,,,,,,,,,,,,,,,1,6088,329,6418,9900,0.6483
32,ZACATECAS,56,VILLA HIDALGO,23,29,112,4277,3592,73,56,54,,729,110,,67,,,,,,,27,,,,,,,,,,,,,,,,,,,,0,9097,258,9355,13162,0.7108
32,ZACATECAS,57,VILLANUEVA,50,61,835,5275,4984,156,411,505,1621,540,171,,332,,,273,33,92,14,,,,,,,,,,,,,,,,,,,,,2,15242,527,15771,24935,0.6325
32,ZACATECAS,58,ZACATECAS,111,197,5033,11631,1714,1954,1565,3849,648,,916,246,94,21,45,101,137,29,9,,,,,,,,,,,,,,491,,,,1082,,1681,82,31246,1140,32468,105842,0.3068
