CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,694,6,16,411,525,32,38,18,24,1379,31,7,1,1,0,,,,,,58,,,,2541,0,114,2655,3835
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,695,2,10,121,220,6,14,9,2,570,6,6,1,1,1,,,,,,13,,,,980,0,35,1015,1335
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,696,3,3,144,154,3,12,2,2,295,9,1,0,0,0,,,,,,18,,,,643,0,22,665,888
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,697,4,16,230,328,20,36,16,8,825,6,4,2,2,2,,,,,,49,,,,1544,0,47,1591,2298
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,698,2,3,107,127,10,13,7,11,470,8,0,2,0,0,,,,,,11,,,,769,0,38,807,1216
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,725,4,6,69,358,8,31,20,6,934,21,1,0,0,3,,,,,,36,,,,1493,0,104,1597,2244
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,726,3,14,101,214,14,23,9,4,589,4,2,2,0,0,,,,,,2,,,,978,4,74,1056,1583
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,728,2,12,118,218,13,16,11,3,578,28,0,2,0,4,,,,,,5,,,,1008,0,65,1073,1488
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,730,2,3,70,231,2,22,12,3,545,29,0,0,0,2,,,,,,6,,,,925,0,74,999,1385
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,732,2,2,99,164,4,9,11,2,213,14,4,2,1,0,,,,,,9,,,,534,0,28,562,830
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,733,3,11,279,376,30,16,22,7,743,10,8,2,1,2,,,,,,6,,,,1513,0,109,1622,2213
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,734,1,7,65,48,2,8,14,2,120,2,0,0,0,0,,,,,,0,,,,268,0,14,282,379
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,735,3,16,147,276,9,13,10,12,530,4,8,0,0,0,,,,,,2,,,,1027,1,49,1077,1536
