ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA_PS,PRI_NVA_ALIANZA,PRI_PS,PRI_PVEM,PRD_PT,PVEM_PS,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS,4,7,588,717,28,451,342,3,140,,53,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2465,100,2565,3542,0.7242
29,TLAXCALA,12,ESPAÑITA,12,14,1774,1782,,,26,10,,685,10,183,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,4514,124,4638,6257,0.7412
29,TLAXCALA,13,HUAMANTLA,42,100,5233,11211,,,2706,202,1384,4931,993,1873,422,,,,,,,6335,,,,,,,,,,,,,,,,,,,,,,,,,,28,35318,1623,36941,59649,0.6193
29,TLAXCALA,14,HUEYOTLIPAN,12,20,853,1647,,2799,,27,,54,8,2089,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7543,280,7823,11002,0.7111
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,25,51,839,4852,1961,123,160,3931,1883,2319,235,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16788,644,17432,27027,0.6450
29,TLAXCALA,16,IXTENCO,4,8,174,330,338,470,125,14,398,182,367,372,521,,,,,,,,,,,,,,,,,271,,,,,,,,,,,,,,,,0,3562,159,3721,5061,0.7352
29,TLAXCALA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,4,12,143,484,770,757,1137,302,,,60,85,514,,,,,,,,,,,,,,,,,,1214,,,,,,,,,,,,,,,0,5466,145,5611,7327,0.7658
29,TLAXCALA,18,CONTLA DE JUAN CUAMATZI,17,44,3726,,3754,198,141,173,,1795,,737,637,,,3061,,,,,,,,,,,,,2381,,,,,,,,,,,,,,,,,16,16619,544,17163,25376,0.6763
29,TLAXCALA,19,TEPETITLA DE LARDIZABAL,8,22,2685,,785,55,,36,1755,48,58,1352,1293,,,,,,1070,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9138,258,9396,13775,0.6821
29,TLAXCALA,20,SANCTORUM DE LAZARO CARDENAS,5,11,867,,569,781,,109,459,601,215,109,368,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4271,150,4421,6276,0.7044
29,TLAXCALA,21,NANACAMILPA DE MARIANO ARISTA,10,23,544,,661,1150,44,77,1833,48,,540,,,,,,2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7121,285,7406,12398,0.5974
29,TLAXCALA,22,ACUAMANALA DE MIGUEL HIDALGO,4,7,369,608,,,224,578,,315,227,549,4,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,1,3519,64,3583,4328,0.8279
29,TLAXCALA,23,NATIVITAS,14,31,942,,,,1904,57,,4389,648,605,29,,,,2211,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,3,10941,367,11308,17528,0.6451
29,TLAXCALA,24,PANOTLA,16,35,834,,2810,657,1291,402,153,691,,834,205,,,,,1255,,,,,,,,,,,,,,1406,740,681,816,,,,,,,,,,,14,12789,520,13309,19511,0.6821
29,TLAXCALA,25,SAN PABLO DEL MONTE,17,79,13006,,,,466,829,,340,,3355,164,,,7742,,,,8348,,,,,,,,,,,,,,,,,,,,,,,,,,32,34282,1126,35408,51211,0.6914
29,TLAXCALA,26,SANTA CRUZ TLAXCALA,7,21,1415,1643,326,308,1342,913,,258,80,180,51,,,,,,,,,,,,,,,,,,,,,,,,,2039,156,,,,,,,8,8719,272,8991,12995,0.6919
29,TLAXCALA,27,TENANCINGO,6,14,1483,,177,50,17,574,,1039,,490,,,,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4940,148,5088,8531,0.5964
29,TLAXCALA,28,TEOLOCHOLCO,9,26,1713,,2032,2038,,839,51,486,40,1390,372,,,,,,2472,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11437,376,11813,16200,0.7292
29,TLAXCALA,29,TEPEYANCO,7,16,258,,1477,,,1416,,84,420,172,301,,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6255,160,6415,8437,0.7603
29,TLAXCALA,30,TERRENATE,8,16,1715,,49,2866,,10,882,,304,366,,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7006,289,7295,9722,0.7504
29,TLAXCALA,31,TETLA DE LA SOLIDARIDAD,15,35,4073,,2790,92,,1280,,169,3323,311,95,,,,,,851,,,,,,,,,,,,,,,,,,,,,,,,,,,20,13004,430,13434,20419,0.6579
29,TLAXCALA,32,TETLATLAHUCA,7,14,113,,198,553,1892,148,,644,164,777,1386,,,,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6594,157,6751,9147,0.7381
29,TLAXCALA,33,TLAXCALA,35,112,5794,,,,,1140,,6320,,3195,1205,12172,,,,,,7828,,,,,,,,,,,,,,,,,,,,2184,,,,,,128,39966,1444,41410,70480,0.5875
29,TLAXCALA,34,TLAXCO,35,62,1136,4764,3097,,123,2164,2329,558,742,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3938,,,,,3,19139,736,19875,29357,0.6770
29,TLAXCALA,35,TOCATLAN,3,7,114,612,,1136,77,12,378,,747,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3085,98,3183,4241,0.7505
29,TLAXCALA,36,TOTOLAC,14,31,1346,,2219,356,798,87,,1689,157,571,1456,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,8,10724,369,11093,17611,0.6299
29,TLAXCALA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,7,12,1453,386,115,123,602,,26,76,,1305,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4289,240,4529,6484,0.6985
29,TLAXCALA,38,TZOMPANTEPEC,6,18,373,479,312,222,251,28,872,1178,105,679,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,274,,2,6513,214,6727,10339,0.6506
29,TLAXCALA,39,XALOZTOC,9,26,1898,,2016,393,1658,,,1677,343,541,,,,,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,1,10653,249,10902,15730,0.6931
29,TLAXCALA,40,XALTOCAN,9,14,437,819,693,422,788,32,25,1145,637,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5142,200,5342,7693,0.6944
29,TLAXCALA,41,PAPALOTLA DE XICOHTENCATL,12,33,2997,,2783,72,,2449,,922,,625,1,,,,,,3067,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12919,391,13310,20357,0.6538
29,TLAXCALA,42,SANTO TORIBIO XICOHTZINCO,5,17,664,,1639,371,,627,,,1469,1057,366,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6826,180,7006,10183,0.6880
29,TLAXCALA,43,YAUHQUEMEHCAN,11,36,3093,1517,523,162,104,101,1495,3083,67,2065,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12980,464,13444,22158,0.6067
29,TLAXCALA,44,ZACATELCO,14,50,827,,,,,882,,2714,,2795,3085,,,,3120,,,3852,1935,,,,,,,,,,,,,,,,,,,,,,,,,8,19218,576,19794,31173,0.6350
29,TLAXCALA,45,SANTA APOLONIA TEACALCO,2,6,978,,,,,35,1004,226,,14,,,,,,26,,589,,,,,,,,,,,,,,,,,,,,,,,,,,0,2872,51,2923,3538,0.8262
29,TLAXCALA,46,SANTA CRUZ QUILEHTLA,3,8,25,285,496,324,,317,702,129,,18,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2709,108,2817,4533,0.6214
29,TLAXCALA,47,SAN JUAN HUACTZINCO,2,8,42,,233,538,195,412,,674,1024,113,275,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3632,110,3742,5126,0.7300
29,TLAXCALA,48,SANTA CATARINA AYOMETLA,4,11,1544,,1317,164,,145,,540,14,69,713,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4850,149,4999,6695,0.7467
29,TLAXCALA,49,SANTA ISABEL XILOXOXTLA,2,5,111,881,,,,311,6,250,7,39,,,,,,,,603,,,,,,,,,,,,,,,,,,,,,,,,,,0,2208,79,2287,3098,0.7382
29,TLAXCALA,50,SAN JOSE TEACALCO,5,7,341,755,254,5,353,8,,672,49,351,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3050,92,3142,4062,0.7735
29,TLAXCALA,51,SAN FRANCISCO TETLANOHCAN,3,13,1206,1399,1125,21,1115,182,,,180,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5815,178,5993,8034,0.7460
29,TLAXCALA,52,LA MAGDALENA TLALTELULCO,6,21,873,,770,2524,,735,935,,82,403,1196,,,,,,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9425,289,9714,13356,0.7273
29,TLAXCALA,53,SAN DAMIAN TEXOLOC,2,6,128,,1111,27,,179,,1011,,127,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3186,68,3254,4179,0.7787
29,TLAXCALA,54,EMILIANO ZAPATA,4,6,595,,,,,14,,,836,87,,,,,,,905,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2437,59,2496,3045,0.8197
29,TLAXCALA,55,LAZARO CARDENAS,2,4,8,167,12,416,449,,,98,239,39,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1660,65,1725,2099,0.8218
29,TLAXCALA,56,SAN JERONIMO ZACUALPAN,2,5,210,,,,,,,,425,701,,,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2245,61,2306,2906,0.7935
29,TLAXCALA,57,SAN LUCAS TECOPILCO,2,5,12,519,,,55,645,,43,403,100,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,1788,61,1849,2408,0.7679
29,TLAXCALA,58,SANTA ANA NOPALUCAN,2,8,1141,,63,,,16,,414,1437,194,,,,,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3922,137,4059,5233,0.7757
29,TLAXCALA,59,SAN LORENZO AXOCOMANITLA,2,6,1045,,,,41,417,,,,91,84,,,420,,,,774,,,,,,,,,,,,,,,,,,,,,,,,,,0,2872,67,2939,3641,0.8072
29,TLAXCALA,60,BENITO JUAREZ,2,7,123,480,789,15,,,11,323,258,370,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2848,86,2934,4014,0.7309
