CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA_PS,PRI_NVA_ALIANZA,PRI_PS,PRI_PVEM,PRD_PT,PVEM_PS,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,4,APIZACO,3,APIZACO,15,3,278,158,107,19,9,8,6,24,3,87,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,0,788,36,824,1515
4,29,TLAXCALA,4,APIZACO,3,APIZACO,16,3,412,202,86,13,10,11,7,26,4,74,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,1,926,47,973,1623
4,29,TLAXCALA,4,APIZACO,3,APIZACO,17,2,203,226,130,29,8,15,6,30,7,80,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,0,830,31,861,1395
4,29,TLAXCALA,4,APIZACO,3,APIZACO,18,2,187,187,101,24,2,15,0,20,4,56,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,31,703,13,716,1157
4,29,TLAXCALA,4,APIZACO,3,APIZACO,19,2,234,150,102,26,5,11,3,36,4,48,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,1,685,33,718,1173
4,29,TLAXCALA,4,APIZACO,3,APIZACO,20,2,134,95,92,12,18,9,4,7,0,32,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,0,474,19,493,805
4,29,TLAXCALA,4,APIZACO,3,APIZACO,21,1,70,47,23,4,8,10,1,6,2,30,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,1,236,12,248,392
4,29,TLAXCALA,4,APIZACO,3,APIZACO,22,2,230,221,84,17,12,23,5,27,3,58,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,0,781,31,812,1396
4,29,TLAXCALA,4,APIZACO,3,APIZACO,23,1,120,107,54,11,2,7,5,17,3,35,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,0,420,16,436,734
4,29,TLAXCALA,4,APIZACO,3,APIZACO,24,2,124,142,51,18,6,6,2,12,1,54,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,0,491,14,505,905
4,29,TLAXCALA,4,APIZACO,3,APIZACO,25,2,200,171,81,14,5,11,9,21,4,64,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,0,700,30,730,1289
4,29,TLAXCALA,4,APIZACO,3,APIZACO,26,2,193,210,75,15,5,17,3,29,4,77,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,1,723,32,755,1393
4,29,TLAXCALA,4,APIZACO,3,APIZACO,27,3,338,261,134,36,4,8,4,25,1,88,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,3,1012,34,1046,1913
4,29,TLAXCALA,4,APIZACO,3,APIZACO,28,4,260,182,101,20,10,22,9,17,3,67,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,0,789,32,821,1507
4,29,TLAXCALA,4,APIZACO,3,APIZACO,29,3,321,185,85,12,13,11,6,49,3,116,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,0,917,40,957,1627
4,29,TLAXCALA,4,APIZACO,3,APIZACO,30,8,850,657,412,47,39,52,22,98,16,259,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,33,2838,92,2930,5466
4,29,TLAXCALA,4,APIZACO,3,APIZACO,31,4,490,297,140,22,65,17,6,22,5,114,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,2,1418,56,1474,2806
4,29,TLAXCALA,4,APIZACO,3,APIZACO,32,3,257,264,130,20,10,8,18,29,4,77,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,8,959,36,995,1766
4,29,TLAXCALA,4,APIZACO,3,APIZACO,33,3,315,239,123,13,21,19,15,23,5,91,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,2,976,40,1016,1989
4,29,TLAXCALA,4,APIZACO,3,APIZACO,34,2,218,243,102,13,12,11,7,26,7,81,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,39,841,11,852,1392
4,29,TLAXCALA,4,APIZACO,3,APIZACO,35,2,160,167,67,34,6,23,3,32,4,66,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,28,652,15,667,1148
4,29,TLAXCALA,4,APIZACO,3,APIZACO,36,3,272,320,99,22,13,24,8,53,10,99,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,1,1052,37,1089,1964
4,29,TLAXCALA,4,APIZACO,3,APIZACO,37,2,182,196,146,13,7,14,11,29,3,95,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,0,779,29,808,1293
4,29,TLAXCALA,5,YAUHQUEMEHCAN,3,APIZACO,38,2,262,220,72,3,8,28,10,32,0,8,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,0,655,18,673,882
4,29,TLAXCALA,4,APIZACO,3,APIZACO,39,2,152,326,135,21,3,6,0,39,4,26,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,0,770,30,800,1098
4,29,TLAXCALA,4,APIZACO,3,APIZACO,40,4,402,412,237,10,22,35,8,148,7,67,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,0,1574,72,1646,2437
4,29,TLAXCALA,4,APIZACO,3,APIZACO,41,4,583,447,228,10,27,23,12,101,6,81,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,1,1807,59,1866,2767
4,29,TLAXCALA,4,APIZACO,3,APIZACO,42,1,105,110,49,6,9,0,5,7,1,20,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,0,338,13,351,570
4,29,TLAXCALA,4,APIZACO,3,APIZACO,43,5,537,465,196,17,49,17,31,65,13,146,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,0,1708,83,1791,3155
4,29,TLAXCALA,4,APIZACO,3,APIZACO,44,3,352,237,125,9,39,14,10,63,1,70,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,0,1087,75,1162,1837
4,29,TLAXCALA,4,APIZACO,3,APIZACO,45,1,46,73,46,5,7,7,2,8,2,16,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,0,243,6,249,398
4,29,TLAXCALA,4,APIZACO,3,APIZACO,46,3,286,283,193,52,21,14,5,38,3,80,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,0,1042,27,1069,1717
4,29,TLAXCALA,4,APIZACO,3,APIZACO,47,4,463,344,210,15,33,25,6,24,6,120,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,1,1391,49,1440,2578
4,29,TLAXCALA,4,APIZACO,3,APIZACO,48,1,61,57,39,9,2,5,1,4,2,21,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,0,227,4,231,363
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,49,1,20,115,,,3,50,83,11,1,21,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,0,497,15,512,647
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,50,1,3,177,,,1,1,65,2,2,7,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,0,280,6,286,343
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,51,1,12,107,,,0,33,40,9,0,15,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,0,242,10,252,305
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,52,1,1,35,,,0,3,20,0,2,5,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,3,84,101
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,53,2,105,266,,,4,173,65,14,1,51,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,0,800,19,819,1065
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,54,1,6,128,,,1,15,50,2,1,30,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,0,267,3,270,380
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,55,1,13,113,,,1,2,39,12,4,18,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,0,242,6,248,311
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,56,2,42,526,,,1,13,247,6,2,22,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,886,22,908,1163
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,57,1,27,88,,,1,39,57,3,1,2,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,0,248,5,253,350
4,29,TLAXCALA,2,TLAXCO DE MORELOS,34,TLAXCO,58,1,9,42,16,,0,4,9,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,0,122,5,127,194
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,59,2,30,274,121,1,53,5,,194,3,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,14,729,963
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,60,1,34,132,107,4,47,0,,123,3,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,22,490,663
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,61,2,18,140,63,5,40,1,,67,2,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,23,408,540
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,62,1,9,131,56,1,25,1,,22,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,17,263,313
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,63,1,6,111,88,2,21,0,,18,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,11,261,323
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,64,1,4,65,48,0,6,2,,15,3,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,7,172,212
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,65,1,12,75,35,0,17,0,,43,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,2,190,212
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,66,1,28,142,68,0,35,1,,79,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,21,386,509
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,67,1,0,83,24,0,2,0,,53,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,4,171,204
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,68,3,54,609,324,4,43,3,,190,3,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265,60,1325,1821
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,69,2,19,245,167,18,9,2,,73,3,39,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,24,604,798
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,70,1,18,115,43,0,13,1,,189,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,17,401,518
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,71,2,13,295,257,4,31,8,,56,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,23,693,878
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,72,1,34,175,216,2,24,0,,33,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,25,515,623
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,73,1,7,96,56,1,5,1,,28,1,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,11,223,252
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,74,2,51,297,323,0,22,1,,55,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,25,785,954
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,75,1,7,156,106,2,8,1,,17,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,12,316,396
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,76,1,17,77,23,3,16,0,,15,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,9,162,199
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,77,2,60,361,154,2,79,2,,267,1,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,33,994,1310
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,6,250,325,65,111,,140,43,256,35,57,400,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,0,1899,77,1976,3784
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,4,104,200,39,47,,109,22,159,15,29,203,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,0,1039,37,1076,2028
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,80,2,102,103,25,13,,102,10,102,11,24,207,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,0,820,24,844,1406
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,81,3,120,123,25,37,,86,21,120,22,38,231,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,0,934,32,966,1714
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,82,3,138,135,31,37,,59,15,117,10,37,283,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,0,975,19,994,1860
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,83,4,174,138,34,33,,134,24,151,33,70,340,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,0,1247,41,1288,2372
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,84,1,62,61,11,16,,65,6,72,16,9,64,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,0,417,21,438,715
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,85,3,193,131,22,97,,84,10,269,23,27,230,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,0,1169,40,1209,1974
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,86,3,133,115,19,134,,54,11,237,11,26,184,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,0,1011,34,1045,1646
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,87,2,96,54,22,30,,56,9,82,9,21,105,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,0,536,21,557,953
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,88,2,94,76,28,36,,100,14,113,9,37,161,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,0,755,27,782,1324
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,89,3,217,131,26,41,,86,16,132,35,93,296,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,0,1153,34,1187,1981
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,90,4,234,141,32,46,,113,38,201,33,78,247,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,2,1303,52,1355,2454
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,91,1,127,105,11,17,,50,5,94,24,13,44,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,0,536,13,549,740
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,92,3,346,200,40,35,,39,10,163,23,72,202,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,0,1238,34,1272,1884
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,93,2,79,80,33,29,,35,8,75,9,29,335,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,0,727,24,751,1213
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,94,2,117,97,32,14,,30,12,79,11,31,103,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,0,571,20,591,859
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,95,1,118,62,8,1,,5,2,17,2,7,5,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,0,241,9,250,407
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,96,1,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,601
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,97,2,75,192,23,29,,9,13,73,4,15,18,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,22,488,25,513,872
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,98,3,144,131,50,13,,92,25,119,48,40,56,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,0,848,31,879,1593
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,100,4,524,762,,,10,,,157,4,37,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,0,1581,88,1669,2657
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,101,3,339,611,,,8,,,94,1,5,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,0,1141,53,1194,1988
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,102,3,460,604,,,4,,,99,2,18,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,0,1252,75,1327,2103
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,103,2,251,404,,,3,,,37,5,9,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,0,760,39,799,1222
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,104,3,518,572,,,6,,,197,7,16,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,0,1384,57,1441,2229
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,105,1,113,113,,,3,,,37,19,0,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,0,296,31,327,399
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,106,1,66,89,,,0,,,4,0,0,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,171,6,177,214
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,107,5,389,410,43,32,703,7,0,4,4,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,53,1787,2467
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,108,3,208,311,20,19,432,6,0,2,6,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,38,1169,1596
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,109,3,230,610,16,12,482,6,0,5,0,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,48,1518,2117
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,110,2,103,329,13,6,418,5,1,3,38,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,48,1016,1338
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,111,1,60,48,2,3,74,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,5,201,251
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,112,1,41,30,3,1,39,1,0,0,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,4,135,156
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,113,1,37,78,4,1,68,0,0,0,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,14,227,264
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,114,2,90,212,13,16,201,3,0,1,79,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,34,654,766
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,115,1,89,98,3,1,107,3,0,0,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,21,335,394
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,116,1,61,118,2,0,140,1,0,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,6,334,375
4,29,TLAXCALA,3,SAN COSME XALOZTOC,9,CUAXOMULCO,117,2,194,105,70,92,120,4,,229,34,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,28,927,1254
4,29,TLAXCALA,3,SAN COSME XALOZTOC,9,CUAXOMULCO,118,2,238,67,119,27,57,22,,192,5,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,26,762,979
4,29,TLAXCALA,3,SAN COSME XALOZTOC,9,CUAXOMULCO,119,1,36,133,81,32,44,3,,65,12,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,14,432,538
4,29,TLAXCALA,3,SAN COSME XALOZTOC,9,CUAXOMULCO,120,1,22,41,13,8,35,0,,58,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,3,190,226
4,29,TLAXCALA,3,SAN COSME XALOZTOC,9,CUAXOMULCO,121,2,148,95,127,96,133,4,,204,20,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,23,888,1137
4,29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,122,3,171,,,,,41,11,25,10,47,15,,,,,,314,244,,,,,,43,195,17,,,,,,,,,,,,,,,,,,0,1133,45,1178,1620
4,29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,123,3,48,,,,,28,13,52,13,54,20,,,,,,322,264,,,,,,91,150,33,,,,,,,,,,,,,,,,,,2,1090,36,1126,1674
