CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA_PS,PRI_NVA_ALIANZA,PRI_PS,PRI_PVEM,PRD_PT,PVEM_PS,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,69,C01,9,117,90,8,4,1,,23,2,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,288,10,298,399,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,70,B,18,115,43,0,13,1,,189,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,384,17,401,518,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,71,B,3,157,134,3,12,4,,31,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,347,11,358,439,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,71,C01,10,138,123,1,19,4,,25,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,323,12,335,439,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,72,B,34,175,216,2,24,0,,33,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,490,25,515,623,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,73,B,7,96,56,1,5,1,,28,1,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,212,11,223,252,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,74,B,29,157,156,0,5,0,,26,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,381,13,394,477,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,74,C01,22,140,167,0,17,1,,29,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,379,12,391,477,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,75,B,7,156,106,2,8,1,,17,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,304,12,316,396,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,76,B,17,77,23,3,16,0,,15,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,153,9,162,199,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,77,B,27,174,80,2,39,0,,133,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,479,12,491,655,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,77,C01,33,187,74,0,40,2,,134,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,482,21,503,655,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Altzayanca.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,1,B,10,,90,,111,2,,38,3,86,5,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,369,9,378,526,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,1,C01,13,,84,,126,0,,23,6,96,3,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,381,8,389,525,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,2,B,9,,111,,108,2,,23,8,93,8,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,418,11,429,628,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,2,C01,12,,115,,113,0,,31,10,127,3,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,461,9,470,627,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,2,C02,9,,128,,115,1,,20,8,91,3,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,428,10,438,627,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,2,C03,18,,98,,89,2,,43,13,98,2,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,410,10,420,627,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,2,C04,7,,117,,79,3,,23,7,123,4,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,410,8,418,627,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,3,B,12,,128,,132,2,,34,22,106,2,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,480,17,497,718,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,3,C01,15,,137,,162,3,,31,8,127,0,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,526,7,533,717,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,3,C02,15,,93,,149,3,,26,13,140,1,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,477,6,483,717,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,3,C03,22,,118,,142,2,,27,9,119,1,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,485,14,499,717,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,4,B,43,,76,,133,4,,32,17,109,3,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,489,29,518,627,Acta Casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Amaxac%20de%20Guerrero.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,B,53,,82,,,2,,31,,29,4,146,,,,,,,,61,8,,,,,,,,,,,,,,,,,,,,,,,0,416,18,434,592,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,C01,50,,78,,,4,,42,,29,7,163,,,,,,,,44,2,,,,,,,,,,,,,,,,,,,,,,,0,419,11,430,592,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,C02,67,,71,,,4,,35,,21,6,178,,,,,,,,35,2,,,,,,,,,,,,,,,,,,,,,,,0,419,8,427,591,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,C03,53,,81,,,3,,32,,29,3,156,,,,,,,,47,8,,,,,,,,,,,,,,,,,,,,,,,0,412,11,423,591,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,6,B,57,,40,,,4,,68,,14,8,51,,,,,,,,20,3,,,,,,,,,,,,,,,,,,,,,,,0,265,9,274,413,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,6,C01,64,,30,,,6,,71,,24,12,42,,,,,,,,21,3,,,,,,,,,,,,,,,,,,,,,,,0,273,7,280,413,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,7,B,44,,80,,,1,,16,,8,6,40,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,0,207,7,214,305,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,8,B,104,,107,,,2,,94,,35,9,78,,,,,,,,24,17,,,,,,,,,,,,,,,,,,,,,,,0,470,16,486,708,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,8,C01,137,,90,,,3,,94,,32,9,79,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,0,475,13,488,708,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Ayuntamientos/Actas%20de%20Recuento/Actas_Recuento_Apetatitlan%20de%20Antonio%20Carvajal.pdf
