CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PT_NVA_ALIANZA,PRI_PT,PRI_NVA_ALIANZA,PT_NVA_ALIANZA,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,125,C01,103,90,9,5,6,3,5,12,6,0,0,0,0,,,49,,,,,,0,288,12,300,519,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,126,B,132,95,5,9,1,3,8,14,3,0,0,0,0,,,62,,,,,,0,332,7,339,631,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,126,C01,134,99,8,1,7,4,20,6,6,0,0,0,0,,,41,,,,,,0,326,12,338,631,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,126,C02,96,152,12,5,6,7,28,6,6,1,0,0,0,,,55,,,,,,0,378,11,389,631,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,126,SMR01,127,104,8,2,2,6,6,10,6,3,1,1,0,,,55,,,,,,0,327,7,334,0,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,127,B,113,106,21,0,5,6,5,20,6,0,0,0,0,,,52,,,,,,1,334,16,351,649,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,127,C01,100,110,20,2,5,4,19,7,0,0,0,0,0,,,55,,,,,,1,322,11,334,649,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,128,B,65,72,12,1,3,3,0,30,6,1,0,0,0,,,33,,,,,,0,226,8,234,437,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,128,C01,77,76,12,3,5,5,3,26,8,0,0,1,0,,,25,,,,,,0,241,9,250,437,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,129,B,61,76,14,2,4,6,9,28,6,0,0,0,0,,,50,,,,,,0,256,16,272,472,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,129,C01,72,69,16,4,6,2,6,36,4,1,0,0,0,,,62,,,,,,0,278,10,288,471,,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,13,B,92,50,10,4,1,8,7,20,3,0,0,0,0,,,51,,,,,,0,246,7,253,410,,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,13,C01,84,63,18,1,6,4,11,10,2,0,0,0,0,,,55,,,,,,0,254,3,257,409,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,130,B,124,105,17,6,5,3,11,15,9,2,0,0,0,,,48,,,,,,0,345,14,359,708,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,130,C01,115,107,16,3,6,6,8,20,15,1,1,2,0,,,49,,,,,,0,349,6,355,707,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,131,B,112,74,14,3,3,7,5,19,8,0,0,0,0,,,31,,,,,,0,276,10,286,507,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,131,C01,89,66,17,2,5,5,12,20,10,0,0,0,0,,,30,,,,,,0,256,7,263,507,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,132,B,88,60,26,55,4,3,2,13,6,0,0,2,0,,,29,,,,,,0,288,0,288,494,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,132,C01,102,56,14,5,2,6,5,13,2,0,1,0,0,,,42,,,,,,0,248,11,259,494,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,133,B,116,88,13,1,4,1,4,13,5,0,0,0,0,,,62,,,,,,0,307,8,315,574,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,133,C01,95,101,17,2,4,6,8,8,3,0,0,0,0,,,43,,,,,,0,287,8,295,573,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,134,B,80,67,7,5,3,4,8,16,4,0,0,0,0,,,26,,,,,,0,220,6,226,413,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,134,C01,57,63,13,2,5,6,8,16,6,0,0,0,0,,,27,,,,,,0,203,8,211,412,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,135,B,101,95,15,2,6,3,9,10,11,0,0,1,0,,,46,,,,,,0,299,9,308,619,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,135,C01,120,83,22,6,5,4,14,13,7,0,0,0,0,,,67,,,,,,0,341,9,350,618,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,136,B,114,85,15,1,9,10,12,6,1,0,0,0,0,,,25,,,,,,0,278,8,286,588,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,136,C01,124,74,30,2,2,1,12,7,1,0,0,0,0,,,36,,,,,,0,289,9,298,587,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,136,C02,126,64,14,7,5,1,8,8,2,0,0,0,0,,,33,,,,,,0,268,12,280,587,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,137,B,62,59,7,3,5,3,4,9,9,0,0,0,0,,,20,,,,,,0,181,7,188,439,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,138,B,135,87,5,1,1,3,6,20,2,0,0,0,0,,,73,,,,,,1,333,14,348,665,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,138,C01,133,95,12,0,8,5,4,8,5,0,0,1,0,,,62,,,,,,2,333,6,341,664,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,139,B,81,69,2,4,3,3,4,9,2,0,0,0,0,,,16,,,,,,0,193,8,201,442,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,139,C01,83,62,6,1,7,4,4,6,4,0,0,0,0,,,35,,,,,,0,212,11,223,442,,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,14,B,108,61,10,1,4,9,2,6,4,0,0,0,0,,,65,,,,,,0,270,9,279,470,,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,14,C01,95,65,16,2,4,7,4,12,2,1,0,0,0,,,46,,,,,,1,254,8,263,470,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,140,B,116,73,13,2,3,11,1,4,5,2,0,0,0,,,32,,,,,,0,262,3,265,435,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,140,C01,104,96,11,2,6,5,5,7,3,0,0,0,0,,,31,,,,,,0,270,8,278,434,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,141,B,104,74,11,1,2,5,14,6,0,0,0,0,0,,,40,,,,,,0,257,4,261,491,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,141,C01,112,69,11,4,2,2,11,13,1,0,1,0,0,,,22,,,,,,0,248,8,256,491,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,142,B,90,80,7,0,4,4,6,8,3,0,0,1,0,,,39,,,,,,0,242,5,247,402,,,,
,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,142,C01,110,53,9,1,5,4,14,7,4,0,0,0,0,,,40,,,,,,0,247,7,254,401,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,143,B,90,65,7,5,1,2,10,7,3,0,0,2,0,,,25,,,,,,0,217,9,226,427,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,143,C01,84,70,12,2,3,4,4,6,2,1,1,0,0,,,33,,,,,,2,222,8,232,427,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,144,B,76,79,10,2,8,4,2,10,1,1,0,0,0,,,29,,,,,,0,222,10,232,442,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,144,C01,95,88,8,0,2,4,3,7,1,0,0,0,0,,,37,,,,,,0,245,2,247,442,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,145,B,149,123,12,2,6,9,9,24,8,0,1,0,0,,,82,,,,,,0,425,11,436,698,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,146,B,102,103,9,4,6,2,7,7,4,0,1,0,0,,,24,,,,,,0,269,7,276,562,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,146,C01,114,90,8,3,9,2,6,8,1,0,0,0,0,,,34,,,,,,0,275,12,287,562,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,147,B,85,118,10,4,7,2,3,10,2,0,0,0,0,,,12,,,,,,0,253,5,258,530,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,147,C01,83,82,11,4,7,5,4,9,2,0,0,0,0,,,31,,,,,,0,238,14,252,530,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,148,B,139,79,6,8,4,4,5,10,5,0,0,0,0,,,43,,,,,,0,303,15,318,710,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,148,C01,141,88,18,6,6,3,4,12,3,0,0,0,0,,,34,,,,,,0,315,12,327,710,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,149,B,140,117,16,2,3,9,7,26,8,0,0,0,0,,,76,,,,,,2,404,11,417,742,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,149,C01,161,93,15,5,4,8,14,24,8,0,0,0,0,,,92,,,,,,0,424,9,433,742,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,149,C02,155,98,19,2,5,5,6,22,4,0,0,0,0,,,83,,,,,,0,399,14,413,742,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,149,C03,137,81,16,1,5,6,14,26,5,0,2,2,0,,,73,,,,,,0,368,19,387,742,,,,
,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,149,C04,145,114,19,3,7,10,18,23,6,0,0,0,0,,,92,,,,,,1,437,6,444,742,,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,15,B,108,48,8,2,5,16,7,4,1,0,0,0,0,,,30,,,,,,0,229,4,233,510,,,,
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,15,C01,104,48,8,2,13,14,6,8,2,0,0,0,0,,,39,,,,,,0,244,10,254,510,,,,
,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,150,B,57,52,13,7,5,6,17,28,8,0,0,0,0,,,29,,,,,,0,222,7,229,426,,,,
