DISTRITO,CABECERA,CODIGO MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PC,PT,PVEM,PPS,PDM
18,CD. OBREGON SUR,18,CAJEME,888,B,89,295,463,7,24,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,887,B,49,105,236,0,6,3,1,0
17,CD. OBREGON CENTRO,18,CAJEME,886,B,75,149,382,1,6,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,885,B,125,224,399,1,6,1,0,1
17,CD. OBREGON CENTRO,18,CAJEME,884,B,84,169,218,3,1,0,0,0
17,CD. OBREGON CENTRO,18,CAJEME,883,B,127,164,284,2,4,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,882,B,102,183,308,0,3,0,0,0
17,CD. OBREGON CENTRO,18,CAJEME,881,B,110,195,300,2,4,7,4,3
17,CD. OBREGON CENTRO,18,CAJEME,870,B,105,135,269,0,1,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,869,B,71,144,257,2,3,4,0,0
17,CD. OBREGON CENTRO,18,CAJEME,852,B,162,103,191,4,0,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,853,B,135,158,280,1,1,2,1,1
17,CD. OBREGON CENTRO,18,CAJEME,854,B,91,139,228,2,7,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,855,B,147,170,366,0,6,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,856,B,146,186,421,4,5,0,0,0
17,CD. OBREGON CENTRO,18,CAJEME,857,B,82,172,394,6,4,7,1,0
17,CD. OBREGON CENTRO,18,CAJEME,858,B,38,60,212,2,2,2,1,0
17,CD. OBREGON CENTRO,18,CAJEME,859,B,105,195,262,0,9,1,0,1
17,CD. OBREGON CENTRO,18,CAJEME,860,B,106,127,270,5,5,2,0,1
17,CD. OBREGON CENTRO,18,CAJEME,861,B,123,173,415,0,0,1,0,1
17,CD. OBREGON CENTRO,18,CAJEME,862,B,117,189,363,3,1,1,0,1
17,CD. OBREGON CENTRO,18,CAJEME,863,B,100,189,330,2,2,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,864,B,142,131,341,1,19,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,865,B,137,181,357,3,5,3,2,3
17,CD. OBREGON CENTRO,18,CAJEME,866,B,81,127,345,1,1,2,8,1
17,CD. OBREGON CENTRO,18,CAJEME,867,B,127,203,495,7,4,2,1,0
17,CD. OBREGON CENTRO,18,CAJEME,868,B,68,132,263,5,1,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,851,B,58,119,319,2,3,3,0,1
18,CD. OBREGON SUR,18,CAJEME,889,B,29,160,405,3,8,2,0,1
18,CD. OBREGON SUR,18,CAJEME,890,B,139,141,514,2,3,0,3,1
18,CD. OBREGON SUR,18,CAJEME,910,B,103,103,316,1,1,0,0,0
18,CD. OBREGON SUR,18,CAJEME,911,B,128,126,303,0,3,5,2,1
18,CD. OBREGON SUR,18,CAJEME,912,B,114,136,327,1,4,0,0,0
18,CD. OBREGON SUR,18,CAJEME,913,B,70,126,331,0,3,3,1,0
18,CD. OBREGON SUR,18,CAJEME,914,B,59,78,280,0,1,0,0,0
18,CD. OBREGON SUR,18,CAJEME,915,B,73,94,215,1,3,2,4,0
18,CD. OBREGON SUR,18,CAJEME,916,B,158,179,470,1,14,6,0,0
18,CD. OBREGON SUR,18,CAJEME,917,B,69,91,260,1,2,0,0,0
18,CD. OBREGON SUR,18,CAJEME,918,B,73,104,229,0,5,1,0,0
18,CD. OBREGON SUR,18,CAJEME,919,B,91,133,369,2,4,3,2,0
18,CD. OBREGON SUR,18,CAJEME,920,B,73,119,290,1,5,2,0,0
18,CD. OBREGON SUR,18,CAJEME,921,B,75,140,395,0,2,4,1,1
18,CD. OBREGON SUR,18,CAJEME,922,B,91,162,324,6,2,2,1,0
18,CD. OBREGON SUR,18,CAJEME,923,B,64,112,241,4,1,2,0,0
18,CD. OBREGON SUR,18,CAJEME,924,B,71,140,276,2,2,5,0,0
18,CD. OBREGON SUR,18,CAJEME,925,B,99,128,304,0,2,2,0,1
18,CD. OBREGON SUR,18,CAJEME,926,B,61,130,285,0,1,1,0,1
18,CD. OBREGON SUR,18,CAJEME,909,B,88,122,353,3,8,4,1,0
18,CD. OBREGON SUR,18,CAJEME,908,B,110,137,356,1,0,4,0,1
18,CD. OBREGON SUR,18,CAJEME,891,B,66,80,304,2,2,0,8,0
18,CD. OBREGON SUR,18,CAJEME,892,B,97,77,267,0,3,2,0,0
18,CD. OBREGON SUR,18,CAJEME,893,B,142,103,273,1,1,1,1,0
18,CD. OBREGON SUR,18,CAJEME,894,B,55,109,310,1,3,2,0,0
18,CD. OBREGON SUR,18,CAJEME,895,B,42,90,230,1,0,1,0,0
18,CD. OBREGON SUR,18,CAJEME,896,B,66,122,369,1,1,0,0,0
18,CD. OBREGON SUR,18,CAJEME,897,B,97,157,321,1,0,2,0,0
18,CD. OBREGON SUR,18,CAJEME,898,B,83,142,347,0,2,2,0,0
18,CD. OBREGON SUR,18,CAJEME,899,B,82,132,326,0,0,5,0,0
18,CD. OBREGON SUR,18,CAJEME,900,B,81,84,324,3,7,0,0,0
18,CD. OBREGON SUR,18,CAJEME,901,B,68,214,379,1,3,5,2,0
18,CD. OBREGON SUR,18,CAJEME,902,B,73,168,256,0,3,1,0,2
18,CD. OBREGON SUR,18,CAJEME,903,B,41,125,190,0,0,0,0,0
18,CD. OBREGON SUR,18,CAJEME,904,B,37,97,243,1,4,0,0,0
18,CD. OBREGON SUR,18,CAJEME,905,B,53,127,230,1,2,2,3,0
18,CD. OBREGON SUR,18,CAJEME,906,B,173,162,310,1,3,1,2,1
18,CD. OBREGON SUR,18,CAJEME,907,B,149,183,457,2,4,4,1,2
18,CD. OBREGON SUR,18,CAJEME,927,B,53,128,299,0,3,1,1,0
17,CD. OBREGON CENTRO,18,CAJEME,850,B,71,123,199,2,0,2,1,0
16,CD. OBREGON NORTE,18,CAJEME,773,B,259,166,270,1,3,6,0,1
16,CD. OBREGON NORTE,18,CAJEME,793,B,324,203,210,2,1,0,1,5
16,CD. OBREGON NORTE,18,CAJEME,794,B,377,161,73,0,2,2,0,0
16,CD. OBREGON NORTE,18,CAJEME,795,B,317,311,413,10,4,5,0,0
16,CD. OBREGON NORTE,18,CAJEME,796,B,67,147,556,4,4,2,0,2
16,CD. OBREGON NORTE,18,CAJEME,797,B,101,133,266,7,5,4,0,1
18,CD. OBREGON SUR,18,CAJEME,798,B,64,87,136,0,0,1,0,0
18,CD. OBREGON SUR,18,CAJEME,799,B,79,96,277,0,1,2,0,1
18,CD. OBREGON SUR,18,CAJEME,800,B,98,127,326,0,0,4,0,1
16,CD. OBREGON NORTE,18,CAJEME,801,B,173,125,92,2,1,5,0,0
16,CD. OBREGON NORTE,18,CAJEME,802,B,310,190,151,0,1,3,1,0
16,CD. OBREGON NORTE,18,CAJEME,803,B,248,185,255,2,3,7,0,0
16,CD. OBREGON NORTE,18,CAJEME,804,B,275,173,210,2,5,2,0,0
16,CD. OBREGON NORTE,18,CAJEME,805,B,153,130,182,2,0,3,1,1
17,CD. OBREGON CENTRO,18,CAJEME,806,B,119,179,214,3,1,4,1,1
17,CD. OBREGON CENTRO,18,CAJEME,807,B,228,213,304,2,2,5,1,1
18,CD. OBREGON SUR,18,CAJEME,808,B,120,233,290,4,2,0,0,0
18,CD. OBREGON SUR,18,CAJEME,809,B,128,157,317,4,0,2,0,0
16,CD. OBREGON NORTE,18,CAJEME,792,B,186,215,368,3,3,3,0,0
16,CD. OBREGON NORTE,18,CAJEME,791,B,44,64,350,2,2,3,0,0
16,CD. OBREGON NORTE,18,CAJEME,774,B,87,98,157,0,0,3,0,1
16,CD. OBREGON NORTE,18,CAJEME,775,B,109,59,42,1,0,0,1,2
16,CD. OBREGON NORTE,18,CAJEME,776,B,441,220,129,1,0,0,0,1
16,CD. OBREGON NORTE,18,CAJEME,777,B,332,224,163,0,1,4,0,0
16,CD. OBREGON NORTE,18,CAJEME,778,B,122,118,214,2,5,1,0,3
16,CD. OBREGON NORTE,18,CAJEME,779,B,140,93,267,0,2,2,1,0
16,CD. OBREGON NORTE,18,CAJEME,780,B,104,125,319,4,2,1,0,0
16,CD. OBREGON NORTE,18,CAJEME,781,B,243,100,129,1,0,5,0,1
16,CD. OBREGON NORTE,18,CAJEME,782,B,87,117,190,1,0,3,0,0
16,CD. OBREGON NORTE,18,CAJEME,783,B,136,196,329,3,3,0,0,2
16,CD. OBREGON NORTE,18,CAJEME,784,B,175,120,283,0,0,0,0,0
16,CD. OBREGON NORTE,18,CAJEME,785,B,107,92,250,1,4,2,0,0
16,CD. OBREGON NORTE,18,CAJEME,786,B,181,238,501,3,5,8,1,1
16,CD. OBREGON NORTE,18,CAJEME,787,B,125,145,287,1,4,8,0,2
16,CD. OBREGON NORTE,18,CAJEME,788,B,347,187,150,1,0,5,1,1
16,CD. OBREGON NORTE,18,CAJEME,789,B,105,171,476,2,11,3,0,0
16,CD. OBREGON NORTE,18,CAJEME,790,B,64,86,549,0,4,4,0,1
16,CD. OBREGON NORTE,18,CAJEME,810,B,374,226,174,5,2,5,0,1
16,CD. OBREGON NORTE,18,CAJEME,811,B,134,212,346,5,2,4,2,1
16,CD. OBREGON NORTE,18,CAJEME,812,B,167,214,395,12,7,4,0,2
17,CD. OBREGON CENTRO,18,CAJEME,832,B,83,126,341,1,0,3,2,1
17,CD. OBREGON CENTRO,18,CAJEME,833,B,123,181,383,2,4,5,0,2
17,CD. OBREGON CENTRO,18,CAJEME,834,B,43,90,178,2,2,4,0,1
17,CD. OBREGON CENTRO,18,CAJEME,835,B,68,102,177,0,3,2,1,0
17,CD. OBREGON CENTRO,18,CAJEME,836,B,62,76,143,2,1,0,0,0
17,CD. OBREGON CENTRO,18,CAJEME,837,B,131,171,307,1,1,1,0,0
18,CD. OBREGON SUR,18,CAJEME,838,B,99,126,268,0,0,3,0,0
17,CD. OBREGON CENTRO,18,CAJEME,839,B,74,135,161,0,1,6,1,0
17,CD. OBREGON CENTRO,18,CAJEME,840,B,44,77,166,0,3,0,0,0
17,CD. OBREGON CENTRO,18,CAJEME,841,B,50,204,252,1,2,8,0,1
17,CD. OBREGON CENTRO,18,CAJEME,842,B,65,212,355,0,8,4,0,1
17,CD. OBREGON CENTRO,18,CAJEME,843,B,66,124,222,0,0,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,844,B,111,151,271,1,1,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,845,B,90,176,241,1,0,2,0,2
17,CD. OBREGON CENTRO,18,CAJEME,846,B,140,179,388,2,4,8,1,3
17,CD. OBREGON CENTRO,18,CAJEME,847,B,94,117,208,0,4,2,0,0
18,CD. OBREGON SUR,18,CAJEME,848,B,71,120,245,2,1,1,0,1
17,CD. OBREGON CENTRO,18,CAJEME,831,B,50,94,156,5,2,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,830,B,126,223,405,0,4,3,2,0
16,CD. OBREGON NORTE,18,CAJEME,813,B,93,126,292,5,2,1,0,0
16,CD. OBREGON NORTE,18,CAJEME,814,B,144,238,570,3,7,6,0,1
16,CD. OBREGON NORTE,18,CAJEME,815,B,92,153,281,4,1,1,1,3
16,CD. OBREGON NORTE,18,CAJEME,816,B,118,158,280,0,5,5,0,1
16,CD. OBREGON NORTE,18,CAJEME,817,B,82,137,209,7,2,2,0,2
16,CD. OBREGON NORTE,18,CAJEME,818,B,80,102,115,0,0,2,0,0
16,CD. OBREGON NORTE,18,CAJEME,819,B,58,70,81,3,0,1,1,0
18,CD. OBREGON SUR,18,CAJEME,820,B,120,129,278,0,4,3,0,0
16,CD. OBREGON NORTE,18,CAJEME,821,B,43,44,95,0,1,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,822,B,134,192,440,0,3,1,0,0
17,CD. OBREGON CENTRO,18,CAJEME,823,B,229,155,136,4,1,4,0,0
17,CD. OBREGON CENTRO,18,CAJEME,824,B,79,136,220,0,0,5,0,0
17,CD. OBREGON CENTRO,18,CAJEME,825,B,73,99,154,0,2,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,826,B,97,151,254,3,2,5,0,2
17,CD. OBREGON CENTRO,18,CAJEME,827,B,109,160,221,3,6,2,0,0
17,CD. OBREGON CENTRO,18,CAJEME,828,B,96,108,154,0,1,1,1,0
17,CD. OBREGON CENTRO,18,CAJEME,829,B,63,58,71,0,0,0,0,0
17,CD. OBREGON CENTRO,18,CAJEME,849,B,155,206,443,3,2,2,0,0
18,CD. OBREGON SUR,18,CAJEME,991,X,47,157,405,11,3,2,0,0
18,CD. OBREGON SUR,18,CAJEME,975,B,101,238,370,0,0,7,0,0
18,CD. OBREGON SUR,18,CAJEME,974,B,57,184,331,0,6,2,0,1
