CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_PRI_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,32,1,163,137,3,2,3,0,0,3,0,4,,0,0,0,,,,,,,0,315,9,324,385
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,33,3,322,607,17,13,16,2,1,2,2,24,,0,14,10,,,,,,,0,1030,17,1047,1269
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,34,2,312,439,44,6,22,2,0,11,1,83,,1,3,2,,,,,,,0,926,9,935,1195
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,134,2,118,233,13,16,13,69,1,1,11,82,,1,4,11,,,,,,,0,573,28,601,810
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,135,3,263,500,29,30,35,181,0,16,33,95,,6,8,38,,,,,,,0,1234,63,1297,1736
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,136,3,256,378,38,33,34,249,5,16,13,116,,3,11,27,,,,,,,0,1179,45,1224,1723
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,137,1,60,267,20,20,3,24,0,2,2,37,,0,2,23,,,,,,,0,460,12,472,612
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,138,1,62,280,11,15,8,22,1,2,8,59,,1,4,22,,,,,,,0,495,12,507,658
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,139,2,63,451,20,22,8,116,0,11,52,114,,3,1,33,,,,,,,0,894,26,920,1265
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,140,1,40,188,4,28,5,47,0,6,18,17,,1,0,7,,,,,,,0,361,8,369,474
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,141,1,81,265,18,17,10,61,2,4,13,41,,4,4,16,,,,,,,0,536,14,550,732
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,142,1,45,58,5,19,6,59,0,6,59,0,,0,0,12,,,,,,,0,269,34,303,468
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,143,2,124,310,28,13,31,89,4,10,7,70,,6,2,12,,,,,,,0,706,41,747,1072
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,952,4,40,856,644,6,1,1,2,0,1,36,,0,17,9,,,,,,,0,1613,15,1628,2082
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,953,1,32,190,220,0,0,0,0,0,0,2,,0,4,2,,,,,,,0,450,1,451,576
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,954,1,0,291,262,1,0,0,0,0,0,0,,0,5,1,,,,,,,0,560,6,566,730
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,962,3,7,178,82,9,346,354,6,5,61,365,,96,0,3,,,,,,,0,1512,124,1636,2060
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,963,1,0,122,7,2,40,37,3,2,5,0,,121,0,0,,,,,,,0,339,16,355,478
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,964,1,0,41,6,2,8,128,1,0,3,4,,49,0,0,,,,,,,0,242,13,255,325
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,965,1,0,61,3,0,99,72,0,1,3,4,,95,0,0,,,,,,,0,338,9,347,493
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,966,2,18,140,11,5,155,164,0,2,2,9,,68,0,1,,,,,,,0,575,18,593,847
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,967,1,0,38,15,0,161,83,0,0,3,14,,117,0,0,,,,,,,0,431,28,459,602
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,968,1,0,25,1,0,59,61,0,0,1,1,,50,0,0,,,,,,,0,198,2,200,274
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,969,1,1,62,9,2,189,87,4,0,4,32,,104,0,0,,,,,,,0,494,31,525,639
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,970,2,3,180,26,1,138,197,3,2,9,48,,205,3,4,,,,,,,1,819,43,863,1126
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,971,1,0,26,6,3,50,45,1,3,1,4,,30,1,0,,,,,,,0,170,8,178,214
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,972,3,8,126,35,4,234,376,3,4,9,32,,393,0,0,,,,,,,0,1224,45,1269,1632
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,973,1,1,12,4,1,68,39,0,0,6,0,,78,6,1,,,,,,,0,216,7,223,279
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,974,2,1,17,36,2,102,157,5,4,6,19,,54,1,0,,,,,,,0,404,28,432,527
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,975,2,7,62,10,0,197,93,2,1,1,15,,62,0,0,,,,,,,0,450,20,470,578
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,976,2,3,201,7,0,68,44,2,1,5,10,,236,0,0,,,,,,,0,577,24,601,781
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,977,1,1,90,7,0,151,74,3,3,8,7,,73,0,0,,,,,,,0,417,9,426,584
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,182,SAN JUAN BAUTISTA TUXTEPEC,1057,2,27,358,12,7,34,12,33,3,0,36,,0,0,6,,,,,,,0,528,29,557,819
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1372,3,247,483,82,2,22,3,5,8,1,70,,0,30,18,,,,,,,0,971,33,1004,1634
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1373,2,175,365,129,1,8,0,2,0,0,34,,1,26,2,,,,,,,0,743,12,755,943
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1374,2,224,509,120,0,28,1,6,3,2,64,,4,21,10,,,,,,,0,992,14,1006,1266
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1375,3,175,448,93,6,17,3,1,3,0,64,,1,23,5,,,,,,,0,839,8,847,930
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1376,2,196,373,75,4,3,1,3,4,0,40,,0,25,3,,,,,,,0,727,8,735,934
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1377,3,394,642,113,1,1,1,4,1,1,5,,0,1,2,,,,,,,0,1166,11,1177,1381
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1378,2,26,302,11,0,1,2,0,0,0,15,,0,2,0,,,,,,,0,359,4,363,434
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1379,2,318,667,89,2,38,0,25,4,0,17,,1,11,5,,,,,,,0,1177,9,1186,1380
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1380,1,100,336,58,1,5,2,8,1,1,17,,0,18,3,,,,,,,0,550,5,555,727
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1381,2,71,521,17,1,54,1,1,2,1,28,,0,6,3,,,,,,,0,706,4,710,872
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1382,2,209,362,51,2,29,4,7,1,0,36,,1,22,1,,,,,,,0,725,6,731,974
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1383,2,245,650,150,1,70,0,1,2,1,36,,0,7,0,,,,,,,0,1163,22,1185,1496
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1384,2,173,459,36,5,19,0,2,4,0,45,,0,32,3,,,,,,,0,778,12,790,974
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1385,2,329,503,71,4,7,1,2,0,2,65,,2,2,6,,,,,,,0,994,14,1008,1238
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1386,2,128,641,99,7,13,4,46,4,1,110,,0,11,8,,,,,,,0,1072,27,1099,1469
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1387,2,68,397,56,2,4,1,51,3,0,15,,0,9,0,,,,,,,0,606,5,611,765
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1388,3,93,587,196,6,12,3,18,1,1,28,,1,11,8,,,,,,,0,965,10,975,1253
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1389,2,270,439,29,2,3,1,2,0,0,4,,0,5,0,,,,,,,0,755,9,764,905
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1390,2,202,512,35,0,2,0,2,0,0,13,,0,5,1,,,,,,,0,772,3,775,929
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1391,3,89,338,96,2,9,1,6,2,1,11,,0,4,1,,,,,,,0,560,18,578,936
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1392,3,150,806,182,3,7,2,10,5,3,27,,0,7,3,,,,,,,0,1205,20,1225,1615
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1393,2,138,414,383,1,14,0,15,0,0,9,,1,9,0,,,,,,,0,984,12,996,1185
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1394,1,72,318,127,1,3,1,10,2,0,5,,2,6,1,,,,,,,0,548,4,552,680
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1395,2,146,620,175,1,9,1,15,1,3,7,,1,2,1,,,,,,,0,982,2,984,1169
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1473,2,22,417,24,6,10,123,7,8,15,507,,3,0,0,,,,,,,0,1142,32,1174,1419
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1474,3,23,579,18,6,18,272,3,7,14,375,,3,1,3,,,,,,,0,1322,20,1342,1612
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1475,1,24,80,5,0,4,101,0,3,6,90,,0,2,2,,,,,,,0,317,11,328,418
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1476,2,96,202,11,2,10,63,1,5,10,218,,4,1,2,,,,,,,0,625,26,651,795
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1477,1,25,89,2,0,8,49,1,4,2,106,,0,0,0,,,,,,,0,286,10,296,348
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1478,2,34,290,10,10,32,62,4,3,6,332,,9,4,1,,,,,,,0,797,13,810,1031
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1479,1,5,186,4,1,3,104,3,8,3,149,,4,1,2,,,,,,,0,473,16,489,623
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1480,1,10,146,13,2,10,148,3,4,3,117,,0,0,0,,,,,,,0,456,16,472,591
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1481,1,18,116,4,1,9,145,1,9,5,157,,2,0,0,,,,,,,0,467,10,477,572
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1793,3,100,447,230,11,24,3,6,31,3,76,,4,42,7,,,,,,,0,984,43,1027,1737
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1794,3,33,324,103,10,11,0,0,7,1,7,,1,10,9,,,,,,,0,516,20,536,1262
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1795,4,52,534,173,14,11,4,3,6,7,63,,3,46,13,,,,,,,0,929,52,981,1539
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1796,3,59,338,85,17,11,0,1,7,6,101,,2,14,7,,,,,,,0,648,31,679,1232
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1797,2,32,254,45,11,4,0,0,1,4,18,,0,21,13,,,,,,,9,403,12,424,678
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1798,2,42,459,101,12,9,3,1,28,1,13,,1,24,5,,,,,,,0,699,26,725,1203
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1799,1,3,134,78,3,17,1,0,3,1,16,,0,5,3,,,,,,,0,264,8,272,497
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1800,2,22,239,39,14,18,1,5,4,8,55,,2,7,0,,,,,,,0,414,18,432,880
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1801,1,6,31,1,1,2,0,1,0,0,7,,0,0,1,,,,,,,0,50,2,52,102
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1802,2,20,173,155,6,14,1,1,11,2,60,,0,10,4,,,,,,,0,457,20,477,785
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1803,2,29,153,64,7,7,2,0,4,1,33,,0,13,3,,,,,,,5,316,7,328,646
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1804,1,4,84,22,3,5,0,0,7,1,0,,0,6,0,,,,,,,0,132,7,139,210
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1805,2,38,361,112,11,11,1,3,17,2,24,,0,10,5,,,,,,,0,595,27,622,1089
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1806,1,5,90,35,5,4,0,1,4,0,5,,0,2,1,,,,,,,0,152,7,159,319
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1807,1,10,100,20,5,1,0,1,0,0,13,,0,15,1,,,,,,,0,166,11,177,296
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1808,1,21,117,90,5,7,0,3,2,1,4,,0,11,0,,,,,,,0,261,7,268,532
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,404,SANTA MARIA CHILCHOTLA,1809,2,15,362,85,8,14,1,7,6,1,18,,1,14,4,,,,,,,0,536,27,563,846
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1010,8,270,413,95,41,403,492,15,83,40,655,,28,30,15,,,,,,,1,2580,54,2635,5011
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1011,2,83,110,74,4,163,57,4,15,3,70,,5,16,4,,,,,,,0,608,13,621,1107
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1012,2,73,109,22,15,162,64,2,11,9,90,,5,3,2,,,,,,,2,567,17,586,1078
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1013,2,69,96,33,12,142,88,3,14,8,101,,1,11,0,,,,,,,0,578,20,598,1122
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1014,2,42,145,25,18,149,147,3,20,4,120,,9,4,1,,,,,,,3,687,39,729,1326
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1015,2,67,149,49,11,159,207,4,22,3,123,,5,9,3,,,,,,,0,811,19,830,1477
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1016,2,60,154,28,4,119,79,1,18,9,120,,2,7,3,,,,,,,0,604,24,628,1121
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1017,2,59,163,33,11,144,127,4,24,19,114,,7,11,4,,,,,,,0,720,21,741,1436
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1018,5,188,349,158,45,365,164,6,40,38,450,,9,34,7,,,,,,,4,1853,51,1908,3400
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1019,3,91,138,56,8,181,110,5,32,23,223,,7,13,5,,,,,,,0,892,21,913,1718
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1020,4,146,210,48,14,137,234,4,21,14,232,,7,13,5,,,,,,,1,1085,15,1101,1784
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1021,2,49,127,19,10,120,107,3,14,13,93,,2,3,3,,,,,,,0,563,16,579,1002
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1022,3,119,192,52,11,191,139,1,25,7,179,,10,12,8,,,,,,,1,946,23,970,1832
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1023,2,67,168,30,9,145,112,3,17,11,149,,4,4,5,,,,,,,2,724,47,773,1386
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1024,2,54,148,19,12,124,185,3,26,11,146,,3,2,4,,,,,,,0,737,10,747,1392
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1025,2,80,138,33,8,118,117,8,11,8,113,,1,11,3,,,,,,,0,649,15,664,1137
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1026,2,52,116,30,4,87,80,2,19,5,62,,0,3,0,,,,,,,0,460,19,479,785
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,182,SAN JUAN BAUTISTA TUXTEPEC,1027,2,34,135,22,9,89,68,5,8,13,72,,3,3,1,,,,,,,0,462,16,478,845
