SECCION,CASILLA,NO_DTTO,CABECERA,NMpioIEEP,Municipio,PAN,PRI,PRD,PT,PVEM,CDPPN,PSN,PAS,NOREG,NULOS,VOTACIONTOTAL,LISTANOMINAL,OBS
0055,B,18,ACATZINGO,130,ACATZINGO,9,72,19,3,0,236,0,0,0,14,353,547,
0055,C1,18,ACATZINGO,130,ACATZINGO,2,49,12,2,0,255,0,0,0,18,338,548,
0056,B,18,ACATZINGO,130,ACATZINGO,13,133,11,25,0,3,0,0,0,5,190,335,
0057,B,18,ACATZINGO,130,ACATZINGO,20,176,35,60,0,3,0,0,0,9,303,542,
0057,C1,18,ACATZINGO,130,ACATZINGO,9,177,33,64,0,10,0,0,0,14,307,542,
0057,C2,18,ACATZINGO,130,ACATZINGO,9,175,31,58,0,5,0,0,0,7,285,543,
0058,B,18,ACATZINGO,130,ACATZINGO,33,184,19,84,0,5,0,0,0,0,325,626,
0058,C1,18,ACATZINGO,130,ACATZINGO,47,148,30,68,0,5,0,0,0,9,307,626,
0059,B,18,ACATZINGO,130,ACATZINGO,6,166,74,51,0,5,0,0,0,0,302,590,
0059,C1,18,ACATZINGO,130,ACATZINGO,11,155,110,24,0,2,0,0,0,21,323,590,
0060,B,18,ACATZINGO,130,ACATZINGO,36,286,21,17,0,4,0,0,0,17,381,669,
0060,C1,18,ACATZINGO,130,ACATZINGO,59,295,34,13,0,3,0,0,0,5,409,669,
0061,B,10,IZUCAR DE MATAMOROS,28,ACTEOPAN,56,183,0,0,0,0,0,0,0,8,247,447,
0061,C1,10,IZUCAR DE MATAMOROS,28,ACTEOPAN,44,207,0,0,0,0,0,0,0,11,262,447,
0062,B,10,IZUCAR DE MATAMOROS,28,ACTEOPAN,77,259,0,0,0,0,0,0,0,23,359,615,
0063,B,10,IZUCAR DE MATAMOROS,28,ACTEOPAN,27,51,0,0,0,0,0,0,0,5,83,292,
0063,X1,10,IZUCAR DE MATAMOROS,28,ACTEOPAN,45,29,0,0,0,0,0,0,0,5,79,124,
0064,B,24,ZACATLAN,186,AHUACATLAN,85,115,80,0,0,0,0,0,0,9,289,422,
0064,C1,24,ZACATLAN,186,AHUACATLAN,85,111,76,0,0,0,0,0,0,0,272,422,
0065,B,24,ZACATLAN,186,AHUACATLAN,83,79,208,0,0,0,0,0,0,21,391,576,
0065,C1,24,ZACATLAN,186,AHUACATLAN,95,75,219,0,0,0,0,0,0,24,413,576,
0066,B,24,ZACATLAN,186,AHUACATLAN,18,175,221,0,0,0,0,0,0,37,451,606,
0066,X1,24,ZACATLAN,186,AHUACATLAN,142,114,160,0,0,0,0,0,0,0,416,566,
0067,B,24,ZACATLAN,186,AHUACATLAN,131,135,179,0,0,0,0,0,0,20,465,580,
0067,C1,24,ZACATLAN,186,AHUACATLAN,144,106,157,0,0,0,0,0,0,25,432,580,
0068,B,24,ZACATLAN,186,AHUACATLAN,24,130,70,0,0,0,0,0,0,5,229,246,
0068,X1,24,ZACATLAN,186,AHUACATLAN,8,234,316,0,0,0,0,0,0,0,558,742,
0069,B,24,ZACATLAN,186,AHUACATLAN,235,96,93,0,0,0,0,0,0,0,424,620,
0070,B,24,ZACATLAN,186,AHUACATLAN,112,113,102,0,0,0,0,0,0,22,349,518,
0070,C1,24,ZACATLAN,186,AHUACATLAN,122,115,100,0,0,0,0,0,0,7,344,518,
0071,B,10,IZUCAR DE MATAMOROS,29,AHUATLAN,66,223,9,0,0,0,0,0,0,0,298,523,
0072,B,10,IZUCAR DE MATAMOROS,29,AHUATLAN,102,200,5,0,0,0,0,0,0,9,316,479,
0073,B,10,IZUCAR DE MATAMOROS,29,AHUATLAN,95,190,32,0,0,0,0,0,0,14,331,555,
0074,B,10,IZUCAR DE MATAMOROS,29,AHUATLAN,28,149,2,0,0,0,0,0,0,14,193,428,
0075,B,25,HUAUCHINANGO,203,AHUAZOTEPEC,94,181,6,0,0,0,0,0,0,9,290,548,
0075,C1,25,HUAUCHINANGO,203,AHUAZOTEPEC,129,134,2,0,0,0,0,0,0,13,278,549,
0076,B,25,HUAUCHINANGO,203,AHUAZOTEPEC,126,188,8,0,0,0,0,0,0,17,339,681,
0076,C1,25,HUAUCHINANGO,203,AHUAZOTEPEC,134,183,10,0,0,0,0,0,0,12,339,681,
0077,B,25,HUAUCHINANGO,203,AHUAZOTEPEC,68,128,18,0,0,0,0,0,0,13,227,502,
0077,C1,25,HUAUCHINANGO,203,AHUAZOTEPEC,55,132,10,0,0,0,0,0,0,0,197,502,
0077,C2,25,HUAUCHINANGO,203,AHUAZOTEPEC,71,122,12,0,0,0,0,0,0,10,215,502,
0077,X1,25,HUAUCHINANGO,203,AHUAZOTEPEC,34,64,4,0,0,0,0,0,0,6,108,157,
0078,B,25,HUAUCHINANGO,203,AHUAZOTEPEC,44,242,15,0,0,0,0,0,0,17,318,657,
0079,B,12,ACATLAN DE OSORIO,57,AHUEHUETITLA,30,103,100,0,0,72,0,0,0,0,305,519,
0079,C1,12,ACATLAN DE OSORIO,57,AHUEHUETITLA,22,130,99,0,0,69,0,0,0,11,331,519,
0079,C2,12,ACATLAN DE OSORIO,57,AHUEHUETITLA,13,109,116,0,0,66,0,0,0,11,315,520,
0080,B,15,AJALPAN,95,AJALPAN,195,142,51,0,0,0,0,0,0,0,388,610,
0080,C1,15,AJALPAN,95,AJALPAN,207,115,66,0,0,0,0,0,0,0,388,611,
0080,C2,15,AJALPAN,95,AJALPAN,209,126,78,0,0,0,0,0,0,21,434,611,
0081,B,15,AJALPAN,95,AJALPAN,187,161,95,0,0,0,0,0,0,6,449,716,
0081,C1,15,AJALPAN,95,AJALPAN,190,144,112,0,0,0,0,0,0,16,462,717,
0082,B,15,AJALPAN,95,AJALPAN,121,152,49,0,0,0,0,0,0,10,332,546,
0082,C1,15,AJALPAN,95,AJALPAN,146,140,57,0,0,0,0,0,0,9,352,547,
