CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,PAN,PRI,PRD,PT,PVEM,MC,CPP,MORENA,PES,PRD_MC_CPP,PRD_MC,PRD_CPP,MC_CPP,PT_PVEM_MORENA_PES,PT_PVEM_MORENA,PT_PVEM_PES,PT_MORENA_PES,PVEM_MORENA_PES,PT_PVEM,PT_MORENA,PT_PES,PVEM_MORENA,PVEM_PES,MORENA_PES,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,COMPUTADA,MECANISMOS_TRASLADO,FECHA_HORA
'210858E0103',210858E010353,21,PUEBLA,107,OCOYUCAN,858,1,E,3,Rural,3,272,30,10,2,3,8,1,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,361,659,Cotejo (Levantada en Consejo Distrital),Si,D,19:11.7
'210858E0104',210858E010454,21,PUEBLA,107,OCOYUCAN,858,1,E,4,Rural,3,275,29,6,1,4,5,3,23,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,359,658,Cotejo (Levantada en Consejo Distrital),Si,D,32:13.6
'210858E0200',210858E020056,21,PUEBLA,107,OCOYUCAN,858,2,E,0,Rural,3,12,239,21,4,6,5,5,32,0,2,0,0,0,0,2,0,2,0,1,0,1,1,0,0,0,15,348,675,Cotejo (Levantada en Consejo Distrital),Si,D,48:18.8
'210858E0201',210858E020157,21,PUEBLA,107,OCOYUCAN,858,2,E,1,Rural,3,121,244,25,6,4,2,4,37,0,4,0,1,0,0,1,0,0,0,1,2,0,1,0,0,0,13,466,675,Cotejo (Levantada en Consejo Distrital),Si,D,59:53.5
'210859B0100',210859B010059,21,PUEBLA,107,OCOYUCAN,859,1,B,0,Urbana,3,59,173,61,2,2,4,20,33,0,4,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,15,379,683,Cotejo (Levantada en Casilla),Si,D,05:50.4
'210859C0100',210859C010060,21,PUEBLA,107,OCOYUCAN,859,1,C,0,Urbana,3,69,50,82,3,0,6,18,31,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,279,683,Cotejo (Levantada en Consejo Distrital),Si,D,07:50.7
'210859C0200',210859C020061,21,PUEBLA,107,OCOYUCAN,859,2,C,0,Urbana,3,82,168,77,6,2,2,17,39,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,410,682,Cotejo (Levantada en Casilla),Si,D,08:29.5
'210859C0300',210859C030062,21,PUEBLA,107,OCOYUCAN,859,3,C,0,Urbana,3,62,146,79,3,2,5,23,24,0,5,2,3,0,1,1,0,0,0,0,2,0,0,0,0,0,16,374,682,Cotejo (Levantada en Consejo Distrital),Si,D,17:06.9
'210859C0400',210859C040063,21,PUEBLA,107,OCOYUCAN,859,4,C,0,Urbana,3,66,149,73,3,1,3,23,40,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,11,382,682,Cotejo (Levantada en Consejo Distrital),Si,D,25:03.0
'210860B0100',210860B010064,21,PUEBLA,107,OCOYUCAN,860,1,B,0,Rural,3,61,189,79,4,3,6,8,53,2,8,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,20,438,680,Cotejo (Levantada en Consejo Distrital),Si,D,42:00.6
'210860C0100',210860C010065,21,PUEBLA,107,OCOYUCAN,860,1,C,0,Rural,3,42,210,85,7,4,1,9,48,0,7,2,0,0,2,1,0,2,0,0,3,0,2,0,2,0,29,456,680,Cotejo (Levantada en Consejo Distrital),Si,D,55:02.6
'210861B0100',210861B010066,21,PUEBLA,107,OCOYUCAN,861,1,B,0,Urbana,3,8,244,50,9,8,2,8,52,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,390,629,Cotejo (Levantada en Casilla),Si,D,06:59.9
'210861C0100',210861C010067,21,PUEBLA,107,OCOYUCAN,861,1,C,0,Urbana,3,9,177,100,3,5,1,9,91,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,407,629,Cotejo (Levantada en Casilla),Si,D,10:02.5
'210861C0200',210861C020068,21,PUEBLA,107,OCOYUCAN,861,2,C,0,Urbana,3,6,209,68,10,3,2,6,83,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,4,396,629,Cotejo (Levantada en Casilla),Si,D,10:51.8
'210861C0300',210861C030069,21,PUEBLA,107,OCOYUCAN,861,3,C,0,Urbana,3,9,155,86,5,0,4,6,68,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,344,628,Cotejo (Levantada en Casilla),Si,D,07:53.5
'210862B0100',210862B010070,21,PUEBLA,107,OCOYUCAN,862,1,B,0,Rural,3,9,173,94,9,2,3,13,65,0,3,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,7,383,555,Cotejo (Levantada en Casilla),Si,D,11:37.2
'210862C0100',210862C010071,21,PUEBLA,107,OCOYUCAN,862,1,C,0,Rural,3,5,178,70,7,3,2,7,75,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,12,363,554,Cotejo (Levantada en Consejo Distrital),Si,D,02:10.8
'210862C0200',210862C020072,21,PUEBLA,107,OCOYUCAN,862,2,C,0,Rural,3,12,149,60,5,3,2,11,98,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,358,554,Cotejo (Levantada en Casilla),Si,D,12:21.9
'210863B0100',210863B010073,21,PUEBLA,107,OCOYUCAN,863,1,B,0,Rural,3,17,128,56,1,0,2,19,24,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,269,490,Cotejo (Levantada en Casilla),Si,D,13:13.7
'210863C0100',210863C010074,21,PUEBLA,107,OCOYUCAN,863,1,C,0,Rural,3,20,120,52,4,0,2,34,28,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6,272,489,Cotejo (Levantada en Casilla),Si,D,15:28.4
'210864B0100',210864B010075,21,PUEBLA,107,OCOYUCAN,864,1,B,0,Urbana,3,38,149,61,8,6,5,8,43,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,13,335,664,Cotejo (Levantada en Casilla),Si,D,16:06.6
'210864C0100',210864C010076,21,PUEBLA,107,OCOYUCAN,864,1,C,0,Urbana,3,23,156,45,3,12,3,7,77,1,3,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,14,350,664,Cotejo (Levantada en Casilla),Si,D,17:08.5
'210864C0200',210864C020077,21,PUEBLA,107,OCOYUCAN,864,2,C,0,Urbana,3,36,158,57,5,1,7,5,62,5,6,3,1,0,1,1,0,0,1,0,2,0,1,0,1,0,12,365,664,Cotejo (Levantada en Casilla),Si,D,17:47.8
'210864C0300',210864C030078,21,PUEBLA,107,OCOYUCAN,864,3,C,0,Urbana,3,51,153,62,2,2,7,9,30,1,4,1,5,0,2,0,0,1,0,0,2,0,0,0,1,0,18,351,663,Cotejo (Levantada en Casilla),Si,D,18:18.4
'210865B0100',210865B010079,21,PUEBLA,107,OCOYUCAN,865,1,B,0,Urbana,3,17,85,63,5,3,5,9,35,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9,240,510,Cotejo (Levantada en Consejo Distrital),Si,D,10:11.8
'210865C0100',210865C010080,21,PUEBLA,107,OCOYUCAN,865,1,C,0,Urbana,3,8,118,55,2,4,4,9,43,0,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,13,264,510,Cotejo (Levantada en Casilla),Si,D,19:04.2
'210865C0200',210865C020081,21,PUEBLA,107,OCOYUCAN,865,2,C,0,Urbana,3,9,118,64,1,4,7,8,48,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,7,275,509,Cotejo (Levantada en Casilla),Si,D,20:11.9
'210866B0100',210866B010082,21,PUEBLA,107,OCOYUCAN,866,1,B,0,Rural,3,8,130,101,2,1,0,2,12,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,270,351,Cotejo (Levantada en Casilla),Si,D,19:35.5
'210866E0100',210866E010083,21,PUEBLA,107,OCOYUCAN,866,1,E,0,Rural,3,37,210,36,6,2,6,1,54,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,367,666,Cotejo (Levantada en Casilla),Si,D,20:52.3
'210866E0200',210866E020084,21,PUEBLA,107,OCOYUCAN,866,2,E,0,Rural,3,5,85,26,1,1,2,10,16,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,154,216,Cotejo (Levantada en Casilla),Si,D,21:27.4
