CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,PAN,PRI,PRD,PT,PVEM,MC,CPP,MORENA,PES,PAN_PRD_MC_CPP,PAN_PRD_MC,PAN_PRD_CPP,PAN_MC_CPP,PRD_MC_CPP,PAN_PRD,PAN_MC,PAN_CPP,PRD_MC,PRD_CPP,MC_CPP,PT_PVEM_MORENA_PES,PT_PVEM_MORENA,PT_PVEM_PES,PT_MORENA_PES,PVEM_MORENA_PES,PT_PVEM,PT_MORENA,PT_PES,PVEM_MORENA,PVEM_PES,MORENA_PES,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,COMPUTADA,MECANISMOS_TRASLADO,FECHA_HORA
'210265C0200',210265C020026,21,PUEBLA,29,CAÑADA MORELOS,265,2,C,0,Rural,3,43,166,3,11,2,5,8,69,1,1,0,2,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,11,329,671,Cotejo (Levantada en Consejo Distrital),Si,F-D,39:13.3
'210265C0300',210265C030027,21,PUEBLA,29,CAÑADA MORELOS,265,3,C,0,Rural,3,39,193,4,13,5,4,5,65,1,2,1,1,2,0,0,0,3,0,0,1,0,0,0,1,0,1,4,0,1,0,0,0,14,360,670,Cotejo (Levantada en Consejo Distrital),Si,F-D,39:31.9
'210266B0100',210266B010028,21,PUEBLA,29,CAÑADA MORELOS,266,1,B,0,Rural,3,11,229,1,20,5,4,3,144,4,1,1,0,0,0,1,1,1,1,0,0,3,1,0,0,0,2,2,0,2,1,0,0,8,446,721,Cotejo (Levantada en Casilla),Si,F-D,00:52.3
'210267B0100',210267B010029,21,PUEBLA,29,CAÑADA MORELOS,267,1,B,0,Rural,3,1,159,5,12,6,0,1,95,1,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,1,3,0,1,0,0,0,8,300,484,Cotejo (Levantada en Casilla),Si,F-D,02:54.5
'210267E0100',210267E010030,21,PUEBLA,29,CAÑADA MORELOS,267,1,E,0,Rural,3,3,117,0,21,1,0,2,122,3,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,4,2,0,2,0,0,0,12,297,487,Cotejo (Levantada en Consejo Distrital),Si,F-D,33:31.5
'210268B0100',210268B010031,21,PUEBLA,29,CAÑADA MORELOS,268,1,B,0,Rural,3,11,166,1,9,3,5,2,62,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,6,0,1,0,0,0,15,289,456,Cotejo (Levantada en Consejo Distrital),Si,F-D,51:00.8
'210268C0100',210268C010032,21,PUEBLA,29,CAÑADA MORELOS,268,1,C,0,Rural,3,6,155,2,17,4,2,6,71,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,12,283,455,Cotejo (Levantada en Consejo Distrital),Si,F-D,53:55.8
'210268E0100',210268E010033,21,PUEBLA,29,CAÑADA MORELOS,268,1,E,0,Rural,3,13,233,2,16,5,4,6,71,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,5,363,551,Cotejo (Levantada en Casilla),Si,F-D,03:43.4
'210269B0100',210269B010034,21,PUEBLA,29,CAÑADA MORELOS,269,1,B,0,Rural,3,4,224,0,7,0,1,1,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,305,405,Cotejo (Levantada en Casilla),Si,F-D,04:27.6
'210270B0100',210270B010035,21,PUEBLA,29,CAÑADA MORELOS,270,1,B,0,Rural,3,35,278,2,13,4,6,8,73,0,2,0,0,0,0,2,1,1,0,0,0,1,3,0,0,0,0,2,0,2,0,0,0,18,451,698,Cotejo (Levantada en Casilla),Si,F-D,05:50.2
'210270C0100',210270C010036,21,PUEBLA,29,CAÑADA MORELOS,270,1,C,0,Rural,3,39,203,7,20,4,3,3,72,0,2,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,20,382,698,Cotejo (Levantada en Casilla),Si,F-D,06:34.3
'210270C0200',210270C020038,21,PUEBLA,29,CAÑADA MORELOS,270,2,C,0,Rural,3,50,195,5,11,7,8,4,69,1,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,14,380,698,Cotejo (Levantada en Consejo Distrital),Si,F-D,59:16.0
'210270C0300',210270C030039,21,PUEBLA,29,CAÑADA MORELOS,270,3,C,0,Rural,3,44,212,5,15,3,5,6,66,0,2,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,28,393,697,Cotejo (Levantada en Casilla),Si,F-D,07:16.3
'210270E0100',210270E010037,21,PUEBLA,29,CAÑADA MORELOS,270,1,E,0,Rural,3,6,95,0,4,1,2,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,151,206,Cotejo (Levantada en Consejo Distrital),Si,F-D,01:50.5
