SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
803,B1,22,29,6,7,1,3,22,1,52,83,3,0,94,6,0,2,0,6,0,2,0,67,0,0,0,0,0,0,0,7,413,695
803,C1,15,20,2,5,4,2,31,0,43,54,1,0,91,10,0,2,1,5,1,5,0,80,2,0,6,4,1,3,0,0,388,694
804,B1,8,14,5,4,1,5,16,0,28,35,2,1,55,4,1,1,0,2,0,0,0,65,0,0,5,0,0,1,0,5,258,509
804,C1,7,19,1,4,1,6,16,1,27,46,1,2,61,5,0,0,1,0,0,0,0,59,1,0,2,2,2,0,0,7,271,509
804,C2,2,16,6,1,1,4,18,0,48,38,2,1,66,11,1,0,0,0,1,1,0,57,1,0,6,0,0,0,0,6,287,509
805,B1,9,15,2,3,1,2,43,1,56,40,2,2,93,6,0,0,0,4,2,2,0,114,0,1,4,1,4,0,0,10,417,713
805,C1,3,13,3,1,0,5,21,2,52,63,2,2,93,9,2,0,0,3,1,1,0,85,1,0,8,1,3,0,2,7,383,712
806,B1,8,9,3,2,1,8,27,1,44,39,4,2,84,7,0,4,0,0,0,1,0,72,3,0,5,0,0,2,1,2,329,530
806,C1,10,14,2,6,1,3,22,0,45,53,1,1,60,7,0,6,0,1,0,1,0,65,1,0,7,1,1,2,0,15,325,529
807,B1,12,6,1,4,2,6,20,0,41,17,1,0,61,3,1,3,0,1,0,2,0,46,1,0,2,0,0,0,0,4,234,417
807,C1,10,3,2,7,0,3,20,0,40,16,2,4,59,0,0,0,0,1,1,1,0,39,3,0,1,1,0,1,0,3,217,417
808,B1,8,12,1,1,2,7,28,0,40,43,1,1,45,7,0,0,0,5,0,0,0,61,0,0,1,0,1,1,0,6,271,490
808,C1,6,8,2,2,1,4,21,0,56,41,5,0,54,5,0,2,0,4,0,2,0,51,2,0,5,2,1,0,1,5,280,490
809,B1,15,23,3,2,0,3,15,4,53,31,7,1,50,9,0,1,0,2,0,1,0,49,1,0,4,0,3,0,0,7,284,461
809,C1,16,20,4,5,0,4,19,1,39,27,4,0,46,6,0,0,0,5,0,2,0,74,1,1,5,1,0,0,0,2,282,460
810,B1,15,20,4,2,2,5,38,1,38,32,1,1,91,17,1,7,0,0,1,0,0,60,1,0,6,1,2,0,0,6,352,609
810,C1,11,34,0,2,1,7,33,3,43,36,0,0,58,12,1,1,0,2,0,1,0,57,0,1,5,1,1,2,0,10,322,609
810,C2,17,18,1,0,1,7,34,0,38,34,7,0,98,16,1,2,0,2,0,2,0,49,0,1,3,2,4,2,0,12,351,608
811,B1,9,17,0,4,3,1,28,0,34,46,1,3,57,8,0,0,0,3,0,2,0,57,0,0,14,3,5,1,0,11,307,723
811,C1,2,5,3,4,2,4,31,1,53,61,5,1,53,4,1,1,0,1,0,0,0,63,0,0,7,0,0,2,0,7,311,723
811,C2,3,6,2,5,3,3,18,2,33,43,7,1,57,8,2,1,0,1,0,2,0,63,1,0,5,2,4,3,0,15,290,723
811,C3,5,7,1,3,1,5,28,3,51,64,5,2,56,5,0,0,0,3,1,1,0,49,0,0,3,0,1,1,0,7,302,722
811,C4,7,3,1,2,1,4,33,0,41,44,9,0,0,0,0,0,0,4,0,3,0,51,1,0,74,0,8,0,0,4,290,722
812,B1,8,10,1,2,0,3,17,2,43,53,1,0,56,8,0,0,1,1,1,1,0,50,1,0,3,1,2,0,0,1,266,554
812,C1,2,12,0,4,0,3,35,3,41,51,3,0,38,8,0,0,0,0,0,1,0,60,0,0,4,1,3,0,0,13,282,553
812,C2,10,8,0,5,3,2,25,0,32,59,7,0,48,5,0,0,0,2,1,0,0,49,3,0,7,1,2,0,0,7,276,553
813,B1,5,7,10,4,0,3,19,1,31,50,3,2,41,3,1,0,0,0,0,0,0,54,0,0,6,0,0,0,0,5,245,519
813,C1,5,8,4,0,0,3,18,0,32,48,4,0,53,2,0,0,0,2,1,1,0,64,0,0,5,2,0,0,0,4,256,519
813,C2,5,4,3,2,0,3,20,0,35,47,6,0,72,0,1,0,0,2,0,5,0,58,0,0,4,0,0,0,0,7,274,518
814,B1,9,13,1,3,2,2,17,0,38,52,6,1,77,8,0,0,1,7,0,2,0,70,1,0,12,1,2,3,0,9,337,686
815,B1,12,12,2,3,2,4,27,1,77,39,3,0,63,4,0,0,2,1,1,0,0,38,2,0,4,0,3,0,0,7,307,590
815,C1,20,11,2,6,7,3,30,0,64,47,5,1,53,11,0,0,0,1,1,0,0,36,4,0,5,2,2,1,0,7,319,589
816,B1,6,10,2,6,0,3,20,1,37,62,4,1,50,7,0,2,0,2,0,0,0,47,0,0,12,4,3,1,1,7,288,590
816,C1,6,7,0,4,0,2,19,0,44,39,2,1,62,20,0,1,0,1,0,0,0,45,1,0,1,2,2,1,0,5,265,590
816,C2,8,8,3,2,2,2,29,1,34,53,5,1,52,5,0,3,0,0,0,1,0,61,1,6,9,4,0,0,0,5,295,590
817,B1,7,11,3,5,1,5,23,4,55,53,5,2,53,5,0,3,0,2,1,1,0,50,2,0,12,1,3,3,0,13,323,659
817,C1,6,14,2,3,3,5,25,1,44,70,1,1,63,3,0,2,1,2,1,4,0,38,2,0,9,1,4,2,0,5,312,658
817,C2,3,10,2,4,1,5,34,1,42,59,4,0,63,2,0,1,0,1,0,2,0,41,0,0,7,0,0,2,0,10,294,658
817,C3,15,9,2,8,2,6,21,0,61,40,6,2,52,7,1,2,0,0,0,0,0,43,1,0,2,0,0,1,0,15,296,658
817,C4,6,13,2,6,3,2,32,1,47,65,7,0,63,7,0,0,1,1,1,2,1,48,1,0,3,1,1,0,0,12,326,658
817,E1,4,5,2,6,1,7,28,0,56,55,8,3,50,11,0,0,0,1,2,3,0,37,0,0,6,0,5,0,0,3,293,663
817,E1 C1,2,5,1,3,1,2,25,3,56,36,5,0,57,10,0,1,0,1,0,0,1,38,2,0,7,1,1,1,0,6,265,663
817,E1 C2,11,7,0,6,2,10,21,1,55,32,8,2,34,9,0,0,0,0,2,0,0,35,4,1,12,0,0,0,0,7,259,663
817,E1 C3,8,6,1,7,0,3,25,0,51,32,8,2,45,12,2,1,1,1,1,0,0,36,1,0,6,5,5,1,1,7,268,663
817,E1 C4,8,8,2,1,1,9,25,1,29,54,12,2,40,11,0,0,0,5,0,1,0,40,2,0,8,1,3,2,0,6,271,662
818,B1,3,9,3,4,2,5,28,0,57,34,6,1,94,10,0,3,0,1,0,1,0,67,3,0,8,1,3,4,0,8,355,716
818,C1,7,5,1,5,2,4,24,2,52,41,0,1,100,22,0,1,1,2,0,0,0,66,1,1,11,4,3,2,0,12,370,715
818,C2,2,4,5,7,3,2,21,2,77,30,2,3,92,11,0,1,0,2,0,0,0,53,2,0,10,4,1,1,0,13,348,715
818,C3,8,9,4,5,2,3,30,2,47,33,6,0,80,14,0,0,0,3,1,5,0,66,1,1,15,2,2,5,0,13,357,715
819,B1,8,6,6,7,2,5,44,1,57,20,8,2,83,1,0,2,0,0,0,1,0,2,0,0,3,2,3,1,0,9,273,620
819,C1,11,5,4,6,1,4,44,1,39,34,4,1,67,7,0,0,0,0,0,0,0,4,2,0,9,2,1,6,1,13,266,620
820,B1,7,6,3,3,3,4,34,0,63,22,5,1,74,7,0,0,0,0,0,0,0,5,1,0,15,1,1,2,0,8,265,585
820,C1,5,6,3,4,1,2,46,0,55,24,7,2,61,1,0,0,0,1,0,0,0,13,1,0,9,1,0,1,1,7,251,585
821,B1,6,3,0,1,0,4,23,0,56,28,0,0,78,4,0,1,0,1,1,1,0,5,0,0,5,2,0,1,0,4,224,449
821,C1,6,9,1,1,1,2,30,2,53,13,2,0,79,2,0,2,0,1,1,0,0,3,0,0,2,1,0,0,0,5,216,448
822,B1,7,4,2,1,3,6,17,1,54,35,3,0,115,13,0,0,0,1,0,0,0,1,1,0,8,0,3,5,0,10,290,660
822,C1,3,2,1,2,2,2,23,5,55,41,7,3,98,5,1,0,0,0,1,1,0,5,0,0,7,7,2,4,1,7,285,660
822,C2,5,4,5,4,4,2,26,0,46,46,3,0,112,13,0,0,0,2,0,0,0,0,0,1,6,2,3,3,3,8,298,659
823,B1,8,9,1,5,1,1,30,0,64,33,0,2,61,5,0,0,1,0,0,2,0,7,1,0,8,5,0,1,0,3,248,614
823,C1,11,8,1,5,1,2,47,4,79,26,17,0,43,4,0,0,0,2,1,1,0,8,0,0,6,1,2,2,0,7,278,614
824,B1,4,8,2,3,1,1,29,2,29,27,8,3,64,2,0,2,0,1,0,2,0,11,1,0,3,2,2,3,0,8,218,637
824,C1,8,6,2,1,2,4,29,2,46,20,4,0,67,3,0,1,0,1,0,0,1,10,0,0,3,0,3,3,0,4,220,637
825,B1,3,10,0,1,0,1,25,1,33,42,2,1,68,5,0,0,0,1,0,0,0,10,1,0,3,0,3,2,0,2,214,582
825,C1,7,11,1,4,1,0,18,1,35,45,4,2,102,4,0,1,0,2,0,0,0,16,1,0,12,0,0,2,0,12,281,581
826,B1,5,10,2,4,2,0,17,0,38,78,5,2,64,3,0,1,0,9,0,1,0,3,1,0,13,0,0,0,0,19,277,733
826,C1,5,10,2,4,2,0,17,0,38,78,5,2,64,3,0,1,0,9,0,1,0,3,1,0,13,0,0,0,0,19,277,732
827,B1,2,7,1,1,0,0,24,1,32,43,3,1,56,0,0,4,0,1,1,0,0,0,1,0,5,1,1,2,0,6,193,481
827,C1,5,1,1,1,1,6,23,1,33,33,1,0,90,2,0,1,0,0,0,0,0,2,1,0,8,2,1,2,0,5,220,481
828,B1,10,11,16,4,2,3,42,0,63,34,2,1,66,9,0,0,0,0,0,1,0,62,3,0,8,0,0,0,0,8,345,658
828,C1,5,6,19,1,3,3,40,1,52,39,2,0,78,17,0,0,0,2,1,0,0,75,3,0,6,1,1,0,0,7,362,658
829,B1,5,8,18,0,2,5,34,3,35,35,35,1,63,6,0,2,0,0,0,4,0,46,1,0,3,2,0,2,0,12,322,554
829,C1,4,8,15,1,1,2,29,0,46,13,3,1,69,9,0,0,0,1,0,3,0,48,1,0,3,0,1,2,0,9,269,554
830,B1,10,13,7,3,1,7,32,2,66,29,6,2,50,1,0,0,0,2,0,3,0,15,0,0,5,0,0,2,0,15,271,610
830,C1,11,9,7,5,1,7,37,3,81,37,12,2,58,4,0,1,0,0,0,1,1,13,1,0,3,1,1,1,0,11,308,609
831,B1,20,15,5,3,2,3,46,2,53,27,1,2,68,3,0,0,0,1,0,0,0,11,0,0,11,1,5,0,0,13,292,677
831,C1,7,11,5,4,0,11,48,0,71,20,2,1,57,5,0,1,0,2,1,1,0,8,1,0,0,0,1,2,0,12,271,676
831,C2,18,18,1,4,4,9,59,1,76,27,1,1,56,1,0,0,0,3,0,0,0,5,0,1,7,0,0,2,0,15,309,676
832,B1,21,15,5,2,1,7,32,3,52,14,2,1,0,0,0,0,0,3,3,1,0,2,1,0,68,0,0,0,0,6,239,516
833,B1,14,6,2,3,3,5,34,1,47,29,5,2,58,2,0,0,0,1,1,4,13,13,1,1,1,3,0,4,0,5,258,479
833,C1,10,6,8,2,2,6,27,1,43,29,6,6,52,3,0,1,0,1,0,0,0,8,0,0,4,1,1,0,0,7,224,478
834,B1,28,16,4,3,2,8,44,0,75,21,1,1,64,5,0,1,0,1,0,1,0,7,0,0,8,1,0,0,0,6,297,655
834,C1,24,21,7,2,1,5,44,0,56,32,0,4,61,3,0,0,0,0,0,2,0,12,2,0,7,0,1,0,0,6,290,654
834,C2,32,20,4,7,8,11,41,2,50,42,2,1,69,4,1,0,0,0,3,0,0,2,0,0,11,1,1,1,0,7,320,654
834,S1,3,1,0,2,0,0,4,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,27,0
835,B1,37,26,2,7,2,5,47,2,43,2,3,1,35,1,0,0,0,1,2,1,0,1,2,1,1,0,0,0,0,4,226,437
835,C1,45,17,6,8,9,3,33,1,30,9,5,1,21,1,0,0,0,0,4,0,0,1,4,0,3,0,1,0,0,1,203,436
836,B1,21,5,2,8,1,3,27,2,58,51,7,1,83,10,0,0,1,1,1,1,0,9,5,0,6,3,2,2,0,11,321,623
836,C1,16,6,2,7,3,6,36,1,58,31,5,0,67,11,0,1,0,2,0,1,0,14,8,0,6,1,4,0,0,9,295,623
837,B1,5,7,2,1,2,8,26,3,41,17,3,4,56,6,0,0,0,1,1,0,0,4,5,0,6,2,0,0,0,7,207,565
837,C1,19,8,4,4,1,8,31,2,38,28,2,1,54,6,1,2,1,0,0,1,0,4,1,0,5,2,3,1,0,9,236,565
837,C2,14,9,4,3,4,6,34,2,50,18,1,0,47,8,1,0,0,0,2,0,0,6,1,0,10,0,1,1,0,6,228,564
838,B1,20,10,0,3,4,7,41,3,25,23,0,2,59,7,0,0,0,0,0,0,0,3,8,0,5,3,2,2,0,7,234,525
838,C1,23,8,2,5,5,5,31,1,36,23,5,1,63,3,0,0,0,1,0,2,0,1,8,0,2,4,4,1,0,8,242,525
839,B1,9,6,2,6,4,2,38,2,55,7,6,3,87,10,0,0,0,1,0,1,0,3,5,0,4,1,2,0,0,6,260,554
839,C1,9,16,4,2,3,3,46,5,38,13,5,2,76,8,0,1,0,0,1,2,2,1,0,0,7,3,5,3,0,6,261,554
839,C2,14,5,8,2,3,3,36,1,60,11,7,1,84,10,0,3,0,1,1,1,0,3,1,0,4,2,2,1,0,4,268,553
840,B1,13,9,3,4,1,3,44,1,79,15,8,1,90,7,1,0,0,2,1,3,0,2,4,0,11,1,3,0,0,13,319,538
840,C1,6,7,2,1,1,2,32,3,52,31,7,4,85,5,2,1,0,1,1,1,0,6,6,0,5,1,1,2,0,5,270,537
841,B1,9,17,0,5,0,4,17,4,46,11,1,3,85,5,0,0,1,0,4,0,0,7,2,1,8,5,2,1,0,12,250,494
842,B1,13,6,1,8,1,7,44,3,49,24,3,2,86,5,1,1,0,2,2,0,0,12,3,0,3,3,2,0,0,6,287,591
842,C1,6,15,1,7,2,9,40,1,44,21,4,2,92,7,0,0,1,3,1,1,0,10,3,0,6,2,2,5,1,7,293,591
843,B1,7,20,0,1,2,2,33,1,37,19,1,1,138,25,0,0,0,0,0,1,0,14,1,0,13,4,0,5,0,5,330,565
843,C1,9,13,1,2,0,5,47,0,32,15,2,0,116,32,1,0,0,0,0,0,0,14,0,0,15,1,2,2,0,7,316,565
843,C2,3,11,2,2,1,4,36,2,36,15,2,1,146,23,0,0,2,0,1,2,0,10,1,0,16,1,2,2,0,9,330,565
845,B1,6,2,7,2,4,2,27,1,81,12,3,2,71,13,0,0,0,0,1,0,0,31,0,0,6,0,2,2,0,8,283,559
845,C1,5,5,2,4,1,2,27,2,59,9,11,0,86,6,0,0,0,2,0,1,0,29,2,0,3,2,3,1,0,4,266,558
846,B1,10,8,2,2,0,6,26,1,27,36,2,0,62,7,0,1,0,0,0,1,0,22,6,0,0,3,5,0,0,5,232,465
846,C1,9,6,0,3,1,7,25,1,34,44,5,1,66,6,0,0,0,0,0,0,0,31,4,0,5,0,2,0,0,3,253,465
847,B1,10,9,2,6,2,2,21,0,36,85,10,3,102,6,0,0,0,2,0,0,0,22,0,0,4,1,0,2,0,19,344,645
847,C1,6,2,0,3,0,5,27,1,36,118,4,1,106,8,0,0,0,0,1,0,0,13,0,0,10,1,1,4,0,12,359,644
848,B1,5,11,1,1,1,2,16,0,60,42,5,1,92,5,0,0,0,0,0,3,0,13,0,0,3,1,2,6,1,8,279,547
848,C1,7,12,2,5,2,9,21,1,56,32,3,3,94,3,0,0,0,1,0,3,0,26,1,0,5,2,1,2,0,6,297,547
848,C2,3,4,2,3,0,10,16,0,62,35,4,1,94,5,0,0,0,0,0,0,0,17,0,0,9,6,1,2,1,4,279,547
849,B1,5,4,0,7,1,10,18,1,31,26,37,2,49,2,0,0,0,1,0,0,0,22,3,0,4,0,0,0,0,7,230,386
849,C1,4,3,1,3,1,23,12,1,42,49,34,3,37,1,0,4,0,0,0,0,0,22,0,0,2,0,1,1,0,9,253,385
918,B1,6,10,0,7,0,3,29,2,30,25,3,1,141,16,0,0,0,1,1,0,0,13,1,0,15,5,3,4,0,9,325,583
918,C1,1,10,1,5,1,3,35,1,25,25,2,2,121,33,0,0,0,1,0,1,0,15,5,0,10,6,2,5,0,3,313,583
918,C2,7,11,0,7,2,5,28,0,50,17,2,1,125,18,1,0,0,1,1,0,0,23,1,0,10,1,0,3,0,2,316,583
918,C3,2,6,1,2,0,6,32,0,30,30,0,0,154,21,0,0,0,1,0,1,0,16,0,0,13,0,2,1,0,7,325,583
919,B1,11,5,1,5,5,3,53,2,69,5,4,0,99,9,1,2,0,0,5,3,0,11,2,0,12,1,0,0,0,10,318,657
919,C1,19,12,3,2,1,4,59,0,73,10,4,4,108,6,3,2,0,2,6,1,0,12,2,0,2,3,2,4,0,10,354,656
Totales,,1276,1357,391,495,218,620,3977,158,6442,5101,629,174,9361,980,45,109,20,204,76,165,19,4466,192,18,1050,189,212,192,18,1061,39215,80375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,cc_morena_na_es,,,,no_registrados,num_votos_nulos,Tot.Votos,
,,,1357,391,495,218,620,,158,6442,5101,629,,,,45,109,20,204,76,165,19,4466,192,1468,15961,,,,18,1061,39215,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,,,,,,no_registrados,num_votos_nulos,Tot.Votos,
,,1285,1357,391,495,218,620,4527,158,6442,5101,629,183,9902,1532,45,109,20,204,76,165,19,4466,192,,,,,,18,1061,39215,
,,3.28%,3.46%,1.00%,1.26%,0.56%,1.58%,11.54%,0.40%,16.43%,13.01%,1.60%,0.47%,25.25%,3.91%,0.11%,0.28%,0.05%,0.52%,0.19%,0.42%,0.05%,11.39%,0.49%,,,,,,0.05%,2.71%,100%,
