SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
647,C2,7,12,8,7,96,18,64,2,8,6,1,1,4,19,6,4,3,2,5,2,1,14,5,4,0,3,0,2,10,314,707
647,C3,9,14,6,11,99,20,68,2,12,5,0,2,4,12,6,10,5,3,4,3,1,9,2,2,0,1,0,0,6,316,706
648,B1,8,15,6,13,105,13,47,1,16,1,0,2,7,26,4,5,1,2,1,11,0,42,0,1,0,0,1,0,10,338,707
648,C1,6,7,4,15,106,21,43,3,10,3,1,0,9,33,2,13,4,6,2,2,0,43,1,1,1,5,0,0,6,347,707
649,B1,14,7,1,5,82,17,44,1,7,4,0,0,2,12,2,3,2,0,3,6,0,27,1,0,0,3,1,0,6,250,586
649,C1,7,13,3,7,105,15,30,5,7,4,2,1,6,8,1,2,1,1,2,6,0,41,1,1,0,1,0,0,14,284,585
649,C2,10,9,0,5,84,24,34,3,5,0,0,5,3,15,3,2,1,0,7,1,4,24,1,3,0,0,0,0,13,256,585
649,C3,28,8,3,11,74,13,40,1,2,8,0,1,1,21,4,2,1,0,4,2,2,21,0,1,0,1,1,0,8,258,585
650,B1,27,25,9,8,95,22,50,3,30,3,1,3,0,3,24,0,0,0,1,0,1,11,0,0,0,2,1,0,13,332,656
651,B1,13,6,2,15,102,15,22,0,10,0,2,0,5,15,6,3,2,1,3,1,1,16,3,0,0,0,0,0,7,250,623
651,C1,5,8,2,9,76,12,43,0,23,3,4,2,3,17,5,4,1,0,1,2,0,4,4,3,0,5,0,0,11,247,623
651,C2,11,8,0,10,75,13,37,0,9,2,2,0,5,11,4,3,5,1,0,2,0,8,3,2,0,2,1,0,7,221,623
651,C3,9,9,2,9,79,16,27,0,23,2,3,1,3,16,8,2,4,1,0,2,1,9,5,2,0,0,0,0,2,235,622
651,C4,8,11,4,14,92,12,30,0,18,4,0,1,4,14,7,2,3,3,0,0,1,5,5,2,1,2,0,0,10,253,622
652,B1,6,12,41,3,84,12,39,1,54,1,17,1,4,8,10,8,11,0,2,0,0,12,2,2,0,1,0,0,28,359,744
652,C1,2,9,35,3,77,38,44,3,57,3,18,1,0,2,6,7,16,0,2,0,4,16,0,2,0,0,1,0,31,377,744
652,C2,8,19,48,4,70,26,23,3,43,1,12,1,3,13,7,8,34,0,1,1,5,21,1,1,0,1,1,0,21,376,744
