CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,6,CANANEA,15,CANANEA,75,C04,141,0,25,0,9,29,121,20,0,5,0,0,0,0,0,0,0,350,14,364,711,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,75,C05,160,0,31,0,7,18,103,17,0,4,0,0,0,0,0,0,0,340,23,363,711,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,75,C06,130,0,28,0,4,28,101,12,0,2,0,0,0,0,0,0,1,305,15,321,711,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,75,C07,158,0,26,0,11,18,106,25,0,1,0,0,0,0,0,0,0,345,11,356,711,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,75,C08,168,0,25,0,12,25,103,17,0,2,0,0,0,0,0,0,0,352,17,369,711,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,76,B,123,0,16,0,6,16,66,7,0,4,0,0,0,0,0,0,1,238,11,250,474,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,76,C01,104,0,19,0,8,10,69,8,0,6,0,0,0,0,0,0,1,224,24,249,474,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,77,B,107,0,11,0,4,10,58,13,0,1,0,0,0,0,0,0,0,204,8,212,414,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,77,C01,118,0,8,0,5,8,55,8,0,2,0,0,0,0,0,0,0,204,12,216,414,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,78,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,Grupo de Recuento,,,
1,26,SONORA,6,CANANEA,15,CANANEA,78,C01,111,0,25,0,13,14,46,12,0,0,0,0,0,0,0,0,0,221,6,227,440,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,79,B,87,0,18,0,12,24,66,9,0,6,0,0,0,0,0,0,0,222,13,235,388,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,79,C01,106,0,15,0,2,11,49,13,0,1,0,0,0,0,0,0,0,197,15,212,388,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,80,B,171,0,35,0,9,32,91,13,0,3,0,0,0,0,0,0,1,354,34,389,678,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,81,B,161,0,20,0,7,22,112,14,0,8,0,0,0,0,0,0,1,344,14,359,699,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,82,B,114,0,10,0,2,19,83,5,0,2,0,0,0,0,0,0,0,235,12,247,512,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,82,C01,104,0,19,0,5,23,85,5,0,2,0,0,0,0,0,0,0,243,12,255,511,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,82,C02,117,0,14,0,8,16,77,11,0,3,0,0,0,0,0,0,1,246,12,259,511,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,83,B,140,0,29,0,3,13,87,14,0,1,0,0,0,0,0,0,3,287,13,303,632,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,83,C01,132,0,32,0,4,20,103,20,0,0,0,0,0,0,0,0,0,311,11,322,632,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,83,C02,140,0,32,0,5,11,109,20,0,5,0,0,0,0,0,0,0,322,16,338,631,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,83,C03,97,0,10,0,4,15,7,3,0,0,0,0,0,0,0,0,0,136,5,141,631,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,84,B,189,0,27,0,7,19,102,13,0,3,0,0,0,0,0,0,0,360,28,388,738,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,84,C01,154,0,38,0,14,19,99,13,0,7,0,0,0,0,0,0,0,344,27,371,738,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,85,B,149,0,29,0,7,0,142,13,0,0,0,0,0,0,0,0,0,340,23,363,606,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,86,B,108,0,30,0,4,2,39,2,0,0,0,0,0,0,0,0,0,185,7,192,344,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,87,B,42,0,9,0,6,2,33,2,0,0,0,0,0,0,0,0,0,94,1,95,182,Acta casilla,,,
1,26,SONORA,6,CANANEA,15,CANANEA,88,B,113,0,33,0,8,2,74,4,0,1,0,0,0,0,0,0,1,235,25,261,475,Acta casilla,,,
1,26,SONORA,6,CANANEA,16,CUCURPE,89,B,240,0,13,0,3,0,147,2,0,3,0,0,0,0,0,0,0,408,35,443,495,Acta casilla,,,
1,26,SONORA,6,CANANEA,16,CUCURPE,89,C01,186,0,6,0,4,1,137,1,0,1,0,0,0,0,0,0,0,336,14,350,495,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,92,B,148,0,35,0,2,1,207,4,0,1,0,0,0,0,0,0,0,398,26,424,536,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,93,B,149,0,39,0,2,0,158,4,0,0,0,0,0,0,0,0,0,352,22,374,470,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,93,C01,144,0,26,0,3,0,147,4,0,5,0,0,0,0,0,0,0,329,34,363,470,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,94,B,153,0,65,0,3,4,157,2,0,5,0,0,0,0,0,0,0,389,20,409,513,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,94,C01,138,0,80,0,3,2,153,2,0,0,0,0,0,0,0,0,0,378,32,410,513,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,94,E01,44,0,29,0,2,0,79,0,0,0,0,0,0,0,0,0,0,154,13,167,197,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,95,B,26,0,5,0,3,2,61,0,0,0,0,0,0,0,0,0,0,97,14,111,146,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,96,B,94,0,27,0,3,1,173,2,0,0,0,0,0,0,0,0,0,300,18,318,425,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,96,C01,101,0,23,0,2,0,168,1,0,3,0,0,0,0,0,0,3,298,25,326,425,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,97,B,142,0,22,0,8,0,301,3,0,2,0,0,0,0,0,0,1,478,28,507,614,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,98,B,88,0,14,0,2,1,167,0,0,0,0,0,0,0,0,0,0,272,15,287,384,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,17,CUMPAS,99,B,125,0,14,0,4,1,195,1,0,0,0,0,0,0,0,0,0,340,35,375,499,Acta casilla,,,
1,26,SONORA,18,OBREGON NORTE,18,DIVISADEROS,100,B,231,241,3,0,1,1,5,1,0,0,0,0,0,0,0,0,0,483,1,484,582,Acta casilla,,,
1,26,SONORA,18,OBREGON NORTE,18,DIVISADEROS,100,C01,225,246,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,477,0,477,582,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,101,B,104,0,8,0,156,0,64,3,0,2,0,0,0,0,0,0,0,337,14,351,484,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,101,C01,106,0,2,0,121,0,106,2,0,2,0,0,0,0,0,0,0,339,15,354,484,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,102,B,31,0,0,0,70,0,38,0,0,0,0,0,0,0,0,0,0,139,15,154,194,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,103,B,151,0,17,0,63,6,187,9,0,3,0,0,0,0,0,0,0,436,32,468,654,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,103,C01,149,0,8,0,55,3,190,11,0,3,0,0,0,0,0,0,0,419,35,454,654,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,103,E01,99,0,5,0,28,4,101,3,0,3,0,0,0,0,0,0,0,243,29,272,376,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,104,B,123,0,8,0,42,2,144,12,0,2,0,0,0,0,0,0,0,333,29,362,533,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,104,C01,100,0,5,0,63,4,166,0,0,2,0,0,0,0,0,0,0,340,33,373,533,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,104,C02,94,0,8,0,45,2,141,6,0,4,0,0,0,0,0,0,0,300,36,336,532,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,105,B,127,0,18,0,38,11,102,19,0,5,0,0,0,0,0,0,0,320,31,351,574,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,105,C01,120,0,9,0,51,7,118,18,0,6,0,0,0,0,0,0,0,329,17,346,574,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,19,FRONTERAS,105,C02,128,0,11,0,31,10,123,13,0,9,0,0,0,0,0,0,1,325,16,342,573,Acta casilla,,,
1,26,SONORA,18,OBREGON NORTE,20,GRANADOS,106,B,196,280,3,1,0,2,14,0,0,0,0,3,0,0,0,0,0,499,7,506,609,Acta casilla,,,
1,26,SONORA,18,OBREGON NORTE,20,GRANADOS,106,C01,260,234,1,2,0,3,10,0,0,0,0,1,0,0,0,0,0,511,1,512,609,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,21,HUACHINERA,107,B,329,0,10,0,5,0,246,3,0,1,0,0,0,0,0,0,0,594,43,637,722,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,21,HUACHINERA,108,B,178,0,5,0,0,3,51,4,0,0,0,0,0,0,0,0,0,241,8,249,288,Acta casilla,,,
1,26,SONORA,18,OBREGON NORTE,22,HUASABAS,109,B,133,250,1,4,0,0,8,1,2,0,0,2,1,0,0,0,0,402,2,404,524,Acta casilla,,,
1,26,SONORA,18,OBREGON NORTE,22,HUASABAS,109,C01,198,228,0,3,0,0,6,2,2,1,0,3,0,0,0,0,0,443,5,448,524,Acta casilla,,,
1,26,SONORA,18,OBREGON NORTE,22,HUASABAS,109,C02,122,301,1,2,0,1,4,3,1,1,0,6,0,0,0,0,0,442,2,444,523,Acta casilla,,,
1,26,SONORA,6,CANANEA,23,HUEPAC,110,B,207,0,7,0,5,0,156,4,0,3,0,0,0,0,0,0,0,382,23,405,513,Acta casilla,,,
1,26,SONORA,6,CANANEA,23,HUEPAC,110,C01,229,0,6,0,1,3,156,5,0,3,0,0,0,0,0,0,0,403,30,433,513,Acta casilla,,,
1,26,SONORA,6,CANANEA,23,HUEPAC,111,B,139,0,15,0,3,2,54,2,0,0,0,0,0,0,0,0,0,215,11,226,281,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,112,B,152,93,6,7,1,13,0,3,2,6,0,0,0,0,0,0,0,283,6,289,530,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,112,C01,161,88,6,5,1,20,0,6,1,1,0,0,0,0,0,0,0,289,10,299,529,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,112,C02,161,90,9,5,3,28,0,1,3,2,0,0,0,0,0,0,0,302,8,310,529,Grupo de Recuento,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,113,B,188,154,6,4,2,23,0,7,0,2,0,0,0,0,0,0,0,386,10,396,665,Grupo de Recuento,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,113,C01,188,129,3,7,4,19,0,11,0,0,0,0,0,0,0,0,0,361,23,384,665,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,113,C02,183,141,4,3,2,23,0,7,1,4,0,0,0,0,0,0,0,368,17,385,664,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,113,C03,171,153,9,4,2,27,0,11,3,1,0,0,0,0,0,0,0,381,18,399,664,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,114,B,244,144,8,3,0,20,0,7,5,1,0,0,0,0,0,0,0,432,16,448,720,Grupo de Recuento,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,115,B,115,107,6,7,1,24,0,4,1,0,0,0,0,0,0,0,0,265,7,272,462,Grupo de Recuento,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,115,C01,108,118,1,3,3,17,0,3,0,0,0,0,0,0,0,0,0,253,14,267,461,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,115,E01,147,182,6,20,2,29,0,5,3,1,0,0,0,0,0,0,0,395,16,411,691,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,116,B,150,97,6,12,0,23,0,3,3,0,0,0,0,0,0,0,0,294,10,304,530,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,116,C01,135,86,18,7,0,15,0,1,0,1,0,0,0,0,0,0,0,263,14,277,530,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,116,C02,129,86,6,9,1,13,0,4,4,0,0,0,0,0,0,0,0,252,11,263,530,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,117,B,52,55,2,1,1,6,0,7,0,1,0,0,0,0,0,0,0,125,5,130,257,Grupo de Recuento,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,121,B,81,101,4,0,2,16,0,2,1,0,0,0,0,0,0,0,0,207,11,218,341,Acta casilla,,,
1,26,SONORA,5,NOGALES SUR,24,IMURIS,122,B,117,104,3,3,10,3,0,1,0,2,0,0,0,0,0,0,0,243,13,256,401,Grupo de Recuento,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,123,B,203,0,4,0,10,20,117,5,0,36,0,0,0,0,0,0,0,395,19,414,680,Grupo de Recuento,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,123,C01,124,0,17,0,5,3,186,5,0,2,0,0,0,0,0,0,0,342,15,357,680,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,123,C02,145,0,27,0,5,1,163,6,0,6,0,0,0,0,0,0,0,353,24,377,680,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,124,B,100,0,19,0,2,2,119,10,0,0,0,0,0,0,0,0,0,252,14,266,461,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,124,C01,92,0,17,0,6,2,113,5,0,1,0,0,0,0,0,0,0,236,19,255,460,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,125,B,136,0,17,0,4,3,181,4,0,1,0,0,0,0,0,0,0,346,0,346,657,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,125,C01,149,0,19,0,2,4,177,11,0,3,0,0,0,0,0,0,0,365,25,390,656,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,126,B,166,0,28,0,6,5,179,9,0,2,0,0,0,0,0,0,1,395,27,423,735,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,126,C01,146,0,29,0,8,4,193,8,0,1,0,0,0,0,0,0,0,389,18,407,734,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,126,C02,149,0,24,0,6,10,165,7,0,5,0,0,0,0,0,0,0,366,22,388,734,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,126,C03,161,0,28,0,2,2,186,15,0,3,0,0,0,0,0,0,0,397,27,424,734,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,127,B,101,0,18,0,4,4,123,6,0,4,0,0,0,0,0,0,0,260,22,282,506,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,127,C01,120,0,23,0,3,2,129,6,0,2,0,0,0,0,0,0,0,285,15,300,506,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,128,B,95,0,15,0,4,3,117,3,0,2,0,0,0,0,0,0,0,239,19,258,512,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,128,C01,89,0,12,0,6,2,111,14,0,6,0,0,0,0,0,0,0,240,22,262,512,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,128,C02,97,0,15,0,5,1,121,4,0,5,0,0,0,0,0,0,0,248,17,265,511,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,129,B,134,0,33,0,8,2,141,8,0,4,0,0,0,0,0,0,0,330,23,353,629,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,129,C01,104,0,25,0,3,7,127,8,0,2,0,0,0,0,0,0,0,276,25,301,628,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,129,C02,129,0,29,0,3,3,135,13,0,5,0,0,0,0,0,0,5,317,21,343,628,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,130,B,131,0,32,0,5,5,133,3,0,1,0,0,0,0,0,0,1,310,17,328,678,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,130,C01,129,0,33,0,6,4,141,16,0,4,0,0,0,0,0,0,0,333,15,348,678,Grupo de Recuento,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,130,C02,101,0,191,0,50,6,8,2,0,0,0,0,0,0,0,0,0,358,4,362,678,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,130,C03,130,0,36,0,5,53,153,5,0,3,0,0,0,0,0,0,0,385,20,405,677,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,131,B,128,0,19,0,3,4,149,7,0,2,0,0,0,0,0,0,0,312,17,329,607,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,131,C01,98,0,17,0,0,4,188,3,0,5,0,0,0,0,0,0,0,315,20,335,607,Acta casilla,,,
1,26,SONORA,6,CANANEA,25,MAGDALENA,131,C02,142,0,19,0,3,7,174,2,0,5,0,0,0,0,0,0,0,352,10,362,607,Acta casilla,,,
