CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1505,1,18,135,223,0,0,0,0,11,2,0,0,6,0,395,0,395,613
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1506,2,12,278,253,5,2,0,4,30,1,0,3,13,0,601,3,604,981
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1507,2,143,174,256,5,4,1,2,18,1,0,1,6,0,611,10,621,1163
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1508,2,52,169,232,8,10,1,0,5,2,0,0,7,0,486,8,494,1174
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1509,1,47,172,195,8,4,1,4,3,4,0,1,5,0,444,18,462,746
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1510,1,32,53,55,3,0,1,0,4,0,0,0,4,0,152,6,158,296
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1511,1,58,189,212,1,1,0,0,25,1,0,4,0,0,491,5,496,718
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1512,2,72,218,158,2,6,0,4,10,2,0,8,2,0,482,17,499,925
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1513,1,26,56,188,2,1,0,0,13,0,0,0,0,0,286,6,292,615
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1514,1,19,126,128,5,2,0,1,1,0,0,2,7,0,291,5,296,561
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1515,1,25,44,137,5,2,0,1,8,0,0,1,3,0,226,9,235,483
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1516,1,11,97,140,1,2,0,0,6,1,0,0,2,0,260,10,270,518
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1529,4,527,280,181,14,11,12,14,44,19,0,3,0,0,1105,38,1143,2330
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1530,6,704,430,267,43,32,27,27,89,15,0,2,0,0,1636,72,1708,3899
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1531,5,723,378,280,41,21,21,26,62,20,0,1,1,0,1574,50,1624,3325
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1532,3,400,177,154,22,22,4,2,28,8,0,1,0,2,818,23,843,1807
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1533,3,364,233,141,6,12,6,21,26,9,0,3,2,0,823,31,854,2074
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1534,2,273,162,100,5,13,19,13,18,4,0,0,1,4,608,24,636,1315
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1535,3,310,164,122,7,14,10,19,24,13,0,44,4,0,731,16,747,1752
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1536,2,223,121,47,10,6,1,8,15,4,0,1,2,0,438,19,457,971
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1537,2,278,180,106,10,7,6,10,21,5,0,2,2,0,627,18,645,1391
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1538,2,176,95,104,3,5,3,7,14,1,0,1,0,0,409,14,423,863
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1539,2,163,82,49,7,11,5,8,17,3,0,1,1,1,347,12,360,901
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1540,2,254,98,98,6,6,7,1,19,8,0,2,0,1,499,22,522,992
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1541,3,378,258,207,12,20,13,22,42,20,0,96,207,0,1275,50,1325,1759
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1542,3,235,213,121,4,13,3,13,25,8,0,1,4,0,640,19,659,1754
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1543,4,607,480,246,12,29,17,32,43,17,0,6,4,2,1493,36,1531,2986
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1544,2,332,183,104,12,6,4,17,20,6,0,2,4,2,690,24,716,1319
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1545,3,475,161,179,6,8,15,9,32,6,0,4,2,1,897,22,920,1286
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1546,2,209,136,49,1,13,11,4,15,6,0,74,25,0,543,5,548,884
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1547,1,194,90,52,8,5,4,10,16,3,0,0,1,0,383,12,395,713
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1548,1,173,75,46,4,3,3,15,22,3,0,0,0,0,344,5,349,655
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1549,1,147,66,20,3,1,1,2,6,2,0,1,2,1,251,6,258,393
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1550,1,153,75,44,1,1,3,1,3,2,0,1,1,0,285,8,293,505
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1551,1,126,104,21,4,3,0,5,6,4,0,1,2,0,276,10,286,493
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1552,2,231,122,87,5,4,6,12,10,2,0,0,0,0,479,12,491,959
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1553,2,154,114,48,3,14,5,17,21,3,0,0,0,0,379,18,397,823
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1554,2,120,111,30,11,11,1,16,23,0,0,0,1,0,324,7,331,776
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1555,2,234,106,53,5,7,2,10,13,3,0,6,1,0,440,6,446,812
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1556,2,189,110,88,9,11,5,17,21,3,0,0,0,1,453,9,463,876
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1557,2,124,103,80,6,3,5,6,19,3,0,0,2,0,351,5,356,804
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1558,1,69,101,29,4,2,0,7,16,1,0,0,0,0,229,5,234,569
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1559,1,129,81,57,2,4,4,7,5,5,0,3,0,0,297,7,304,698
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1560,1,140,0,0,0,0,1,0,11,0,0,111,74,13,337,0,350,669
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1561,2,165,101,63,6,6,6,10,12,1,0,1,1,1,372,11,384,761
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1562,1,188,84,53,3,2,7,7,9,6,0,86,189,0,634,16,650,669
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1563,2,273,141,50,8,2,13,5,14,6,0,0,0,0,512,3,515,947
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1564,1,135,116,71,1,4,1,4,7,7,0,0,2,0,348,7,355,659
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1565,2,141,215,65,4,9,1,8,5,5,0,1,2,0,456,16,472,797
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1566,2,257,216,90,8,3,10,8,17,8,0,5,2,0,624,26,650,1370
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1567,2,229,235,105,8,17,8,19,43,6,0,0,0,1,670,30,701,1456
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1568,4,393,332,168,13,16,6,27,30,16,0,0,1,0,1002,15,1017,2525
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1569,2,149,109,57,1,8,2,5,6,2,0,2,0,0,341,13,354,879
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1570,2,140,153,58,8,8,3,11,12,4,0,1,1,1,399,13,413,960
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1571,5,511,433,257,23,33,10,22,73,14,0,6,8,0,1390,44,1434,3615
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1572,5,556,361,298,16,21,5,32,36,8,0,3,3,1,1339,41,1381,3229
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1573,3,331,235,135,16,16,2,25,12,3,0,4,0,0,779,44,823,1791
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1574,1,66,90,16,1,4,3,2,6,2,0,0,1,0,191,9,200,356
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1575,1,35,41,38,2,4,0,2,7,1,0,1,1,0,132,4,136,386
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1576,1,194,61,52,5,11,2,16,1,0,0,0,1,0,343,12,355,728
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1577,2,164,233,119,10,13,2,6,17,7,0,0,0,1,571,10,582,1087
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1578,1,75,47,100,5,4,1,3,0,0,0,0,3,15,238,0,253,513
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1579,1,94,49,103,0,0,0,0,4,0,0,0,0,0,250,8,258,574
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1580,2,130,97,127,4,4,2,12,10,1,0,0,0,0,387,16,403,787
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1581,1,59,68,24,2,3,1,1,1,0,0,0,0,0,159,7,166,274
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1582,1,56,97,13,2,3,0,1,2,1,0,0,0,0,175,0,175,293
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1583,3,282,304,231,15,22,7,16,24,9,0,126,262,0,1298,66,1364,2134
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1584,3,170,116,77,8,14,7,7,2,5,0,1,2,0,409,13,422,1672
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1585,1,17,68,55,2,2,0,3,5,0,0,0,1,0,153,16,169,357
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1586,2,78,45,135,5,6,5,4,8,1,0,0,2,0,289,8,297,809
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1587,3,107,146,165,10,10,3,15,22,6,0,0,4,0,488,26,514,1577
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1588,1,24,49,42,4,2,1,1,8,0,0,0,0,0,131,4,135,276
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1589,2,76,149,156,7,16,2,27,58,3,0,0,2,0,496,20,516,1343
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1939,3,320,270,324,8,1,4,3,17,4,0,2,6,0,959,28,987,1879
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1940,1,131,69,121,2,1,4,0,15,2,0,0,3,0,348,10,358,646
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1941,2,259,102,115,3,6,1,0,7,2,0,1,6,0,502,13,515,908
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1942,2,342,154,212,8,5,5,3,16,5,0,3,6,0,759,25,784,1491
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1943,2,188,98,166,8,3,2,2,3,1,0,2,4,0,477,26,503,866
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1944,3,219,134,271,8,7,3,3,14,4,0,1,4,0,668,13,681,1312
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1945,2,77,127,242,9,7,3,4,26,3,0,0,2,0,500,29,529,1112
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1946,2,191,112,147,1,1,2,1,0,2,0,3,8,0,468,18,486,906
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1947,2,38,112,382,2,0,0,1,8,1,0,3,4,0,551,12,563,1034
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1948,1,53,107,68,10,2,1,3,3,0,0,0,0,1,247,3,251,621
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1949,1,79,35,37,2,2,1,4,1,0,0,0,0,0,161,0,161,356
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2370,2,171,133,59,5,6,8,13,139,4,0,3,5,0,546,13,559,873
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2371,2,148,132,56,7,0,5,2,157,8,0,4,1,0,520,16,536,770
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2372,1,122,108,53,0,6,3,3,119,6,0,0,2,0,422,6,428,692
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2373,2,170,152,162,3,3,13,4,217,10,0,1,2,0,737,24,761,1267
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2374,2,146,164,105,6,8,4,9,359,9,0,0,3,0,813,32,845,1337
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2375,2,190,196,114,11,13,9,5,272,10,0,4,1,0,825,25,850,1343
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2376,1,102,123,43,6,1,3,0,154,1,0,4,2,0,439,8,447,659
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2377,2,183,131,71,9,5,9,4,154,8,0,0,0,0,574,7,581,873
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2378,2,101,212,201,2,2,3,2,171,1,0,1,0,0,696,9,705,1111
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2379,3,204,226,300,13,19,9,18,311,6,0,6,12,0,1124,47,1171,1923
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2380,6,355,442,739,30,22,10,16,546,10,0,6,16,0,2192,71,2263,3993
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2381,2,121,141,324,16,8,5,6,78,1,0,2,19,10,721,19,750,1286
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2382,1,7,36,37,0,0,2,4,49,1,0,0,0,0,136,2,138,234
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2383,2,14,74,211,4,5,1,4,69,3,0,4,4,0,393,3,396,965
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2384,2,38,164,232,11,2,1,8,114,4,0,5,4,0,583,27,610,966
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2385,2,95,126,124,10,4,6,7,180,7,0,4,1,0,564,13,577,916
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2386,2,16,156,194,14,3,2,6,102,3,0,2,5,0,503,27,530,891
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2387,1,9,52,44,3,1,0,2,1,1,0,1,3,0,117,3,120,376
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2388,1,31,27,86,9,1,3,7,85,3,0,0,0,0,252,12,264,609
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2531,1,131,121,100,1,1,0,0,7,1,0,0,2,0,364,9,373,599
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2532,1,117,198,121,2,1,2,0,5,3,0,0,1,0,450,9,459,721
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2533,1,67,119,94,0,1,1,0,2,2,0,1,1,0,288,9,297,499
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2534,1,6,38,128,0,0,0,0,0,0,0,0,0,0,172,5,177,249
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2535,1,23,58,64,0,0,0,0,3,0,0,0,0,0,148,4,152,304
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2536,1,46,110,107,0,1,2,1,4,1,0,0,2,0,274,10,284,450
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2537,1,47,133,173,1,2,0,0,7,2,0,0,0,0,365,10,375,637
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,38,2,63,238,282,7,3,11,0,12,2,0,1,3,0,622,16,638,882
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,39,2,77,268,241,0,2,3,2,8,0,0,3,7,0,611,8,619,844
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,40,2,132,255,432,16,3,17,2,10,1,0,5,7,1,880,13,894,1300
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,41,2,82,197,479,17,3,11,5,14,1,0,3,11,0,823,20,843,1290
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,42,2,33,87,308,7,0,3,1,1,1,0,0,2,0,443,8,451,769
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,43,2,55,97,351,33,1,2,1,3,1,0,0,8,0,552,8,560,938
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,44,1,49,71,339,12,0,17,0,2,0,0,2,1,0,493,4,497,688
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,45,3,44,341,978,16,3,19,2,5,0,0,5,5,1,1418,26,1445,2221
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,46,1,11,143,332,10,0,2,0,2,0,0,3,1,0,504,11,515,663
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,47,1,9,16,30,4,0,1,0,0,0,0,0,0,0,60,3,63,106
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,48,1,10,86,169,3,0,4,0,10,1,0,0,0,0,283,2,285,398
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,49,1,15,96,122,45,2,29,2,1,0,0,0,4,0,316,10,326,485
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,50,1,16,174,272,5,1,5,2,3,1,0,0,1,0,480,6,486,734
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,51,2,25,163,327,7,11,16,0,4,1,0,1,2,0,557,24,581,972
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,299,2,136,169,113,114,3,2,4,14,0,0,0,2,0,557,22,579,970
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,300,2,183,146,136,109,8,1,5,32,4,0,1,2,0,627,17,644,960
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,301,2,275,215,157,152,6,8,3,10,1,0,2,6,0,835,32,867,1398
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,302,2,185,203,151,175,2,7,1,16,1,0,2,6,0,749,31,780,1256
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,303,2,110,112,394,252,2,10,1,17,2,0,2,9,0,911,10,921,1253
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,304,2,168,226,251,82,5,3,3,18,3,0,1,0,0,760,15,775,1232
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,405,2,130,160,166,6,2,1,1,9,0,0,3,2,0,480,9,489,784
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,406,2,73,136,209,3,3,1,1,13,3,0,5,2,0,449,12,461,791
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,407,2,82,129,291,1,4,1,0,11,0,0,0,2,0,521,24,545,937
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,408,2,15,131,221,6,1,1,4,51,2,0,3,8,0,443,18,461,666
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,409,2,69,238,208,3,4,1,1,25,3,0,9,3,0,564,16,580,1233
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,410,1,8,42,211,1,1,0,2,0,0,0,1,3,0,269,1,270,475
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,580,2,194,111,283,8,26,2,2,15,3,0,0,8,2,652,28,682,1090
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,581,2,161,106,233,4,21,4,1,4,5,0,1,4,0,544,26,570,885
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,582,1,88,100,79,6,7,4,3,9,5,0,1,3,0,305,8,313,515
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,583,2,149,92,149,12,24,17,0,6,2,0,1,0,0,452,22,474,756
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,584,2,240,135,263,11,22,14,2,20,13,0,3,4,0,727,38,765,1193
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,585,1,134,83,95,1,13,1,2,5,1,0,1,1,0,337,6,343,554
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,586,2,228,186,236,4,49,12,2,7,1,0,3,3,0,731,23,754,1196
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,587,1,109,96,70,0,13,1,2,3,0,0,0,0,0,294,9,303,610
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,588,2,236,113,390,2,13,3,5,4,1,0,1,0,0,768,30,798,1144
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,589,3,311,200,421,7,44,11,7,13,1,0,1,4,0,1020,28,1048,1551
