ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,33,GABRIEL ZAMORA,13,28,497,3046,4712,60,55,33,99,860,163,0,35,36,3,9596,217,9816,15259,0.6433
16,MICHOACAN,34,HIDALGO,72,149,14631,9263,9633,5092,693,1126,415,965,372,0,259,314,31,42763,1767,44561,83492,0.5337
16,MICHOACAN,35,LA HUACANA,28,50,1094,7661,5510,310,50,79,24,164,25,0,36,64,2,15017,427,15446,23796,0.6491
16,MICHOACAN,36,HUANDACAREO,10,18,1850,1222,2219,55,232,69,26,86,32,0,12,27,2,5830,218,6050,9494,0.6372
16,MICHOACAN,37,HUANIQUEO,11,14,615,655,2413,78,83,42,125,217,38,0,5,34,1,4305,325,4631,7447,0.6219
16,MICHOACAN,38,HUETAMO,45,66,1041,4727,10539,389,133,214,372,453,38,0,75,225,1,18206,589,18796,32645,0.5758
16,MICHOACAN,39,HUIRAMBA,4,11,469,1898,1461,97,45,22,14,87,43,0,68,53,1,4257,161,4419,6036,0.7321
16,MICHOACAN,40,INDAPARAPEO,13,24,927,2703,3213,139,91,44,27,258,22,0,112,180,2,7716,242,7960,12641,0.6297
16,MICHOACAN,41,IRIMBO,8,19,1837,1342,3174,86,77,51,35,316,30,0,39,66,1,7053,223,7277,11613,0.6266
16,MICHOACAN,42,IXTLÁN,12,20,726,1716,2439,837,37,26,21,361,17,0,11,21,0,6212,139,6351,11053,0.5746
16,MICHOACAN,43,JACONA,27,76,5343,4556,4721,798,1113,4115,346,649,266,0,27,80,32,22014,920,22966,47355,0.485
16,MICHOACAN,44,JIMÉNEZ,14,23,790,1854,2722,372,599,55,56,174,37,0,13,28,1,6700,207,6908,11655,0.5927
16,MICHOACAN,45,JIQUILPAN,30,62,3653,4085,4178,158,2106,145,191,477,106,0,265,400,32,15764,524,16320,30699,0.5316
16,MICHOACAN,46,JOSÉ SIXTO VERDUZCO,18,37,1409,3876,4559,2084,121,61,959,349,68,0,13,46,4,13545,386,13935,20775,0.6708
16,MICHOACAN,47,JUÁREZ,12,20,855,2042,2409,151,28,1639,39,64,33,0,28,33,3,7321,224,7548,10053,0.7508
16,MICHOACAN,48,JUNGAPEO,15,26,1076,2556,4390,56,108,24,24,107,27,0,146,97,1,8611,222,8834,14071,0.6278
16,MICHOACAN,49,LAGUNILLAS,4,9,1548,465,1297,10,12,19,5,24,15,0,12,52,0,3459,93,3552,4753,0.7473
16,MICHOACAN,50,LÁZARO CÁRDENAS,65,216,9620,16921,18018,771,691,883,794,3931,670,0,178,269,38,52746,1791,54575,130581,0.4179
16,MICHOACAN,51,MADERO,14,23,3003,2042,3347,66,36,10,40,30,0,0,34,109,2,8717,297,9016,12949,0.6963
16,MICHOACAN,52,MARAVATÍO,44,105,7084,5157,10187,453,404,1335,1580,836,235,0,67,192,32,27530,1269,28831,58773,0.4905
16,MICHOACAN,53,MARCOS CASTELLANOS,11,19,2677,2272,852,43,30,45,36,54,19,0,13,12,1,6053,150,6204,9218,0.673
16,MICHOACAN,54,MORELIA,351,947,91256,59630,63127,6709,5121,11577,2683,13162,6389,2,1929,3626,721,265211,13995,279927,565389,0.4951
16,MICHOACAN,55,MORELOS,9,16,1163,880,1143,143,36,176,502,99,16,0,3,17,0,4178,213,4391,7521,0.5838
16,MICHOACAN,56,MÚGICA,24,54,2098,6090,8096,139,80,89,205,563,43,0,134,603,6,18140,526,18672,31771,0.5877
16,MICHOACAN,57,NAHUÁTZEN,15,34,1030,3566,5288,292,61,1380,176,1509,63,0,22,97,3,13484,531,14018,18897,0.7418
16,MICHOACAN,58,NOCUPÉTARO,13,17,243,2172,2699,64,10,9,21,60,3,0,31,61,1,5373,125,5499,7015,0.7839
16,MICHOACAN,59,NUEVO PARANGARICUTIRO,11,25,963,3774,3646,65,34,33,45,149,66,0,15,63,0,8853,152,9005,12994,0.693
16,MICHOACAN,60,NUEVO URECHO,9,13,316,1480,2139,64,54,12,19,36,9,0,2,12,2,4143,149,4294,5777,0.7433
16,MICHOACAN,61,NUMARÁN,9,17,2450,1689,1337,35,37,6,45,49,9,0,3,19,3,5679,108,5790,9131,0.6341
16,MICHOACAN,62,OCAMPO,11,24,1373,1679,1810,2811,2097,57,93,97,36,0,43,114,3,10210,314,10527,14259,0.7383
16,MICHOACAN,63,PAJACUARÁN,18,31,1790,1894,2777,55,764,1740,61,100,24,0,12,30,2,9247,252,9501,14730,0.645
16,MICHOACAN,64,PANINDÍCUARO,19,29,414,3379,3761,91,92,26,40,184,20,0,77,166,3,8250,199,8452,13441,0.6288
16,MICHOACAN,65,PARÁCUARO,16,32,1653,2392,3860,70,464,190,91,2144,29,0,19,40,3,10952,271,11226,17596,0.638
16,MICHOACAN,66,PARACHO,16,42,1486,2811,7463,248,120,382,344,526,502,0,50,145,1,14077,583,14661,23630,0.6204
16,MICHOACAN,67,PÁTZCUARO,42,109,7387,6139,11853,618,2058,1223,427,1697,407,0,96,249,34,32154,1927,34115,63415,0.538
16,MICHOACAN,68,PENJAMILLO,19,28,1121,3105,3655,66,46,20,26,220,35,0,35,101,2,8430,196,8628,15439,0.5588
16,MICHOACAN,69,PERIBÁN,12,28,5066,1740,2088,55,1141,127,50,83,44,0,253,312,3,10959,310,11272,17592,0.6407
16,MICHOACAN,70,LA PIEDAD,61,132,13909,9480,6133,483,581,334,677,1197,328,0,604,831,48,34557,1103,35708,74177,0.4814
16,MICHOACAN,71,PURÉPERO,11,22,2877,849,1641,357,570,41,1124,146,29,0,9,20,4,7663,208,7875,12463,0.6319
16,MICHOACAN,72,PURUÁNDIRO,46,96,5457,6242,7638,2158,490,232,628,812,243,0,90,154,21,24144,1161,25326,55885,0.4532
16,MICHOACAN,73,QUERÉNDARO,14,23,1245,1986,1923,179,52,70,28,321,40,0,24,42,1,5910,167,6078,10469,0.5806
16,MICHOACAN,74,QUIROGA,14,35,3281,3731,3067,117,288,976,56,301,258,0,21,63,1,12159,523,12683,19504,0.6503
16,MICHOACAN,75,COJUMATLÁN DE RÉGULES,9,17,440,1715,2868,25,34,16,26,19,6,0,14,23,2,5186,68,5256,7859,0.6688
16,MICHOACAN,76,LOS REYES,35,85,9619,6825,7693,437,336,575,193,394,100,0,137,307,20,26616,770,27406,47864,0.5726
16,MICHOACAN,77,SAHUAYO,49,92,13737,7353,5586,236,413,201,225,621,146,0,25,65,6,28608,712,29326,50740,0.578
16,MICHOACAN,78,SAN LUCAS,20,29,362,2386,3017,2526,33,17,14,213,12,0,7,49,0,8636,180,8816,14276,0.6175
16,MICHOACAN,79,SANTA ANA MAYA,11,18,1493,1264,986,282,33,744,70,394,35,0,11,55,0,5367,209,5576,10472,0.5325
16,MICHOACAN,80,SALVADOR ESCALANTE,24,54,2133,4339,8970,686,713,201,216,447,162,0,118,252,18,18237,1360,19615,32080,0.6114
16,MICHOACAN,81,SENGUIO,11,25,1798,3279,2113,65,557,968,108,93,29,0,16,30,0,9056,314,9370,14232,0.6584
16,MICHOACAN,82,SUSUPUATO,10,15,419,1839,1790,32,11,970,7,13,10,0,25,34,0,5150,111,5261,6773,0.7768
16,MICHOACAN,83,TACÁMBARO,38,88,6309,7596,8792,380,478,490,669,1246,1,0,273,213,22,26447,1372,27841,50575,0.5505
16,MICHOACAN,84,TANCÍTARO,15,32,2172,1126,1340,250,694,988,93,392,60,0,12,11,3,7138,415,7556,19282,0.3919
16,MICHOACAN,85,TANGAMANDAPIO,14,38,3129,3304,3953,92,128,124,69,294,52,0,7,37,3,11189,346,11538,20343,0.5672
16,MICHOACAN,86,TANGANCÍCUARO,27,50,3374,2467,2153,135,1004,154,115,463,185,0,27,24,8,10101,338,10447,25278,0.4133
16,MICHOACAN,87,TANHUATO,11,21,1897,1320,2085,61,35,26,24,110,24,0,15,43,1,5640,177,5818,11131,0.5227
16,MICHOACAN,88,TARETAN,9,19,2250,2052,2232,30,52,36,40,66,34,0,19,34,2,6845,202,7049,10543,0.6686
16,MICHOACAN,89,TARÍMBARO,40,97,6625,4952,7392,5562,458,938,173,652,318,0,85,480,16,27635,978,28629,55484,0.516
16,MICHOACAN,90,TEPALCATEPEC,16,28,3644,2164,2873,108,38,45,39,139,18,0,29,129,3,9226,270,9499,16097,0.5901
16,MICHOACAN,91,TINGAMBATO,7,17,249,1171,2702,19,37,24,14,507,30,0,14,38,6,4805,158,4969,9899,0.502
16,MICHOACAN,92,TINGÜINDÍN,11,21,2496,1693,2325,50,63,34,10,47,14,0,21,48,0,6801,166,6967,10611,0.6566
16,MICHOACAN,93,TIQUICHEO DE NICOLÁS ROMERO,11,18,430,2063,2786,28,1258,17,21,32,4,0,23,32,0,6694,184,6878,9915,0.6937
16,MICHOACAN,94,TLALPUJAHUA,15,36,1468,2468,4895,824,162,827,1384,263,422,0,74,121,6,12908,481,13395,18989,0.7054
16,MICHOACAN,95,TLAZAZALCA,12,13,487,1446,1596,21,13,10,14,203,11,0,4,2,0,3807,76,3883,7569,0.513
16,MICHOACAN,96,TOCUMBO,12,19,1527,996,1487,489,875,86,57,41,41,0,18,29,2,5646,204,5852,9265,0.6316
16,MICHOACAN,97,TUMBISCATÍO,7,11,98,1276,1356,15,46,974,82,21,10,0,4,6,0,3888,64,3952,5803,0.681
16,MICHOACAN,98,TURICATO,36,49,1257,5831,6827,131,93,30,94,380,0,0,233,491,5,15367,520,15892,23784,0.6682
16,MICHOACAN,99,TÚXPAN,17,34,2960,3015,4121,103,59,896,104,290,49,0,72,155,1,11824,406,12231,18365,0.666
16,MICHOACAN,100,TUZANTLA,20,27,1268,3385,4235,32,20,17,17,31,11,0,21,56,1,9093,135,9229,12649,0.7296
16,MICHOACAN,101,TZINTZUNTZAN,9,18,846,1542,2857,122,55,618,46,690,35,0,31,46,8,6888,288,7184,10456,0.6871
16,MICHOACAN,102,TZITZIO,15,20,699,1911,968,43,399,93,70,511,29,0,12,17,3,4752,194,4949,7401,0.6687
16,MICHOACAN,103,URUAPAN,142,379,29165,20791,29913,1633,2732,2020,1567,3801,2558,0,690,1406,128,96276,4028,100432,222836,0.4507
16,MICHOACAN,104,VENUSTIANO CARRANZA,22,37,4377,2489,4644,38,49,50,42,193,32,0,47,63,2,12024,195,12221,18139,0.6737
16,MICHOACAN,105,VILLAMAR,18,34,1263,2238,2624,367,49,21,566,221,27,0,64,52,3,7492,418,7913,15335,0.516
16,MICHOACAN,106,VISTA HERMOSA,13,26,1216,2109,2168,64,1418,119,82,896,27,0,13,20,1,8132,177,8310,14275,0.5821
16,MICHOACAN,107,YURÉCUARO,19,38,2223,2795,3155,159,109,96,120,3277,96,0,47,80,10,12157,364,12531,21084,0.5943
16,MICHOACAN,108,ZACAPU,47,96,8333,5649,7029,1424,689,3508,350,1542,406,0,35,121,16,29086,1481,30583,55807,0.548
16,MICHOACAN,109,ZAMORA,96,238,18008,12182,10636,4705,1669,3110,937,2524,931,0,372,292,110,55366,2260,57736,136998,0.4214
16,MICHOACAN,110,ZINÁPARO,7,7,437,777,787,4,6,5,1,28,9,0,1,6,0,2061,56,2117,3459,0.612
16,MICHOACAN,111,ZINAPÉCUARO,32,67,4058,5587,5093,162,1359,1170,340,1210,168,0,45,395,6,19587,797,20390,36982,0.5513
16,MICHOACAN,112,ZIRACUARETIRO,8,19,1270,2363,3336,37,55,33,87,343,47,0,12,84,3,7667,174,7844,11095,0.707
16,MICHOACAN,113,ZITÁCUARO,82,188,15169,12284,19661,1163,691,1399,1542,2642,1161,0,660,1495,71,57867,2934,60872,107222,0.5677
