CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,35,C01,34,142,44,148,1,0,5,3,3,0,0,8,0,388,13,401,590,RECUENTO,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,36,B,61,111,52,123,7,2,29,10,0,0,1,1,0,397,18,415,635,RECUENTO,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,36,C01,73,75,46,135,1,0,28,8,0,0,0,3,0,369,7,376,635,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,37,B,15,130,102,145,2,0,4,12,1,0,0,2,0,413,10,423,732,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,38,B,32,109,154,3,2,6,0,4,1,0,0,2,0,313,9,322,441,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,38,C01,31,129,128,4,1,5,0,8,1,0,1,1,0,309,7,316,441,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,39,B,38,130,126,0,1,1,0,6,0,0,3,3,0,308,4,312,422,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,39,C01,39,138,115,0,1,2,2,2,0,0,0,4,0,303,4,307,422,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,40,B,56,132,235,5,3,9,1,6,0,0,2,4,0,453,3,456,650,RECUENTO,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,40,C01,76,123,197,11,0,8,1,4,1,0,3,3,1,427,10,438,650,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,41,B,40,109,231,6,3,7,2,4,1,0,0,4,0,407,9,416,645,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,41,C01,42,88,248,11,0,4,3,10,0,0,3,7,0,416,11,427,645,RECUENTO,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,42,B,21,43,168,4,0,3,1,1,0,0,0,2,0,243,5,248,385,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,42,C01,12,44,140,3,0,0,0,0,1,0,0,0,0,200,3,203,384,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,43,B,32,48,174,15,0,0,1,2,0,0,0,6,0,278,1,279,469,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,43,C01,23,49,177,18,1,2,0,1,1,0,0,2,0,274,7,281,469,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,44,B,49,71,339,12,0,17,0,2,0,0,2,1,0,493,4,497,688,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,45,B,21,121,322,8,0,5,1,1,0,0,0,0,0,479,6,485,741,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,45,C01,13,107,335,3,1,7,0,2,0,0,3,2,0,473,12,485,740,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,45,C02,10,113,321,5,2,7,1,2,0,0,2,3,1,466,8,475,740,RECUENTO,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,46,B,11,143,332,10,0,2,0,2,0,0,3,1,0,504,11,515,663,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,47,B,9,16,30,4,0,1,0,0,0,0,0,0,0,60,3,63,106,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,48,B,10,86,169,3,0,4,0,10,1,0,0,0,0,283,2,285,398,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,49,B,15,96,122,45,2,29,2,1,0,0,0,4,0,316,10,326,485,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,50,B,16,174,272,5,1,5,2,3,1,0,0,1,0,480,6,486,734,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,51,B,15,84,151,2,9,8,0,2,0,0,1,0,0,272,10,282,486,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,51,C01,10,79,176,5,2,8,0,2,1,0,0,2,0,285,14,299,486,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,52,B,70,109,58,84,30,4,4,4,3,0,0,6,0,372,11,383,511,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,52,C01,71,123,61,62,25,5,1,13,2,0,1,7,0,371,15,386,511,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,53,B,46,227,78,102,6,1,2,22,3,0,1,7,0,495,17,512,732,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,54,B,42,105,43,53,7,0,0,11,4,0,0,4,0,269,7,276,381,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,54,C01,32,99,61,45,7,0,0,10,1,0,0,1,0,256,8,264,380,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,55,B,59,137,69,118,62,1,3,20,8,0,2,6,0,485,0,485,660,RECUENTO,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,55,C01,64,108,65,140,60,3,3,27,3,0,4,4,0,481,11,492,660,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,55,C02,72,122,71,105,72,0,1,12,11,0,2,4,0,472,9,481,659,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,56,B,10,151,92,123,42,1,1,3,8,0,3,9,0,443,8,451,589,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,56,C01,18,114,106,118,53,2,2,3,8,0,1,7,0,432,16,448,588,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,57,B,31,209,70,116,21,3,1,9,0,0,0,3,0,463,11,474,631,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,57,C01,45,195,100,81,15,2,3,7,4,0,0,7,0,459,15,474,631,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,57,C02,35,192,78,4,19,3,3,18,0,0,1,3,0,356,18,374,631,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,58,B,58,70,54,11,4,3,3,7,2,0,0,1,0,213,6,219,513,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,58,C01,45,71,60,17,1,9,3,13,1,0,0,1,0,221,1,222,513,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,59,B,58,76,72,3,17,12,0,6,3,0,0,0,0,247,14,261,502,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,59,C01,40,55,73,11,5,8,2,8,4,0,1,3,0,210,6,216,502,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,59,C02,67,54,66,17,1,3,0,4,2,0,0,0,0,214,0,214,502,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,60,B,56,64,51,21,6,2,2,11,1,0,9,0,2,223,8,233,574,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,60,C01,43,70,80,34,4,3,2,5,0,0,0,0,0,241,5,246,574,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,60,C02,48,64,60,34,6,5,1,8,2,0,4,4,0,236,10,246,573,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,61,B,62,64,55,26,3,3,0,11,2,0,1,2,0,229,9,238,678,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,61,C01,55,84,58,31,2,5,5,7,1,0,4,5,0,257,13,270,678,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,62,B,74,71,64,27,2,8,2,10,3,0,2,2,1,265,13,279,735,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,62,C01,72,77,70,23,9,8,8,7,4,0,1,0,0,279,16,295,735,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,63,B,51,88,58,25,2,15,5,12,1,0,2,7,2,266,15,283,681,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,63,C01,45,78,57,37,2,11,1,7,2,0,3,5,0,248,6,254,681,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,63,C02,66,71,60,26,2,14,3,14,3,0,5,2,0,266,9,275,680,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,64,B,38,69,72,10,2,8,3,11,1,0,1,3,1,218,13,232,509,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,64,C01,57,76,70,16,2,10,0,15,2,0,2,1,0,251,5,256,508,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,64,C02,60,56,60,19,3,7,1,3,3,0,2,1,2,215,11,228,508,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,65,B,62,41,55,24,5,5,4,13,1,0,0,1,0,211,8,219,504,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,65,C01,62,40,66,11,2,8,1,14,2,0,0,2,1,208,7,216,504,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,65,C02,55,46,55,21,6,7,3,12,5,0,3,0,0,213,3,216,503,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,66,B,66,49,71,23,2,4,3,11,4,0,1,0,0,234,16,250,539,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,66,C01,56,42,73,19,3,4,1,16,1,0,3,0,0,218,5,223,538,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,66,C02,70,44,83,17,0,4,1,13,2,0,0,2,0,236,15,251,538,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,67,B,65,59,37,16,2,5,3,7,1,0,0,1,1,196,6,203,432,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,67,C01,66,47,33,25,2,2,1,12,2,0,0,0,0,190,12,202,431,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,68,B,77,45,59,22,0,5,5,17,5,0,3,6,1,244,16,261,511,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,68,C01,90,44,50,17,3,6,1,13,4,0,0,1,0,229,10,239,510,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,68,C02,85,51,51,11,3,14,2,24,4,0,3,1,0,249,11,260,510,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,69,B,123,60,89,13,8,15,10,18,4,0,4,1,1,345,14,360,604,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,69,C01,130,78,103,20,0,11,3,33,2,0,1,0,0,381,8,389,603,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,70,B,54,49,51,18,3,3,3,9,3,0,0,0,0,193,7,200,489,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,70,C01,58,46,34,21,0,5,4,3,0,0,3,0,0,174,6,180,488,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,71,B,74,81,76,18,5,6,2,18,2,0,3,3,0,288,16,304,658,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,71,C01,75,88,63,28,6,10,1,18,0,0,0,2,1,291,5,297,657,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,72,B,56,76,56,25,4,8,4,9,2,0,2,0,3,242,13,258,486,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,72,C01,48,39,51,16,10,11,4,17,4,0,0,0,1,200,13,214,485,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,73,B,44,67,103,16,7,11,3,8,2,0,1,2,0,264,17,281,633,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,73,C01,65,72,125,21,3,7,5,5,3,0,0,3,4,309,10,323,632,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,73,C02,43,77,106,27,6,13,8,8,3,0,0,0,0,291,14,305,632,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,74,B,67,112,90,24,2,10,3,8,0,0,0,2,0,318,6,324,632,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,74,C01,96,105,73,15,5,15,3,9,3,0,0,0,1,324,11,336,632,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,75,B,80,60,73,20,2,7,2,19,2,0,2,1,0,268,9,277,507,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,75,C01,96,60,68,15,2,9,1,11,4,0,0,0,1,266,7,274,506,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,76,B,74,62,59,15,1,2,5,2,1,0,2,0,0,223,11,234,512,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,76,C01,87,66,53,14,4,4,3,11,1,0,1,1,0,245,7,252,511,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,77,B,101,67,80,15,5,8,5,11,4,0,0,4,0,300,8,308,571,RECUENTO,,,
