ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI_PVEM_PT_NVA_ALIANZA,PRD,MC,MORENA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,29,GUADALUPE Y CALVO,31,57,1976,9550,86,125,172,113,8,12022,685,12715,29607,0.4295
8,CHIHUAHUA,30,GUAZAPARES,14,18,1611,1496,20,551,85,16,1,3779,254,4034,6758,0.5969
8,CHIHUAHUA,31,GUERRERO,68,82,5620,6813,525,69,180,1239,11,14446,562,15019,30026,0.5002
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,86,157,14102,16959,204,568,608,13923,102,46364,1345,47811,83776,0.5707
8,CHIHUAHUA,33,HUEJOTITAN,2,2,599,434,4,2,1,47,0,1087,15,1102,1402,0.786
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,14,16,1547,793,31,463,135,223,4,3192,171,3367,6097,0.5522
8,CHIHUAHUA,35,JANOS,12,18,774,1315,15,1210,5,187,0,3506,86,3592,7325,0.4904
8,CHIHUAHUA,36,JIMENEZ,36,58,4863,6414,963,743,867,2386,3,16236,485,16724,29522,0.5665
8,CHIHUAHUA,37,JUAREZ,1174,1935,132511,128363,5280,16652,16447,98479,2997,397732,17321,418050,1023228,0.4086
8,CHIHUAHUA,38,JULIMES,6,9,1322,1122,68,1,32,276,2,2821,58,2881,4656,0.6188
8,CHIHUAHUA,39,LOPEZ,6,8,848,951,50,7,107,371,1,2334,94,2429,3484,0.6972
8,CHIHUAHUA,40,MADERA,47,59,6616,3870,349,81,35,1257,24,12208,351,12583,22370,0.5625
8,CHIHUAHUA,41,MAGUARICHI,5,5,136,597,1,5,5,10,0,754,23,777,1414,0.5495
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,354,891,29,1,4,29,2,1308,55,1365,1927,0.7084
8,CHIHUAHUA,43,MATACHI,7,8,766,505,7,154,9,137,2,1578,76,1656,2636,0.6282
8,CHIHUAHUA,44,MATAMOROS,8,10,1290,870,6,123,17,168,0,2474,72,2546,3959,0.6431
8,CHIHUAHUA,45,MEOQUI,35,64,6047,4511,768,1049,428,2739,124,15542,561,16227,33726,0.4811
8,CHIHUAHUA,46,MORELOS,8,11,1011,1784,731,4,5,82,0,3617,207,3824,5331,0.7173
8,CHIHUAHUA,47,MORIS,8,11,1089,1136,7,192,1,12,1,2437,88,2526,4012,0.6296
8,CHIHUAHUA,48,NAMIQUIPA,44,51,4402,2735,493,31,111,383,2,8155,346,8503,18913,0.4496
8,CHIHUAHUA,49,NONOAVA,5,7,1110,909,3,5,1,22,0,2050,16,2066,2547,0.8112
8,CHIHUAHUA,50,NVO. CASAS GRANDES,64,90,7039,7692,2403,328,512,4103,14,22077,670,22761,47026,0.484
8,CHIHUAHUA,51,OCAMPO,14,16,1345,1710,135,138,25,263,0,3616,197,3813,5813,0.6559
8,CHIHUAHUA,52,OJINAGA,26,42,5257,4788,55,48,87,926,3,11161,580,11744,21390,0.549
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,12,906,1189,365,100,45,241,7,2846,132,2985,6141,0.4861
8,CHIHUAHUA,54,RIVA PALACIO,8,15,1430,1097,20,2,7,69,1,2625,63,2689,7330,0.3668
8,CHIHUAHUA,55,ROSALES,16,26,2742,2905,325,64,117,1036,3,7189,222,7414,13135,0.5644
8,CHIHUAHUA,56,ROSARIO,4,4,798,734,3,0,0,50,0,1585,5,1590,2007,0.7922
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,859,675,0,20,3,54,0,1611,31,1642,2358,0.6964
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,811,593,241,32,21,102,0,1800,30,1830,2590,0.7066
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,634,1368,437,46,12,369,1,2866,81,2948,4295,0.6864
8,CHIHUAHUA,60,SANTA BARBARA,20,22,1716,1574,474,601,98,1034,7,5497,166,5670,8584,0.6605
8,CHIHUAHUA,61,SATEVO,13,13,1549,1155,3,1,4,85,2,2797,63,2862,4088,0.7001
8,CHIHUAHUA,62,SAUCILLO,32,45,4783,4349,1207,59,162,1851,3,12411,303,12717,24234,0.5248
8,CHIHUAHUA,63,TEMOSACHIC,13,16,1535,1161,17,23,26,181,0,2943,107,3050,5315,0.5738
8,CHIHUAHUA,64,EL TULE,6,6,835,762,0,2,0,50,0,1649,20,1669,2210,0.7552
8,CHIHUAHUA,65,URIQUE,16,28,3151,3497,132,30,7,96,0,6913,450,7363,13291,0.554
8,CHIHUAHUA,66,URUACHI,11,15,1238,1483,303,7,2,10,0,3043,156,3199,5462,0.5857
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,13,15,871,1381,300,21,4,128,1,2705,99,2805,4346,0.6454
