ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,826,676,4,4,4,0,11,4,35,0,1564,16,1580,2150,0.7349
8,CHIHUAHUA,16,LA CRUZ,5,7,778,811,87,14,6,58,68,24,292,0,2138,47,2185,3330,0.6562
8,CHIHUAHUA,17,CUAUHTEMOC,111,225,25896,11994,791,659,442,1421,928,980,7989,60,51100,1578,52738,121142,0.4353
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,1086,933,79,116,169,125,43,7,185,1,2743,126,2870,5164,0.5558
8,CHIHUAHUA,19,CHIHUAHUA,647,1205,179658,62173,2514,2871,2403,3949,4616,5487,74508,469,338179,6338,344986,651314,0.5297
8,CHIHUAHUA,20,CHINIPAS,8,15,831,2260,4,6,10,5,14,3,17,2,3150,113,3265,5146,0.6345
8,CHIHUAHUA,21,DELICIAS,109,195,19596,12655,4262,454,676,578,1014,1415,11894,71,52544,1132,53747,108796,0.494
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,1024,656,9,10,6,12,42,17,47,1,1823,40,1864,3116,0.5982
8,CHIHUAHUA,23,GALEANA,3,8,497,1130,41,24,20,10,27,415,218,0,2382,89,2471,3999,0.6179
8,CHIHUAHUA,24,SANTA ISABEL,7,9,1518,791,16,11,7,5,20,24,150,2,2542,57,2601,4035,0.6446
8,CHIHUAHUA,25,GOMEZ FARIAS,15,16,1238,1552,55,25,83,14,34,95,275,3,3371,182,3556,7285,0.4881
8,CHIHUAHUA,26,GRAN MORELOS,13,13,885,847,21,9,9,9,5,4,83,2,1872,61,1935,3243,0.5967
8,CHIHUAHUA,27,GUACHOCHI,43,67,5216,6874,293,360,270,311,638,146,1553,59,15661,1820,17540,33832,0.5184
8,CHIHUAHUA,28,GUADALUPE,8,12,759,1081,48,30,20,22,56,188,112,1,2316,80,2397,5296,0.4526
8,CHIHUAHUA,29,GUADALUPE Y CALVO,31,57,1976,8077,86,324,164,125,985,172,113,8,12022,685,12715,29607,0.4295
8,CHIHUAHUA,30,GUAZAPARES,14,18,1611,1406,20,38,25,551,27,85,16,1,3779,254,4034,6758,0.5969
8,CHIHUAHUA,31,GUERRERO,68,82,5620,6017,525,202,86,69,508,180,1239,11,14446,562,15019,30026,0.5002
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,86,157,14102,15672,204,391,253,568,643,608,13923,102,46364,1345,47811,83776,0.5707
8,CHIHUAHUA,33,HUEJOTITAN,2,2,599,429,4,1,0,2,4,1,47,0,1087,15,1102,1402,0.786
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,14,16,1547,713,31,26,23,463,31,135,223,4,3192,171,3367,6097,0.5522
8,CHIHUAHUA,35,JANOS,12,18,774,1250,15,18,19,1210,28,5,187,0,3506,86,3592,7325,0.4904
8,CHIHUAHUA,36,JIMENEZ,36,58,4863,4972,963,167,967,743,308,867,2386,3,16236,485,16724,29522,0.5665
8,CHIHUAHUA,37,JUAREZ,1174,1935,132511,105424,5280,7996,4585,16652,10358,16447,98479,2997,397732,17321,418050,1023228,0.4086
8,CHIHUAHUA,38,JULIMES,6,9,1322,1019,68,20,6,1,77,32,276,2,2821,58,2881,4656,0.6188
8,CHIHUAHUA,39,LOPEZ,6,8,848,690,50,21,216,7,24,107,371,1,2334,94,2429,3484,0.6972
8,CHIHUAHUA,40,MADERA,47,59,6616,3528,349,102,72,81,168,35,1257,24,12208,351,12583,22370,0.5625
8,CHIHUAHUA,41,MAGUARICHI,5,5,136,570,1,11,1,5,15,5,10,0,754,23,777,1414,0.5495
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,354,634,29,32,219,1,6,4,29,2,1308,55,1365,1927,0.7084
8,CHIHUAHUA,43,MATACHI,7,8,766,449,7,9,7,154,40,9,137,2,1578,76,1656,2636,0.6282
8,CHIHUAHUA,44,MATAMOROS,8,10,1290,777,6,19,45,123,29,17,168,0,2474,72,2546,3959,0.6431
8,CHIHUAHUA,45,MEOQUI,35,64,6047,3603,768,137,135,1049,636,428,2739,124,15542,561,16227,33726,0.4811
8,CHIHUAHUA,46,MORELOS,8,11,1011,1669,731,46,31,4,38,5,82,0,3617,207,3824,5331,0.7173
8,CHIHUAHUA,47,MORIS,8,11,1089,1102,7,21,3,192,10,1,12,1,2437,88,2526,4012,0.6296
8,CHIHUAHUA,48,NAMIQUIPA,44,51,4402,2480,493,124,21,31,110,111,383,2,8155,346,8503,18913,0.4496
8,CHIHUAHUA,49,NONOAVA,5,7,1110,867,3,14,6,5,22,1,22,0,2050,16,2066,2547,0.8112
8,CHIHUAHUA,50,NVO. CASAS GRANDES,64,90,7039,6091,2403,279,796,328,526,512,4103,14,22077,670,22761,47026,0.484
8,CHIHUAHUA,51,OCAMPO,14,16,1345,1172,135,497,14,138,27,25,263,0,3616,197,3813,5813,0.6559
8,CHIHUAHUA,52,OJINAGA,26,42,5257,4521,55,56,63,48,148,87,926,3,11161,580,11744,21390,0.549
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,12,906,1118,365,15,22,100,34,45,241,7,2846,132,2985,6141,0.4861
8,CHIHUAHUA,54,RIVA PALACIO,8,15,1430,1068,20,15,2,2,12,7,69,1,2625,63,2689,7330,0.3668
8,CHIHUAHUA,55,ROSALES,16,26,2742,2616,325,54,70,64,165,117,1036,3,7189,222,7414,13135,0.5644
8,CHIHUAHUA,56,ROSARIO,4,4,798,730,3,2,1,0,1,0,50,0,1585,5,1590,2007,0.7922
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,859,642,0,11,6,20,16,3,54,0,1611,31,1642,2358,0.6964
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,811,555,241,3,10,32,25,21,102,0,1800,30,1830,2590,0.7066
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,634,1254,437,27,21,46,66,12,369,1,2866,81,2948,4295,0.6864
8,CHIHUAHUA,60,SANTA BARBARA,20,22,1716,1367,474,35,78,601,94,98,1034,7,5497,166,5670,8584,0.6605
8,CHIHUAHUA,61,SATEVO,13,13,1549,1121,3,14,4,1,16,4,85,2,2797,63,2862,4088,0.7001
8,CHIHUAHUA,62,SAUCILLO,32,45,4783,3767,1207,84,88,59,410,162,1851,3,12411,303,12717,24234,0.5248
8,CHIHUAHUA,63,TEMOSACHIC,13,16,1535,1081,17,29,18,23,33,26,181,0,2943,107,3050,5315,0.5738
8,CHIHUAHUA,64,EL TULE,6,6,835,754,0,6,0,2,2,0,50,0,1649,20,1669,2210,0.7552
8,CHIHUAHUA,65,URIQUE,16,28,3151,3199,132,109,70,30,119,7,96,0,6913,450,7363,13291,0.554
8,CHIHUAHUA,66,URUACHI,11,15,1238,1365,303,55,16,7,47,2,10,0,3043,156,3199,5462,0.5857
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,13,15,871,1317,300,19,20,21,25,4,128,1,2705,99,2805,4346,0.6454
