SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
132,C1,21,26,9,6,7,46,65,40,3,5,26,1,2,0,6,0,7,1,1,0,2,2,4,0,0,8,288,587
133,B1,32,16,6,0,6,30,72,11,4,2,10,0,1,1,0,1,6,0,1,0,1,1,0,1,0,5,207,365
134,B1,14,39,11,2,7,47,64,17,2,5,18,3,0,0,5,0,13,0,2,0,1,5,2,1,0,7,265,519
134,C1,24,31,4,2,11,36,60,31,3,5,17,6,0,1,1,1,6,0,3,1,0,0,4,0,0,8,255,518
134,C2,23,31,5,1,8,40,70,30,2,6,25,5,0,0,2,0,5,0,2,0,1,6,1,0,0,0,263,518
135,B1,16,22,13,4,6,57,78,18,6,7,28,2,6,1,3,1,16,1,4,1,1,1,2,0,0,8,302,744
135,C1,21,24,12,8,10,37,57,26,10,5,22,3,4,0,2,0,20,2,4,0,1,1,1,0,0,16,286,744
135,C2,0,20,11,1,11,56,86,25,5,4,17,0,2,1,0,1,17,0,0,0,1,0,0,23,0,14,295,744
135,C3,16,27,8,4,8,48,66,26,5,11,28,2,2,0,1,2,14,0,2,1,0,1,7,1,0,10,290,743
135,C4,14,33,10,3,6,40,73,17,1,5,18,5,1,0,2,1,18,1,3,1,0,3,6,0,1,11,273,743
135,C5,16,27,15,2,6,68,74,24,2,3,38,7,2,0,0,0,17,0,3,1,0,0,3,1,0,7,316,743
136,B1,18,28,2,1,5,35,66,18,3,4,19,4,0,0,2,0,5,0,2,3,4,3,4,0,0,13,239,520
136,C1,17,16,1,2,5,25,80,31,2,5,19,2,3,0,1,1,7,0,2,0,2,1,1,0,0,6,229,519
137,B1,33,22,3,1,3,33,73,23,2,1,21,5,4,0,3,6,5,1,4,1,1,0,2,1,0,5,253,441
137,C1,27,32,5,2,8,30,66,19,1,8,9,6,1,0,1,0,6,0,2,0,1,0,0,0,0,5,229,441
138,B1,15,41,4,1,4,32,98,44,3,9,38,4,1,0,2,0,17,0,0,0,2,1,3,0,0,13,332,675
138,C1,25,48,2,2,5,39,85,37,8,8,27,0,1,0,0,1,14,0,2,0,1,2,5,0,0,0,312,675
139,B1,20,43,5,6,4,45,81,24,4,7,32,3,1,0,1,4,21,0,7,0,1,1,0,0,4,7,321,564
139,C1,33,34,2,1,5,58,61,34,3,9,23,2,2,0,2,3,8,1,1,0,4,3,2,2,0,7,300,564
140,B1,30,36,5,7,14,41,77,33,5,6,30,6,4,1,7,1,18,1,1,1,2,1,2,0,0,10,339,611
140,C1,34,37,10,9,14,60,65,26,11,8,44,2,1,0,3,1,12,2,1,2,2,1,0,1,1,11,358,610
141,B1,44,54,4,2,20,47,73,28,2,12,22,5,2,0,4,0,13,0,2,0,0,2,3,2,1,13,355,703
142,B1,29,23,1,0,8,45,64,28,1,8,58,7,1,0,3,0,12,0,2,0,6,1,3,0,0,10,310,587
142,C1,25,36,8,1,10,27,62,27,3,6,35,6,1,0,3,1,13,1,0,1,2,2,2,0,1,1,274,587
142,C2,24,38,1,0,8,26,72,26,4,4,38,10,0,0,7,1,10,2,0,0,0,0,1,1,0,13,286,586
143,B1,33,34,6,3,5,94,61,31,11,6,34,7,5,0,5,4,22,3,0,0,1,2,0,0,0,7,374,720
143,C1,0,68,7,1,3,90,68,24,12,2,28,0,1,0,3,0,24,2,2,3,0,1,2,33,1,15,390,720
144,B1,12,20,2,1,10,41,52,18,3,4,26,5,12,0,2,1,10,1,0,1,1,0,0,0,0,7,229,461
