SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_psd,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
197,C2,54,16,5,4,12,5,72,0,2,15,16,2,2,5,17,2,4,2,1,2,2,7,0,0,0,0,1,0,3,8,259,680
197,C3,57,26,24,4,26,5,65,1,1,25,11,1,4,2,34,4,5,6,1,0,2,4,0,0,0,0,0,1,1,11,321,680
197,C4,57,19,15,1,10,2,81,2,1,12,15,0,1,5,35,1,2,3,3,0,0,9,0,1,1,0,1,0,0,8,285,680
197,C5,62,16,15,3,23,2,61,1,1,35,6,0,4,11,22,5,0,0,1,4,3,10,1,0,1,0,0,0,1,9,297,680
197,C6,41,12,18,4,15,1,58,3,2,32,16,0,3,2,26,1,4,1,1,1,2,10,0,3,0,1,0,0,0,7,264,680
198,B1,54,10,13,1,10,2,53,1,1,31,11,3,0,7,42,2,1,3,0,0,3,7,2,1,0,2,0,0,0,4,264,636
198,C1,53,18,7,4,12,1,87,1,0,18,13,1,0,9,47,3,3,2,1,1,0,7,0,2,3,0,0,0,0,7,300,636
198,C2,52,17,16,0,13,8,65,1,0,19,10,3,1,5,30,1,2,1,0,2,0,5,1,3,0,0,1,0,3,6,265,635
198,C3,27,7,15,2,15,4,62,3,0,21,11,1,5,6,6,4,4,2,0,0,0,4,0,1,0,1,1,1,1,14,218,635
199,B1,38,8,9,2,11,6,86,4,3,23,17,0,2,10,29,3,2,4,1,4,2,13,1,0,2,2,0,0,1,12,295,637
199,C1,51,15,12,3,8,2,85,1,1,19,11,0,5,8,28,2,7,1,2,6,0,7,3,3,0,0,1,0,0,11,292,637
199,C2,53,19,15,4,10,3,76,2,4,7,23,3,4,1,19,2,4,0,1,6,6,5,0,1,1,1,1,0,0,10,281,637
199,C3,55,18,13,4,8,7,73,2,0,13,7,3,3,10,24,3,2,5,3,2,0,14,1,4,0,0,0,0,0,12,286,636
199,C4,57,11,10,2,18,0,67,2,0,20,12,3,2,9,26,4,3,2,3,0,3,15,2,1,1,0,1,2,3,15,294,636
200,B1,72,19,10,6,10,9,80,1,1,25,14,4,3,5,38,6,4,6,0,5,1,4,1,5,1,0,1,0,7,25,363,713
200,C1,77,16,12,3,6,2,58,0,5,27,10,1,5,7,25,5,5,9,1,1,0,7,5,1,2,0,1,1,0,14,306,713
200,C2,61,18,8,3,8,2,77,0,0,10,12,0,6,16,50,5,6,6,0,3,2,11,3,2,0,0,1,0,0,11,321,713
201,B1,54,16,16,3,6,4,37,1,1,25,13,3,3,13,21,2,3,0,4,1,1,5,0,2,1,0,2,0,0,6,243,513
201,C1,50,12,17,6,4,1,50,2,1,18,12,2,3,5,28,5,3,2,1,1,1,10,0,2,0,0,0,0,2,17,255,513
201,C2,51,16,12,5,3,3,57,1,0,31,14,3,2,5,36,7,7,0,2,1,0,6,0,1,0,0,0,1,0,5,269,512
202,B1,60,21,19,5,6,7,82,3,2,18,18,4,7,9,12,9,11,1,1,1,1,12,1,1,1,1,0,0,1,12,326,749
202,C1,80,41,16,3,7,8,73,3,1,31,14,2,4,4,20,4,12,2,1,1,2,6,1,4,1,0,0,0,1,12,354,748
202,C2,66,39,16,5,8,7,78,0,2,23,17,2,1,1,20,4,11,1,1,3,1,15,0,2,0,0,1,0,0,9,333,748
203,B1,37,12,11,2,6,4,76,3,6,25,18,2,7,6,21,6,6,4,0,0,1,7,3,0,0,0,0,0,0,14,277,597
203,C1,38,13,7,1,9,4,67,0,0,24,18,4,7,3,10,5,6,0,2,2,1,12,2,1,3,0,2,0,1,11,253,597
203,C2,50,10,10,2,8,3,86,2,0,17,14,2,12,10,10,0,13,1,2,2,17,2,0,1,1,1,1,2,0,18,297,596
204,B1,76,18,12,4,9,11,76,2,1,22,16,7,8,6,14,2,7,2,1,2,1,5,2,3,1,0,2,0,1,16,327,700
204,C1,107,25,11,3,12,5,90,3,0,22,12,6,9,7,9,2,9,2,0,8,4,11,1,2,3,0,1,0,0,16,380,699
204,C2,63,24,9,4,3,3,106,3,1,19,19,7,11,8,7,1,4,2,0,2,3,10,3,1,0,0,2,0,0,18,333,699
205,B1,80,21,11,1,15,6,79,2,1,22,8,1,2,2,11,9,13,1,2,2,0,10,1,4,0,0,3,0,2,9,318,686
205,C1,80,36,11,6,10,8,62,4,0,24,12,1,4,5,17,3,12,2,0,2,4,12,7,2,1,0,0,0,0,13,338,686
205,C2,74,31,8,7,6,3,54,2,2,14,12,2,1,2,10,2,8,4,0,0,1,6,7,3,1,0,2,1,1,14,278,685
205,C3,70,29,16,2,15,5,60,0,0,21,7,3,3,2,14,5,8,4,2,2,3,10,1,1,1,1,1,1,1,8,296,685
206,B1,47,23,15,2,10,2,52,3,0,15,5,2,2,6,23,0,9,2,2,0,0,11,4,3,0,0,0,0,0,13,251,579
206,C1,53,20,7,5,7,3,57,3,0,15,15,4,3,4,16,1,4,2,2,1,1,8,13,0,1,2,0,1,0,11,259,579
206,C2,65,30,21,8,4,2,58,0,1,16,11,0,3,10,24,4,7,1,3,0,0,9,3,2,1,0,2,0,1,5,291,579
207,B1,74,32,6,10,9,2,59,3,0,20,9,4,1,5,10,3,3,2,3,1,0,14,4,0,2,0,0,1,2,15,294,662
207,C1,81,25,13,8,4,0,53,1,3,30,8,0,1,2,14,0,5,7,2,0,0,25,7,2,0,0,2,0,1,13,307,662
207,C2,93,24,6,9,6,3,50,3,0,22,12,0,3,4,13,0,4,8,1,1,0,17,6,0,1,0,0,0,2,11,299,662
207,C3,91,22,14,3,10,1,39,2,1,28,8,0,3,6,9,1,12,0,1,2,3,12,0,0,0,0,4,0,0,14,286,662
208,B1,87,17,10,2,12,12,62,4,2,17,9,2,4,5,29,4,11,2,1,1,0,20,1,3,3,0,0,0,3,9,332,671
208,C1,79,23,7,4,13,12,51,3,1,22,4,4,4,10,25,5,2,0,0,7,0,20,4,1,0,0,4,0,0,15,320,670
208,C2,73,14,9,3,4,4,79,2,0,33,8,8,3,6,19,1,9,2,1,1,0,22,3,1,1,0,0,0,1,12,319,670
208,C3,89,15,7,4,7,5,64,1,3,22,9,1,6,2,18,7,7,1,3,0,1,20,4,2,2,1,2,0,1,11,315,670
210,B1,209,21,11,1,6,6,64,2,0,43,5,3,3,5,9,2,4,0,1,0,0,13,2,3,1,0,0,0,0,16,430,665
210,C1,189,18,13,1,11,4,57,0,0,31,7,3,0,7,10,4,5,0,1,1,0,9,1,4,1,0,0,0,1,11,389,665
211,B1,146,20,8,3,4,3,57,0,0,26,14,9,3,2,12,0,1,0,0,2,0,3,0,1,0,1,1,0,0,9,325,576
211,C1,154,22,6,2,4,2,48,1,1,20,8,2,0,5,7,1,2,1,0,2,0,8,1,1,1,0,0,0,0,8,307,575
212,B1,57,15,10,4,5,7,49,0,0,15,8,1,5,3,14,6,1,1,0,1,0,8,3,2,1,0,0,0,0,9,225,524
212,C1,54,20,2,1,9,6,46,0,0,26,10,0,6,3,12,2,9,1,0,4,0,5,5,1,0,0,0,0,0,8,230,524
212,C2,53,33,7,6,6,2,49,4,1,11,7,1,4,1,14,3,5,7,0,2,1,6,2,0,0,0,0,1,0,10,236,523
213,B1,36,18,9,3,5,3,73,1,0,19,5,4,3,3,4,6,0,3,2,10,2,16,2,1,5,0,0,0,0,17,250,608
213,C1,32,18,14,3,8,3,58,0,4,21,10,5,10,10,21,3,6,1,0,0,2,11,0,2,2,0,1,1,2,9,257,608
213,C2,39,17,15,0,1,6,69,0,3,12,10,6,7,8,13,1,9,9,1,1,0,10,1,0,1,0,0,0,0,15,254,608
214,B1,88,29,11,5,7,3,72,0,1,13,11,6,2,13,16,1,2,2,0,1,0,12,2,0,1,0,0,1,0,9,308,658
214,C1,64,38,10,6,7,5,87,2,1,26,14,7,6,7,13,2,8,1,3,3,1,10,2,0,1,0,0,0,0,9,333,658
214,C2,62,36,10,5,11,5,79,0,0,18,9,4,4,13,21,1,2,4,2,3,0,9,0,1,0,0,1,0,1,12,313,657
215,B1,44,8,11,8,10,6,46,2,2,26,10,0,6,2,8,3,1,2,0,0,7,9,2,0,1,0,1,0,0,9,224,502
215,C1,48,12,9,7,8,2,44,1,0,22,6,1,5,3,19,0,4,1,0,0,9,5,1,3,3,0,1,0,0,12,226,501
215,C2,37,11,15,8,12,3,49,4,1,21,8,0,7,4,9,3,2,4,0,0,5,5,0,3,0,0,1,0,0,0,212,501
215,S1,19,7,1,3,2,1,10,0,0,6,1,0,0,0,7,0,2,0,2,0,1,1,0,0,2,0,0,0,0,1,66,0
216,B1,127,33,14,1,10,2,39,2,2,37,13,8,4,10,9,3,2,0,1,0,3,10,0,0,1,0,1,0,0,11,343,561
216,C1,121,18,11,3,4,2,48,3,1,31,12,4,1,3,10,4,5,1,1,3,1,2,0,0,0,0,0,0,0,7,296,560
216,C2,120,19,7,0,9,5,39,4,0,26,11,2,1,6,19,0,2,4,1,3,0,7,0,3,0,0,0,0,0,8,296,560
217,B1,102,28,11,2,14,1,34,0,2,24,10,1,3,1,9,0,2,0,1,0,1,8,3,1,0,0,0,0,0,8,266,445
217,C1,121,26,10,1,4,0,21,1,1,23,7,1,4,2,14,1,5,0,0,1,1,4,3,3,1,0,0,0,1,9,265,445
218,B1,97,14,2,2,11,5,38,0,0,24,10,0,2,2,9,1,2,1,1,0,1,8,0,0,0,0,0,1,0,5,236,416
218,C1,86,30,7,4,7,6,35,2,0,21,0,3,0,6,17,1,5,1,4,2,0,3,0,0,0,0,0,0,0,9,249,415
219,B1,108,11,10,5,9,4,52,4,0,24,11,1,1,3,17,4,1,0,8,0,2,12,0,1,0,0,1,0,0,14,303,622
219,C1,90,10,7,2,2,7,76,0,0,23,14,0,2,6,12,2,3,2,4,0,2,10,0,4,2,1,0,0,1,6,288,621
219,C2,115,19,6,3,10,5,55,0,2,23,7,4,4,9,9,3,4,0,6,0,2,19,2,0,1,0,0,0,2,9,319,621
220,B1,167,21,2,0,4,3,32,1,0,35,19,2,3,8,8,3,4,2,0,3,0,3,1,2,0,0,0,0,0,1,324,557
220,C1,151,14,8,1,4,6,44,3,0,23,22,3,1,2,6,3,7,0,1,2,1,4,1,1,1,0,2,0,0,6,317,557
220,C2,173,21,7,4,5,2,26,0,0,22,16,2,1,1,10,5,2,3,0,4,1,4,0,3,0,0,0,0,0,6,318,556
220,E1,54,13,7,2,13,4,64,1,5,26,10,1,3,8,26,15,1,3,1,2,1,9,2,4,1,0,1,0,0,20,297,680
220,E1 C1,58,19,7,4,10,9,71,0,0,26,12,5,4,9,24,8,2,2,5,5,0,7,1,3,0,0,0,0,0,12,303,680
220,E1 C2,42,15,9,3,9,6,71,3,2,17,11,1,3,10,27,15,3,2,1,1,1,5,1,0,2,0,0,0,1,9,270,680
220,E1 C3,41,8,4,2,16,2,63,1,0,13,16,0,4,13,15,17,3,2,6,3,3,11,0,2,2,0,1,1,0,8,257,680
220,E1 C4,45,17,10,1,15,7,44,1,2,22,6,2,7,12,23,12,7,4,6,0,1,12,1,4,0,0,0,0,0,16,277,680
220,E1 C5,48,15,8,1,15,2,62,3,1,28,16,1,5,7,16,10,3,3,6,3,1,8,1,2,0,0,1,0,0,14,280,680
220,E1 C6,50,23,5,3,12,3,56,2,1,33,17,5,2,8,18,7,4,3,5,3,0,10,2,3,0,0,2,1,0,19,297,679
221,B1,42,21,6,2,8,2,70,1,0,10,6,1,4,6,23,16,2,5,1,0,1,3,0,1,2,0,3,0,0,20,256,563
221,C1,46,17,10,1,7,2,58,2,2,8,9,0,6,2,15,13,0,4,0,0,0,3,1,2,0,0,0,0,0,13,221,563
221,C2,42,16,7,3,9,3,53,2,1,15,17,4,2,4,15,23,1,1,2,1,0,4,1,2,2,1,0,0,0,8,239,563
222,B1,47,19,9,3,11,9,62,2,1,22,10,0,2,10,17,19,3,10,1,1,0,10,1,0,1,0,1,1,0,11,283,647
222,C1,43,11,7,5,22,6,64,1,3,15,9,0,5,4,34,14,3,10,0,5,1,3,1,1,0,0,1,0,0,9,277,646
222,C2,42,16,5,3,12,3,82,2,2,11,14,0,4,3,24,23,6,11,1,0,0,9,0,1,0,0,0,0,0,6,280,646
222,E1,34,12,12,5,13,4,70,3,0,18,14,2,3,8,24,3,2,13,1,3,0,5,0,0,0,0,0,0,0,23,272,692
222,E1 C1,25,12,13,4,8,6,68,0,3,24,9,0,4,2,40,5,2,17,0,0,0,4,1,1,4,0,2,0,0,16,270,692
222,E1 C2,31,4,12,3,9,3,54,4,0,22,13,2,5,5,40,6,9,14,1,1,1,0,1,1,0,0,0,0,0,12,253,691
222,E1 C3,33,9,12,4,6,3,56,1,2,21,15,6,11,8,23,6,2,12,1,1,5,9,1,3,1,0,1,0,1,21,274,691
222,E1 C4,28,15,7,13,12,3,63,3,5,13,7,4,22,9,6,2,3,6,1,3,1,3,0,1,0,0,0,0,0,19,249,691
222,E1 C5,31,20,9,0,8,2,58,1,1,15,9,1,2,2,46,10,2,7,1,4,0,5,1,2,0,0,1,1,0,21,260,691
222,E1 C6,29,16,20,3,11,2,62,5,3,12,8,2,7,4,33,10,5,11,0,1,2,3,1,3,2,1,0,0,1,12,269,691
222,E1 C7,25,8,16,2,12,2,62,2,5,27,11,1,6,2,29,7,1,13,4,1,0,5,1,4,0,3,0,0,0,13,262,691
223,B1,39,24,8,0,16,1,44,4,2,8,12,1,7,3,34,11,6,7,2,1,2,4,1,1,0,0,0,0,0,22,260,560
223,C1,27,22,6,2,14,2,48,2,1,13,15,4,6,5,40,10,5,14,4,1,2,7,0,2,0,0,0,0,0,11,263,560
224,B1,37,16,5,1,8,2,61,2,0,15,10,1,2,3,77,12,5,10,1,1,1,12,1,1,1,0,4,0,0,12,301,724
224,C1,47,16,5,3,8,6,71,0,4,6,12,1,4,3,61,15,4,3,1,1,2,10,1,0,3,0,2,0,0,19,308,724
225,B1,31,18,6,3,19,4,53,5,1,14,14,1,4,5,46,11,2,10,0,1,1,11,1,3,1,0,0,0,1,6,272,575
225,C1,45,20,5,6,14,5,58,1,3,23,26,0,0,5,29,9,0,6,0,0,0,13,1,0,0,0,0,0,0,13,282,575
226,B1,36,14,8,0,12,2,71,1,1,12,16,0,2,13,30,14,3,8,3,1,2,6,1,1,0,0,0,0,0,9,266,572
226,C1,32,17,12,0,8,3,83,1,2,18,15,0,4,5,27,12,2,6,0,0,0,5,0,0,4,0,0,0,0,11,267,572
227,B1,43,32,4,5,9,2,61,0,0,27,26,1,1,6,31,16,3,11,0,1,1,7,0,3,1,0,0,0,1,15,307,678
227,C1,59,29,11,1,6,5,73,4,2,21,13,1,3,2,19,18,5,7,2,2,0,5,2,0,2,0,0,0,1,10,303,678
227,C2,47,21,10,2,8,3,72,1,0,14,11,5,3,12,28,13,7,10,2,3,1,9,0,3,1,0,0,1,1,13,301,677
228,B1,164,12,7,1,15,6,25,1,0,18,6,0,0,4,4,5,1,1,2,0,3,4,0,0,0,0,0,0,0,6,285,445
228,C1,159,17,5,1,3,1,31,0,1,21,6,0,3,2,13,1,7,3,0,0,1,6,1,2,0,0,2,0,0,7,293,444
229,B1,90,21,9,0,14,3,34,0,0,23,12,2,6,2,14,8,3,2,16,1,1,15,1,0,0,0,1,0,1,12,291,456
229,C1,96,12,4,3,11,4,36,2,2,19,10,1,2,9,17,2,4,2,17,0,1,9,2,2,0,0,0,0,1,6,274,456
230,B1,139,13,14,3,6,6,56,1,1,12,8,0,3,6,19,1,3,0,4,0,0,15,0,6,3,2,0,0,0,15,336,582
230,C1,135,24,10,5,6,5,48,2,1,30,7,6,2,3,8,2,1,2,1,3,0,15,1,3,0,0,0,0,0,5,325,581
230,C2,140,26,12,3,6,5,47,0,0,20,12,1,3,10,12,3,6,2,1,2,2,7,0,1,1,0,0,0,0,8,330,581
231,B1,61,17,14,0,19,4,47,0,1,33,8,2,9,12,0,2,4,0,0,1,0,4,1,0,0,0,1,1,1,13,255,444
231,C1,64,17,14,0,19,4,47,0,1,29,8,2,5,8,12,0,2,5,0,1,0,5,1,0,1,0,1,1,1,13,261,443
232,B1,97,22,12,12,8,3,58,1,1,32,4,1,7,8,19,8,1,1,1,0,3,5,1,2,2,0,0,0,0,16,325,573
232,C1,84,25,19,4,8,2,74,0,0,34,3,4,6,11,13,6,3,1,0,0,1,9,0,4,0,0,0,0,0,10,321,573
232,C2,86,18,28,2,11,5,55,0,3,41,13,2,8,5,15,2,1,0,2,1,1,10,2,0,0,1,2,1,0,12,327,572
233,B1,82,30,10,5,8,4,45,2,0,16,17,1,0,6,7,1,6,3,0,0,4,6,0,0,0,0,1,0,0,10,264,480
233,C1,98,28,15,4,6,4,38,1,1,30,17,2,2,3,10,2,2,2,0,0,3,3,0,0,0,0,0,0,0,15,286,480
234,B1,173,31,4,1,3,2,43,1,3,30,15,2,0,2,16,3,1,1,1,0,0,6,1,0,0,0,0,0,0,6,345,533
234,C1,123,19,11,1,11,5,48,1,1,35,15,2,4,3,10,2,2,0,0,0,0,5,4,1,1,0,1,0,1,5,311,533
235,B1,22,5,4,2,4,2,9,0,1,8,0,0,0,1,6,2,0,1,0,0,1,1,0,0,0,0,0,0,0,3,72,316
236,B1,127,26,8,4,7,0,41,1,1,40,14,3,3,5,9,3,2,2,1,1,4,11,3,1,1,0,0,0,0,9,327,571
237,B1,114,26,8,2,6,2,45,0,0,21,5,3,1,1,10,0,3,1,0,0,1,7,1,1,0,1,0,0,1,10,270,494
237,C1,124,23,11,5,1,3,42,0,4,22,11,3,1,1,0,3,5,1,0,0,8,5,0,1,0,0,0,0,0,4,278,494
238,B1,133,18,3,0,2,0,32,1,1,15,13,0,2,4,2,0,5,1,0,0,0,1,2,1,0,0,0,0,0,3,239,384
238,C1,133,25,4,0,2,1,35,0,0,14,6,1,0,5,3,1,2,0,0,1,0,1,1,2,0,0,0,0,0,7,244,384
239,B1,93,25,24,3,20,7,49,2,2,38,16,1,3,5,13,3,10,4,0,0,3,14,1,2,0,1,1,0,0,14,354,717
239,C1,89,22,30,2,12,6,86,2,0,27,19,0,3,5,19,7,5,1,1,1,2,15,4,3,2,1,1,0,0,15,380,717
239,C2,109,21,29,3,10,10,62,3,0,34,12,1,1,7,14,2,9,1,0,1,0,14,1,0,0,0,0,0,0,13,357,716
239,C3,100,24,37,5,14,5,66,0,1,20,18,2,2,3,8,7,7,2,3,0,1,13,1,0,0,0,0,0,0,9,348,716
239,C4,108,28,23,0,9,5,64,1,1,30,28,1,2,5,14,5,5,2,1,2,1,10,8,0,0,0,0,0,0,21,374,716
239,E1,170,28,6,1,9,6,54,3,1,32,16,2,5,1,12,3,6,2,1,5,0,22,2,0,0,0,0,0,1,13,401,736
239,E1 C1,178,37,14,1,15,5,64,2,0,37,12,3,1,5,12,1,6,0,0,0,0,9,3,0,1,0,0,0,3,12,421,736
239,E1 C2,165,30,8,1,7,4,58,0,2,32,17,1,2,0,14,5,8,1,0,5,0,16,1,4,0,0,0,1,0,15,397,736
239,E1 C3,157,34,8,4,12,6,63,0,0,37,14,2,3,7,11,5,4,1,0,1,0,14,2,6,2,0,2,0,1,18,414,735
239,E1 C4,147,30,12,2,11,6,75,1,0,40,10,0,1,7,4,0,4,0,0,3,2,12,5,1,0,1,0,0,0,8,382,735
239,E1 C5,149,38,12,2,12,10,51,4,1,38,19,3,7,6,12,2,8,2,0,5,1,8,3,0,1,0,1,0,1,4,400,735
239,E1 C6,167,39,11,5,15,10,50,1,0,26,14,0,1,6,14,3,3,0,1,3,1,8,1,4,1,1,0,0,1,15,401,735
240,B1,169,34,13,6,8,2,61,1,2,38,7,2,1,2,9,2,3,1,0,1,0,16,3,0,0,0,0,0,1,7,389,684
240,C1,201,23,12,2,12,8,57,0,1,32,10,5,1,3,10,5,1,0,0,1,0,15,2,0,0,0,0,0,1,16,418,684
240,C2,179,38,18,0,14,2,58,1,0,30,12,1,1,4,7,2,4,1,0,0,0,10,2,3,4,0,0,0,3,9,403,683
241,B1,51,15,26,2,21,4,52,1,4,19,10,5,4,6,12,7,4,1,0,1,2,7,1,2,1,0,1,1,0,15,275,549
241,C1,53,12,34,4,29,5,56,0,0,16,11,1,3,4,11,4,1,1,1,0,3,6,3,1,0,0,1,0,0,8,268,549
241,C2,45,10,25,1,31,1,53,1,1,19,11,3,2,8,6,6,4,0,1,2,2,9,3,0,0,0,0,0,0,19,263,549
242,B1,125,27,18,4,10,5,51,2,1,25,7,1,6,7,8,4,7,2,2,2,0,9,3,1,2,2,0,0,0,18,349,693
242,C1,130,43,7,5,9,7,51,2,2,35,13,1,4,3,9,2,4,4,1,2,1,12,1,0,1,2,0,0,0,22,373,693
243,B1,104,13,15,0,17,2,34,1,0,14,13,3,4,2,18,1,1,1,2,2,6,0,0,1,0,0,0,0,0,7,261,482
243,C1,104,17,11,3,19,0,53,3,3,26,6,5,0,5,11,2,1,0,0,0,0,8,0,0,0,0,0,0,1,4,282,482
244,B1,150,22,8,2,7,3,60,2,3,29,14,3,1,17,3,4,5,2,0,0,0,8,5,0,2,0,0,0,2,4,356,570
244,C1,139,22,14,2,8,3,50,3,4,26,18,7,3,9,5,2,1,4,0,1,0,10,0,4,0,0,2,0,0,6,343,569
245,B1,117,14,9,0,6,2,48,1,0,27,8,0,3,1,7,1,3,0,1,1,0,2,0,2,0,0,0,0,0,7,260,460
245,C1,104,18,7,4,11,4,44,0,0,25,8,1,1,5,1,0,0,0,1,0,0,7,0,1,1,0,0,0,0,5,248,459
