SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,coal_prd_pri,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
396,C6,81,4,1,28,10,2,44,0,40,0,1,4,16,0,64,9,2,2,2,2,1,3,4,3,0,0,9,332,694
397,B1,73,3,1,49,17,1,96,0,46,2,3,3,18,0,80,7,1,0,0,0,0,7,1,3,0,0,5,416,641
397,C1,68,0,1,46,30,2,87,0,25,3,2,5,17,0,95,5,0,1,1,0,0,8,2,1,0,0,10,409,641
397,C2,82,3,1,53,34,1,57,0,31,0,4,1,18,0,87,4,0,0,0,1,0,11,3,2,0,0,9,402,641
398,B1,91,1,1,55,14,2,49,0,30,1,4,2,48,0,91,9,0,0,1,0,0,1,1,4,0,0,3,408,583
398,C1,99,1,2,63,17,2,47,1,35,1,2,0,30,0,65,18,0,0,0,3,0,2,0,0,0,0,7,395,583
398,C2,93,1,1,58,10,3,48,2,26,1,3,4,53,0,64,18,0,0,0,0,0,1,3,7,1,0,8,405,582
399,B1,71,2,0,62,16,7,19,0,56,2,0,1,53,0,49,20,0,0,0,1,0,2,2,2,1,0,5,371,626
399,C1,51,3,0,57,24,9,30,2,68,0,0,0,30,0,52,13,0,0,0,4,0,3,0,1,0,0,14,361,626
399,C2,30,1,3,81,25,14,34,0,88,0,0,0,28,1,48,8,0,0,1,2,0,1,1,0,0,0,2,368,625
399,C3,55,2,1,62,17,4,18,0,59,1,5,0,31,0,44,14,1,0,0,3,0,6,0,0,0,0,9,332,625
399,C4,58,1,1,66,24,8,24,0,56,1,2,4,28,0,57,10,0,0,2,4,0,3,5,0,0,0,6,360,625
400,B1,74,4,4,114,16,3,48,1,40,0,2,2,33,0,83,8,0,0,2,2,0,2,0,1,0,0,5,444,652
400,C1,68,1,0,89,33,5,61,0,38,0,2,2,30,0,88,22,1,0,1,6,0,3,3,2,0,0,1,456,651
400,C2,85,2,0,89,14,3,35,1,35,0,9,3,26,0,86,19,0,0,3,4,0,5,0,7,0,0,4,430,651
401,B1,78,16,2,40,16,7,55,5,32,0,6,4,14,0,70,16,3,0,2,0,0,9,0,1,0,1,4,381,723
401,C1,92,8,4,25,15,8,52,5,48,3,0,0,19,3,63,20,2,0,3,2,0,2,1,3,0,0,5,383,722
401,C2,84,12,2,41,10,14,54,2,45,1,1,0,11,0,64,13,0,0,4,1,0,4,4,0,0,0,7,374,722
402,B1,72,9,3,40,17,7,39,2,57,1,2,4,14,2,59,19,1,2,1,1,1,0,2,1,0,0,11,367,730
402,C1,74,13,2,58,10,5,45,1,33,0,1,1,19,0,65,9,4,0,1,2,0,1,9,5,1,0,11,370,730
402,C2,104,11,3,49,15,5,51,2,52,1,0,2,13,1,44,28,2,0,0,3,0,5,6,2,0,0,5,404,730
402,C3,95,6,5,47,19,4,57,3,52,1,3,3,16,1,48,22,6,1,4,0,0,2,2,2,0,0,12,411,730
402,C4,77,7,1,39,7,5,42,1,48,1,0,1,17,0,67,35,2,2,0,2,0,11,10,4,0,0,10,389,730
402,C5,96,4,4,41,14,4,46,2,44,0,1,0,11,0,45,19,2,1,0,1,1,3,7,2,0,0,9,357,729
403,B1,63,18,5,35,11,4,58,1,31,1,0,1,18,0,50,11,0,0,2,2,1,2,4,1,1,0,7,327,652
403,C1,75,16,3,32,9,4,48,9,46,0,1,1,8,1,41,11,1,0,3,1,0,1,1,1,3,0,10,326,652
403,C2,66,13,2,44,2,1,39,2,44,0,5,3,11,2,49,7,0,0,0,4,0,11,1,2,1,0,8,317,652
403,C3,61,12,9,49,11,10,40,5,36,0,1,1,20,10,39,1,0,0,0,1,0,5,3,1,1,0,7,323,652
403,C4,70,10,4,37,13,2,56,1,38,2,3,2,13,1,46,11,0,0,5,5,0,3,6,2,3,0,10,343,652
403,C5,58,14,4,34,7,3,46,4,28,0,3,1,17,1,51,15,1,0,4,0,0,1,4,1,0,0,7,304,652
403,C6,57,13,3,25,8,6,62,8,40,0,4,0,16,0,48,11,0,0,1,3,1,2,0,0,1,1,8,318,651
403,S1,15,3,0,7,2,0,16,1,4,1,0,0,0,2,9,0,0,0,0,1,0,0,2,0,0,0,1,64,0
404,B1,88,11,0,21,37,4,46,1,83,0,1,3,3,0,17,4,0,1,1,4,0,0,3,1,1,0,10,340,566
404,C1,80,4,0,22,27,4,51,0,86,6,2,2,3,1,21,2,0,0,2,0,0,0,0,1,1,1,7,323,565
404,C2,74,8,4,29,28,7,39,1,78,0,4,3,0,0,24,10,0,0,0,1,0,0,3,2,0,0,7,322,565
405,B1,68,9,5,18,26,1,62,1,116,2,0,3,3,0,21,8,2,0,0,1,1,3,0,1,0,0,13,364,611
405,C1,90,9,3,12,28,4,45,2,82,0,0,6,4,0,34,4,0,0,0,2,0,4,0,1,2,0,6,338,610
406,B1,62,6,1,27,27,2,53,1,93,0,1,4,4,1,37,1,0,0,0,8,0,1,2,0,0,1,17,349,705
406,C1,62,3,3,35,26,2,56,2,84,1,0,13,4,0,26,3,0,0,0,6,0,2,3,1,0,1,8,341,705
406,C2,64,4,2,19,16,4,60,1,83,1,1,6,5,0,28,3,0,2,0,6,1,3,3,3,0,0,10,325,705
406,C3,71,11,1,19,26,3,40,1,81,1,1,3,2,1,30,1,0,0,0,11,0,0,4,6,0,0,18,331,704
406,C4,69,5,1,16,25,3,44,2,87,1,1,4,8,1,37,3,1,0,0,7,0,0,3,3,0,0,7,328,704
406,E1,50,1,5,28,39,1,43,2,66,3,1,6,3,0,32,7,0,1,2,1,0,9,1,5,0,0,6,312,722
406,E1 C1,59,1,2,34,20,3,44,2,77,1,0,3,2,0,43,4,0,0,0,4,0,24,1,0,0,0,8,332,722
406,E2,67,6,6,11,19,6,38,0,57,1,4,5,1,0,33,16,0,1,0,0,0,1,0,0,3,0,11,286,648
406,E2 C1,54,8,7,11,13,4,47,2,64,1,0,2,4,1,33,17,1,0,0,1,0,0,3,2,1,0,22,298,648
406,E2 C2,50,4,9,9,12,5,42,1,61,0,2,3,3,0,23,17,0,1,0,2,0,1,2,0,1,0,5,253,647
406,E2 C3,66,9,5,7,7,3,47,2,41,2,0,1,1,0,27,11,0,0,0,0,1,4,2,2,3,0,22,263,647
407,B1,76,7,2,13,23,5,51,0,124,2,1,4,4,1,21,1,3,0,0,2,0,0,2,4,0,0,10,356,659
407,C1,79,10,2,19,31,1,66,1,109,1,1,2,5,0,27,4,0,0,0,1,0,0,3,2,0,0,9,373,659
407,C2,93,11,0,19,31,2,53,2,108,0,1,1,5,2,30,0,0,1,0,1,0,0,1,1,0,0,10,372,659
407,C3,86,8,0,19,14,4,47,0,99,0,1,0,4,0,24,1,0,0,0,1,1,1,0,7,0,0,11,328,659
408,B1,48,9,2,74,4,1,47,1,28,2,0,0,14,0,59,5,0,0,1,4,0,17,2,3,0,0,9,330,578
408,C1,32,11,2,90,7,1,48,1,21,1,1,0,12,1,71,1,1,0,0,1,0,15,1,0,0,0,10,328,577
408,C2,57,6,0,58,3,0,47,0,25,1,0,0,21,0,57,7,0,0,2,2,0,11,2,2,0,0,11,312,577
408,C3,35,7,1,63,10,2,47,0,28,0,1,2,17,0,55,6,0,0,0,3,0,11,6,3,0,0,16,313,577
409,B1,62,12,1,86,5,3,35,1,61,1,2,2,12,2,58,11,0,1,3,2,0,2,2,2,2,0,20,388,746
409,C1,52,11,2,76,12,12,37,3,53,1,4,0,6,1,72,13,0,0,4,2,2,0,2,9,1,0,14,389,745
409,C2,66,14,8,99,12,3,27,1,55,0,0,5,8,1,65,18,0,0,1,3,0,2,2,1,0,0,5,396,745
409,C3,88,7,1,76,7,4,21,5,38,0,3,0,14,0,75,7,0,0,1,4,0,0,6,0,0,0,13,370,745
410,B1,74,9,0,63,14,5,32,6,55,3,0,6,19,1,47,6,0,1,0,2,1,0,8,0,0,0,10,362,652
410,C1,68,4,1,80,18,12,37,2,50,2,2,2,9,0,55,12,2,1,1,0,0,3,11,1,2,0,7,382,652
410,C2,60,7,0,84,11,7,39,2,58,2,2,1,16,0,64,0,1,0,0,1,0,5,5,0,0,0,8,373,652
410,C3,80,12,0,95,17,9,38,9,38,1,0,2,33,0,45,8,0,0,0,0,0,3,2,0,2,0,8,402,652
411,B1,72,10,3,37,6,11,60,3,27,0,3,1,10,1,29,14,1,1,1,1,0,1,5,0,2,0,10,309,677
411,C1,65,8,2,49,11,6,52,2,24,3,1,2,9,0,37,13,0,0,0,0,1,3,2,1,0,0,7,298,677
411,C2,67,15,7,63,12,3,47,1,26,2,1,1,9,1,32,11,0,0,2,1,0,0,3,0,0,0,7,311,677
411,C3,81,17,0,47,11,6,47,3,30,1,2,0,14,1,31,9,1,0,0,0,0,4,5,0,0,0,7,317,677
411,C4,59,11,3,38,8,11,66,2,24,1,5,1,5,0,39,16,0,0,1,0,0,1,1,1,0,0,5,298,677
411,C5,57,15,0,46,3,8,55,3,24,1,8,0,10,0,37,16,1,2,0,2,0,0,2,1,0,0,6,297,677
411,C6,79,5,3,51,5,10,48,3,27,0,3,2,8,0,47,9,0,0,0,0,0,0,7,0,0,0,11,318,677
411,C7,58,14,2,50,7,8,49,2,27,1,0,2,10,0,32,18,0,2,0,0,2,3,1,0,1,0,7,296,677
411,C8,75,13,1,53,11,14,49,2,20,0,1,1,10,1,46,16,1,0,1,1,0,2,7,2,0,0,5,332,676
411,C9,62,15,2,46,7,3,68,1,21,0,0,0,13,0,30,8,0,2,0,0,0,0,3,1,0,0,12,294,676
Totales,,7047,728,281,4290,1676,461,4884,173,5035,112,274,218,1399,60,4978,1034,79,45,82,227,19,319,326,190,56,7,923,34923,67407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,coal_prd_pri,no_registrados,num_votos_nulos,Tot.Votos,
,,,,,4290,1676,461,4884,173,5035,112,274,,1399,60,4978,1034,79,45,82,227,19,319,326,7455,1065,7,923,34923,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,,,no_registrados,num_votos_nulos,Tot.Votos,
,,7142,756,309,4290,1676,461,4884,173,5035,112,274,313,1399,60,4978,1034,79,45,82,227,19,319,326,,,7,923,34923,
,,20.45%,2.16%,0.88%,12.28%,4.80%,1.32%,13.99%,0.50%,14.42%,0.32%,0.78%,0.90%,4.01%,0.17%,14.25%,2.96%,0.23%,0.13%,0.23%,0.65%,0.05%,0.91%,0.93%,,,0.02%,2.64%,100%,
