CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,ES,MORENA,PH,PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,PVEM_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,530,3,374,185,9,1,6,21,0,6,0,0,11,,4,10,,0,,0,627,20,647,1229
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,540,4,528,474,10,25,37,29,9,6,6,2,9,,3,17,,1,,0,1156,54,1210,2258
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,543,3,326,357,5,4,4,10,6,3,2,22,8,,0,4,,0,,5,751,39,795,1435
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,544,3,253,720,17,24,41,45,17,10,15,4,16,,1,12,,1,,0,1176,34,1210,1970
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,545,3,296,426,11,32,24,29,11,24,12,6,5,,0,10,,1,,1,887,33,921,2168
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,546,4,449,534,28,48,24,50,21,21,16,5,9,,2,12,,1,,1,1220,41,1262,2364
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,547,3,301,467,24,52,27,52,24,25,12,9,8,,3,7,,0,,2,1011,38,1051,2205
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,548,9,570,393,25,50,35,59,39,82,32,9,6,,3,7,,0,,2,1310,75,1387,1932
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,552,8,764,926,69,167,62,59,62,115,61,18,12,,3,7,,0,,1,2325,103,2429,5329
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,11,1162,943,69,263,115,133,97,199,96,25,9,,1,11,,3,,8,3126,157,3291,8238
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,734,1,112,82,8,23,15,20,9,8,8,1,0,,2,0,,0,,0,288,16,304,571
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,735,1,153,80,6,21,11,17,7,11,6,2,0,,0,1,,0,,0,315,15,330,603
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,736,2,157,131,8,25,14,22,10,20,12,7,4,,0,2,,0,,0,412,20,432,916
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,737,2,132,126,14,14,13,9,4,31,7,4,1,,0,0,,0,,2,355,13,370,899
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,738,2,123,119,3,26,12,14,17,32,10,6,0,,0,0,,0,,0,362,11,373,827
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,739,2,171,124,11,35,21,29,8,18,18,4,1,,0,3,,1,,0,444,13,457,1066
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,740,2,180,134,8,29,21,19,15,30,18,12,7,,0,1,,0,,0,474,16,490,1098
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,741,2,160,121,11,32,17,21,14,40,15,3,10,,0,1,,1,,0,446,16,462,1075
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,742,2,159,172,8,26,16,17,11,38,22,10,2,,0,0,,0,,0,481,18,499,1041
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,743,2,176,152,12,24,19,18,9,45,20,3,6,,2,0,,0,,0,486,27,513,1140
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,744,2,188,141,12,27,19,19,14,18,12,6,3,,0,1,,0,,0,460,10,470,985
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,745,2,133,103,9,37,26,19,24,38,19,14,4,,0,0,,1,,0,427,7,434,780
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,746,1,48,46,1,10,3,6,11,5,3,0,2,,0,0,,0,,0,135,5,140,321
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,747,2,171,121,13,29,23,20,16,39,16,10,1,,0,1,,0,,0,460,13,473,1080
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,748,1,68,47,9,15,7,13,6,6,8,2,2,,0,1,,0,,0,184,4,188,400
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,749,1,90,66,3,9,10,11,14,10,2,5,5,,0,0,,0,,0,225,8,233,543
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,750,2,152,120,11,24,14,31,17,34,14,10,5,,2,1,,0,,0,435,19,454,952
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,751,2,230,160,16,43,19,31,31,51,19,6,0,,0,3,,1,,3,610,34,647,1279
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,752,2,215,138,15,34,22,21,36,29,10,9,4,,0,0,,0,,2,533,27,562,1270
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,753,3,232,169,9,48,36,26,33,47,29,7,2,,0,0,,0,,0,638,26,664,1621
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,754,4,413,237,25,61,65,64,44,103,38,12,4,,1,3,,0,,8,1070,50,1128,2823
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,755,2,207,164,12,60,28,32,19,46,27,4,1,,0,0,,0,,1,600,28,629,1260
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,756,2,178,112,9,31,11,27,16,20,28,6,3,,1,1,,0,,0,443,10,453,1043
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,757,1,69,88,14,11,15,21,3,10,4,1,2,,2,6,,0,,0,246,12,258,610
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,758,2,161,180,11,9,11,23,13,19,6,4,10,,4,3,,0,,0,454,26,480,1141
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,759,2,52,142,5,16,8,19,11,14,7,5,3,,4,6,,1,,0,293,17,310,753
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,819,1,115,95,11,22,16,12,13,20,14,6,1,,1,0,,0,,1,326,16,343,657
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,820,1,114,99,12,22,27,17,13,36,9,3,0,,0,0,,0,,1,352,15,368,745
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,821,1,96,63,5,14,15,12,29,9,0,0,0,,0,0,,0,,0,243,16,259,543
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,822,1,122,63,6,16,13,17,6,26,18,4,1,,0,1,,0,,0,293,14,307,612
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,823,1,90,57,4,17,10,14,2,9,8,3,2,,0,0,,1,,0,217,16,233,468
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,824,1,47,40,0,11,3,7,5,10,8,2,1,,0,0,,0,,0,134,7,141,373
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,825,1,98,85,5,7,10,13,24,20,10,4,1,,0,0,,0,,0,277,8,285,740
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,826,1,84,52,1,13,15,12,12,21,7,7,2,,0,0,,0,,0,226,7,233,602
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,827,1,87,93,6,15,4,9,5,13,10,5,2,,0,1,,0,,0,250,20,270,692
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,828,1,80,53,3,11,8,9,11,18,16,3,0,,0,0,,0,,0,212,8,220,417
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,829,1,86,68,1,25,14,5,11,19,4,3,2,,1,1,,0,,0,240,5,245,610
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,830,1,110,102,9,9,13,22,4,13,6,4,5,,1,0,,0,,0,298,9,307,704
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,831,1,107,56,3,18,10,10,8,25,6,1,3,,0,0,,0,,0,247,20,267,486
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,832,1,96,76,6,19,11,9,11,23,9,1,0,,0,2,,0,,3,263,13,279,599
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,833,1,83,96,4,24,23,12,21,33,13,4,1,,0,0,,0,,0,314,23,337,639
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,834,1,109,61,3,8,19,13,7,14,14,6,1,,0,0,,0,,0,255,20,275,587
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,835,1,115,66,6,25,11,9,10,26,14,3,0,,0,0,,0,,0,285,12,297,490
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,836,1,83,49,4,26,9,24,11,23,1,4,1,,1,0,,0,,0,236,9,245,629
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,837,1,101,74,5,21,9,11,10,23,13,0,6,,0,0,,0,,0,273,12,285,620
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,838,1,77,87,5,13,13,12,8,10,18,4,2,,1,1,,0,,0,251,7,258,668
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,839,1,72,85,6,18,9,9,6,21,9,6,1,,0,1,,0,,0,243,15,258,570
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,840,1,86,135,7,16,0,0,7,11,5,10,0,,0,0,,0,,0,277,8,285,701
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,841,1,57,65,3,15,7,7,5,7,4,1,2,,0,0,,0,,0,173,7,180,396
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,842,1,117,89,4,26,13,12,9,8,5,4,7,,0,4,,0,,0,298,11,309,658
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,843,1,76,75,1,25,10,17,9,18,6,1,0,,0,0,,0,,0,238,13,251,649
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,844,1,92,100,8,12,14,24,5,12,2,2,6,,1,6,,0,,0,284,10,294,593
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,845,1,83,69,4,39,8,15,6,13,11,2,3,,0,0,,1,,1,254,12,267,567
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,846,2,115,111,8,42,11,10,14,28,11,5,3,,0,0,,0,,0,358,14,372,943
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,847,1,113,92,6,27,3,9,8,11,1,4,2,,0,3,,0,,0,279,7,286,581
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,848,1,68,49,8,8,5,10,2,7,1,0,0,,0,0,,0,,0,158,12,170,404
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,849,1,87,114,5,8,5,11,7,12,6,3,5,,4,0,,0,,0,267,17,284,594
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,850,1,42,77,6,15,10,7,17,3,6,2,4,,0,0,,0,,0,189,11,200,520
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,851,1,91,77,3,31,13,4,13,16,7,4,4,,0,1,,0,,0,264,11,275,665
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,852,1,116,132,4,24,10,11,11,4,6,7,0,,0,0,,0,,0,325,13,338,602
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,853,1,73,87,5,11,8,9,5,14,4,2,3,,0,4,,1,,1,226,13,240,474
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,854,2,101,70,8,24,18,17,25,35,18,1,1,,0,1,,0,,0,319,15,334,775
2,22,QUERETARO,2,QUERETARO,14,QUERETARO,855,1,105,76,7,32,14,24,13,25,10,2,2,,0,0,,0,,0,310,11,321,700
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,266,5,585,513,32,24,32,50,48,56,19,24,,,,,,,,1,1383,39,1423,3350
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,267,4,596,386,20,15,18,20,32,43,23,4,,,,,,,,2,1157,68,1227,2444
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,268,4,842,275,24,19,14,25,36,62,18,7,,,,,,,,0,1322,107,1429,2298
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,269,3,822,302,16,18,16,16,32,66,14,4,,,,,,,,2,1306,89,1397,2162
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,270,12,1052,1079,79,107,77,115,103,173,36,68,,,,,,,,6,2889,155,3050,8419
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,272,4,465,381,42,35,35,46,69,83,27,42,,,,,,,,1,1225,63,1289,2946
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,274,3,324,283,16,27,27,46,39,71,15,15,,,,,,,,0,863,52,915,1915
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,279,2,218,134,22,13,30,19,20,54,11,11,,,,,,,,0,532,33,565,960
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,280,2,271,238,11,26,22,27,44,58,14,23,,,,,,,,0,734,43,777,1377
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,281,3,428,319,25,39,39,26,54,78,33,16,,,,,,,,2,1057,62,1121,1977
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,282,9,1244,764,87,142,107,102,175,286,67,39,,,,,,,,6,3013,134,3153,6323
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,283,2,264,176,11,37,25,12,31,50,10,9,,,,,,,,0,625,27,652,1114
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,284,2,265,163,16,18,26,9,19,56,10,8,,,,,,,,0,590,26,616,975
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,289,2,172,123,8,30,13,25,16,44,11,22,,,,,,,,13,464,28,505,976
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,290,2,165,165,12,23,25,18,49,58,23,14,,,,,,,,0,552,27,579,995
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,291,3,353,271,16,30,47,45,64,104,35,22,,,,,,,,1,987,56,1044,1745
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,292,2,232,198,11,82,25,21,29,37,15,26,,,,,,,,1,676,36,713,1231
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,294,2,216,153,10,27,15,21,20,34,9,6,,,,,,,,1,511,29,541,983
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,297,2,275,237,22,32,27,81,41,72,16,19,,,,,,,,2,822,35,859,1461
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,298,2,260,170,31,22,27,32,27,38,9,5,,,,,,,,0,621,15,636,1100
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,299,2,308,171,10,23,18,34,33,38,16,8,,,,,,,,0,659,24,683,1185
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,300,5,621,398,35,46,57,70,81,77,31,18,,,,,,,,1,1434,52,1487,3451
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,301,2,303,166,17,17,20,35,28,49,7,13,,,,,,,,2,655,47,704,1205
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,302,2,273,227,119,22,31,93,31,71,22,38,,,,,,,,0,927,50,977,1493
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,307,2,249,85,25,12,17,20,31,55,8,5,,,,,,,,1,507,29,537,1007
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,308,7,967,493,62,76,64,83,105,206,48,63,,,,,,,,2,2167,105,2274,4503
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,309,2,245,129,17,34,20,19,26,45,17,17,,,,,,,,1,569,26,596,1093
2,22,QUERETARO,3,QUERETARO,14,QUERETARO,310,2,265,164,11,16,21,25,25,54,10,22,,,,,,,,1,613,43,657,1177
