ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,136,SAN MIGUEL IXITLAN,1,1,96,132,6,10,4,4,0,0,114,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,1,2,0,386,0,11,397,487,
21,PUEBLA,137,SAN MIGUEL XOXTLA,4,13,1745,1221,67,347,624,162,141,123,1434,60,50,2,4,1,0,2,4,3,1,3,1,4,0,0,0,0,10,5,16,6,3,2,0,0,0,1,57,21,4,21,6145,3,185,6333,8889,
21,PUEBLA,138,SAN NICOLAS BUENOS AIRES,4,12,1698,549,318,110,667,565,168,17,621,42,23,2,2,1,3,1,1,5,0,0,0,2,1,1,0,2,14,7,7,0,4,29,0,5,1,0,22,6,2,8,4904,0,237,5141,7280,
21,PUEBLA,139,SAN NICOLAS DE LOS RANCHOS,5,12,578,1130,705,331,121,71,496,20,1640,130,35,1,3,0,2,1,4,6,1,1,1,1,2,1,3,3,28,2,13,1,4,3,2,2,0,0,132,23,3,33,5533,1,276,5810,7948,
21,PUEBLA,140,SAN PABLO ANICANO,2,5,147,851,574,74,42,13,21,8,471,34,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,11,1,1,3,2267,2,78,2347,2941,
21,PUEBLA,141,SAN PEDRO CHOLULA,46,164,18129,9860,768,2033,4336,1098,1389,668,16114,1036,566,29,39,28,38,9,65,57,5,34,11,16,6,6,3,15,108,91,79,23,18,4,5,13,9,13,958,227,38,282,58226,105,1870,60201,102485,
21,PUEBLA,142,SAN PEDRO YELOIXTLAHUACA,2,5,553,617,30,91,54,25,78,11,636,22,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,4,3,0,2,2142,0,125,2267,2836,
21,PUEBLA,143,SAN SALVADOR EL SECO,10,33,3995,2018,947,541,635,1142,344,156,3686,264,113,11,7,4,13,6,23,14,1,6,10,5,3,1,0,22,51,29,15,3,8,4,3,10,17,2,166,45,15,66,14401,0,751,15152,20289,
21,PUEBLA,144,SAN SALVADOR EL VERDE,10,34,3087,2231,681,632,1121,343,370,1263,2891,178,117,7,6,14,9,4,6,12,4,4,6,4,1,3,0,7,25,9,12,31,1,1,8,0,21,9,137,54,15,38,13362,5,577,13944,22092,
21,PUEBLA,145,SAN SALVADOR HUIXCOLOTLA,4,14,1462,1023,148,298,105,109,150,317,2492,118,39,4,7,6,4,0,6,22,2,0,1,0,0,0,0,1,39,8,14,8,1,2,2,2,2,5,130,25,9,60,6621,1,267,6889,9289,
