ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NUEVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,50,SAN JOSE TEACALCO,5,26,424,173,30,119,44,241,321,236,95,,1329,,,,1,3013,117,3130,4062,0.7706
29,TLAXCALA,51,SAN FRANCISCO TETLANOHCAN,3,13,1052,1835,144,,145,68,84,597,224,1556,,,,,1,5706,284,5990,8034,0.7456
29,TLAXCALA,52,LA MAGDALENA TLALTELULCO,6,21,926,1039,3736,,313,1032,104,581,342,1239,,,,,0,9312,391,9703,13356,0.7265
29,TLAXCALA,53,SAN DAMIAN TEXOLOC,2,6,307,858,114,,0,366,260,411,51,640,,,,,1,3008,240,3248,4179,0.7772
29,TLAXCALA,54,EMILIANO ZAPATA,4,6,586,74,37,35,15,40,320,37,5,,1266,,,,0,2415,63,2478,3045,0.8138
29,TLAXCALA,55,LAZARO CARDENAS,2,4,344,61,177,169,18,53,130,69,59,,553,,,,0,1633,91,1724,2099,0.8213
29,TLAXCALA,56,SAN JERONIMO ZACUALPAN,2,5,219,503,44,,0,58,267,205,25,862,,,,,2,2185,125,2310,2906,0.7949
29,TLAXCALA,57,SAN LUCAS TECOPILCO,2,5,664,108,32,,202,66,132,102,15,444,,,,,2,1767,82,1849,2408,0.7679
29,TLAXCALA,58,SANTA ANA NOPALUCAN,2,8,562,257,55,,0,1195,800,290,28,678,,,,,1,3866,193,4059,5233,0.7757
29,TLAXCALA,59,SAN LORENZO AXOCOMANITLA,2,6,703,740,45,,252,180,22,267,200,407,,,,,2,2818,126,2944,3641,0.8086
29,TLAXCALA,60,BENITO JUAREZ,2,7,333,529,39,,23,437,186,442,217,635,,,,,0,2841,91,2932,4014,0.7304
