CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,475,3,133,164,13,,19,75,159,36,11,184,,,,,0,794,36,830,1237
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,476,4,266,301,56,,45,100,319,96,26,333,,,,,0,1542,83,1625,2533
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,477,2,107,159,8,,25,55,139,43,5,143,,,,,1,685,30,715,1012
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,478,1,74,66,7,,11,40,31,24,5,44,,,,,0,302,18,320,417
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,479,1,42,17,10,,4,1,41,8,0,57,,,,,0,180,12,192,302
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,480,1,33,31,7,,14,4,19,5,0,45,,,,,0,158,5,163,248
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,481,3,157,382,34,,28,47,194,39,4,308,,,,,0,1193,46,1239,1880
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,482,3,271,163,25,,67,55,231,43,3,197,,,,,0,1055,36,1091,1725
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,483,1,8,10,0,,0,1,8,5,0,42,,,,,0,74,4,78,116
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,484,3,190,277,18,,127,22,111,85,3,221,,,,,0,1054,61,1115,1717
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,485,1,97,36,9,,24,11,115,38,3,66,,,,,0,399,32,431,648
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,486,1,54,39,14,,30,6,131,31,6,68,,,,,0,379,25,404,589
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,487,1,12,4,3,,1,1,2,2,3,6,,,,,0,34,2,36,204
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,488,2,121,112,16,,90,27,127,49,5,156,,,,,3,706,52,758,1204
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,490,1,52,15,1,,11,0,46,1,0,13,,,,,0,139,8,147,185
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,491,4,229,323,31,,57,42,296,34,6,350,,,,,0,1368,50,1418,2433
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,492,1,43,23,7,,16,6,50,8,4,61,,,,,0,218,18,236,277
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,493,1,62,58,6,,22,11,78,25,1,90,,,,,0,353,14,367,517
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,494,2,80,68,30,,35,18,159,29,3,125,,,,,0,547,55,602,814
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,495,1,125,137,6,,42,12,82,21,5,76,,,,,0,506,26,532,749
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,496,1,58,94,4,,8,21,66,17,4,68,,,,,1,341,19,360,550
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,497,2,93,52,1,,20,11,51,13,2,64,,,,,0,307,26,333,416
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,498,2,59,35,5,,21,11,40,3,0,50,,,,,0,224,17,241,305
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,499,2,175,76,5,,9,33,142,34,1,128,,,,,0,603,38,641,806
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,500,1,65,13,3,,56,1,168,10,0,21,,,,,0,337,11,348,454
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,501,2,163,240,28,,66,38,125,76,6,140,,,,,0,882,72,954,1304
