CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,217,2,178,24,21,20,15,14,57,81,5,11,1,3,,4,2,0,1,0,0,2,0,,,,,,,,,,,,95,27,27,,,,,,,,,,,,,,,,,,,,588,0,18,606,862
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,218,2,173,22,17,18,14,11,8,117,15,22,4,0,,3,0,0,2,1,2,0,2,,,,,,,,,,,,77,16,24,,,,,,,,,,,,,,,,,,,,548,0,15,563,829
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,3,319,29,45,31,41,25,30,190,36,43,9,2,,18,6,1,6,5,1,0,0,,,,,,,,,,,,145,40,51,,,,,,,,,,,,,,,,,,,,1073,2,28,1103,1844
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,9,860,110,179,118,70,77,91,896,92,160,49,22,,42,9,2,26,14,5,7,3,,,,,,,,,,,,463,112,184,,,,,,,,,,,,,,,,,,,,3591,2,125,3718,6101
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,221,3,172,35,36,33,24,29,19,317,30,50,7,5,,21,1,0,10,3,0,1,2,,,,,,,,,,,,113,12,101,,,,,,,,,,,,,,,,,,,,1021,0,45,1066,1686
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,10,607,122,176,177,153,118,94,1027,158,216,43,21,,73,3,9,28,21,6,9,1,,,,,,,,,,,,348,56,259,,,,,,,,,,,,,,,,,,,,3725,6,149,3880,6553
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,223,2,127,31,37,30,19,15,20,172,64,33,0,4,,12,2,1,0,3,1,2,1,,,,,,,,,,,,104,5,45,,,,,,,,,,,,,,,,,,,,728,0,27,755,1138
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,224,2,165,22,40,31,28,25,33,214,34,34,12,4,,12,1,0,10,5,0,2,0,,,,,,,,,,,,99,6,69,,,,,,,,,,,,,,,,,,,,846,0,34,880,1418
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,225,2,119,32,35,26,22,19,10,170,34,27,7,2,,15,1,1,2,2,0,2,0,,,,,,,,,,,,131,9,70,,,,,,,,,,,,,,,,,,,,736,1,35,772,1172
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,226,2,121,19,43,29,19,17,15,177,23,34,2,1,,7,1,0,9,3,0,3,1,,,,,,,,,,,,100,14,76,,,,,,,,,,,,,,,,,,,,714,0,31,745,1139
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,227,3,234,35,64,48,34,27,22,322,43,45,7,7,,18,0,0,6,1,1,2,2,,,,,,,,,,,,179,7,80,,,,,,,,,,,,,,,,,,,,1184,6,47,1237,2017
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,228,2,231,27,27,19,7,8,15,71,13,8,12,1,,5,2,0,1,0,0,0,0,,,,,,,,,,,,100,22,20,,,,,,,,,,,,,,,,,,,,589,0,16,605,875
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,229,2,152,18,47,29,8,13,12,124,16,20,6,1,,10,0,0,3,1,1,2,0,,,,,,,,,,,,106,14,22,,,,,,,,,,,,,,,,,,,,605,1,28,634,886
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,230,3,373,47,39,39,38,20,25,262,25,33,15,9,,9,0,1,4,1,1,3,1,,,,,,,,,,,,200,41,45,,,,,,,,,,,,,,,,,,,,1231,0,40,1271,1742
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,231,2,173,32,25,26,16,19,12,115,15,16,6,4,,13,1,0,4,2,0,3,0,,,,,,,,,,,,109,8,44,,,,,,,,,,,,,,,,,,,,643,0,14,657,904
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,232,3,271,58,46,44,31,28,37,350,36,31,15,7,,14,5,0,7,5,0,2,0,,,,,,,,,,,,179,28,66,,,,,,,,,,,,,,,,,,,,1260,2,35,1297,1778
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,233,2,165,32,38,25,19,9,19,153,16,24,6,1,,6,4,1,0,1,0,2,2,,,,,,,,,,,,113,25,34,,,,,,,,,,,,,,,,,,,,695,1,19,715,962
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,234,2,203,48,27,14,13,7,14,167,16,11,6,5,,6,2,0,0,2,0,0,0,,,,,,,,,,,,94,27,28,,,,,,,,,,,,,,,,,,,,690,1,18,709,985
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,235,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,324
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,236,1,126,11,11,10,7,6,18,63,16,8,1,2,,2,2,0,0,2,0,0,0,,,,,,,,,,,,55,15,19,,,,,,,,,,,,,,,,,,,,374,0,21,395,558
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,237,2,195,35,24,16,15,7,7,125,15,15,14,3,,7,1,1,3,1,0,2,0,,,,,,,,,,,,88,28,27,,,,,,,,,,,,,,,,,,,,629,0,22,651,979
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,245,2,185,20,20,17,10,12,18,104,13,16,7,4,,1,0,0,3,2,0,2,1,,,,,,,,,,,,94,14,18,,,,,,,,,,,,,,,,,,,,561,1,17,579,870
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,246,2,168,45,32,34,15,24,13,173,27,34,8,4,,11,2,0,0,3,2,4,0,,,,,,,,,,,,132,7,50,,,,,,,,,,,,,,,,,,,,788,0,24,812,1206
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,247,2,184,39,44,29,25,18,20,186,23,38,4,6,,4,1,0,4,12,1,1,0,,,,,,,,,,,,111,20,21,,,,,,,,,,,,,,,,,,,,791,0,23,814,1197
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,248,2,325,81,41,27,15,28,18,190,10,10,7,8,,9,1,0,5,3,1,4,0,,,,,,,,,,,,165,31,41,,,,,,,,,,,,,,,,,,,,1020,0,23,1043,1477
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,249,1,103,19,7,9,13,7,12,58,9,7,1,2,,6,0,1,0,0,0,1,0,,,,,,,,,,,,75,7,19,,,,,,,,,,,,,,,,,,,,356,1,13,370,493
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,250,2,317,35,25,15,12,11,35,133,11,14,8,2,,4,1,0,2,1,0,0,0,,,,,,,,,,,,106,35,26,,,,,,,,,,,,,,,,,,,,793,0,22,815,1137
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,251,2,228,39,22,16,7,11,13,74,11,4,6,6,,2,0,0,2,0,1,0,0,,,,,,,,,,,,85,30,11,,,,,,,,,,,,,,,,,,,,568,1,21,590,823
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,252,2,205,27,25,30,18,15,30,179,23,21,9,10,,6,2,1,2,1,1,0,0,,,,,,,,,,,,108,23,74,,,,,,,,,,,,,,,,,,,,810,1,28,839,1264
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,253,2,108,19,45,17,17,9,13,170,19,24,7,4,,11,2,0,5,1,1,2,0,,,,,,,,,,,,111,6,105,,,,,,,,,,,,,,,,,,,,696,2,21,719,1135
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,254,2,162,18,61,46,29,29,14,195,26,37,5,6,,15,0,0,0,9,0,0,0,,,,,,,,,,,,176,8,59,,,,,,,,,,,,,,,,,,,,895,0,30,925,1444
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,255,3,298,60,67,44,49,31,30,308,45,41,17,8,,13,3,0,1,4,1,9,0,,,,,,,,,,,,174,21,103,,,,,,,,,,,,,,,,,,,,1327,0,45,1372,2249
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,262,2,268,29,19,13,12,10,21,108,11,10,9,1,,4,0,0,1,1,0,1,0,,,,,,,,,,,,103,38,22,,,,,,,,,,,,,,,,,,,,681,0,9,690,969
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,263,2,313,54,16,18,14,11,19,81,9,15,9,3,,5,0,1,0,2,1,0,0,,,,,,,,,,,,77,63,24,,,,,,,,,,,,,,,,,,,,735,1,17,753,1082
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,264,2,200,34,20,23,8,19,23,82,7,8,8,5,,4,0,0,1,0,0,1,0,,,,,,,,,,,,97,28,21,,,,,,,,,,,,,,,,,,,,589,0,13,602,824
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,265,1,194,28,16,19,8,8,25,37,12,7,5,5,,1,1,0,1,0,0,0,0,,,,,,,,,,,,62,33,12,,,,,,,,,,,,,,,,,,,,474,0,12,486,695
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,266,1,162,28,15,12,8,13,10,77,8,5,7,5,,2,0,0,3,1,0,0,0,,,,,,,,,,,,80,21,10,,,,,,,,,,,,,,,,,,,,467,1,11,479,688
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,267,3,257,64,50,28,27,27,24,241,25,33,11,6,,8,3,1,8,4,1,1,0,,,,,,,,,,,,184,27,44,,,,,,,,,,,,,,,,,,,,1074,2,32,1108,1610
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,268,2,174,43,26,28,15,14,22,197,23,31,3,7,,10,2,1,4,0,0,0,0,,,,,,,,,,,,89,12,39,,,,,,,,,,,,,,,,,,,,740,0,15,755,1135
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,269,2,172,31,42,20,15,21,21,145,32,22,6,6,,10,1,0,2,2,0,4,0,,,,,,,,,,,,137,17,51,,,,,,,,,,,,,,,,,,,,757,0,16,773,1172
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,270,1,87,26,23,10,10,5,12,86,5,12,4,3,,2,1,0,1,3,0,0,0,,,,,,,,,,,,7,7,29,,,,,,,,,,,,,,,,,,,,333,0,20,353,624
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,278,2,179,37,23,13,7,15,17,129,17,14,7,2,,3,0,0,1,1,0,2,2,,,,,,,,,,,,94,17,17,,,,,,,,,,,,,,,,,,,,597,0,15,612,793
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,279,2,233,31,39,31,18,20,19,122,29,5,17,18,,8,4,0,1,2,0,0,1,,,,,,,,,,,,140,27,28,,,,,,,,,,,,,,,,,,,,793,0,39,832,1429
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,280,1,88,11,11,9,5,3,5,38,2,3,4,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,17,6,,,,,,,,,,,,,,,,,,,,242,0,5,247,355
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,281,2,261,46,23,17,13,14,17,110,16,15,12,9,,7,0,1,2,2,0,2,0,,,,,,,,,,,,97,28,23,,,,,,,,,,,,,,,,,,,,715,2,26,743,1061
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,289,1,124,25,21,14,14,9,14,89,12,9,7,0,,3,0,0,2,0,1,1,0,,,,,,,,,,,,72,18,15,,,,,,,,,,,,,,,,,,,,450,0,15,465,710
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,290,3,318,81,53,54,36,27,32,308,30,23,13,9,,13,7,1,8,2,2,1,0,,,,,,,,,,,,223,22,53,,,,,,,,,,,,,,,,,,,,1316,1,29,1346,1901
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,291,2,158,27,22,17,9,17,12,126,16,13,6,3,,3,1,0,1,0,0,1,0,,,,,,,,,,,,88,13,16,,,,,,,,,,,,,,,,,,,,549,2,20,571,817
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,292,3,276,45,72,50,44,25,35,340,37,46,16,13,,14,2,0,5,4,1,9,6,,,,,,,,,,,,162,18,64,,,,,,,,,,,,,,,,,,,,1284,8,43,1335,1989
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,293,1,115,13,11,9,4,4,0,74,15,6,5,3,,3,0,0,1,0,0,0,0,,,,,,,,,,,,62,11,11,,,,,,,,,,,,,,,,,,,,347,0,14,361,575
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,302,4,370,56,105,78,63,62,37,340,49,93,8,21,,32,3,4,7,3,1,6,1,,,,,,,,,,,,82,24,45,,,,,,,,,,,,,,,,,,,,1490,0,110,1600,2929
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,303,4,237,49,60,43,28,24,24,272,44,32,5,10,,12,1,1,7,2,1,2,0,,,,,,,,,,,,168,17,60,,,,,,,,,,,,,,,,,,,,1099,1,37,1137,2327
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,304,2,226,26,49,29,26,29,31,275,22,34,10,7,,6,2,1,4,1,1,1,1,,,,,,,,,,,,141,9,45,,,,,,,,,,,,,,,,,,,,976,0,29,1005,1441
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,390,1,43,15,18,12,5,6,9,40,4,2,1,1,,1,0,1,3,1,1,1,0,,,,,,,,,,,,22,7,5,,,,,,,,,,,,,,,,,,,,198,0,4,202,365
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,188,5,436,97,144,81,65,40,57,465,83,124,25,4,,33,7,2,5,7,1,7,2,,,,,,,,,,,,207,49,182,,,,,,,,,,,,,,,,,,,,2123,0,79,2202,3707
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,206,3,260,91,71,44,30,19,27,218,33,33,14,2,,7,0,2,6,8,1,5,2,,,,,,,,,,,,86,19,42,,,,,,,,,,,,,,,,,,,,1020,1,59,1080,1717
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,207,4,367,117,99,72,50,32,23,312,57,64,13,7,,29,3,1,5,7,2,4,2,,,,,,,,,,,,144,46,87,,,,,,,,,,,,,,,,,,,,1543,3,49,1595,2587
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,208,4,367,65,189,66,60,26,49,351,66,100,12,7,,24,6,0,3,12,6,7,4,,,,,,,,,,,,148,26,95,,,,,,,,,,,,,,,,,,,,1689,1,54,1744,2541
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,209,6,729,100,120,70,58,62,75,542,50,65,23,11,,18,6,1,8,9,0,1,0,,,,,,,,,,,,388,99,81,,,,,,,,,,,,,,,,,,,,2516,1,79,2596,3799
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,210,2,302,45,32,25,14,9,31,179,18,17,5,7,,3,0,1,80,3,1,3,2,,,,,,,,,,,,82,30,20,,,,,,,,,,,,,,,,,,,,909,0,32,941,1325
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,211,2,210,50,30,24,16,11,15,154,14,18,7,3,,6,1,0,5,1,2,2,0,,,,,,,,,,,,94,43,24,,,,,,,,,,,,,,,,,,,,730,0,31,761,1125
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,238,2,204,36,23,18,9,4,23,87,4,11,5,1,,1,1,0,2,1,0,0,0,,,,,,,,,,,,76,22,12,,,,,,,,,,,,,,,,,,,,540,0,11,551,763
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,239,12,1413,219,251,170,136,89,156,1223,134,194,70,25,,55,11,2,31,18,9,21,3,,,,,,,,,,,,852,153,289,,,,,,,,,,,,,,,,,,,,5524,3,170,5697,8340
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,240,3,428,65,36,37,21,27,39,298,23,35,13,3,,8,1,1,4,1,1,1,0,,,,,,,,,,,,204,52,49,,,,,,,,,,,,,,,,,,,,1347,1,49,1397,1996
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,241,3,191,43,84,50,46,16,28,212,36,61,12,5,,8,2,1,11,6,3,6,1,,,,,,,,,,,,121,23,49,,,,,,,,,,,,,,,,,,,,1015,0,56,1071,1670
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,242,2,269,48,63,34,14,17,29,151,15,32,6,4,,4,2,1,2,2,2,14,1,,,,,,,,,,,,80,36,37,,,,,,,,,,,,,,,,,,,,863,0,39,902,1373
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,243,2,134,30,33,28,14,14,11,160,28,22,6,3,,6,0,1,0,2,1,0,0,,,,,,,,,,,,81,25,28,,,,,,,,,,,,,,,,,,,,627,1,13,641,950
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,244,3,216,29,32,18,10,15,36,140,14,17,13,3,,4,2,1,5,2,0,1,0,,,,,,,,,,,,167,27,23,,,,,,,,,,,,,,,,,,,,775,0,29,804,1148
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,271,2,174,32,33,7,8,16,24,102,22,20,7,3,,4,0,0,1,0,0,2,0,,,,,,,,,,,,133,11,28,,,,,,,,,,,,,,,,,,,,627,0,18,645,921
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,272,4,276,44,108,51,34,33,27,278,44,63,21,6,,16,3,0,8,8,4,14,0,,,,,,,,,,,,170,16,64,,,,,,,,,,,,,,,,,,,,1288,0,61,1349,2300
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,273,2,210,26,34,35,22,12,18,202,35,43,8,4,,9,2,2,4,1,1,4,0,,,,,,,,,,,,123,23,42,,,,,,,,,,,,,,,,,,,,860,1,35,896,1338
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,274,2,164,31,72,41,33,16,26,172,22,46,5,10,,9,3,2,10,3,0,14,0,,,,,,,,,,,,113,20,37,,,,,,,,,,,,,,,,,,,,849,0,49,898,1403
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,275,2,183,35,22,26,18,18,39,133,15,23,6,1,,5,1,0,1,1,0,0,0,,,,,,,,,,,,120,13,26,,,,,,,,,,,,,,,,,,,,686,0,22,708,998
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,276,2,136,35,27,13,17,11,28,123,18,13,13,2,,8,0,1,0,1,0,0,0,,,,,,,,,,,,133,16,28,,,,,,,,,,,,,,,,,,,,623,0,16,639,953
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,277,1,105,20,12,9,13,2,14,78,13,5,5,2,,4,2,0,2,0,1,1,0,,,,,,,,,,,,75,22,11,,,,,,,,,,,,,,,,,,,,396,1,9,406,596
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,294,2,115,31,31,22,13,10,29,123,16,15,8,1,,11,0,0,3,3,1,2,0,,,,,,,,,,,,121,13,19,,,,,,,,,,,,,,,,,,,,587,1,20,608,940
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,295,1,105,23,34,21,7,4,12,95,8,18,5,0,,7,1,1,1,3,1,1,0,,,,,,,,,,,,59,10,8,,,,,,,,,,,,,,,,,,,,424,0,11,435,676
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,296,2,95,25,39,14,22,13,20,115,19,22,7,0,,0,2,1,1,0,0,4,1,,,,,,,,,,,,47,11,62,,,,,,,,,,,,,,,,,,,,520,0,19,539,834
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,297,2,93,27,43,21,17,6,19,136,21,33,1,5,,4,2,1,3,2,1,1,0,,,,,,,,,,,,70,11,32,,,,,,,,,,,,,,,,,,,,549,1,18,568,956
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,298,2,129,26,21,18,8,8,23,76,7,13,9,4,,5,0,0,5,2,0,1,0,,,,,,,,,,,,80,15,33,,,,,,,,,,,,,,,,,,,,483,0,11,494,810
