CASILLAS,CASILLAS_NUM,CASILLAS_TIPO,DISTRITO,MUNICIPIO,LISTA NOMINAL,P.A.N,P.R.I.,P.R.D.,P.C.,P.T.,P.V.E.M.,P.P.S.,P.D.M.,NO REG.,NULOS,TOTAL
186,1,B,10,ARMERIA,509,40,128,98,3,3,3,2,1,0,3,281
186,2,C,10,ARMERIA,510,41,161,72,1,4,0,1,0,0,8,288
187,1,B,10,ARMERIA,436,27,114,87,0,0,0,0,1,0,7,236
187,2,C,10,ARMERIA,436,30,131,61,1,0,0,0,2,0,10,235
188,1,B,10,ARMERIA,495,65,80,63,9,1,0,0,2,0,15,235
188,2,C,10,ARMERIA,496,56,120,63,8,0,0,0,5,0,3,255
189,1,B,10,ARMERIA,278,23,74,69,2,0,0,0,8,0,9,185
190,1,B,10,ARMERIA,340,34,112,77,2,0,1,0,16,0,4,246
,,,,,,,,,,,,,,,,
1,1,B,1,COLIMA,664,142,106,256,1,1,1,0,0,0,2,509
1,2,C,1,COLIMA,665,133,102,266,0,1,5,1,0,0,3,511
2,1,B,1,COLIMA,404,81,54,158,0,2,1,0,0,0,8,304
3,1,B,1,COLIMA,717,184,109,195,3,2,11,4,3,0,20,531
3,2,C,1,COLIMA,718,175,102,192,3,4,9,5,3,0,24,517
4,1,B,1,COLIMA,747,172,164,213,2,3,6,0,0,0,12,572
5,1,B,1,COLIMA,557,120,65,198,0,2,4,0,3,0,15,407
6,1,B,1,COLIMA,439,104,83,139,0,0,1,0,0,0,6,333
6,2,C,1,COLIMA,439,113,65,130,1,0,2,1,0,0,0,312
7,1,B,1,COLIMA,464,93,93,117,0,5,2,0,2,0,9,321
7,2,C,1,COLIMA,465,90,89,132,2,1,6,0,1,0,13,334
8,1,B,1,COLIMA,612,106,135,201,2,3,7,0,3,0,5,462
8,2,C,1,COLIMA,612,103,154,204,3,2,1,1,5,0,5,478
9,1,B,1,COLIMA,500,112,106,155,2,1,4,0,1,0,7,388
9,2,C,1,COLIMA,501,80,119,172,0,2,4,1,0,0,9,387
10,1,B,1,COLIMA,575,75,145,169,4,0,9,0,6,0,19,427
10,2,C,1,COLIMA,576,103,122,144,1,5,4,2,3,0,21,405
11,1,B,1,COLIMA,690,182,121,212,2,3,1,1,1,0,9,532
