ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,12,AMOZOC DE MOTA,69,264,18491,12424,2689,6186,3330,3817,4242,3219,5353,46040,3120,108911,139,5650,114700,168910,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/drp/12_AMOZOC_ACTA_DE_COMPUTO_DISTRITAL_DIPUTACIONES_R_P_15.jpg
21,PUEBLA,13,TEPEACA,78,263,26904,18807,2890,4420,7471,3326,1877,1700,2458,35331,1671,106855,51,5278,112184,161817,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,14,CIUDAD SERDAN,108,274,26939,14908,4270,7009,3264,8808,8870,6162,2838,23566,1262,107896,18,7336,115250,156517,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,15,TECAMACHALCO,74,253,11383,12576,3074,4990,3896,2649,1410,3172,13459,42452,1967,101028,44,6899,107971,155988,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,125,328,30903,13885,1872,4161,3994,2792,1213,1639,907,55318,2484,119168,108,5061,124337,198393,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,223,411,50640,17240,2017,3941,6529,2364,4431,1456,1474,58259,2823,151174,194,6901,158269,215383,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/drp/17_PUEBLA_ACTA_DE_COMPUTO_DISTRITAL_DIPUTACIONES_R_P_15.jpg
21,PUEBLA,18,CHOLULA DE RIVADAVIA,84,302,35842,10276,1947,3981,4262,2605,4047,2006,3244,52373,3050,123633,109,5192,128934,194178,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,116,312,27404,13021,2114,4371,4763,2443,1485,1620,853,54257,2302,114633,86,4454,119173,194255,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,69,270,13545,12448,1117,4928,2436,1779,2400,904,449,36130,2090,78226,482,3420,82128,176541,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,21,ATLIXCO,119,298,29612,19640,3064,3025,9115,2273,2086,861,1581,37192,1733,110182,117,5413,115712,176367,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,22,IZUCAR DE MATAMOROS,141,335,22464,26501,4389,4310,3840,5787,5613,6627,4205,33923,2456,120115,22,6429,126566,182235,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,23,ACATLAN DE OSORIO,150,328,20986,33262,5892,4715,3671,4445,2257,1238,2557,32776,948,112747,54,7704,120505,171360,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,24,TEHUACAN,80,263,16986,14711,1757,4582,7331,2362,4188,2600,3309,45445,1376,104647,56,6595,111298,162957,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,25,TEHUACAN,81,268,17279,12015,1457,4015,12549,1550,1808,1296,1281,49383,1671,104304,91,5082,109477,168488,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,26,AJALPAN,106,284,24935,31882,6803,3980,3654,5287,2873,3160,1531,32760,2461,119326,59,7782,127167,161048,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
